,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1324430721440763904,1324430721440763904,kenny ♡,AMNESlAKJI,"exo + ggs, she/her, black, 17",,#KAI: KAI is a god right?,https://t.co/hia4mQhFVX,"{'urls': [{'url': 'https://t.co/hia4mQhFVX', 'expanded_url': 'https://youtu.be/Fc-fa6cAe2c', 'display_url': 'youtu.be/Fc-fa6cAe2c', 'indices': [0, 23]}]}",False,590,303,5,Thu Nov 05 19:17:54 +0000 2020,6132,,,False,False,9873,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_banners/1324430721440763904/1606751881,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1324430721440763904,1324430721440763904,kenny ♡,AMNESlAKJI,"exo + ggs, she/her, black, 17",,#KAI: KAI is a god right?,https://t.co/hia4mQhFVX,{'urls': []},False,590,303,5,Thu Nov 05 19:17:54 +0000 2020,6132,,,False,False,9873,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_banners/1324430721440763904/1606751881,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1324430721440763904,1324430721440763904,kenny ♡,AMNESlAKJI,"exo + ggs, she/her, black, 17",,#KAI: KAI is a god right?,https://t.co/hia4mQhFVX,,False,590,303,5,Thu Nov 05 19:17:54 +0000 2020,6132,,,False,False,9873,,Wed Dec 16 02:05:46 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_banners/1324430721440763904/1606751881,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1324430721440763904,1324430721440763904,kenny ♡,AMNESlAKJI,"exo + ggs, she/her, black, 17",,#KAI: KAI is a god right?,https://t.co/hia4mQhFVX,,False,590,303,5,Thu Nov 05 19:17:54 +0000 2020,6132,,,False,False,9873,,1339028918192496644,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_banners/1324430721440763904/1606751881,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1324430721440763904,1324430721440763904,kenny ♡,AMNESlAKJI,"exo + ggs, she/her, black, 17",,#KAI: KAI is a god right?,https://t.co/hia4mQhFVX,,False,590,303,5,Thu Nov 05 19:17:54 +0000 2020,6132,,,False,False,9873,,1339028918192496644,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_banners/1324430721440763904/1606751881,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1324430721440763904,1324430721440763904,kenny ♡,AMNESlAKJI,"exo + ggs, she/her, black, 17",,#KAI: KAI is a god right?,https://t.co/hia4mQhFVX,,False,590,303,5,Thu Nov 05 19:17:54 +0000 2020,6132,,,False,False,9873,,@F0RYIXING WE WOULDVE HAD TO FIGHT,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_banners/1324430721440763904/1606751881,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1324430721440763904,1324430721440763904,kenny ♡,AMNESlAKJI,"exo + ggs, she/her, black, 17",,#KAI: KAI is a god right?,https://t.co/hia4mQhFVX,,False,590,303,5,Thu Nov 05 19:17:54 +0000 2020,6132,,,False,False,9873,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_banners/1324430721440763904/1606751881,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1324430721440763904,1324430721440763904,kenny ♡,AMNESlAKJI,"exo + ggs, she/her, black, 17",,#KAI: KAI is a god right?,https://t.co/hia4mQhFVX,,False,590,303,5,Thu Nov 05 19:17:54 +0000 2020,6132,,,False,False,9873,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'F0RYIXING', 'name': 'ً', 'id': 1162424883227185153, 'id_str': '1162424883227185153', 'indices': [0, 10]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_banners/1324430721440763904/1606751881,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1324430721440763904,1324430721440763904,kenny ♡,AMNESlAKJI,"exo + ggs, she/her, black, 17",,#KAI: KAI is a god right?,https://t.co/hia4mQhFVX,,False,590,303,5,Thu Nov 05 19:17:54 +0000 2020,6132,,,False,False,9873,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_banners/1324430721440763904/1606751881,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1324430721440763904,1324430721440763904,kenny ♡,AMNESlAKJI,"exo + ggs, she/her, black, 17",,#KAI: KAI is a god right?,https://t.co/hia4mQhFVX,,False,590,303,5,Thu Nov 05 19:17:54 +0000 2020,6132,,,False,False,9873,,1339028760226455555,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_banners/1324430721440763904/1606751881,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1324430721440763904,1324430721440763904,kenny ♡,AMNESlAKJI,"exo + ggs, she/her, black, 17",,#KAI: KAI is a god right?,https://t.co/hia4mQhFVX,,False,590,303,5,Thu Nov 05 19:17:54 +0000 2020,6132,,,False,False,9873,,1339028760226455555,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_banners/1324430721440763904/1606751881,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1324430721440763904,1324430721440763904,kenny ♡,AMNESlAKJI,"exo + ggs, she/her, black, 17",,#KAI: KAI is a god right?,https://t.co/hia4mQhFVX,,False,590,303,5,Thu Nov 05 19:17:54 +0000 2020,6132,,,False,False,9873,,1162424883227185153,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_banners/1324430721440763904/1606751881,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1324430721440763904,1324430721440763904,kenny ♡,AMNESlAKJI,"exo + ggs, she/her, black, 17",,#KAI: KAI is a god right?,https://t.co/hia4mQhFVX,,False,590,303,5,Thu Nov 05 19:17:54 +0000 2020,6132,,,False,False,9873,,1162424883227185153,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_banners/1324430721440763904/1606751881,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1324430721440763904,1324430721440763904,kenny ♡,AMNESlAKJI,"exo + ggs, she/her, black, 17",,#KAI: KAI is a god right?,https://t.co/hia4mQhFVX,,False,590,303,5,Thu Nov 05 19:17:54 +0000 2020,6132,,,False,False,9873,,F0RYIXING,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_banners/1324430721440763904/1606751881,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1324430721440763904,1324430721440763904,kenny ♡,AMNESlAKJI,"exo + ggs, she/her, black, 17",,#KAI: KAI is a god right?,https://t.co/hia4mQhFVX,,False,590,303,5,Thu Nov 05 19:17:54 +0000 2020,6132,,,False,False,9873,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_banners/1324430721440763904/1606751881,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1324430721440763904,1324430721440763904,kenny ♡,AMNESlAKJI,"exo + ggs, she/her, black, 17",,#KAI: KAI is a god right?,https://t.co/hia4mQhFVX,,False,590,303,5,Thu Nov 05 19:17:54 +0000 2020,6132,,,False,False,9873,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_images/1338201287909838848/655lLkm-_normal.jpg,https://pbs.twimg.com/profile_banners/1324430721440763904/1606751881,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
