,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1255427649314394116,1255427649314394116,JOHN D GENIUS 😎❤,Adeogunjohno,"Lagos, Nigeria",,"I.g @ https://t.co/Xh4lzoamYw John d genius
movie freak👓
seasonal writer ✍️
professional percussionist 😉
upcoming cinematographer 😁",,"{'urls': [{'url': 'https://t.co/Xh4lzoamYw', 'expanded_url': 'http://I.am', 'display_url': 'I.am', 'indices': [6, 29]}]}",False,372,459,0,Wed Apr 29 09:24:30 +0000 2020,1851,,,False,False,439,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338430423739867137/YXdXOjK5_normal.jpg,https://pbs.twimg.com/profile_images/1338430423739867137/YXdXOjK5_normal.jpg,https://pbs.twimg.com/profile_banners/1255427649314394116/1607941654,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1255427649314394116,1255427649314394116,JOHN D GENIUS 😎❤,Adeogunjohno,"Lagos, Nigeria",,"I.g @ https://t.co/Xh4lzoamYw John d genius
movie freak👓
seasonal writer ✍️
professional percussionist 😉
upcoming cinematographer 😁",,,False,372,459,0,Wed Apr 29 09:24:30 +0000 2020,1851,,,False,False,439,,Wed Dec 16 01:25:44 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338430423739867137/YXdXOjK5_normal.jpg,https://pbs.twimg.com/profile_images/1338430423739867137/YXdXOjK5_normal.jpg,https://pbs.twimg.com/profile_banners/1255427649314394116/1607941654,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1255427649314394116,1255427649314394116,JOHN D GENIUS 😎❤,Adeogunjohno,"Lagos, Nigeria",,"I.g @ https://t.co/Xh4lzoamYw John d genius
movie freak👓
seasonal writer ✍️
professional percussionist 😉
upcoming cinematographer 😁",,,False,372,459,0,Wed Apr 29 09:24:30 +0000 2020,1851,,,False,False,439,,1339018841595187200,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338430423739867137/YXdXOjK5_normal.jpg,https://pbs.twimg.com/profile_images/1338430423739867137/YXdXOjK5_normal.jpg,https://pbs.twimg.com/profile_banners/1255427649314394116/1607941654,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1255427649314394116,1255427649314394116,JOHN D GENIUS 😎❤,Adeogunjohno,"Lagos, Nigeria",,"I.g @ https://t.co/Xh4lzoamYw John d genius
movie freak👓
seasonal writer ✍️
professional percussionist 😉
upcoming cinematographer 😁",,,False,372,459,0,Wed Apr 29 09:24:30 +0000 2020,1851,,,False,False,439,,1339018841595187200,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338430423739867137/YXdXOjK5_normal.jpg,https://pbs.twimg.com/profile_images/1338430423739867137/YXdXOjK5_normal.jpg,https://pbs.twimg.com/profile_banners/1255427649314394116/1607941654,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1255427649314394116,1255427649314394116,JOHN D GENIUS 😎❤,Adeogunjohno,"Lagos, Nigeria",,"I.g @ https://t.co/Xh4lzoamYw John d genius
movie freak👓
seasonal writer ✍️
professional percussionist 😉
upcoming cinematographer 😁",,,False,372,459,0,Wed Apr 29 09:24:30 +0000 2020,1851,,,False,False,439,,That depressing and annoying feeling from knowing that double of that amount I need to change my life is lying usel… https://t.co/RSfY42xUpc,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338430423739867137/YXdXOjK5_normal.jpg,https://pbs.twimg.com/profile_images/1338430423739867137/YXdXOjK5_normal.jpg,https://pbs.twimg.com/profile_banners/1255427649314394116/1607941654,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1255427649314394116,1255427649314394116,JOHN D GENIUS 😎❤,Adeogunjohno,"Lagos, Nigeria",,"I.g @ https://t.co/Xh4lzoamYw John d genius
movie freak👓
seasonal writer ✍️
professional percussionist 😉
upcoming cinematographer 😁",,,False,372,459,0,Wed Apr 29 09:24:30 +0000 2020,1851,,,False,False,439,,True,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338430423739867137/YXdXOjK5_normal.jpg,https://pbs.twimg.com/profile_images/1338430423739867137/YXdXOjK5_normal.jpg,https://pbs.twimg.com/profile_banners/1255427649314394116/1607941654,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1255427649314394116,1255427649314394116,JOHN D GENIUS 😎❤,Adeogunjohno,"Lagos, Nigeria",,"I.g @ https://t.co/Xh4lzoamYw John d genius
movie freak👓
seasonal writer ✍️
professional percussionist 😉
upcoming cinematographer 😁",,,False,372,459,0,Wed Apr 29 09:24:30 +0000 2020,1851,,,False,False,439,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/RSfY42xUpc', 'expanded_url': 'https://twitter.com/i/web/status/1339018841595187200', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338430423739867137/YXdXOjK5_normal.jpg,https://pbs.twimg.com/profile_images/1338430423739867137/YXdXOjK5_normal.jpg,https://pbs.twimg.com/profile_banners/1255427649314394116/1607941654,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1255427649314394116,1255427649314394116,JOHN D GENIUS 😎❤,Adeogunjohno,"Lagos, Nigeria",,"I.g @ https://t.co/Xh4lzoamYw John d genius
movie freak👓
seasonal writer ✍️
professional percussionist 😉
upcoming cinematographer 😁",,,False,372,459,0,Wed Apr 29 09:24:30 +0000 2020,1851,,,False,False,439,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338430423739867137/YXdXOjK5_normal.jpg,https://pbs.twimg.com/profile_images/1338430423739867137/YXdXOjK5_normal.jpg,https://pbs.twimg.com/profile_banners/1255427649314394116/1607941654,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1255427649314394116,1255427649314394116,JOHN D GENIUS 😎❤,Adeogunjohno,"Lagos, Nigeria",,"I.g @ https://t.co/Xh4lzoamYw John d genius
movie freak👓
seasonal writer ✍️
professional percussionist 😉
upcoming cinematographer 😁",,,False,372,459,0,Wed Apr 29 09:24:30 +0000 2020,1851,,,False,False,439,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338430423739867137/YXdXOjK5_normal.jpg,https://pbs.twimg.com/profile_images/1338430423739867137/YXdXOjK5_normal.jpg,https://pbs.twimg.com/profile_banners/1255427649314394116/1607941654,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1255427649314394116,1255427649314394116,JOHN D GENIUS 😎❤,Adeogunjohno,"Lagos, Nigeria",,"I.g @ https://t.co/Xh4lzoamYw John d genius
movie freak👓
seasonal writer ✍️
professional percussionist 😉
upcoming cinematographer 😁",,,False,372,459,0,Wed Apr 29 09:24:30 +0000 2020,1851,,,False,False,439,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338430423739867137/YXdXOjK5_normal.jpg,https://pbs.twimg.com/profile_images/1338430423739867137/YXdXOjK5_normal.jpg,https://pbs.twimg.com/profile_banners/1255427649314394116/1607941654,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
