,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1338665447697235969,1338665447697235969,Axl Hopkins,AxlHopkins,reswell,,"rp account for auroradieities Axl
irl lover: @sweetchabica",,{'urls': []},False,32,69,0,Tue Dec 15 02:01:40 +0000 2020,6,,,False,False,225,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338667892586369025/MHAX7V0f_normal.jpg,https://pbs.twimg.com/profile_images/1338667892586369025/MHAX7V0f_normal.jpg,https://pbs.twimg.com/profile_banners/1338665447697235969/1608055332,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1338665447697235969,1338665447697235969,Axl Hopkins,AxlHopkins,reswell,,"rp account for auroradieities Axl
irl lover: @sweetchabica",,,False,32,69,0,Tue Dec 15 02:01:40 +0000 2020,6,,,False,False,225,,Wed Dec 16 02:31:15 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338667892586369025/MHAX7V0f_normal.jpg,https://pbs.twimg.com/profile_images/1338667892586369025/MHAX7V0f_normal.jpg,https://pbs.twimg.com/profile_banners/1338665447697235969/1608055332,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1338665447697235969,1338665447697235969,Axl Hopkins,AxlHopkins,reswell,,"rp account for auroradieities Axl
irl lover: @sweetchabica",,,False,32,69,0,Tue Dec 15 02:01:40 +0000 2020,6,,,False,False,225,,1339035329752272897,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338667892586369025/MHAX7V0f_normal.jpg,https://pbs.twimg.com/profile_images/1338667892586369025/MHAX7V0f_normal.jpg,https://pbs.twimg.com/profile_banners/1338665447697235969/1608055332,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1338665447697235969,1338665447697235969,Axl Hopkins,AxlHopkins,reswell,,"rp account for auroradieities Axl
irl lover: @sweetchabica",,,False,32,69,0,Tue Dec 15 02:01:40 +0000 2020,6,,,False,False,225,,1339035329752272897,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338667892586369025/MHAX7V0f_normal.jpg,https://pbs.twimg.com/profile_images/1338667892586369025/MHAX7V0f_normal.jpg,https://pbs.twimg.com/profile_banners/1338665447697235969/1608055332,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1338665447697235969,1338665447697235969,Axl Hopkins,AxlHopkins,reswell,,"rp account for auroradieities Axl
irl lover: @sweetchabica",,,False,32,69,0,Tue Dec 15 02:01:40 +0000 2020,6,,,False,False,225,,"@CrimsonChaos He holds her hands softly. ""What do you say if..i wanted to see if...love could be a possible factor… https://t.co/sdob3S1mxQ",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338667892586369025/MHAX7V0f_normal.jpg,https://pbs.twimg.com/profile_images/1338667892586369025/MHAX7V0f_normal.jpg,https://pbs.twimg.com/profile_banners/1338665447697235969/1608055332,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1338665447697235969,1338665447697235969,Axl Hopkins,AxlHopkins,reswell,,"rp account for auroradieities Axl
irl lover: @sweetchabica",,,False,32,69,0,Tue Dec 15 02:01:40 +0000 2020,6,,,False,False,225,,True,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338667892586369025/MHAX7V0f_normal.jpg,https://pbs.twimg.com/profile_images/1338667892586369025/MHAX7V0f_normal.jpg,https://pbs.twimg.com/profile_banners/1338665447697235969/1608055332,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1338665447697235969,1338665447697235969,Axl Hopkins,AxlHopkins,reswell,,"rp account for auroradieities Axl
irl lover: @sweetchabica",,,False,32,69,0,Tue Dec 15 02:01:40 +0000 2020,6,,,False,False,225,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CrimsonChaos', 'name': 'Shade the Hedgehog', 'id': 1330990546937126920, 'id_str': '1330990546937126920', 'indices': [0, 13]}], 'urls': [{'url': 'https://t.co/sdob3S1mxQ', 'expanded_url': 'https://twitter.com/i/web/status/1339035329752272897', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338667892586369025/MHAX7V0f_normal.jpg,https://pbs.twimg.com/profile_images/1338667892586369025/MHAX7V0f_normal.jpg,https://pbs.twimg.com/profile_banners/1338665447697235969/1608055332,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1338665447697235969,1338665447697235969,Axl Hopkins,AxlHopkins,reswell,,"rp account for auroradieities Axl
irl lover: @sweetchabica",,,False,32,69,0,Tue Dec 15 02:01:40 +0000 2020,6,,,False,False,225,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338667892586369025/MHAX7V0f_normal.jpg,https://pbs.twimg.com/profile_images/1338667892586369025/MHAX7V0f_normal.jpg,https://pbs.twimg.com/profile_banners/1338665447697235969/1608055332,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1338665447697235969,1338665447697235969,Axl Hopkins,AxlHopkins,reswell,,"rp account for auroradieities Axl
irl lover: @sweetchabica",,,False,32,69,0,Tue Dec 15 02:01:40 +0000 2020,6,,,False,False,225,,1339034692134334465,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338667892586369025/MHAX7V0f_normal.jpg,https://pbs.twimg.com/profile_images/1338667892586369025/MHAX7V0f_normal.jpg,https://pbs.twimg.com/profile_banners/1338665447697235969/1608055332,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1338665447697235969,1338665447697235969,Axl Hopkins,AxlHopkins,reswell,,"rp account for auroradieities Axl
irl lover: @sweetchabica",,,False,32,69,0,Tue Dec 15 02:01:40 +0000 2020,6,,,False,False,225,,1339034692134334465,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338667892586369025/MHAX7V0f_normal.jpg,https://pbs.twimg.com/profile_images/1338667892586369025/MHAX7V0f_normal.jpg,https://pbs.twimg.com/profile_banners/1338665447697235969/1608055332,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
