,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1060049746713182208,1060049746713182208,Eli,EliBurton_,"California, USA",,#GirlDad Dedicated to inspiring future martians to #OccupyMars. Creator of The @advofstarman Founder of TOC @myteslaadventur 🚘  #FSDBeta tester before Earl,https://t.co/uqoEELz4Q1,"{'urls': [{'url': 'https://t.co/uqoEELz4Q1', 'expanded_url': 'http://TheAdventuresOfStarman.com', 'display_url': 'TheAdventuresOfStarman.com', 'indices': [0, 23]}]}",False,6527,650,60,Wed Nov 07 06:02:09 +0000 2018,6273,,,True,False,14173,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1305337759486230532/mN6whwvz_normal.jpg,https://pbs.twimg.com/profile_images/1305337759486230532/mN6whwvz_normal.jpg,https://pbs.twimg.com/profile_banners/1060049746713182208/1595867226,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1060049746713182208,1060049746713182208,Eli,EliBurton_,"California, USA",,#GirlDad Dedicated to inspiring future martians to #OccupyMars. Creator of The @advofstarman Founder of TOC @myteslaadventur 🚘  #FSDBeta tester before Earl,https://t.co/uqoEELz4Q1,{'urls': []},False,6527,650,60,Wed Nov 07 06:02:09 +0000 2018,6273,,,True,False,14173,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1305337759486230532/mN6whwvz_normal.jpg,https://pbs.twimg.com/profile_images/1305337759486230532/mN6whwvz_normal.jpg,https://pbs.twimg.com/profile_banners/1060049746713182208/1595867226,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1060049746713182208,1060049746713182208,Eli,EliBurton_,"California, USA",,#GirlDad Dedicated to inspiring future martians to #OccupyMars. Creator of The @advofstarman Founder of TOC @myteslaadventur 🚘  #FSDBeta tester before Earl,https://t.co/uqoEELz4Q1,,False,6527,650,60,Wed Nov 07 06:02:09 +0000 2018,6273,,,True,False,14173,,Wed Dec 16 09:07:47 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1305337759486230532/mN6whwvz_normal.jpg,https://pbs.twimg.com/profile_images/1305337759486230532/mN6whwvz_normal.jpg,https://pbs.twimg.com/profile_banners/1060049746713182208/1595867226,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1060049746713182208,1060049746713182208,Eli,EliBurton_,"California, USA",,#GirlDad Dedicated to inspiring future martians to #OccupyMars. Creator of The @advofstarman Founder of TOC @myteslaadventur 🚘  #FSDBeta tester before Earl,https://t.co/uqoEELz4Q1,,False,6527,650,60,Wed Nov 07 06:02:09 +0000 2018,6273,,,True,False,14173,,1339135123254464512,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1305337759486230532/mN6whwvz_normal.jpg,https://pbs.twimg.com/profile_images/1305337759486230532/mN6whwvz_normal.jpg,https://pbs.twimg.com/profile_banners/1060049746713182208/1595867226,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1060049746713182208,1060049746713182208,Eli,EliBurton_,"California, USA",,#GirlDad Dedicated to inspiring future martians to #OccupyMars. Creator of The @advofstarman Founder of TOC @myteslaadventur 🚘  #FSDBeta tester before Earl,https://t.co/uqoEELz4Q1,,False,6527,650,60,Wed Nov 07 06:02:09 +0000 2018,6273,,,True,False,14173,,1339135123254464512,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1305337759486230532/mN6whwvz_normal.jpg,https://pbs.twimg.com/profile_images/1305337759486230532/mN6whwvz_normal.jpg,https://pbs.twimg.com/profile_banners/1060049746713182208/1595867226,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1060049746713182208,1060049746713182208,Eli,EliBurton_,"California, USA",,#GirlDad Dedicated to inspiring future martians to #OccupyMars. Creator of The @advofstarman Founder of TOC @myteslaadventur 🚘  #FSDBeta tester before Earl,https://t.co/uqoEELz4Q1,,False,6527,650,60,Wed Nov 07 06:02:09 +0000 2018,6273,,,True,False,14173,,@CodingMark @seanmmitchell The clear ones,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1305337759486230532/mN6whwvz_normal.jpg,https://pbs.twimg.com/profile_images/1305337759486230532/mN6whwvz_normal.jpg,https://pbs.twimg.com/profile_banners/1060049746713182208/1595867226,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1060049746713182208,1060049746713182208,Eli,EliBurton_,"California, USA",,#GirlDad Dedicated to inspiring future martians to #OccupyMars. Creator of The @advofstarman Founder of TOC @myteslaadventur 🚘  #FSDBeta tester before Earl,https://t.co/uqoEELz4Q1,,False,6527,650,60,Wed Nov 07 06:02:09 +0000 2018,6273,,,True,False,14173,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1305337759486230532/mN6whwvz_normal.jpg,https://pbs.twimg.com/profile_images/1305337759486230532/mN6whwvz_normal.jpg,https://pbs.twimg.com/profile_banners/1060049746713182208/1595867226,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1060049746713182208,1060049746713182208,Eli,EliBurton_,"California, USA",,#GirlDad Dedicated to inspiring future martians to #OccupyMars. Creator of The @advofstarman Founder of TOC @myteslaadventur 🚘  #FSDBeta tester before Earl,https://t.co/uqoEELz4Q1,,False,6527,650,60,Wed Nov 07 06:02:09 +0000 2018,6273,,,True,False,14173,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CodingMark', 'name': 'Mark 🐍🎷', 'id': 952755407788826624, 'id_str': '952755407788826624', 'indices': [0, 11]}, {'screen_name': 'seanmmitchell', 'name': 'Sean Mitchell', 'id': 17206078, 'id_str': '17206078', 'indices': [12, 26]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1305337759486230532/mN6whwvz_normal.jpg,https://pbs.twimg.com/profile_images/1305337759486230532/mN6whwvz_normal.jpg,https://pbs.twimg.com/profile_banners/1060049746713182208/1595867226,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1060049746713182208,1060049746713182208,Eli,EliBurton_,"California, USA",,#GirlDad Dedicated to inspiring future martians to #OccupyMars. Creator of The @advofstarman Founder of TOC @myteslaadventur 🚘  #FSDBeta tester before Earl,https://t.co/uqoEELz4Q1,,False,6527,650,60,Wed Nov 07 06:02:09 +0000 2018,6273,,,True,False,14173,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1305337759486230532/mN6whwvz_normal.jpg,https://pbs.twimg.com/profile_images/1305337759486230532/mN6whwvz_normal.jpg,https://pbs.twimg.com/profile_banners/1060049746713182208/1595867226,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1060049746713182208,1060049746713182208,Eli,EliBurton_,"California, USA",,#GirlDad Dedicated to inspiring future martians to #OccupyMars. Creator of The @advofstarman Founder of TOC @myteslaadventur 🚘  #FSDBeta tester before Earl,https://t.co/uqoEELz4Q1,,False,6527,650,60,Wed Nov 07 06:02:09 +0000 2018,6273,,,True,False,14173,,1338975885018316802,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1305337759486230532/mN6whwvz_normal.jpg,https://pbs.twimg.com/profile_images/1305337759486230532/mN6whwvz_normal.jpg,https://pbs.twimg.com/profile_banners/1060049746713182208/1595867226,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
