,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
id,3194315956,3194315956,"Dr. Werewolf, PhD",EvilViergacht,"Frederick, MD",ec3b8b62828d8f6a,icon by TheBeardlyBen,https://t.co/2A81IR7Fnz,,False,2500,516,35,Wed Apr 22 10:08:05 +0000 2015,230864,,,False,False,39492,,1339135556962414595,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_banners/3194315956/1458902835,9266CC,000000,000000,000000,True,True,False,False,False,False,False,none
url,3194315956,3194315956,"Dr. Werewolf, PhD",EvilViergacht,"Frederick, MD",https://api.twitter.com/1.1/geo/id/ec3b8b62828d8f6a.json,icon by TheBeardlyBen,https://t.co/2A81IR7Fnz,"{'urls': [{'url': 'https://t.co/2A81IR7Fnz', 'expanded_url': 'https://www.deviantart.com/viergacht', 'display_url': 'deviantart.com/viergacht', 'indices': [0, 23]}]}",False,2500,516,35,Wed Apr 22 10:08:05 +0000 2015,230864,,,False,False,39492,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_banners/3194315956/1458902835,9266CC,000000,000000,000000,True,True,False,False,False,False,False,none
place_type,3194315956,3194315956,"Dr. Werewolf, PhD",EvilViergacht,"Frederick, MD",unknown,icon by TheBeardlyBen,https://t.co/2A81IR7Fnz,,False,2500,516,35,Wed Apr 22 10:08:05 +0000 2015,230864,,,False,False,39492,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_banners/3194315956/1458902835,9266CC,000000,000000,000000,True,True,False,False,False,False,False,none
name,3194315956,3194315956,"Dr. Werewolf, PhD",EvilViergacht,"Frederick, MD","Frederick, MD",icon by TheBeardlyBen,https://t.co/2A81IR7Fnz,,False,2500,516,35,Wed Apr 22 10:08:05 +0000 2015,230864,,,False,False,39492,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_banners/3194315956/1458902835,9266CC,000000,000000,000000,True,True,False,False,False,False,False,none
full_name,3194315956,3194315956,"Dr. Werewolf, PhD",EvilViergacht,"Frederick, MD","Frederick, MD",icon by TheBeardlyBen,https://t.co/2A81IR7Fnz,,False,2500,516,35,Wed Apr 22 10:08:05 +0000 2015,230864,,,False,False,39492,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_banners/3194315956/1458902835,9266CC,000000,000000,000000,True,True,False,False,False,False,False,none
country_code,3194315956,3194315956,"Dr. Werewolf, PhD",EvilViergacht,"Frederick, MD",,icon by TheBeardlyBen,https://t.co/2A81IR7Fnz,,False,2500,516,35,Wed Apr 22 10:08:05 +0000 2015,230864,,,False,False,39492,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_banners/3194315956/1458902835,9266CC,000000,000000,000000,True,True,False,False,False,False,False,none
country,3194315956,3194315956,"Dr. Werewolf, PhD",EvilViergacht,"Frederick, MD",,icon by TheBeardlyBen,https://t.co/2A81IR7Fnz,,False,2500,516,35,Wed Apr 22 10:08:05 +0000 2015,230864,,,False,False,39492,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_banners/3194315956/1458902835,9266CC,000000,000000,000000,True,True,False,False,False,False,False,none
contained_within,3194315956,3194315956,"Dr. Werewolf, PhD",EvilViergacht,"Frederick, MD",[],icon by TheBeardlyBen,https://t.co/2A81IR7Fnz,,False,2500,516,35,Wed Apr 22 10:08:05 +0000 2015,230864,,,False,False,39492,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_banners/3194315956/1458902835,9266CC,000000,000000,000000,True,True,False,False,False,False,False,none
bounding_box,3194315956,3194315956,"Dr. Werewolf, PhD",EvilViergacht,"Frederick, MD",,icon by TheBeardlyBen,https://t.co/2A81IR7Fnz,,False,2500,516,35,Wed Apr 22 10:08:05 +0000 2015,230864,,,False,False,39492,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_banners/3194315956/1458902835,9266CC,000000,000000,000000,True,True,False,False,False,False,False,none
attributes,3194315956,3194315956,"Dr. Werewolf, PhD",EvilViergacht,"Frederick, MD",{},icon by TheBeardlyBen,https://t.co/2A81IR7Fnz,,False,2500,516,35,Wed Apr 22 10:08:05 +0000 2015,230864,,,False,False,39492,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_banners/3194315956/1458902835,9266CC,000000,000000,000000,True,True,False,False,False,False,False,none
description,3194315956,3194315956,"Dr. Werewolf, PhD",EvilViergacht,"Frederick, MD",,icon by TheBeardlyBen,https://t.co/2A81IR7Fnz,{'urls': []},False,2500,516,35,Wed Apr 22 10:08:05 +0000 2015,230864,,,False,False,39492,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_banners/3194315956/1458902835,9266CC,000000,000000,000000,True,True,False,False,False,False,False,none
created_at,3194315956,3194315956,"Dr. Werewolf, PhD",EvilViergacht,"Frederick, MD",,icon by TheBeardlyBen,https://t.co/2A81IR7Fnz,,False,2500,516,35,Wed Apr 22 10:08:05 +0000 2015,230864,,,False,False,39492,,Wed Dec 16 09:09:31 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_banners/3194315956/1458902835,9266CC,000000,000000,000000,True,True,False,False,False,False,False,none
id_str,3194315956,3194315956,"Dr. Werewolf, PhD",EvilViergacht,"Frederick, MD",,icon by TheBeardlyBen,https://t.co/2A81IR7Fnz,,False,2500,516,35,Wed Apr 22 10:08:05 +0000 2015,230864,,,False,False,39492,,1339135556962414595,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_banners/3194315956/1458902835,9266CC,000000,000000,000000,True,True,False,False,False,False,False,none
text,3194315956,3194315956,"Dr. Werewolf, PhD",EvilViergacht,"Frederick, MD",,icon by TheBeardlyBen,https://t.co/2A81IR7Fnz,,False,2500,516,35,Wed Apr 22 10:08:05 +0000 2015,230864,,,False,False,39492,,I am one damn Magmar away from finishing that one quest and those suckers never spawn around here :/,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_banners/3194315956/1458902835,9266CC,000000,000000,000000,True,True,False,False,False,False,False,none
truncated,3194315956,3194315956,"Dr. Werewolf, PhD",EvilViergacht,"Frederick, MD",,icon by TheBeardlyBen,https://t.co/2A81IR7Fnz,,False,2500,516,35,Wed Apr 22 10:08:05 +0000 2015,230864,,,False,False,39492,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_banners/3194315956/1458902835,9266CC,000000,000000,000000,True,True,False,False,False,False,False,none
entities,3194315956,3194315956,"Dr. Werewolf, PhD",EvilViergacht,"Frederick, MD",,icon by TheBeardlyBen,https://t.co/2A81IR7Fnz,,False,2500,516,35,Wed Apr 22 10:08:05 +0000 2015,230864,,,False,False,39492,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_banners/3194315956/1458902835,9266CC,000000,000000,000000,True,True,False,False,False,False,False,none
source,3194315956,3194315956,"Dr. Werewolf, PhD",EvilViergacht,"Frederick, MD",,icon by TheBeardlyBen,https://t.co/2A81IR7Fnz,,False,2500,516,35,Wed Apr 22 10:08:05 +0000 2015,230864,,,False,False,39492,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_banners/3194315956/1458902835,9266CC,000000,000000,000000,True,True,False,False,False,False,False,none
in_reply_to_status_id,3194315956,3194315956,"Dr. Werewolf, PhD",EvilViergacht,"Frederick, MD",,icon by TheBeardlyBen,https://t.co/2A81IR7Fnz,,False,2500,516,35,Wed Apr 22 10:08:05 +0000 2015,230864,,,False,False,39492,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_banners/3194315956/1458902835,9266CC,000000,000000,000000,True,True,False,False,False,False,False,none
in_reply_to_status_id_str,3194315956,3194315956,"Dr. Werewolf, PhD",EvilViergacht,"Frederick, MD",,icon by TheBeardlyBen,https://t.co/2A81IR7Fnz,,False,2500,516,35,Wed Apr 22 10:08:05 +0000 2015,230864,,,False,False,39492,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_banners/3194315956/1458902835,9266CC,000000,000000,000000,True,True,False,False,False,False,False,none
in_reply_to_user_id,3194315956,3194315956,"Dr. Werewolf, PhD",EvilViergacht,"Frederick, MD",,icon by TheBeardlyBen,https://t.co/2A81IR7Fnz,,False,2500,516,35,Wed Apr 22 10:08:05 +0000 2015,230864,,,False,False,39492,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_banners/3194315956/1458902835,9266CC,000000,000000,000000,True,True,False,False,False,False,False,none
in_reply_to_user_id_str,3194315956,3194315956,"Dr. Werewolf, PhD",EvilViergacht,"Frederick, MD",,icon by TheBeardlyBen,https://t.co/2A81IR7Fnz,,False,2500,516,35,Wed Apr 22 10:08:05 +0000 2015,230864,,,False,False,39492,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_banners/3194315956/1458902835,9266CC,000000,000000,000000,True,True,False,False,False,False,False,none
in_reply_to_screen_name,3194315956,3194315956,"Dr. Werewolf, PhD",EvilViergacht,"Frederick, MD",,icon by TheBeardlyBen,https://t.co/2A81IR7Fnz,,False,2500,516,35,Wed Apr 22 10:08:05 +0000 2015,230864,,,False,False,39492,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_images/918036614147969024/UjeKSDzO_normal.jpg,https://pbs.twimg.com/profile_banners/3194315956/1458902835,9266CC,000000,000000,000000,True,True,False,False,False,False,False,none
