,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1114932710,1114932710,Fast Co. Tech,FastCoTech,"New York, NY",,"The world of gadgets, apps, services, and startups: what's new and what's next.",https://t.co/1rJEiZbFoL,"{'urls': [{'url': 'https://t.co/1rJEiZbFoL', 'expanded_url': 'https://www.fastcompany.com/technology', 'display_url': 'fastcompany.com/technology', 'indices': [0, 23]}]}",False,11411,167,528,Wed Jan 23 17:58:07 +0000 2013,174,,,False,True,5358,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1136338551816065024/meaVkKyk_normal.png,https://pbs.twimg.com/profile_images/1136338551816065024/meaVkKyk_normal.png,https://pbs.twimg.com/profile_banners/1114932710/1420732331,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none
description,1114932710,1114932710,Fast Co. Tech,FastCoTech,"New York, NY",,"The world of gadgets, apps, services, and startups: what's new and what's next.",https://t.co/1rJEiZbFoL,{'urls': []},False,11411,167,528,Wed Jan 23 17:58:07 +0000 2013,174,,,False,True,5358,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1136338551816065024/meaVkKyk_normal.png,https://pbs.twimg.com/profile_images/1136338551816065024/meaVkKyk_normal.png,https://pbs.twimg.com/profile_banners/1114932710/1420732331,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none
created_at,1114932710,1114932710,Fast Co. Tech,FastCoTech,"New York, NY",,"The world of gadgets, apps, services, and startups: what's new and what's next.",https://t.co/1rJEiZbFoL,,False,11411,167,528,Wed Jan 23 17:58:07 +0000 2013,174,,,False,True,5358,,Wed Dec 16 04:03:02 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1136338551816065024/meaVkKyk_normal.png,https://pbs.twimg.com/profile_images/1136338551816065024/meaVkKyk_normal.png,https://pbs.twimg.com/profile_banners/1114932710/1420732331,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none
id,1114932710,1114932710,Fast Co. Tech,FastCoTech,"New York, NY",,"The world of gadgets, apps, services, and startups: what's new and what's next.",https://t.co/1rJEiZbFoL,,False,11411,167,528,Wed Jan 23 17:58:07 +0000 2013,174,,,False,True,5358,,1339058428942159872,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1136338551816065024/meaVkKyk_normal.png,https://pbs.twimg.com/profile_images/1136338551816065024/meaVkKyk_normal.png,https://pbs.twimg.com/profile_banners/1114932710/1420732331,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none
id_str,1114932710,1114932710,Fast Co. Tech,FastCoTech,"New York, NY",,"The world of gadgets, apps, services, and startups: what's new and what's next.",https://t.co/1rJEiZbFoL,,False,11411,167,528,Wed Jan 23 17:58:07 +0000 2013,174,,,False,True,5358,,1339058428942159872,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1136338551816065024/meaVkKyk_normal.png,https://pbs.twimg.com/profile_images/1136338551816065024/meaVkKyk_normal.png,https://pbs.twimg.com/profile_banners/1114932710/1420732331,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none
text,1114932710,1114932710,Fast Co. Tech,FastCoTech,"New York, NY",,"The world of gadgets, apps, services, and startups: what's new and what's next.",https://t.co/1rJEiZbFoL,,False,11411,167,528,Wed Jan 23 17:58:07 +0000 2013,174,,,False,True,5358,,6 reasons why Disney fans should be worried about its future https://t.co/N0daO8a6zg,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1136338551816065024/meaVkKyk_normal.png,https://pbs.twimg.com/profile_images/1136338551816065024/meaVkKyk_normal.png,https://pbs.twimg.com/profile_banners/1114932710/1420732331,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none
truncated,1114932710,1114932710,Fast Co. Tech,FastCoTech,"New York, NY",,"The world of gadgets, apps, services, and startups: what's new and what's next.",https://t.co/1rJEiZbFoL,,False,11411,167,528,Wed Jan 23 17:58:07 +0000 2013,174,,,False,True,5358,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1136338551816065024/meaVkKyk_normal.png,https://pbs.twimg.com/profile_images/1136338551816065024/meaVkKyk_normal.png,https://pbs.twimg.com/profile_banners/1114932710/1420732331,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none
entities,1114932710,1114932710,Fast Co. Tech,FastCoTech,"New York, NY",,"The world of gadgets, apps, services, and startups: what's new and what's next.",https://t.co/1rJEiZbFoL,,False,11411,167,528,Wed Jan 23 17:58:07 +0000 2013,174,,,False,True,5358,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/N0daO8a6zg', 'expanded_url': 'http://f-st.co/zKfXIFm', 'display_url': 'f-st.co/zKfXIFm', 'indices': [61, 84]}]}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1136338551816065024/meaVkKyk_normal.png,https://pbs.twimg.com/profile_images/1136338551816065024/meaVkKyk_normal.png,https://pbs.twimg.com/profile_banners/1114932710/1420732331,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none
source,1114932710,1114932710,Fast Co. Tech,FastCoTech,"New York, NY",,"The world of gadgets, apps, services, and startups: what's new and what's next.",https://t.co/1rJEiZbFoL,,False,11411,167,528,Wed Jan 23 17:58:07 +0000 2013,174,,,False,True,5358,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1136338551816065024/meaVkKyk_normal.png,https://pbs.twimg.com/profile_images/1136338551816065024/meaVkKyk_normal.png,https://pbs.twimg.com/profile_banners/1114932710/1420732331,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none
in_reply_to_status_id,1114932710,1114932710,Fast Co. Tech,FastCoTech,"New York, NY",,"The world of gadgets, apps, services, and startups: what's new and what's next.",https://t.co/1rJEiZbFoL,,False,11411,167,528,Wed Jan 23 17:58:07 +0000 2013,174,,,False,True,5358,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1136338551816065024/meaVkKyk_normal.png,https://pbs.twimg.com/profile_images/1136338551816065024/meaVkKyk_normal.png,https://pbs.twimg.com/profile_banners/1114932710/1420732331,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none
