,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1334696877216968705,1334696877216968705,CAGE THE REPUBLICANS!,Kimberl22877704,In the Hot Zone in Texas,,"Blue Dem🌊🇺🇸for life. Grandmother of 3. 💜💙💙 Cowboys/Longhorns fan. 🤠🐂 No time for bullshit. I speak the Truth🌊🇺🇸💪🤘🌊
#Taking🇺🇸back🌊🌊🌊🌊🌊🌊",,{'urls': []},False,130,650,0,Fri Dec 04 03:12:11 +0000 2020,3148,,,False,False,2804,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334697139100921859/0jdgs1wv_normal.jpg,https://pbs.twimg.com/profile_images/1334697139100921859/0jdgs1wv_normal.jpg,https://pbs.twimg.com/profile_banners/1334696877216968705/1607223795,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1334696877216968705,1334696877216968705,CAGE THE REPUBLICANS!,Kimberl22877704,In the Hot Zone in Texas,,"Blue Dem🌊🇺🇸for life. Grandmother of 3. 💜💙💙 Cowboys/Longhorns fan. 🤠🐂 No time for bullshit. I speak the Truth🌊🇺🇸💪🤘🌊
#Taking🇺🇸back🌊🌊🌊🌊🌊🌊",,,False,130,650,0,Fri Dec 04 03:12:11 +0000 2020,3148,,,False,False,2804,,Wed Dec 16 03:10:28 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334697139100921859/0jdgs1wv_normal.jpg,https://pbs.twimg.com/profile_images/1334697139100921859/0jdgs1wv_normal.jpg,https://pbs.twimg.com/profile_banners/1334696877216968705/1607223795,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1334696877216968705,1334696877216968705,CAGE THE REPUBLICANS!,Kimberl22877704,In the Hot Zone in Texas,,"Blue Dem🌊🇺🇸for life. Grandmother of 3. 💜💙💙 Cowboys/Longhorns fan. 🤠🐂 No time for bullshit. I speak the Truth🌊🇺🇸💪🤘🌊
#Taking🇺🇸back🌊🌊🌊🌊🌊🌊",,,False,130,650,0,Fri Dec 04 03:12:11 +0000 2020,3148,,,False,False,2804,,1339045200732315648,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334697139100921859/0jdgs1wv_normal.jpg,https://pbs.twimg.com/profile_images/1334697139100921859/0jdgs1wv_normal.jpg,https://pbs.twimg.com/profile_banners/1334696877216968705/1607223795,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1334696877216968705,1334696877216968705,CAGE THE REPUBLICANS!,Kimberl22877704,In the Hot Zone in Texas,,"Blue Dem🌊🇺🇸for life. Grandmother of 3. 💜💙💙 Cowboys/Longhorns fan. 🤠🐂 No time for bullshit. I speak the Truth🌊🇺🇸💪🤘🌊
#Taking🇺🇸back🌊🌊🌊🌊🌊🌊",,,False,130,650,0,Fri Dec 04 03:12:11 +0000 2020,3148,,,False,False,2804,,1339045200732315648,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334697139100921859/0jdgs1wv_normal.jpg,https://pbs.twimg.com/profile_images/1334697139100921859/0jdgs1wv_normal.jpg,https://pbs.twimg.com/profile_banners/1334696877216968705/1607223795,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1334696877216968705,1334696877216968705,CAGE THE REPUBLICANS!,Kimberl22877704,In the Hot Zone in Texas,,"Blue Dem🌊🇺🇸for life. Grandmother of 3. 💜💙💙 Cowboys/Longhorns fan. 🤠🐂 No time for bullshit. I speak the Truth🌊🇺🇸💪🤘🌊
#Taking🇺🇸back🌊🌊🌊🌊🌊🌊",,,False,130,650,0,Fri Dec 04 03:12:11 +0000 2020,3148,,,False,False,2804,,@Redpainter1 It's done.,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334697139100921859/0jdgs1wv_normal.jpg,https://pbs.twimg.com/profile_images/1334697139100921859/0jdgs1wv_normal.jpg,https://pbs.twimg.com/profile_banners/1334696877216968705/1607223795,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1334696877216968705,1334696877216968705,CAGE THE REPUBLICANS!,Kimberl22877704,In the Hot Zone in Texas,,"Blue Dem🌊🇺🇸for life. Grandmother of 3. 💜💙💙 Cowboys/Longhorns fan. 🤠🐂 No time for bullshit. I speak the Truth🌊🇺🇸💪🤘🌊
#Taking🇺🇸back🌊🌊🌊🌊🌊🌊",,,False,130,650,0,Fri Dec 04 03:12:11 +0000 2020,3148,,,False,False,2804,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334697139100921859/0jdgs1wv_normal.jpg,https://pbs.twimg.com/profile_images/1334697139100921859/0jdgs1wv_normal.jpg,https://pbs.twimg.com/profile_banners/1334696877216968705/1607223795,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1334696877216968705,1334696877216968705,CAGE THE REPUBLICANS!,Kimberl22877704,In the Hot Zone in Texas,,"Blue Dem🌊🇺🇸for life. Grandmother of 3. 💜💙💙 Cowboys/Longhorns fan. 🤠🐂 No time for bullshit. I speak the Truth🌊🇺🇸💪🤘🌊
#Taking🇺🇸back🌊🌊🌊🌊🌊🌊",,,False,130,650,0,Fri Dec 04 03:12:11 +0000 2020,3148,,,False,False,2804,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Redpainter1', 'name': 'Red', 'id': 2881295272, 'id_str': '2881295272', 'indices': [0, 12]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334697139100921859/0jdgs1wv_normal.jpg,https://pbs.twimg.com/profile_images/1334697139100921859/0jdgs1wv_normal.jpg,https://pbs.twimg.com/profile_banners/1334696877216968705/1607223795,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1334696877216968705,1334696877216968705,CAGE THE REPUBLICANS!,Kimberl22877704,In the Hot Zone in Texas,,"Blue Dem🌊🇺🇸for life. Grandmother of 3. 💜💙💙 Cowboys/Longhorns fan. 🤠🐂 No time for bullshit. I speak the Truth🌊🇺🇸💪🤘🌊
#Taking🇺🇸back🌊🌊🌊🌊🌊🌊",,,False,130,650,0,Fri Dec 04 03:12:11 +0000 2020,3148,,,False,False,2804,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334697139100921859/0jdgs1wv_normal.jpg,https://pbs.twimg.com/profile_images/1334697139100921859/0jdgs1wv_normal.jpg,https://pbs.twimg.com/profile_banners/1334696877216968705/1607223795,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1334696877216968705,1334696877216968705,CAGE THE REPUBLICANS!,Kimberl22877704,In the Hot Zone in Texas,,"Blue Dem🌊🇺🇸for life. Grandmother of 3. 💜💙💙 Cowboys/Longhorns fan. 🤠🐂 No time for bullshit. I speak the Truth🌊🇺🇸💪🤘🌊
#Taking🇺🇸back🌊🌊🌊🌊🌊🌊",,,False,130,650,0,Fri Dec 04 03:12:11 +0000 2020,3148,,,False,False,2804,,1338854093679431682,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334697139100921859/0jdgs1wv_normal.jpg,https://pbs.twimg.com/profile_images/1334697139100921859/0jdgs1wv_normal.jpg,https://pbs.twimg.com/profile_banners/1334696877216968705/1607223795,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1334696877216968705,1334696877216968705,CAGE THE REPUBLICANS!,Kimberl22877704,In the Hot Zone in Texas,,"Blue Dem🌊🇺🇸for life. Grandmother of 3. 💜💙💙 Cowboys/Longhorns fan. 🤠🐂 No time for bullshit. I speak the Truth🌊🇺🇸💪🤘🌊
#Taking🇺🇸back🌊🌊🌊🌊🌊🌊",,,False,130,650,0,Fri Dec 04 03:12:11 +0000 2020,3148,,,False,False,2804,,1338854093679431682,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334697139100921859/0jdgs1wv_normal.jpg,https://pbs.twimg.com/profile_images/1334697139100921859/0jdgs1wv_normal.jpg,https://pbs.twimg.com/profile_banners/1334696877216968705/1607223795,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
