,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,961517940808941569,961517940808941569,Kindra - Dating App for Creatives,KindraConnect,"Los Angeles, CA",,"Beyond swiping, a new #datingapp to celebrate your uniqueness and meet kindred spirits ❤️. Join our community and virtual events.",https://t.co/sgEqae3cNd,"{'urls': [{'url': 'https://t.co/sgEqae3cNd', 'expanded_url': 'https://linktr.ee/KindraConnect', 'display_url': 'linktr.ee/KindraConnect', 'indices': [0, 23]}]}",False,137,490,1,Thu Feb 08 08:31:56 +0000 2018,3704,,,False,False,415,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1103128372689829888/s0YOCEVK_normal.png,https://pbs.twimg.com/profile_images/1103128372689829888/s0YOCEVK_normal.png,https://pbs.twimg.com/profile_banners/961517940808941569/1593044593,0B9390,000000,000000,000000,False,False,False,False,False,False,False,none
description,961517940808941569,961517940808941569,Kindra - Dating App for Creatives,KindraConnect,"Los Angeles, CA",,"Beyond swiping, a new #datingapp to celebrate your uniqueness and meet kindred spirits ❤️. Join our community and virtual events.",https://t.co/sgEqae3cNd,{'urls': []},False,137,490,1,Thu Feb 08 08:31:56 +0000 2018,3704,,,False,False,415,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1103128372689829888/s0YOCEVK_normal.png,https://pbs.twimg.com/profile_images/1103128372689829888/s0YOCEVK_normal.png,https://pbs.twimg.com/profile_banners/961517940808941569/1593044593,0B9390,000000,000000,000000,False,False,False,False,False,False,False,none
created_at,961517940808941569,961517940808941569,Kindra - Dating App for Creatives,KindraConnect,"Los Angeles, CA",,"Beyond swiping, a new #datingapp to celebrate your uniqueness and meet kindred spirits ❤️. Join our community and virtual events.",https://t.co/sgEqae3cNd,,False,137,490,1,Thu Feb 08 08:31:56 +0000 2018,3704,,,False,False,415,,Wed Dec 16 01:21:03 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1103128372689829888/s0YOCEVK_normal.png,https://pbs.twimg.com/profile_images/1103128372689829888/s0YOCEVK_normal.png,https://pbs.twimg.com/profile_banners/961517940808941569/1593044593,0B9390,000000,000000,000000,False,False,False,False,False,False,False,none
id,961517940808941569,961517940808941569,Kindra - Dating App for Creatives,KindraConnect,"Los Angeles, CA",,"Beyond swiping, a new #datingapp to celebrate your uniqueness and meet kindred spirits ❤️. Join our community and virtual events.",https://t.co/sgEqae3cNd,,False,137,490,1,Thu Feb 08 08:31:56 +0000 2018,3704,,,False,False,415,,1339017664241528841,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1103128372689829888/s0YOCEVK_normal.png,https://pbs.twimg.com/profile_images/1103128372689829888/s0YOCEVK_normal.png,https://pbs.twimg.com/profile_banners/961517940808941569/1593044593,0B9390,000000,000000,000000,False,False,False,False,False,False,False,none
id_str,961517940808941569,961517940808941569,Kindra - Dating App for Creatives,KindraConnect,"Los Angeles, CA",,"Beyond swiping, a new #datingapp to celebrate your uniqueness and meet kindred spirits ❤️. Join our community and virtual events.",https://t.co/sgEqae3cNd,,False,137,490,1,Thu Feb 08 08:31:56 +0000 2018,3704,,,False,False,415,,1339017664241528841,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1103128372689829888/s0YOCEVK_normal.png,https://pbs.twimg.com/profile_images/1103128372689829888/s0YOCEVK_normal.png,https://pbs.twimg.com/profile_banners/961517940808941569/1593044593,0B9390,000000,000000,000000,False,False,False,False,False,False,False,none
text,961517940808941569,961517940808941569,Kindra - Dating App for Creatives,KindraConnect,"Los Angeles, CA",,"Beyond swiping, a new #datingapp to celebrate your uniqueness and meet kindred spirits ❤️. Join our community and virtual events.",https://t.co/sgEqae3cNd,,False,137,490,1,Thu Feb 08 08:31:56 +0000 2018,3704,,,False,False,415,,"Join us for PolyTalk: The Language of Consent (Creating Safety and Fulfillment). Postponed from last week, this ses… https://t.co/qFyTQvU3gy",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1103128372689829888/s0YOCEVK_normal.png,https://pbs.twimg.com/profile_images/1103128372689829888/s0YOCEVK_normal.png,https://pbs.twimg.com/profile_banners/961517940808941569/1593044593,0B9390,000000,000000,000000,False,False,False,False,False,False,False,none
truncated,961517940808941569,961517940808941569,Kindra - Dating App for Creatives,KindraConnect,"Los Angeles, CA",,"Beyond swiping, a new #datingapp to celebrate your uniqueness and meet kindred spirits ❤️. Join our community and virtual events.",https://t.co/sgEqae3cNd,,False,137,490,1,Thu Feb 08 08:31:56 +0000 2018,3704,,,False,False,415,,True,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1103128372689829888/s0YOCEVK_normal.png,https://pbs.twimg.com/profile_images/1103128372689829888/s0YOCEVK_normal.png,https://pbs.twimg.com/profile_banners/961517940808941569/1593044593,0B9390,000000,000000,000000,False,False,False,False,False,False,False,none
entities,961517940808941569,961517940808941569,Kindra - Dating App for Creatives,KindraConnect,"Los Angeles, CA",,"Beyond swiping, a new #datingapp to celebrate your uniqueness and meet kindred spirits ❤️. Join our community and virtual events.",https://t.co/sgEqae3cNd,,False,137,490,1,Thu Feb 08 08:31:56 +0000 2018,3704,,,False,False,415,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/qFyTQvU3gy', 'expanded_url': 'https://twitter.com/i/web/status/1339017664241528841', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1103128372689829888/s0YOCEVK_normal.png,https://pbs.twimg.com/profile_images/1103128372689829888/s0YOCEVK_normal.png,https://pbs.twimg.com/profile_banners/961517940808941569/1593044593,0B9390,000000,000000,000000,False,False,False,False,False,False,False,none
source,961517940808941569,961517940808941569,Kindra - Dating App for Creatives,KindraConnect,"Los Angeles, CA",,"Beyond swiping, a new #datingapp to celebrate your uniqueness and meet kindred spirits ❤️. Join our community and virtual events.",https://t.co/sgEqae3cNd,,False,137,490,1,Thu Feb 08 08:31:56 +0000 2018,3704,,,False,False,415,,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1103128372689829888/s0YOCEVK_normal.png,https://pbs.twimg.com/profile_images/1103128372689829888/s0YOCEVK_normal.png,https://pbs.twimg.com/profile_banners/961517940808941569/1593044593,0B9390,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_status_id,961517940808941569,961517940808941569,Kindra - Dating App for Creatives,KindraConnect,"Los Angeles, CA",,"Beyond swiping, a new #datingapp to celebrate your uniqueness and meet kindred spirits ❤️. Join our community and virtual events.",https://t.co/sgEqae3cNd,,False,137,490,1,Thu Feb 08 08:31:56 +0000 2018,3704,,,False,False,415,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1103128372689829888/s0YOCEVK_normal.png,https://pbs.twimg.com/profile_images/1103128372689829888/s0YOCEVK_normal.png,https://pbs.twimg.com/profile_banners/961517940808941569/1593044593,0B9390,000000,000000,000000,False,False,False,False,False,False,False,none
