,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,190738008,190738008,"Phillip A. Batz, ~The Politics of Everything POE",LastWordSword,Your Zero Sector Introspector,,"You will now pursue Human  Complexity and Potential. 
Remember that Defense wins Championships, and right now, most of you are defenseless.",https://t.co/VR34eYmWEK,"{'urls': [{'url': 'https://t.co/VR34eYmWEK', 'expanded_url': 'http://phillipbatz.academia.edu', 'display_url': 'phillipbatz.academia.edu', 'indices': [0, 23]}]}",False,92,405,1,Tue Sep 14 18:26:34 +0000 2010,4502,,,True,False,7366,,,False,False,False,FFF04D,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1336585511075504131/reorUYKU_normal.jpg,https://pbs.twimg.com/profile_images/1336585511075504131/reorUYKU_normal.jpg,https://pbs.twimg.com/profile_banners/190738008/1607207094,981CEB,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
description,190738008,190738008,"Phillip A. Batz, ~The Politics of Everything POE",LastWordSword,Your Zero Sector Introspector,,"You will now pursue Human  Complexity and Potential. 
Remember that Defense wins Championships, and right now, most of you are defenseless.",https://t.co/VR34eYmWEK,{'urls': []},False,92,405,1,Tue Sep 14 18:26:34 +0000 2010,4502,,,True,False,7366,,,False,False,False,FFF04D,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1336585511075504131/reorUYKU_normal.jpg,https://pbs.twimg.com/profile_images/1336585511075504131/reorUYKU_normal.jpg,https://pbs.twimg.com/profile_banners/190738008/1607207094,981CEB,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
created_at,190738008,190738008,"Phillip A. Batz, ~The Politics of Everything POE",LastWordSword,Your Zero Sector Introspector,,"You will now pursue Human  Complexity and Potential. 
Remember that Defense wins Championships, and right now, most of you are defenseless.",https://t.co/VR34eYmWEK,,False,92,405,1,Tue Sep 14 18:26:34 +0000 2010,4502,,,True,False,7366,,Wed Dec 16 01:28:04 +0000 2020,False,False,False,FFF04D,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1336585511075504131/reorUYKU_normal.jpg,https://pbs.twimg.com/profile_images/1336585511075504131/reorUYKU_normal.jpg,https://pbs.twimg.com/profile_banners/190738008/1607207094,981CEB,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
id,190738008,190738008,"Phillip A. Batz, ~The Politics of Everything POE",LastWordSword,Your Zero Sector Introspector,,"You will now pursue Human  Complexity and Potential. 
Remember that Defense wins Championships, and right now, most of you are defenseless.",https://t.co/VR34eYmWEK,,False,92,405,1,Tue Sep 14 18:26:34 +0000 2010,4502,,,True,False,7366,,1339019429015908352,False,False,False,FFF04D,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1336585511075504131/reorUYKU_normal.jpg,https://pbs.twimg.com/profile_images/1336585511075504131/reorUYKU_normal.jpg,https://pbs.twimg.com/profile_banners/190738008/1607207094,981CEB,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
id_str,190738008,190738008,"Phillip A. Batz, ~The Politics of Everything POE",LastWordSword,Your Zero Sector Introspector,,"You will now pursue Human  Complexity and Potential. 
Remember that Defense wins Championships, and right now, most of you are defenseless.",https://t.co/VR34eYmWEK,,False,92,405,1,Tue Sep 14 18:26:34 +0000 2010,4502,,,True,False,7366,,1339019429015908352,False,False,False,FFF04D,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1336585511075504131/reorUYKU_normal.jpg,https://pbs.twimg.com/profile_images/1336585511075504131/reorUYKU_normal.jpg,https://pbs.twimg.com/profile_banners/190738008/1607207094,981CEB,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
text,190738008,190738008,"Phillip A. Batz, ~The Politics of Everything POE",LastWordSword,Your Zero Sector Introspector,,"You will now pursue Human  Complexity and Potential. 
Remember that Defense wins Championships, and right now, most of you are defenseless.",https://t.co/VR34eYmWEK,,False,92,405,1,Tue Sep 14 18:26:34 +0000 2010,4502,,,True,False,7366,,"@ancientlyric It's not enough that he outranked you in Academia, he had to deny you your superiority in physical at… https://t.co/OQ5Gn3N4v8",False,False,False,FFF04D,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1336585511075504131/reorUYKU_normal.jpg,https://pbs.twimg.com/profile_images/1336585511075504131/reorUYKU_normal.jpg,https://pbs.twimg.com/profile_banners/190738008/1607207094,981CEB,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
truncated,190738008,190738008,"Phillip A. Batz, ~The Politics of Everything POE",LastWordSword,Your Zero Sector Introspector,,"You will now pursue Human  Complexity and Potential. 
Remember that Defense wins Championships, and right now, most of you are defenseless.",https://t.co/VR34eYmWEK,,False,92,405,1,Tue Sep 14 18:26:34 +0000 2010,4502,,,True,False,7366,,True,False,False,False,FFF04D,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1336585511075504131/reorUYKU_normal.jpg,https://pbs.twimg.com/profile_images/1336585511075504131/reorUYKU_normal.jpg,https://pbs.twimg.com/profile_banners/190738008/1607207094,981CEB,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
entities,190738008,190738008,"Phillip A. Batz, ~The Politics of Everything POE",LastWordSword,Your Zero Sector Introspector,,"You will now pursue Human  Complexity and Potential. 
Remember that Defense wins Championships, and right now, most of you are defenseless.",https://t.co/VR34eYmWEK,,False,92,405,1,Tue Sep 14 18:26:34 +0000 2010,4502,,,True,False,7366,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ancientlyric', 'name': 'Ancientlyric', 'id': 1022894411728936960, 'id_str': '1022894411728936960', 'indices': [0, 13]}], 'urls': [{'url': 'https://t.co/OQ5Gn3N4v8', 'expanded_url': 'https://twitter.com/i/web/status/1339019429015908352', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",False,False,False,FFF04D,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1336585511075504131/reorUYKU_normal.jpg,https://pbs.twimg.com/profile_images/1336585511075504131/reorUYKU_normal.jpg,https://pbs.twimg.com/profile_banners/190738008/1607207094,981CEB,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
source,190738008,190738008,"Phillip A. Batz, ~The Politics of Everything POE",LastWordSword,Your Zero Sector Introspector,,"You will now pursue Human  Complexity and Potential. 
Remember that Defense wins Championships, and right now, most of you are defenseless.",https://t.co/VR34eYmWEK,,False,92,405,1,Tue Sep 14 18:26:34 +0000 2010,4502,,,True,False,7366,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,FFF04D,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1336585511075504131/reorUYKU_normal.jpg,https://pbs.twimg.com/profile_images/1336585511075504131/reorUYKU_normal.jpg,https://pbs.twimg.com/profile_banners/190738008/1607207094,981CEB,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
in_reply_to_status_id,190738008,190738008,"Phillip A. Batz, ~The Politics of Everything POE",LastWordSword,Your Zero Sector Introspector,,"You will now pursue Human  Complexity and Potential. 
Remember that Defense wins Championships, and right now, most of you are defenseless.",https://t.co/VR34eYmWEK,,False,92,405,1,Tue Sep 14 18:26:34 +0000 2010,4502,,,True,False,7366,,1339012727814012928,False,False,False,FFF04D,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1336585511075504131/reorUYKU_normal.jpg,https://pbs.twimg.com/profile_images/1336585511075504131/reorUYKU_normal.jpg,https://pbs.twimg.com/profile_banners/190738008/1607207094,981CEB,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
