,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,2835029426,2835029426,MMcNallyLuthierie,McnallyLuthier,Grandville,,"Repairs and custom builds for all of your stringed instrument needs. I repair all strings and my customs are primarily guitar, bass, and mandolin.",https://t.co/iIqzdA0r7q,"{'urls': [{'url': 'https://t.co/iIqzdA0r7q', 'expanded_url': 'http://www.mcnallyluthier.com', 'display_url': 'mcnallyluthier.com', 'indices': [0, 23]}]}",False,779,4076,5,Sun Sep 28 12:26:21 +0000 2014,113,,,True,False,691,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/917072784639000577/NqmEA3Bh_normal.jpg,https://pbs.twimg.com/profile_images/917072784639000577/NqmEA3Bh_normal.jpg,https://pbs.twimg.com/profile_banners/2835029426/1412120680,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,2835029426,2835029426,MMcNallyLuthierie,McnallyLuthier,Grandville,,"Repairs and custom builds for all of your stringed instrument needs. I repair all strings and my customs are primarily guitar, bass, and mandolin.",https://t.co/iIqzdA0r7q,{'urls': []},False,779,4076,5,Sun Sep 28 12:26:21 +0000 2014,113,,,True,False,691,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/917072784639000577/NqmEA3Bh_normal.jpg,https://pbs.twimg.com/profile_images/917072784639000577/NqmEA3Bh_normal.jpg,https://pbs.twimg.com/profile_banners/2835029426/1412120680,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,2835029426,2835029426,MMcNallyLuthierie,McnallyLuthier,Grandville,,"Repairs and custom builds for all of your stringed instrument needs. I repair all strings and my customs are primarily guitar, bass, and mandolin.",https://t.co/iIqzdA0r7q,,False,779,4076,5,Sun Sep 28 12:26:21 +0000 2014,113,,,True,False,691,,Wed Dec 16 01:21:04 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/917072784639000577/NqmEA3Bh_normal.jpg,https://pbs.twimg.com/profile_images/917072784639000577/NqmEA3Bh_normal.jpg,https://pbs.twimg.com/profile_banners/2835029426/1412120680,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,2835029426,2835029426,MMcNallyLuthierie,McnallyLuthier,Grandville,,"Repairs and custom builds for all of your stringed instrument needs. I repair all strings and my customs are primarily guitar, bass, and mandolin.",https://t.co/iIqzdA0r7q,,False,779,4076,5,Sun Sep 28 12:26:21 +0000 2014,113,,,True,False,691,,1339017669543157764,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/917072784639000577/NqmEA3Bh_normal.jpg,https://pbs.twimg.com/profile_images/917072784639000577/NqmEA3Bh_normal.jpg,https://pbs.twimg.com/profile_banners/2835029426/1412120680,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,2835029426,2835029426,MMcNallyLuthierie,McnallyLuthier,Grandville,,"Repairs and custom builds for all of your stringed instrument needs. I repair all strings and my customs are primarily guitar, bass, and mandolin.",https://t.co/iIqzdA0r7q,,False,779,4076,5,Sun Sep 28 12:26:21 +0000 2014,113,,,True,False,691,,1339017669543157764,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/917072784639000577/NqmEA3Bh_normal.jpg,https://pbs.twimg.com/profile_images/917072784639000577/NqmEA3Bh_normal.jpg,https://pbs.twimg.com/profile_banners/2835029426/1412120680,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,2835029426,2835029426,MMcNallyLuthierie,McnallyLuthier,Grandville,,"Repairs and custom builds for all of your stringed instrument needs. I repair all strings and my customs are primarily guitar, bass, and mandolin.",https://t.co/iIqzdA0r7q,,False,779,4076,5,Sun Sep 28 12:26:21 +0000 2014,113,,,True,False,691,,"You guys have been such good little boys and girls that as a Christmas gift to you, you will get 2 videos this week… https://t.co/N2ABLkmDMN",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/917072784639000577/NqmEA3Bh_normal.jpg,https://pbs.twimg.com/profile_images/917072784639000577/NqmEA3Bh_normal.jpg,https://pbs.twimg.com/profile_banners/2835029426/1412120680,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,2835029426,2835029426,MMcNallyLuthierie,McnallyLuthier,Grandville,,"Repairs and custom builds for all of your stringed instrument needs. I repair all strings and my customs are primarily guitar, bass, and mandolin.",https://t.co/iIqzdA0r7q,,False,779,4076,5,Sun Sep 28 12:26:21 +0000 2014,113,,,True,False,691,,True,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/917072784639000577/NqmEA3Bh_normal.jpg,https://pbs.twimg.com/profile_images/917072784639000577/NqmEA3Bh_normal.jpg,https://pbs.twimg.com/profile_banners/2835029426/1412120680,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,2835029426,2835029426,MMcNallyLuthierie,McnallyLuthier,Grandville,,"Repairs and custom builds for all of your stringed instrument needs. I repair all strings and my customs are primarily guitar, bass, and mandolin.",https://t.co/iIqzdA0r7q,,False,779,4076,5,Sun Sep 28 12:26:21 +0000 2014,113,,,True,False,691,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/N2ABLkmDMN', 'expanded_url': 'https://twitter.com/i/web/status/1339017669543157764', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/917072784639000577/NqmEA3Bh_normal.jpg,https://pbs.twimg.com/profile_images/917072784639000577/NqmEA3Bh_normal.jpg,https://pbs.twimg.com/profile_banners/2835029426/1412120680,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,2835029426,2835029426,MMcNallyLuthierie,McnallyLuthier,Grandville,,"Repairs and custom builds for all of your stringed instrument needs. I repair all strings and my customs are primarily guitar, bass, and mandolin.",https://t.co/iIqzdA0r7q,,False,779,4076,5,Sun Sep 28 12:26:21 +0000 2014,113,,,True,False,691,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/917072784639000577/NqmEA3Bh_normal.jpg,https://pbs.twimg.com/profile_images/917072784639000577/NqmEA3Bh_normal.jpg,https://pbs.twimg.com/profile_banners/2835029426/1412120680,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,2835029426,2835029426,MMcNallyLuthierie,McnallyLuthier,Grandville,,"Repairs and custom builds for all of your stringed instrument needs. I repair all strings and my customs are primarily guitar, bass, and mandolin.",https://t.co/iIqzdA0r7q,,False,779,4076,5,Sun Sep 28 12:26:21 +0000 2014,113,,,True,False,691,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/917072784639000577/NqmEA3Bh_normal.jpg,https://pbs.twimg.com/profile_images/917072784639000577/NqmEA3Bh_normal.jpg,https://pbs.twimg.com/profile_banners/2835029426/1412120680,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,2835029426,2835029426,MMcNallyLuthierie,McnallyLuthier,Grandville,,"Repairs and custom builds for all of your stringed instrument needs. I repair all strings and my customs are primarily guitar, bass, and mandolin.",https://t.co/iIqzdA0r7q,,False,779,4076,5,Sun Sep 28 12:26:21 +0000 2014,113,,,True,False,691,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/917072784639000577/NqmEA3Bh_normal.jpg,https://pbs.twimg.com/profile_images/917072784639000577/NqmEA3Bh_normal.jpg,https://pbs.twimg.com/profile_banners/2835029426/1412120680,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,2835029426,2835029426,MMcNallyLuthierie,McnallyLuthier,Grandville,,"Repairs and custom builds for all of your stringed instrument needs. I repair all strings and my customs are primarily guitar, bass, and mandolin.",https://t.co/iIqzdA0r7q,,False,779,4076,5,Sun Sep 28 12:26:21 +0000 2014,113,,,True,False,691,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/917072784639000577/NqmEA3Bh_normal.jpg,https://pbs.twimg.com/profile_images/917072784639000577/NqmEA3Bh_normal.jpg,https://pbs.twimg.com/profile_banners/2835029426/1412120680,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
