,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1319077868287250434,1319077868287250434,Mini,MiniMichael09,,,"I have a YouTube channel like every other person on this planet
https://t.co/r3pZqOG1dc",,"{'urls': [{'url': 'https://t.co/r3pZqOG1dc', 'expanded_url': 'https://www.youtube.com/channel/UCwN1NqbzCl55BJHHUEmzo9g?view_as=subscriber', 'display_url': 'youtube.com/channel/UCwN1N…', 'indices': [64, 87]}]}",False,4,35,0,Thu Oct 22 00:47:38 +0000 2020,22,,,False,False,25,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319357086149595136/TwhJk5ms_normal.jpg,https://pbs.twimg.com/profile_images/1319357086149595136/TwhJk5ms_normal.jpg,https://pbs.twimg.com/profile_banners/1319077868287250434/1603327909,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1319077868287250434,1319077868287250434,Mini,MiniMichael09,,,"I have a YouTube channel like every other person on this planet
https://t.co/r3pZqOG1dc",,,False,4,35,0,Thu Oct 22 00:47:38 +0000 2020,22,,,False,False,25,,Wed Dec 16 01:21:06 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319357086149595136/TwhJk5ms_normal.jpg,https://pbs.twimg.com/profile_images/1319357086149595136/TwhJk5ms_normal.jpg,https://pbs.twimg.com/profile_banners/1319077868287250434/1603327909,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1319077868287250434,1319077868287250434,Mini,MiniMichael09,,,"I have a YouTube channel like every other person on this planet
https://t.co/r3pZqOG1dc",,,False,4,35,0,Thu Oct 22 00:47:38 +0000 2020,22,,,False,False,25,,1339017674609790976,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319357086149595136/TwhJk5ms_normal.jpg,https://pbs.twimg.com/profile_images/1319357086149595136/TwhJk5ms_normal.jpg,https://pbs.twimg.com/profile_banners/1319077868287250434/1603327909,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1319077868287250434,1319077868287250434,Mini,MiniMichael09,,,"I have a YouTube channel like every other person on this planet
https://t.co/r3pZqOG1dc",,,False,4,35,0,Thu Oct 22 00:47:38 +0000 2020,22,,,False,False,25,,1339017674609790976,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319357086149595136/TwhJk5ms_normal.jpg,https://pbs.twimg.com/profile_images/1319357086149595136/TwhJk5ms_normal.jpg,https://pbs.twimg.com/profile_banners/1319077868287250434/1603327909,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1319077868287250434,1319077868287250434,Mini,MiniMichael09,,,"I have a YouTube channel like every other person on this planet
https://t.co/r3pZqOG1dc",,,False,4,35,0,Thu Oct 22 00:47:38 +0000 2020,22,,,False,False,25,,Cyberpunk 2077 Live!!! Plus Maybe some chat with the bois https://t.co/FQdFtplMVc,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319357086149595136/TwhJk5ms_normal.jpg,https://pbs.twimg.com/profile_images/1319357086149595136/TwhJk5ms_normal.jpg,https://pbs.twimg.com/profile_banners/1319077868287250434/1603327909,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1319077868287250434,1319077868287250434,Mini,MiniMichael09,,,"I have a YouTube channel like every other person on this planet
https://t.co/r3pZqOG1dc",,,False,4,35,0,Thu Oct 22 00:47:38 +0000 2020,22,,,False,False,25,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319357086149595136/TwhJk5ms_normal.jpg,https://pbs.twimg.com/profile_images/1319357086149595136/TwhJk5ms_normal.jpg,https://pbs.twimg.com/profile_banners/1319077868287250434/1603327909,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1319077868287250434,1319077868287250434,Mini,MiniMichael09,,,"I have a YouTube channel like every other person on this planet
https://t.co/r3pZqOG1dc",,,False,4,35,0,Thu Oct 22 00:47:38 +0000 2020,22,,,False,False,25,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/FQdFtplMVc', 'expanded_url': 'https://streamlabs.com/mini-michael/home', 'display_url': 'streamlabs.com/mini-michael/h…', 'indices': [58, 81]}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319357086149595136/TwhJk5ms_normal.jpg,https://pbs.twimg.com/profile_images/1319357086149595136/TwhJk5ms_normal.jpg,https://pbs.twimg.com/profile_banners/1319077868287250434/1603327909,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1319077868287250434,1319077868287250434,Mini,MiniMichael09,,,"I have a YouTube channel like every other person on this planet
https://t.co/r3pZqOG1dc",,,False,4,35,0,Thu Oct 22 00:47:38 +0000 2020,22,,,False,False,25,,"<a href=""https://streamlabs.com"" rel=""nofollow"">Streamlabs Twitter</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319357086149595136/TwhJk5ms_normal.jpg,https://pbs.twimg.com/profile_images/1319357086149595136/TwhJk5ms_normal.jpg,https://pbs.twimg.com/profile_banners/1319077868287250434/1603327909,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1319077868287250434,1319077868287250434,Mini,MiniMichael09,,,"I have a YouTube channel like every other person on this planet
https://t.co/r3pZqOG1dc",,,False,4,35,0,Thu Oct 22 00:47:38 +0000 2020,22,,,False,False,25,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319357086149595136/TwhJk5ms_normal.jpg,https://pbs.twimg.com/profile_images/1319357086149595136/TwhJk5ms_normal.jpg,https://pbs.twimg.com/profile_banners/1319077868287250434/1603327909,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1319077868287250434,1319077868287250434,Mini,MiniMichael09,,,"I have a YouTube channel like every other person on this planet
https://t.co/r3pZqOG1dc",,,False,4,35,0,Thu Oct 22 00:47:38 +0000 2020,22,,,False,False,25,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319357086149595136/TwhJk5ms_normal.jpg,https://pbs.twimg.com/profile_images/1319357086149595136/TwhJk5ms_normal.jpg,https://pbs.twimg.com/profile_banners/1319077868287250434/1603327909,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
