,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,74075545,74075545,George,Nipperflip_99,,,#MAGA- !! CLEAN THE SWAMP ! SAVE THE CHILDREN ! I thank all the VETS for your service & bravery to keep us free & safe. . #KAG 😎,,{'urls': []},False,5591,5609,7,Mon Sep 14 04:50:48 +0000 2009,5035,,,False,False,39166,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/846049390942834689/dxCZ8gQT_normal.jpg,https://pbs.twimg.com/profile_images/846049390942834689/dxCZ8gQT_normal.jpg,https://pbs.twimg.com/profile_banners/74075545/1480539943,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
created_at,74075545,74075545,George,Nipperflip_99,,,#MAGA- !! CLEAN THE SWAMP ! SAVE THE CHILDREN ! I thank all the VETS for your service & bravery to keep us free & safe. . #KAG 😎,,,False,5591,5609,7,Mon Sep 14 04:50:48 +0000 2009,5035,,,False,False,39166,,Wed Dec 16 02:51:25 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/846049390942834689/dxCZ8gQT_normal.jpg,https://pbs.twimg.com/profile_images/846049390942834689/dxCZ8gQT_normal.jpg,https://pbs.twimg.com/profile_banners/74075545/1480539943,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
id,74075545,74075545,George,Nipperflip_99,,,#MAGA- !! CLEAN THE SWAMP ! SAVE THE CHILDREN ! I thank all the VETS for your service & bravery to keep us free & safe. . #KAG 😎,,,False,5591,5609,7,Mon Sep 14 04:50:48 +0000 2009,5035,,,False,False,39166,,1339040405027897344,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/846049390942834689/dxCZ8gQT_normal.jpg,https://pbs.twimg.com/profile_images/846049390942834689/dxCZ8gQT_normal.jpg,https://pbs.twimg.com/profile_banners/74075545/1480539943,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
id_str,74075545,74075545,George,Nipperflip_99,,,#MAGA- !! CLEAN THE SWAMP ! SAVE THE CHILDREN ! I thank all the VETS for your service & bravery to keep us free & safe. . #KAG 😎,,,False,5591,5609,7,Mon Sep 14 04:50:48 +0000 2009,5035,,,False,False,39166,,1339040405027897344,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/846049390942834689/dxCZ8gQT_normal.jpg,https://pbs.twimg.com/profile_images/846049390942834689/dxCZ8gQT_normal.jpg,https://pbs.twimg.com/profile_banners/74075545/1480539943,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
text,74075545,74075545,George,Nipperflip_99,,,#MAGA- !! CLEAN THE SWAMP ! SAVE THE CHILDREN ! I thank all the VETS for your service & bravery to keep us free & safe. . #KAG 😎,,,False,5591,5609,7,Mon Sep 14 04:50:48 +0000 2009,5035,,,False,False,39166,,Gained 7 followers and lost 10 (stats by https://t.co/Z5sFuGA9fN),False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/846049390942834689/dxCZ8gQT_normal.jpg,https://pbs.twimg.com/profile_images/846049390942834689/dxCZ8gQT_normal.jpg,https://pbs.twimg.com/profile_banners/74075545/1480539943,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
truncated,74075545,74075545,George,Nipperflip_99,,,#MAGA- !! CLEAN THE SWAMP ! SAVE THE CHILDREN ! I thank all the VETS for your service & bravery to keep us free & safe. . #KAG 😎,,,False,5591,5609,7,Mon Sep 14 04:50:48 +0000 2009,5035,,,False,False,39166,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/846049390942834689/dxCZ8gQT_normal.jpg,https://pbs.twimg.com/profile_images/846049390942834689/dxCZ8gQT_normal.jpg,https://pbs.twimg.com/profile_banners/74075545/1480539943,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
entities,74075545,74075545,George,Nipperflip_99,,,#MAGA- !! CLEAN THE SWAMP ! SAVE THE CHILDREN ! I thank all the VETS for your service & bravery to keep us free & safe. . #KAG 😎,,,False,5591,5609,7,Mon Sep 14 04:50:48 +0000 2009,5035,,,False,False,39166,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Z5sFuGA9fN', 'expanded_url': 'http://unfollowspy.com', 'display_url': 'unfollowspy.com', 'indices': [41, 64]}]}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/846049390942834689/dxCZ8gQT_normal.jpg,https://pbs.twimg.com/profile_images/846049390942834689/dxCZ8gQT_normal.jpg,https://pbs.twimg.com/profile_banners/74075545/1480539943,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
source,74075545,74075545,George,Nipperflip_99,,,#MAGA- !! CLEAN THE SWAMP ! SAVE THE CHILDREN ! I thank all the VETS for your service & bravery to keep us free & safe. . #KAG 😎,,,False,5591,5609,7,Mon Sep 14 04:50:48 +0000 2009,5035,,,False,False,39166,,"<a href=""https://www.unfollowspy.com"" rel=""nofollow"">Unfollowspy</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/846049390942834689/dxCZ8gQT_normal.jpg,https://pbs.twimg.com/profile_images/846049390942834689/dxCZ8gQT_normal.jpg,https://pbs.twimg.com/profile_banners/74075545/1480539943,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_status_id,74075545,74075545,George,Nipperflip_99,,,#MAGA- !! CLEAN THE SWAMP ! SAVE THE CHILDREN ! I thank all the VETS for your service & bravery to keep us free & safe. . #KAG 😎,,,False,5591,5609,7,Mon Sep 14 04:50:48 +0000 2009,5035,,,False,False,39166,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/846049390942834689/dxCZ8gQT_normal.jpg,https://pbs.twimg.com/profile_images/846049390942834689/dxCZ8gQT_normal.jpg,https://pbs.twimg.com/profile_banners/74075545/1480539943,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_status_id_str,74075545,74075545,George,Nipperflip_99,,,#MAGA- !! CLEAN THE SWAMP ! SAVE THE CHILDREN ! I thank all the VETS for your service & bravery to keep us free & safe. . #KAG 😎,,,False,5591,5609,7,Mon Sep 14 04:50:48 +0000 2009,5035,,,False,False,39166,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/846049390942834689/dxCZ8gQT_normal.jpg,https://pbs.twimg.com/profile_images/846049390942834689/dxCZ8gQT_normal.jpg,https://pbs.twimg.com/profile_banners/74075545/1480539943,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
