,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,726049577581838336,726049577581838336,Brandon🇺🇸🏃🏾💨,NsVengence,United States,,Tiffin T&F | Broward🏝 #954 | MSD '17| #MSDStrong •2x NCAA qualifier •4x Conference Champ,https://t.co/DZ461tMUNU,"{'urls': [{'url': 'https://t.co/DZ461tMUNU', 'expanded_url': 'http://twitch.tv/nsvengence', 'display_url': 'twitch.tv/nsvengence', 'indices': [0, 23]}]}",False,285,225,3,Fri Apr 29 14:04:43 +0000 2016,1539,,,False,False,715,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1250933526637293574/FugR5j4Z_normal.jpg,https://pbs.twimg.com/profile_images/1250933526637293574/FugR5j4Z_normal.jpg,https://pbs.twimg.com/profile_banners/726049577581838336/1594179536,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,726049577581838336,726049577581838336,Brandon🇺🇸🏃🏾💨,NsVengence,United States,,Tiffin T&F | Broward🏝 #954 | MSD '17| #MSDStrong •2x NCAA qualifier •4x Conference Champ,https://t.co/DZ461tMUNU,{'urls': []},False,285,225,3,Fri Apr 29 14:04:43 +0000 2016,1539,,,False,False,715,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1250933526637293574/FugR5j4Z_normal.jpg,https://pbs.twimg.com/profile_images/1250933526637293574/FugR5j4Z_normal.jpg,https://pbs.twimg.com/profile_banners/726049577581838336/1594179536,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,726049577581838336,726049577581838336,Brandon🇺🇸🏃🏾💨,NsVengence,United States,,Tiffin T&F | Broward🏝 #954 | MSD '17| #MSDStrong •2x NCAA qualifier •4x Conference Champ,https://t.co/DZ461tMUNU,,False,285,225,3,Fri Apr 29 14:04:43 +0000 2016,1539,,,False,False,715,,Wed Dec 16 01:21:04 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1250933526637293574/FugR5j4Z_normal.jpg,https://pbs.twimg.com/profile_images/1250933526637293574/FugR5j4Z_normal.jpg,https://pbs.twimg.com/profile_banners/726049577581838336/1594179536,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,726049577581838336,726049577581838336,Brandon🇺🇸🏃🏾💨,NsVengence,United States,,Tiffin T&F | Broward🏝 #954 | MSD '17| #MSDStrong •2x NCAA qualifier •4x Conference Champ,https://t.co/DZ461tMUNU,,False,285,225,3,Fri Apr 29 14:04:43 +0000 2016,1539,,,False,False,715,,1339017666988797953,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1250933526637293574/FugR5j4Z_normal.jpg,https://pbs.twimg.com/profile_images/1250933526637293574/FugR5j4Z_normal.jpg,https://pbs.twimg.com/profile_banners/726049577581838336/1594179536,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,726049577581838336,726049577581838336,Brandon🇺🇸🏃🏾💨,NsVengence,United States,,Tiffin T&F | Broward🏝 #954 | MSD '17| #MSDStrong •2x NCAA qualifier •4x Conference Champ,https://t.co/DZ461tMUNU,,False,285,225,3,Fri Apr 29 14:04:43 +0000 2016,1539,,,False,False,715,,1339017666988797953,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1250933526637293574/FugR5j4Z_normal.jpg,https://pbs.twimg.com/profile_images/1250933526637293574/FugR5j4Z_normal.jpg,https://pbs.twimg.com/profile_banners/726049577581838336/1594179536,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,726049577581838336,726049577581838336,Brandon🇺🇸🏃🏾💨,NsVengence,United States,,Tiffin T&F | Broward🏝 #954 | MSD '17| #MSDStrong •2x NCAA qualifier •4x Conference Champ,https://t.co/DZ461tMUNU,,False,285,225,3,Fri Apr 29 14:04:43 +0000 2016,1539,,,False,False,715,,"Last day before the update!!!

slide in here

https://t.co/vJSo8LbIKu",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1250933526637293574/FugR5j4Z_normal.jpg,https://pbs.twimg.com/profile_images/1250933526637293574/FugR5j4Z_normal.jpg,https://pbs.twimg.com/profile_banners/726049577581838336/1594179536,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,726049577581838336,726049577581838336,Brandon🇺🇸🏃🏾💨,NsVengence,United States,,Tiffin T&F | Broward🏝 #954 | MSD '17| #MSDStrong •2x NCAA qualifier •4x Conference Champ,https://t.co/DZ461tMUNU,,False,285,225,3,Fri Apr 29 14:04:43 +0000 2016,1539,,,False,False,715,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1250933526637293574/FugR5j4Z_normal.jpg,https://pbs.twimg.com/profile_images/1250933526637293574/FugR5j4Z_normal.jpg,https://pbs.twimg.com/profile_banners/726049577581838336/1594179536,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,726049577581838336,726049577581838336,Brandon🇺🇸🏃🏾💨,NsVengence,United States,,Tiffin T&F | Broward🏝 #954 | MSD '17| #MSDStrong •2x NCAA qualifier •4x Conference Champ,https://t.co/DZ461tMUNU,,False,285,225,3,Fri Apr 29 14:04:43 +0000 2016,1539,,,False,False,715,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/vJSo8LbIKu', 'expanded_url': 'https://www.twitch.tv/nsvengence', 'display_url': 'twitch.tv/nsvengence', 'indices': [46, 69]}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1250933526637293574/FugR5j4Z_normal.jpg,https://pbs.twimg.com/profile_images/1250933526637293574/FugR5j4Z_normal.jpg,https://pbs.twimg.com/profile_banners/726049577581838336/1594179536,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,726049577581838336,726049577581838336,Brandon🇺🇸🏃🏾💨,NsVengence,United States,,Tiffin T&F | Broward🏝 #954 | MSD '17| #MSDStrong •2x NCAA qualifier •4x Conference Champ,https://t.co/DZ461tMUNU,,False,285,225,3,Fri Apr 29 14:04:43 +0000 2016,1539,,,False,False,715,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1250933526637293574/FugR5j4Z_normal.jpg,https://pbs.twimg.com/profile_images/1250933526637293574/FugR5j4Z_normal.jpg,https://pbs.twimg.com/profile_banners/726049577581838336/1594179536,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,726049577581838336,726049577581838336,Brandon🇺🇸🏃🏾💨,NsVengence,United States,,Tiffin T&F | Broward🏝 #954 | MSD '17| #MSDStrong •2x NCAA qualifier •4x Conference Champ,https://t.co/DZ461tMUNU,,False,285,225,3,Fri Apr 29 14:04:43 +0000 2016,1539,,,False,False,715,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1250933526637293574/FugR5j4Z_normal.jpg,https://pbs.twimg.com/profile_images/1250933526637293574/FugR5j4Z_normal.jpg,https://pbs.twimg.com/profile_banners/726049577581838336/1594179536,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
