,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1193706962,1193706962,Max Quinn 🌧️,PDX,PDX,,"The Official Twitter Account of the Anarchistic Jurisdiction of Portland, Or resident Max Quinn",,{'urls': []},False,236,632,8,Mon Feb 18 15:57:25 +0000 2013,3558,,,True,False,1644,,,False,False,False,F5F8FA,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/738012666292117505/39AZcTXx_normal.jpg,https://pbs.twimg.com/profile_images/738012666292117505/39AZcTXx_normal.jpg,https://pbs.twimg.com/profile_banners/1193706962/1409971661,0084B4,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,regular
created_at,1193706962,1193706962,Max Quinn 🌧️,PDX,PDX,,"The Official Twitter Account of the Anarchistic Jurisdiction of Portland, Or resident Max Quinn",,,False,236,632,8,Mon Feb 18 15:57:25 +0000 2013,3558,,,True,False,1644,,Wed Dec 16 01:21:02 +0000 2020,False,False,False,F5F8FA,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/738012666292117505/39AZcTXx_normal.jpg,https://pbs.twimg.com/profile_images/738012666292117505/39AZcTXx_normal.jpg,https://pbs.twimg.com/profile_banners/1193706962/1409971661,0084B4,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,regular
id,1193706962,1193706962,Max Quinn 🌧️,PDX,PDX,,"The Official Twitter Account of the Anarchistic Jurisdiction of Portland, Or resident Max Quinn",,,False,236,632,8,Mon Feb 18 15:57:25 +0000 2013,3558,,,True,False,1644,,1339017658944036864,False,False,False,F5F8FA,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/738012666292117505/39AZcTXx_normal.jpg,https://pbs.twimg.com/profile_images/738012666292117505/39AZcTXx_normal.jpg,https://pbs.twimg.com/profile_banners/1193706962/1409971661,0084B4,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,regular
id_str,1193706962,1193706962,Max Quinn 🌧️,PDX,PDX,,"The Official Twitter Account of the Anarchistic Jurisdiction of Portland, Or resident Max Quinn",,,False,236,632,8,Mon Feb 18 15:57:25 +0000 2013,3558,,,True,False,1644,,1339017658944036864,False,False,False,F5F8FA,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/738012666292117505/39AZcTXx_normal.jpg,https://pbs.twimg.com/profile_images/738012666292117505/39AZcTXx_normal.jpg,https://pbs.twimg.com/profile_banners/1193706962/1409971661,0084B4,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,regular
text,1193706962,1193706962,Max Quinn 🌧️,PDX,PDX,,"The Official Twitter Account of the Anarchistic Jurisdiction of Portland, Or resident Max Quinn",,,False,236,632,8,Mon Feb 18 15:57:25 +0000 2013,3558,,,True,False,1644,,@mfriesen @_Brad_Schmidt If only gov Brown had personally jabbed an off duty nurse as soon as the truck arrived.,False,False,False,F5F8FA,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/738012666292117505/39AZcTXx_normal.jpg,https://pbs.twimg.com/profile_images/738012666292117505/39AZcTXx_normal.jpg,https://pbs.twimg.com/profile_banners/1193706962/1409971661,0084B4,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,regular
truncated,1193706962,1193706962,Max Quinn 🌧️,PDX,PDX,,"The Official Twitter Account of the Anarchistic Jurisdiction of Portland, Or resident Max Quinn",,,False,236,632,8,Mon Feb 18 15:57:25 +0000 2013,3558,,,True,False,1644,,False,False,False,False,F5F8FA,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/738012666292117505/39AZcTXx_normal.jpg,https://pbs.twimg.com/profile_images/738012666292117505/39AZcTXx_normal.jpg,https://pbs.twimg.com/profile_banners/1193706962/1409971661,0084B4,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,regular
entities,1193706962,1193706962,Max Quinn 🌧️,PDX,PDX,,"The Official Twitter Account of the Anarchistic Jurisdiction of Portland, Or resident Max Quinn",,,False,236,632,8,Mon Feb 18 15:57:25 +0000 2013,3558,,,True,False,1644,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mfriesen', 'name': 'Mark Friesen', 'id': 623213, 'id_str': '623213', 'indices': [0, 9]}, {'screen_name': '_Brad_Schmidt', 'name': 'Brad Schmidt', 'id': 794901559, 'id_str': '794901559', 'indices': [10, 24]}], 'urls': []}",False,False,False,F5F8FA,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/738012666292117505/39AZcTXx_normal.jpg,https://pbs.twimg.com/profile_images/738012666292117505/39AZcTXx_normal.jpg,https://pbs.twimg.com/profile_banners/1193706962/1409971661,0084B4,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,regular
source,1193706962,1193706962,Max Quinn 🌧️,PDX,PDX,,"The Official Twitter Account of the Anarchistic Jurisdiction of Portland, Or resident Max Quinn",,,False,236,632,8,Mon Feb 18 15:57:25 +0000 2013,3558,,,True,False,1644,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,F5F8FA,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/738012666292117505/39AZcTXx_normal.jpg,https://pbs.twimg.com/profile_images/738012666292117505/39AZcTXx_normal.jpg,https://pbs.twimg.com/profile_banners/1193706962/1409971661,0084B4,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,regular
in_reply_to_status_id,1193706962,1193706962,Max Quinn 🌧️,PDX,PDX,,"The Official Twitter Account of the Anarchistic Jurisdiction of Portland, Or resident Max Quinn",,,False,236,632,8,Mon Feb 18 15:57:25 +0000 2013,3558,,,True,False,1644,,1339003925546975233,False,False,False,F5F8FA,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/738012666292117505/39AZcTXx_normal.jpg,https://pbs.twimg.com/profile_images/738012666292117505/39AZcTXx_normal.jpg,https://pbs.twimg.com/profile_banners/1193706962/1409971661,0084B4,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,regular
in_reply_to_status_id_str,1193706962,1193706962,Max Quinn 🌧️,PDX,PDX,,"The Official Twitter Account of the Anarchistic Jurisdiction of Portland, Or resident Max Quinn",,,False,236,632,8,Mon Feb 18 15:57:25 +0000 2013,3558,,,True,False,1644,,1339003925546975233,False,False,False,F5F8FA,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/738012666292117505/39AZcTXx_normal.jpg,https://pbs.twimg.com/profile_images/738012666292117505/39AZcTXx_normal.jpg,https://pbs.twimg.com/profile_banners/1193706962/1409971661,0084B4,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,regular
