,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1185006447995822080,1185006447995822080,Gabe,TanakaComeback,"New York, New York ",,Masahiro Tanaka superfan | baseball is fun,,{'urls': []},False,3963,2949,49,Fri Oct 18 01:35:36 +0000 2019,60963,,,True,False,32151,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_banners/1185006447995822080/1607999534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1185006447995822080,1185006447995822080,Gabe,TanakaComeback,"New York, New York ",,Masahiro Tanaka superfan | baseball is fun,,,False,3963,2949,49,Fri Oct 18 01:35:36 +0000 2019,60963,,,True,False,32151,,Wed Dec 16 04:18:24 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_banners/1185006447995822080/1607999534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1185006447995822080,1185006447995822080,Gabe,TanakaComeback,"New York, New York ",,Masahiro Tanaka superfan | baseball is fun,,,False,3963,2949,49,Fri Oct 18 01:35:36 +0000 2019,60963,,,True,False,32151,,1339062296178470912,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_banners/1185006447995822080/1607999534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1185006447995822080,1185006447995822080,Gabe,TanakaComeback,"New York, New York ",,Masahiro Tanaka superfan | baseball is fun,,,False,3963,2949,49,Fri Oct 18 01:35:36 +0000 2019,60963,,,True,False,32151,,1339062296178470912,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_banners/1185006447995822080/1607999534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1185006447995822080,1185006447995822080,Gabe,TanakaComeback,"New York, New York ",,Masahiro Tanaka superfan | baseball is fun,,,False,3963,2949,49,Fri Oct 18 01:35:36 +0000 2019,60963,,,True,False,32151,,@papa_cole45 The game of Gio,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_banners/1185006447995822080/1607999534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1185006447995822080,1185006447995822080,Gabe,TanakaComeback,"New York, New York ",,Masahiro Tanaka superfan | baseball is fun,,,False,3963,2949,49,Fri Oct 18 01:35:36 +0000 2019,60963,,,True,False,32151,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_banners/1185006447995822080/1607999534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1185006447995822080,1185006447995822080,Gabe,TanakaComeback,"New York, New York ",,Masahiro Tanaka superfan | baseball is fun,,,False,3963,2949,49,Fri Oct 18 01:35:36 +0000 2019,60963,,,True,False,32151,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'papa_cole45', 'name': 'Papa Cole', 'id': 1204598520986193922, 'id_str': '1204598520986193922', 'indices': [0, 12]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_banners/1185006447995822080/1607999534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1185006447995822080,1185006447995822080,Gabe,TanakaComeback,"New York, New York ",,Masahiro Tanaka superfan | baseball is fun,,,False,3963,2949,49,Fri Oct 18 01:35:36 +0000 2019,60963,,,True,False,32151,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_banners/1185006447995822080/1607999534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1185006447995822080,1185006447995822080,Gabe,TanakaComeback,"New York, New York ",,Masahiro Tanaka superfan | baseball is fun,,,False,3963,2949,49,Fri Oct 18 01:35:36 +0000 2019,60963,,,True,False,32151,,1339056870221344769,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_banners/1185006447995822080/1607999534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1185006447995822080,1185006447995822080,Gabe,TanakaComeback,"New York, New York ",,Masahiro Tanaka superfan | baseball is fun,,,False,3963,2949,49,Fri Oct 18 01:35:36 +0000 2019,60963,,,True,False,32151,,1339056870221344769,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_banners/1185006447995822080/1607999534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1185006447995822080,1185006447995822080,Gabe,TanakaComeback,"New York, New York ",,Masahiro Tanaka superfan | baseball is fun,,,False,3963,2949,49,Fri Oct 18 01:35:36 +0000 2019,60963,,,True,False,32151,,1204598520986193922,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_banners/1185006447995822080/1607999534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1185006447995822080,1185006447995822080,Gabe,TanakaComeback,"New York, New York ",,Masahiro Tanaka superfan | baseball is fun,,,False,3963,2949,49,Fri Oct 18 01:35:36 +0000 2019,60963,,,True,False,32151,,1204598520986193922,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_banners/1185006447995822080/1607999534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1185006447995822080,1185006447995822080,Gabe,TanakaComeback,"New York, New York ",,Masahiro Tanaka superfan | baseball is fun,,,False,3963,2949,49,Fri Oct 18 01:35:36 +0000 2019,60963,,,True,False,32151,,papa_cole45,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_banners/1185006447995822080/1607999534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1185006447995822080,1185006447995822080,Gabe,TanakaComeback,"New York, New York ",,Masahiro Tanaka superfan | baseball is fun,,,False,3963,2949,49,Fri Oct 18 01:35:36 +0000 2019,60963,,,True,False,32151,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_banners/1185006447995822080/1607999534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1185006447995822080,1185006447995822080,Gabe,TanakaComeback,"New York, New York ",,Masahiro Tanaka superfan | baseball is fun,,,False,3963,2949,49,Fri Oct 18 01:35:36 +0000 2019,60963,,,True,False,32151,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_banners/1185006447995822080/1607999534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1185006447995822080,1185006447995822080,Gabe,TanakaComeback,"New York, New York ",,Masahiro Tanaka superfan | baseball is fun,,,False,3963,2949,49,Fri Oct 18 01:35:36 +0000 2019,60963,,,True,False,32151,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_images/1305310926309068800/hHGEu7Qn_normal.jpg,https://pbs.twimg.com/profile_banners/1185006447995822080/1607999534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
