,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,2488619748,2488619748,Yves Saint Laurent is Too Damn High,YSL2damnhigh,Charm City,,"Mostly tweets about politics, w/ occasional DMV sports (🐢) and general nonsense. Doing OK for a 15 yr old with a wife and a baby. BLM | ACAB | he/him",https://t.co/BPSsfsoVQz,"{'urls': [{'url': 'https://t.co/BPSsfsoVQz', 'expanded_url': 'http://www.antifa.gov/careers', 'display_url': 'antifa.gov/careers', 'indices': [0, 23]}]}",False,123,283,2,Sat May 10 19:19:22 +0000 2014,15258,,,True,False,5400,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1276530403000672256/aOrXN7q8_normal.jpg,https://pbs.twimg.com/profile_images/1276530403000672256/aOrXN7q8_normal.jpg,https://pbs.twimg.com/profile_banners/2488619748/1596915062,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
description,2488619748,2488619748,Yves Saint Laurent is Too Damn High,YSL2damnhigh,Charm City,,"Mostly tweets about politics, w/ occasional DMV sports (🐢) and general nonsense. Doing OK for a 15 yr old with a wife and a baby. BLM | ACAB | he/him",https://t.co/BPSsfsoVQz,{'urls': []},False,123,283,2,Sat May 10 19:19:22 +0000 2014,15258,,,True,False,5400,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1276530403000672256/aOrXN7q8_normal.jpg,https://pbs.twimg.com/profile_images/1276530403000672256/aOrXN7q8_normal.jpg,https://pbs.twimg.com/profile_banners/2488619748/1596915062,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
created_at,2488619748,2488619748,Yves Saint Laurent is Too Damn High,YSL2damnhigh,Charm City,,"Mostly tweets about politics, w/ occasional DMV sports (🐢) and general nonsense. Doing OK for a 15 yr old with a wife and a baby. BLM | ACAB | he/him",https://t.co/BPSsfsoVQz,,False,123,283,2,Sat May 10 19:19:22 +0000 2014,15258,,,True,False,5400,,Wed Dec 16 03:20:02 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1276530403000672256/aOrXN7q8_normal.jpg,https://pbs.twimg.com/profile_images/1276530403000672256/aOrXN7q8_normal.jpg,https://pbs.twimg.com/profile_banners/2488619748/1596915062,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id,2488619748,2488619748,Yves Saint Laurent is Too Damn High,YSL2damnhigh,Charm City,,"Mostly tweets about politics, w/ occasional DMV sports (🐢) and general nonsense. Doing OK for a 15 yr old with a wife and a baby. BLM | ACAB | he/him",https://t.co/BPSsfsoVQz,,False,123,283,2,Sat May 10 19:19:22 +0000 2014,15258,,,True,False,5400,,1339047609089056769,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1276530403000672256/aOrXN7q8_normal.jpg,https://pbs.twimg.com/profile_images/1276530403000672256/aOrXN7q8_normal.jpg,https://pbs.twimg.com/profile_banners/2488619748/1596915062,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id_str,2488619748,2488619748,Yves Saint Laurent is Too Damn High,YSL2damnhigh,Charm City,,"Mostly tweets about politics, w/ occasional DMV sports (🐢) and general nonsense. Doing OK for a 15 yr old with a wife and a baby. BLM | ACAB | he/him",https://t.co/BPSsfsoVQz,,False,123,283,2,Sat May 10 19:19:22 +0000 2014,15258,,,True,False,5400,,1339047609089056769,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1276530403000672256/aOrXN7q8_normal.jpg,https://pbs.twimg.com/profile_images/1276530403000672256/aOrXN7q8_normal.jpg,https://pbs.twimg.com/profile_banners/2488619748/1596915062,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
text,2488619748,2488619748,Yves Saint Laurent is Too Damn High,YSL2damnhigh,Charm City,,"Mostly tweets about politics, w/ occasional DMV sports (🐢) and general nonsense. Doing OK for a 15 yr old with a wife and a baby. BLM | ACAB | he/him",https://t.co/BPSsfsoVQz,,False,123,283,2,Sat May 10 19:19:22 +0000 2014,15258,,,True,False,5400,,"@FourVerts tough, but fair",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1276530403000672256/aOrXN7q8_normal.jpg,https://pbs.twimg.com/profile_images/1276530403000672256/aOrXN7q8_normal.jpg,https://pbs.twimg.com/profile_banners/2488619748/1596915062,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
truncated,2488619748,2488619748,Yves Saint Laurent is Too Damn High,YSL2damnhigh,Charm City,,"Mostly tweets about politics, w/ occasional DMV sports (🐢) and general nonsense. Doing OK for a 15 yr old with a wife and a baby. BLM | ACAB | he/him",https://t.co/BPSsfsoVQz,,False,123,283,2,Sat May 10 19:19:22 +0000 2014,15258,,,True,False,5400,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1276530403000672256/aOrXN7q8_normal.jpg,https://pbs.twimg.com/profile_images/1276530403000672256/aOrXN7q8_normal.jpg,https://pbs.twimg.com/profile_banners/2488619748/1596915062,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
entities,2488619748,2488619748,Yves Saint Laurent is Too Damn High,YSL2damnhigh,Charm City,,"Mostly tweets about politics, w/ occasional DMV sports (🐢) and general nonsense. Doing OK for a 15 yr old with a wife and a baby. BLM | ACAB | he/him",https://t.co/BPSsfsoVQz,,False,123,283,2,Sat May 10 19:19:22 +0000 2014,15258,,,True,False,5400,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FourVerts', 'name': 'charles (#1 radicalized by fedex fan) mcdonald', 'id': 3002642385, 'id_str': '3002642385', 'indices': [0, 10]}], 'urls': []}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1276530403000672256/aOrXN7q8_normal.jpg,https://pbs.twimg.com/profile_images/1276530403000672256/aOrXN7q8_normal.jpg,https://pbs.twimg.com/profile_banners/2488619748/1596915062,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
source,2488619748,2488619748,Yves Saint Laurent is Too Damn High,YSL2damnhigh,Charm City,,"Mostly tweets about politics, w/ occasional DMV sports (🐢) and general nonsense. Doing OK for a 15 yr old with a wife and a baby. BLM | ACAB | he/him",https://t.co/BPSsfsoVQz,,False,123,283,2,Sat May 10 19:19:22 +0000 2014,15258,,,True,False,5400,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1276530403000672256/aOrXN7q8_normal.jpg,https://pbs.twimg.com/profile_images/1276530403000672256/aOrXN7q8_normal.jpg,https://pbs.twimg.com/profile_banners/2488619748/1596915062,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id,2488619748,2488619748,Yves Saint Laurent is Too Damn High,YSL2damnhigh,Charm City,,"Mostly tweets about politics, w/ occasional DMV sports (🐢) and general nonsense. Doing OK for a 15 yr old with a wife and a baby. BLM | ACAB | he/him",https://t.co/BPSsfsoVQz,,False,123,283,2,Sat May 10 19:19:22 +0000 2014,15258,,,True,False,5400,,1339047028870033409,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1276530403000672256/aOrXN7q8_normal.jpg,https://pbs.twimg.com/profile_images/1276530403000672256/aOrXN7q8_normal.jpg,https://pbs.twimg.com/profile_banners/2488619748/1596915062,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
