,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1199436219714875397,1199436219714875397,Thomas Hardy🍐,clenchfoot,Cubic Hollow Earth,,Watch Katanagatari,,{'urls': []},False,37,113,0,Tue Nov 26 21:14:27 +0000 2019,12106,,,False,False,841,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1199436455338291200/7ehhdlRt_normal.jpg,https://pbs.twimg.com/profile_images/1199436455338291200/7ehhdlRt_normal.jpg,https://pbs.twimg.com/profile_banners/1199436219714875397/1606792559,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1199436219714875397,1199436219714875397,Thomas Hardy🍐,clenchfoot,Cubic Hollow Earth,,Watch Katanagatari,,,False,37,113,0,Tue Nov 26 21:14:27 +0000 2019,12106,,,False,False,841,,Wed Dec 16 01:53:06 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1199436455338291200/7ehhdlRt_normal.jpg,https://pbs.twimg.com/profile_images/1199436455338291200/7ehhdlRt_normal.jpg,https://pbs.twimg.com/profile_banners/1199436219714875397/1606792559,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1199436219714875397,1199436219714875397,Thomas Hardy🍐,clenchfoot,Cubic Hollow Earth,,Watch Katanagatari,,,False,37,113,0,Tue Nov 26 21:14:27 +0000 2019,12106,,,False,False,841,,1339025729946849285,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1199436455338291200/7ehhdlRt_normal.jpg,https://pbs.twimg.com/profile_images/1199436455338291200/7ehhdlRt_normal.jpg,https://pbs.twimg.com/profile_banners/1199436219714875397/1606792559,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1199436219714875397,1199436219714875397,Thomas Hardy🍐,clenchfoot,Cubic Hollow Earth,,Watch Katanagatari,,,False,37,113,0,Tue Nov 26 21:14:27 +0000 2019,12106,,,False,False,841,,1339025729946849285,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1199436455338291200/7ehhdlRt_normal.jpg,https://pbs.twimg.com/profile_images/1199436455338291200/7ehhdlRt_normal.jpg,https://pbs.twimg.com/profile_banners/1199436219714875397/1606792559,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1199436219714875397,1199436219714875397,Thomas Hardy🍐,clenchfoot,Cubic Hollow Earth,,Watch Katanagatari,,,False,37,113,0,Tue Nov 26 21:14:27 +0000 2019,12106,,,False,False,841,,"@MisterBlackPill Westernized Iranians are some of the biggest suckers for Big Zion.

Literal and unequivocal race traitors.",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1199436455338291200/7ehhdlRt_normal.jpg,https://pbs.twimg.com/profile_images/1199436455338291200/7ehhdlRt_normal.jpg,https://pbs.twimg.com/profile_banners/1199436219714875397/1606792559,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1199436219714875397,1199436219714875397,Thomas Hardy🍐,clenchfoot,Cubic Hollow Earth,,Watch Katanagatari,,,False,37,113,0,Tue Nov 26 21:14:27 +0000 2019,12106,,,False,False,841,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1199436455338291200/7ehhdlRt_normal.jpg,https://pbs.twimg.com/profile_images/1199436455338291200/7ehhdlRt_normal.jpg,https://pbs.twimg.com/profile_banners/1199436219714875397/1606792559,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1199436219714875397,1199436219714875397,Thomas Hardy🍐,clenchfoot,Cubic Hollow Earth,,Watch Katanagatari,,,False,37,113,0,Tue Nov 26 21:14:27 +0000 2019,12106,,,False,False,841,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MisterBlackPill', 'name': 'Hunter Wallace', 'id': 1313683293162872834, 'id_str': '1313683293162872834', 'indices': [0, 16]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1199436455338291200/7ehhdlRt_normal.jpg,https://pbs.twimg.com/profile_images/1199436455338291200/7ehhdlRt_normal.jpg,https://pbs.twimg.com/profile_banners/1199436219714875397/1606792559,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1199436219714875397,1199436219714875397,Thomas Hardy🍐,clenchfoot,Cubic Hollow Earth,,Watch Katanagatari,,,False,37,113,0,Tue Nov 26 21:14:27 +0000 2019,12106,,,False,False,841,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1199436455338291200/7ehhdlRt_normal.jpg,https://pbs.twimg.com/profile_images/1199436455338291200/7ehhdlRt_normal.jpg,https://pbs.twimg.com/profile_banners/1199436219714875397/1606792559,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1199436219714875397,1199436219714875397,Thomas Hardy🍐,clenchfoot,Cubic Hollow Earth,,Watch Katanagatari,,,False,37,113,0,Tue Nov 26 21:14:27 +0000 2019,12106,,,False,False,841,,1339024314419572737,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1199436455338291200/7ehhdlRt_normal.jpg,https://pbs.twimg.com/profile_images/1199436455338291200/7ehhdlRt_normal.jpg,https://pbs.twimg.com/profile_banners/1199436219714875397/1606792559,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1199436219714875397,1199436219714875397,Thomas Hardy🍐,clenchfoot,Cubic Hollow Earth,,Watch Katanagatari,,,False,37,113,0,Tue Nov 26 21:14:27 +0000 2019,12106,,,False,False,841,,1339024314419572737,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1199436455338291200/7ehhdlRt_normal.jpg,https://pbs.twimg.com/profile_images/1199436455338291200/7ehhdlRt_normal.jpg,https://pbs.twimg.com/profile_banners/1199436219714875397/1606792559,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
