,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,35327521,35327521,Cats,eyebleedblue77,,,Americans: #1 in Self Esteem. #38 in Math. #24 in Science. #15 in Reading. #6 in Education spending. Your education isn’t as great as you think it is.,,{'urls': []},False,145,1004,2,Sat Apr 25 22:25:33 +0000 2009,26869,,,False,False,11573,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_banners/35327521/1505952539,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
created_at,35327521,35327521,Cats,eyebleedblue77,,,Americans: #1 in Self Esteem. #38 in Math. #24 in Science. #15 in Reading. #6 in Education spending. Your education isn’t as great as you think it is.,,,False,145,1004,2,Sat Apr 25 22:25:33 +0000 2009,26869,,,False,False,11573,,Wed Dec 16 02:27:28 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_banners/35327521/1505952539,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id,35327521,35327521,Cats,eyebleedblue77,,,Americans: #1 in Self Esteem. #38 in Math. #24 in Science. #15 in Reading. #6 in Education spending. Your education isn’t as great as you think it is.,,,False,145,1004,2,Sat Apr 25 22:25:33 +0000 2009,26869,,,False,False,11573,,1339034377683087363,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_banners/35327521/1505952539,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id_str,35327521,35327521,Cats,eyebleedblue77,,,Americans: #1 in Self Esteem. #38 in Math. #24 in Science. #15 in Reading. #6 in Education spending. Your education isn’t as great as you think it is.,,,False,145,1004,2,Sat Apr 25 22:25:33 +0000 2009,26869,,,False,False,11573,,1339034377683087363,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_banners/35327521/1505952539,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
text,35327521,35327521,Cats,eyebleedblue77,,,Americans: #1 in Self Esteem. #38 in Math. #24 in Science. #15 in Reading. #6 in Education spending. Your education isn’t as great as you think it is.,,,False,145,1004,2,Sat Apr 25 22:25:33 +0000 2009,26869,,,False,False,11573,,@DrH_MD @nypost A blind coalition,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_banners/35327521/1505952539,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
truncated,35327521,35327521,Cats,eyebleedblue77,,,Americans: #1 in Self Esteem. #38 in Math. #24 in Science. #15 in Reading. #6 in Education spending. Your education isn’t as great as you think it is.,,,False,145,1004,2,Sat Apr 25 22:25:33 +0000 2009,26869,,,False,False,11573,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_banners/35327521/1505952539,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
entities,35327521,35327521,Cats,eyebleedblue77,,,Americans: #1 in Self Esteem. #38 in Math. #24 in Science. #15 in Reading. #6 in Education spending. Your education isn’t as great as you think it is.,,,False,145,1004,2,Sat Apr 25 22:25:33 +0000 2009,26869,,,False,False,11573,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DrH_MD', 'name': 'Davis', 'id': 2648540547, 'id_str': '2648540547', 'indices': [0, 7]}, {'screen_name': 'nypost', 'name': 'New York Post', 'id': 17469289, 'id_str': '17469289', 'indices': [8, 15]}], 'urls': []}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_banners/35327521/1505952539,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
source,35327521,35327521,Cats,eyebleedblue77,,,Americans: #1 in Self Esteem. #38 in Math. #24 in Science. #15 in Reading. #6 in Education spending. Your education isn’t as great as you think it is.,,,False,145,1004,2,Sat Apr 25 22:25:33 +0000 2009,26869,,,False,False,11573,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_banners/35327521/1505952539,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id,35327521,35327521,Cats,eyebleedblue77,,,Americans: #1 in Self Esteem. #38 in Math. #24 in Science. #15 in Reading. #6 in Education spending. Your education isn’t as great as you think it is.,,,False,145,1004,2,Sat Apr 25 22:25:33 +0000 2009,26869,,,False,False,11573,,1338967277690101763,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_banners/35327521/1505952539,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id_str,35327521,35327521,Cats,eyebleedblue77,,,Americans: #1 in Self Esteem. #38 in Math. #24 in Science. #15 in Reading. #6 in Education spending. Your education isn’t as great as you think it is.,,,False,145,1004,2,Sat Apr 25 22:25:33 +0000 2009,26869,,,False,False,11573,,1338967277690101763,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_banners/35327521/1505952539,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_user_id,35327521,35327521,Cats,eyebleedblue77,,,Americans: #1 in Self Esteem. #38 in Math. #24 in Science. #15 in Reading. #6 in Education spending. Your education isn’t as great as you think it is.,,,False,145,1004,2,Sat Apr 25 22:25:33 +0000 2009,26869,,,False,False,11573,,2648540547,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_banners/35327521/1505952539,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_user_id_str,35327521,35327521,Cats,eyebleedblue77,,,Americans: #1 in Self Esteem. #38 in Math. #24 in Science. #15 in Reading. #6 in Education spending. Your education isn’t as great as you think it is.,,,False,145,1004,2,Sat Apr 25 22:25:33 +0000 2009,26869,,,False,False,11573,,2648540547,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_banners/35327521/1505952539,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_screen_name,35327521,35327521,Cats,eyebleedblue77,,,Americans: #1 in Self Esteem. #38 in Math. #24 in Science. #15 in Reading. #6 in Education spending. Your education isn’t as great as you think it is.,,,False,145,1004,2,Sat Apr 25 22:25:33 +0000 2009,26869,,,False,False,11573,,DrH_MD,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_banners/35327521/1505952539,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
geo,35327521,35327521,Cats,eyebleedblue77,,,Americans: #1 in Self Esteem. #38 in Math. #24 in Science. #15 in Reading. #6 in Education spending. Your education isn’t as great as you think it is.,,,False,145,1004,2,Sat Apr 25 22:25:33 +0000 2009,26869,,,False,False,11573,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_banners/35327521/1505952539,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
coordinates,35327521,35327521,Cats,eyebleedblue77,,,Americans: #1 in Self Esteem. #38 in Math. #24 in Science. #15 in Reading. #6 in Education spending. Your education isn’t as great as you think it is.,,,False,145,1004,2,Sat Apr 25 22:25:33 +0000 2009,26869,,,False,False,11573,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_banners/35327521/1505952539,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
place,35327521,35327521,Cats,eyebleedblue77,,,Americans: #1 in Self Esteem. #38 in Math. #24 in Science. #15 in Reading. #6 in Education spending. Your education isn’t as great as you think it is.,,,False,145,1004,2,Sat Apr 25 22:25:33 +0000 2009,26869,,,False,False,11573,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_images/910657064460066816/TXz01l6t_normal.jpg,https://pbs.twimg.com/profile_banners/35327521/1505952539,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
