,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1057783519156584448,1057783519156584448,🍒 Miss Muna 🍒 the homewrecker 🗿,helioswife,15 / stan got7,,★ “DEDICATE YOUR HEARTS! SASAGEYO!” -Erwin Smith ★ anitwt ★ manhwatwt ★ believer in Jinwoo supremacy 🧎🏻‍♀️ ★ Eros & Lelouch fucker ★ army & ahgase ★,https://t.co/ray8BjoS0J,"{'urls': [{'url': 'https://t.co/ray8BjoS0J', 'expanded_url': 'https://myanimelist.net/profile/muna_cherrybomb', 'display_url': 'myanimelist.net/profile/muna_c…', 'indices': [0, 23]}]}",False,224,222,2,Wed Oct 31 23:56:58 +0000 2018,9724,,,False,False,6712,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338968674762420226/j__lvWNu_normal.jpg,https://pbs.twimg.com/profile_images/1338968674762420226/j__lvWNu_normal.jpg,https://pbs.twimg.com/profile_banners/1057783519156584448/1607406267,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
description,1057783519156584448,1057783519156584448,🍒 Miss Muna 🍒 the homewrecker 🗿,helioswife,15 / stan got7,,★ “DEDICATE YOUR HEARTS! SASAGEYO!” -Erwin Smith ★ anitwt ★ manhwatwt ★ believer in Jinwoo supremacy 🧎🏻‍♀️ ★ Eros & Lelouch fucker ★ army & ahgase ★,https://t.co/ray8BjoS0J,{'urls': []},False,224,222,2,Wed Oct 31 23:56:58 +0000 2018,9724,,,False,False,6712,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338968674762420226/j__lvWNu_normal.jpg,https://pbs.twimg.com/profile_images/1338968674762420226/j__lvWNu_normal.jpg,https://pbs.twimg.com/profile_banners/1057783519156584448/1607406267,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
created_at,1057783519156584448,1057783519156584448,🍒 Miss Muna 🍒 the homewrecker 🗿,helioswife,15 / stan got7,,★ “DEDICATE YOUR HEARTS! SASAGEYO!” -Erwin Smith ★ anitwt ★ manhwatwt ★ believer in Jinwoo supremacy 🧎🏻‍♀️ ★ Eros & Lelouch fucker ★ army & ahgase ★,https://t.co/ray8BjoS0J,,False,224,222,2,Wed Oct 31 23:56:58 +0000 2018,9724,,,False,False,6712,,Wed Dec 16 01:29:26 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338968674762420226/j__lvWNu_normal.jpg,https://pbs.twimg.com/profile_images/1338968674762420226/j__lvWNu_normal.jpg,https://pbs.twimg.com/profile_banners/1057783519156584448/1607406267,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id,1057783519156584448,1057783519156584448,🍒 Miss Muna 🍒 the homewrecker 🗿,helioswife,15 / stan got7,,★ “DEDICATE YOUR HEARTS! SASAGEYO!” -Erwin Smith ★ anitwt ★ manhwatwt ★ believer in Jinwoo supremacy 🧎🏻‍♀️ ★ Eros & Lelouch fucker ★ army & ahgase ★,https://t.co/ray8BjoS0J,,False,224,222,2,Wed Oct 31 23:56:58 +0000 2018,9724,,,False,False,6712,,1339019773754171393,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338968674762420226/j__lvWNu_normal.jpg,https://pbs.twimg.com/profile_images/1338968674762420226/j__lvWNu_normal.jpg,https://pbs.twimg.com/profile_banners/1057783519156584448/1607406267,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id_str,1057783519156584448,1057783519156584448,🍒 Miss Muna 🍒 the homewrecker 🗿,helioswife,15 / stan got7,,★ “DEDICATE YOUR HEARTS! SASAGEYO!” -Erwin Smith ★ anitwt ★ manhwatwt ★ believer in Jinwoo supremacy 🧎🏻‍♀️ ★ Eros & Lelouch fucker ★ army & ahgase ★,https://t.co/ray8BjoS0J,,False,224,222,2,Wed Oct 31 23:56:58 +0000 2018,9724,,,False,False,6712,,1339019773754171393,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338968674762420226/j__lvWNu_normal.jpg,https://pbs.twimg.com/profile_images/1338968674762420226/j__lvWNu_normal.jpg,https://pbs.twimg.com/profile_banners/1057783519156584448/1607406267,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
text,1057783519156584448,1057783519156584448,🍒 Miss Muna 🍒 the homewrecker 🗿,helioswife,15 / stan got7,,★ “DEDICATE YOUR HEARTS! SASAGEYO!” -Erwin Smith ★ anitwt ★ manhwatwt ★ believer in Jinwoo supremacy 🧎🏻‍♀️ ★ Eros & Lelouch fucker ★ army & ahgase ★,https://t.co/ray8BjoS0J,,False,224,222,2,Wed Oct 31 23:56:58 +0000 2018,9724,,,False,False,6712,,@httpxiet_ Thx bestie https://t.co/yW4G18HMLy,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338968674762420226/j__lvWNu_normal.jpg,https://pbs.twimg.com/profile_images/1338968674762420226/j__lvWNu_normal.jpg,https://pbs.twimg.com/profile_banners/1057783519156584448/1607406267,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
truncated,1057783519156584448,1057783519156584448,🍒 Miss Muna 🍒 the homewrecker 🗿,helioswife,15 / stan got7,,★ “DEDICATE YOUR HEARTS! SASAGEYO!” -Erwin Smith ★ anitwt ★ manhwatwt ★ believer in Jinwoo supremacy 🧎🏻‍♀️ ★ Eros & Lelouch fucker ★ army & ahgase ★,https://t.co/ray8BjoS0J,,False,224,222,2,Wed Oct 31 23:56:58 +0000 2018,9724,,,False,False,6712,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338968674762420226/j__lvWNu_normal.jpg,https://pbs.twimg.com/profile_images/1338968674762420226/j__lvWNu_normal.jpg,https://pbs.twimg.com/profile_banners/1057783519156584448/1607406267,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
entities,1057783519156584448,1057783519156584448,🍒 Miss Muna 🍒 the homewrecker 🗿,helioswife,15 / stan got7,,★ “DEDICATE YOUR HEARTS! SASAGEYO!” -Erwin Smith ★ anitwt ★ manhwatwt ★ believer in Jinwoo supremacy 🧎🏻‍♀️ ★ Eros & Lelouch fucker ★ army & ahgase ★,https://t.co/ray8BjoS0J,,False,224,222,2,Wed Oct 31 23:56:58 +0000 2018,9724,,,False,False,6712,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'httpxiet_', 'name': 'caet ♡︎', 'id': 1323534504816861187, 'id_str': '1323534504816861187', 'indices': [0, 10]}], 'urls': [], 'media': [{'id': 1339019770440650755, 'id_str': '1339019770440650755', 'indices': [22, 45], 'media_url': 'http://pbs.twimg.com/media/EpUnYwRXEAM_4Tv.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUnYwRXEAM_4Tv.jpg', 'url': 'https://t.co/yW4G18HMLy', 'display_url': 'pic.twitter.com/yW4G18HMLy', 'expanded_url': 'https://twitter.com/helioswife/status/1339019773754171393/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 484, 'h': 506, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 484, 'h': 506, 'resize': 'fit'}, 'medium': {'w': 484, 'h': 506, 'resize': 'fit'}}}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338968674762420226/j__lvWNu_normal.jpg,https://pbs.twimg.com/profile_images/1338968674762420226/j__lvWNu_normal.jpg,https://pbs.twimg.com/profile_banners/1057783519156584448/1607406267,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
extended_entities,1057783519156584448,1057783519156584448,🍒 Miss Muna 🍒 the homewrecker 🗿,helioswife,15 / stan got7,,★ “DEDICATE YOUR HEARTS! SASAGEYO!” -Erwin Smith ★ anitwt ★ manhwatwt ★ believer in Jinwoo supremacy 🧎🏻‍♀️ ★ Eros & Lelouch fucker ★ army & ahgase ★,https://t.co/ray8BjoS0J,,False,224,222,2,Wed Oct 31 23:56:58 +0000 2018,9724,,,False,False,6712,,"{'media': [{'id': 1339019770440650755, 'id_str': '1339019770440650755', 'indices': [22, 45], 'media_url': 'http://pbs.twimg.com/media/EpUnYwRXEAM_4Tv.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUnYwRXEAM_4Tv.jpg', 'url': 'https://t.co/yW4G18HMLy', 'display_url': 'pic.twitter.com/yW4G18HMLy', 'expanded_url': 'https://twitter.com/helioswife/status/1339019773754171393/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 484, 'h': 506, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 484, 'h': 506, 'resize': 'fit'}, 'medium': {'w': 484, 'h': 506, 'resize': 'fit'}}}, {'id': 1339019770461609985, 'id_str': '1339019770461609985', 'indices': [22, 45], 'media_url': 'http://pbs.twimg.com/media/EpUnYwWW4AE0B12.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUnYwWW4AE0B12.jpg', 'url': 'https://t.co/yW4G18HMLy', 'display_url': 'pic.twitter.com/yW4G18HMLy', 'expanded_url': 'https://twitter.com/helioswife/status/1339019773754171393/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 224, 'h': 224, 'resize': 'fit'}, 'small': {'w': 224, 'h': 224, 'resize': 'fit'}, 'large': {'w': 224, 'h': 224, 'resize': 'fit'}}}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338968674762420226/j__lvWNu_normal.jpg,https://pbs.twimg.com/profile_images/1338968674762420226/j__lvWNu_normal.jpg,https://pbs.twimg.com/profile_banners/1057783519156584448/1607406267,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
source,1057783519156584448,1057783519156584448,🍒 Miss Muna 🍒 the homewrecker 🗿,helioswife,15 / stan got7,,★ “DEDICATE YOUR HEARTS! SASAGEYO!” -Erwin Smith ★ anitwt ★ manhwatwt ★ believer in Jinwoo supremacy 🧎🏻‍♀️ ★ Eros & Lelouch fucker ★ army & ahgase ★,https://t.co/ray8BjoS0J,,False,224,222,2,Wed Oct 31 23:56:58 +0000 2018,9724,,,False,False,6712,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338968674762420226/j__lvWNu_normal.jpg,https://pbs.twimg.com/profile_images/1338968674762420226/j__lvWNu_normal.jpg,https://pbs.twimg.com/profile_banners/1057783519156584448/1607406267,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
