,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1387466606,1387466606,jeremy,iconicslave,,,xo.,,{'urls': []},False,1816,287,5,Sun Apr 28 17:26:46 +0000 2013,23710,,,True,False,47721,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1267218801709514752/lKSk0Tc7_normal.jpg,https://pbs.twimg.com/profile_images/1267218801709514752/lKSk0Tc7_normal.jpg,https://pbs.twimg.com/profile_banners/1387466606/1461595639,B30000,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,regular
created_at,1387466606,1387466606,jeremy,iconicslave,,,xo.,,,False,1816,287,5,Sun Apr 28 17:26:46 +0000 2013,23710,,,True,False,47721,,Wed Dec 16 01:21:04 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1267218801709514752/lKSk0Tc7_normal.jpg,https://pbs.twimg.com/profile_images/1267218801709514752/lKSk0Tc7_normal.jpg,https://pbs.twimg.com/profile_banners/1387466606/1461595639,B30000,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,regular
id,1387466606,1387466606,jeremy,iconicslave,,,xo.,,,False,1816,287,5,Sun Apr 28 17:26:46 +0000 2013,23710,,,True,False,47721,,1339017666430963712,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1267218801709514752/lKSk0Tc7_normal.jpg,https://pbs.twimg.com/profile_images/1267218801709514752/lKSk0Tc7_normal.jpg,https://pbs.twimg.com/profile_banners/1387466606/1461595639,B30000,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,regular
id_str,1387466606,1387466606,jeremy,iconicslave,,,xo.,,,False,1816,287,5,Sun Apr 28 17:26:46 +0000 2013,23710,,,True,False,47721,,1339017666430963712,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1267218801709514752/lKSk0Tc7_normal.jpg,https://pbs.twimg.com/profile_images/1267218801709514752/lKSk0Tc7_normal.jpg,https://pbs.twimg.com/profile_banners/1387466606/1461595639,B30000,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,regular
text,1387466606,1387466606,jeremy,iconicslave,,,xo.,,,False,1816,287,5,Sun Apr 28 17:26:46 +0000 2013,23710,,,True,False,47721,,is this the 4th version? https://t.co/zUdW1PAHqb,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1267218801709514752/lKSk0Tc7_normal.jpg,https://pbs.twimg.com/profile_images/1267218801709514752/lKSk0Tc7_normal.jpg,https://pbs.twimg.com/profile_banners/1387466606/1461595639,B30000,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,regular
truncated,1387466606,1387466606,jeremy,iconicslave,,,xo.,,,False,1816,287,5,Sun Apr 28 17:26:46 +0000 2013,23710,,,True,False,47721,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1267218801709514752/lKSk0Tc7_normal.jpg,https://pbs.twimg.com/profile_images/1267218801709514752/lKSk0Tc7_normal.jpg,https://pbs.twimg.com/profile_banners/1387466606/1461595639,B30000,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,regular
entities,1387466606,1387466606,jeremy,iconicslave,,,xo.,,,False,1816,287,5,Sun Apr 28 17:26:46 +0000 2013,23710,,,True,False,47721,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/zUdW1PAHqb', 'expanded_url': 'https://twitter.com/taylorswift13/status/1339014864791089152', 'display_url': 'twitter.com/taylorswift13/…', 'indices': [25, 48]}]}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1267218801709514752/lKSk0Tc7_normal.jpg,https://pbs.twimg.com/profile_images/1267218801709514752/lKSk0Tc7_normal.jpg,https://pbs.twimg.com/profile_banners/1387466606/1461595639,B30000,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,regular
source,1387466606,1387466606,jeremy,iconicslave,,,xo.,,,False,1816,287,5,Sun Apr 28 17:26:46 +0000 2013,23710,,,True,False,47721,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1267218801709514752/lKSk0Tc7_normal.jpg,https://pbs.twimg.com/profile_images/1267218801709514752/lKSk0Tc7_normal.jpg,https://pbs.twimg.com/profile_banners/1387466606/1461595639,B30000,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,regular
in_reply_to_status_id,1387466606,1387466606,jeremy,iconicslave,,,xo.,,,False,1816,287,5,Sun Apr 28 17:26:46 +0000 2013,23710,,,True,False,47721,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1267218801709514752/lKSk0Tc7_normal.jpg,https://pbs.twimg.com/profile_images/1267218801709514752/lKSk0Tc7_normal.jpg,https://pbs.twimg.com/profile_banners/1387466606/1461595639,B30000,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,regular
in_reply_to_status_id_str,1387466606,1387466606,jeremy,iconicslave,,,xo.,,,False,1816,287,5,Sun Apr 28 17:26:46 +0000 2013,23710,,,True,False,47721,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1267218801709514752/lKSk0Tc7_normal.jpg,https://pbs.twimg.com/profile_images/1267218801709514752/lKSk0Tc7_normal.jpg,https://pbs.twimg.com/profile_banners/1387466606/1461595639,B30000,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,regular
