,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,231515509,231515509,👽🛸Jake Rains🛸👽,jakerains,"Is this Heaven? No, this is IA",,I make pictures📸🖼 and graphics💻 🖼 and videos 📺 and movies 🎬🎞 and magic🃏♠ and music🎵🎼🎚🥁 Product Ambassador for @sjcdrums😍🖤,https://t.co/mQL5shYfJV,"{'urls': [{'url': 'https://t.co/mQL5shYfJV', 'expanded_url': 'http://www.jakerains.com', 'display_url': 'jakerains.com', 'indices': [0, 23]}]}",False,570,1545,3,Tue Dec 28 19:00:01 +0000 2010,13828,,,True,False,22085,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1328780689601249280/Dz7gjjUB_normal.jpg,https://pbs.twimg.com/profile_images/1328780689601249280/Dz7gjjUB_normal.jpg,https://pbs.twimg.com/profile_banners/231515509/1596422058,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
description,231515509,231515509,👽🛸Jake Rains🛸👽,jakerains,"Is this Heaven? No, this is IA",,I make pictures📸🖼 and graphics💻 🖼 and videos 📺 and movies 🎬🎞 and magic🃏♠ and music🎵🎼🎚🥁 Product Ambassador for @sjcdrums😍🖤,https://t.co/mQL5shYfJV,{'urls': []},False,570,1545,3,Tue Dec 28 19:00:01 +0000 2010,13828,,,True,False,22085,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1328780689601249280/Dz7gjjUB_normal.jpg,https://pbs.twimg.com/profile_images/1328780689601249280/Dz7gjjUB_normal.jpg,https://pbs.twimg.com/profile_banners/231515509/1596422058,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
created_at,231515509,231515509,👽🛸Jake Rains🛸👽,jakerains,"Is this Heaven? No, this is IA",,I make pictures📸🖼 and graphics💻 🖼 and videos 📺 and movies 🎬🎞 and magic🃏♠ and music🎵🎼🎚🥁 Product Ambassador for @sjcdrums😍🖤,https://t.co/mQL5shYfJV,,False,570,1545,3,Tue Dec 28 19:00:01 +0000 2010,13828,,,True,False,22085,,Wed Dec 16 03:39:33 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1328780689601249280/Dz7gjjUB_normal.jpg,https://pbs.twimg.com/profile_images/1328780689601249280/Dz7gjjUB_normal.jpg,https://pbs.twimg.com/profile_banners/231515509/1596422058,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
id,231515509,231515509,👽🛸Jake Rains🛸👽,jakerains,"Is this Heaven? No, this is IA",,I make pictures📸🖼 and graphics💻 🖼 and videos 📺 and movies 🎬🎞 and magic🃏♠ and music🎵🎼🎚🥁 Product Ambassador for @sjcdrums😍🖤,https://t.co/mQL5shYfJV,,False,570,1545,3,Tue Dec 28 19:00:01 +0000 2010,13828,,,True,False,22085,,1339052519423668225,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1328780689601249280/Dz7gjjUB_normal.jpg,https://pbs.twimg.com/profile_images/1328780689601249280/Dz7gjjUB_normal.jpg,https://pbs.twimg.com/profile_banners/231515509/1596422058,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
id_str,231515509,231515509,👽🛸Jake Rains🛸👽,jakerains,"Is this Heaven? No, this is IA",,I make pictures📸🖼 and graphics💻 🖼 and videos 📺 and movies 🎬🎞 and magic🃏♠ and music🎵🎼🎚🥁 Product Ambassador for @sjcdrums😍🖤,https://t.co/mQL5shYfJV,,False,570,1545,3,Tue Dec 28 19:00:01 +0000 2010,13828,,,True,False,22085,,1339052519423668225,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1328780689601249280/Dz7gjjUB_normal.jpg,https://pbs.twimg.com/profile_images/1328780689601249280/Dz7gjjUB_normal.jpg,https://pbs.twimg.com/profile_banners/231515509/1596422058,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
text,231515509,231515509,👽🛸Jake Rains🛸👽,jakerains,"Is this Heaven? No, this is IA",,I make pictures📸🖼 and graphics💻 🖼 and videos 📺 and movies 🎬🎞 and magic🃏♠ and music🎵🎼🎚🥁 Product Ambassador for @sjcdrums😍🖤,https://t.co/mQL5shYfJV,,False,570,1545,3,Tue Dec 28 19:00:01 +0000 2010,13828,,,True,False,22085,,@LindsayWashburn This makes me both happy and sad.,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1328780689601249280/Dz7gjjUB_normal.jpg,https://pbs.twimg.com/profile_images/1328780689601249280/Dz7gjjUB_normal.jpg,https://pbs.twimg.com/profile_banners/231515509/1596422058,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
truncated,231515509,231515509,👽🛸Jake Rains🛸👽,jakerains,"Is this Heaven? No, this is IA",,I make pictures📸🖼 and graphics💻 🖼 and videos 📺 and movies 🎬🎞 and magic🃏♠ and music🎵🎼🎚🥁 Product Ambassador for @sjcdrums😍🖤,https://t.co/mQL5shYfJV,,False,570,1545,3,Tue Dec 28 19:00:01 +0000 2010,13828,,,True,False,22085,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1328780689601249280/Dz7gjjUB_normal.jpg,https://pbs.twimg.com/profile_images/1328780689601249280/Dz7gjjUB_normal.jpg,https://pbs.twimg.com/profile_banners/231515509/1596422058,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
entities,231515509,231515509,👽🛸Jake Rains🛸👽,jakerains,"Is this Heaven? No, this is IA",,I make pictures📸🖼 and graphics💻 🖼 and videos 📺 and movies 🎬🎞 and magic🃏♠ and music🎵🎼🎚🥁 Product Ambassador for @sjcdrums😍🖤,https://t.co/mQL5shYfJV,,False,570,1545,3,Tue Dec 28 19:00:01 +0000 2010,13828,,,True,False,22085,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LindsayWashburn', 'name': 'Lindsay Washburn', 'id': 117519948, 'id_str': '117519948', 'indices': [0, 16]}], 'urls': []}",False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1328780689601249280/Dz7gjjUB_normal.jpg,https://pbs.twimg.com/profile_images/1328780689601249280/Dz7gjjUB_normal.jpg,https://pbs.twimg.com/profile_banners/231515509/1596422058,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
source,231515509,231515509,👽🛸Jake Rains🛸👽,jakerains,"Is this Heaven? No, this is IA",,I make pictures📸🖼 and graphics💻 🖼 and videos 📺 and movies 🎬🎞 and magic🃏♠ and music🎵🎼🎚🥁 Product Ambassador for @sjcdrums😍🖤,https://t.co/mQL5shYfJV,,False,570,1545,3,Tue Dec 28 19:00:01 +0000 2010,13828,,,True,False,22085,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1328780689601249280/Dz7gjjUB_normal.jpg,https://pbs.twimg.com/profile_images/1328780689601249280/Dz7gjjUB_normal.jpg,https://pbs.twimg.com/profile_banners/231515509/1596422058,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id,231515509,231515509,👽🛸Jake Rains🛸👽,jakerains,"Is this Heaven? No, this is IA",,I make pictures📸🖼 and graphics💻 🖼 and videos 📺 and movies 🎬🎞 and magic🃏♠ and music🎵🎼🎚🥁 Product Ambassador for @sjcdrums😍🖤,https://t.co/mQL5shYfJV,,False,570,1545,3,Tue Dec 28 19:00:01 +0000 2010,13828,,,True,False,22085,,1338999180765913088,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1328780689601249280/Dz7gjjUB_normal.jpg,https://pbs.twimg.com/profile_images/1328780689601249280/Dz7gjjUB_normal.jpg,https://pbs.twimg.com/profile_banners/231515509/1596422058,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id_str,231515509,231515509,👽🛸Jake Rains🛸👽,jakerains,"Is this Heaven? No, this is IA",,I make pictures📸🖼 and graphics💻 🖼 and videos 📺 and movies 🎬🎞 and magic🃏♠ and music🎵🎼🎚🥁 Product Ambassador for @sjcdrums😍🖤,https://t.co/mQL5shYfJV,,False,570,1545,3,Tue Dec 28 19:00:01 +0000 2010,13828,,,True,False,22085,,1338999180765913088,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1328780689601249280/Dz7gjjUB_normal.jpg,https://pbs.twimg.com/profile_images/1328780689601249280/Dz7gjjUB_normal.jpg,https://pbs.twimg.com/profile_banners/231515509/1596422058,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_user_id,231515509,231515509,👽🛸Jake Rains🛸👽,jakerains,"Is this Heaven? No, this is IA",,I make pictures📸🖼 and graphics💻 🖼 and videos 📺 and movies 🎬🎞 and magic🃏♠ and music🎵🎼🎚🥁 Product Ambassador for @sjcdrums😍🖤,https://t.co/mQL5shYfJV,,False,570,1545,3,Tue Dec 28 19:00:01 +0000 2010,13828,,,True,False,22085,,117519948,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1328780689601249280/Dz7gjjUB_normal.jpg,https://pbs.twimg.com/profile_images/1328780689601249280/Dz7gjjUB_normal.jpg,https://pbs.twimg.com/profile_banners/231515509/1596422058,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
