,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,15137097,15137097,JSOnline - NewsWatch,js_newswatch,"Milwaukee, WI",,"Automatic updates from the Milwaukee Journal Sentinel's breaking news desk. 

**NOTE** This account is fed by robots.",https://t.co/HeXEwfyy6n,"{'urls': [{'url': 'https://t.co/HeXEwfyy6n', 'expanded_url': 'http://www.jsonline.com', 'display_url': 'jsonline.com', 'indices': [0, 23]}]}",False,32086,157,888,Mon Jun 16 18:39:31 +0000 2008,0,,,False,True,153739,,,False,False,False,505050,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/893300255936184322/0tixPP7l_normal.jpg,https://pbs.twimg.com/profile_images/893300255936184322/0tixPP7l_normal.jpg,https://pbs.twimg.com/profile_banners/15137097/1501815532,0084B4,FFFFFF,CCCCCC,333333,True,False,False,False,False,False,False,none
description,15137097,15137097,JSOnline - NewsWatch,js_newswatch,"Milwaukee, WI",,"Automatic updates from the Milwaukee Journal Sentinel's breaking news desk. 

**NOTE** This account is fed by robots.",https://t.co/HeXEwfyy6n,{'urls': []},False,32086,157,888,Mon Jun 16 18:39:31 +0000 2008,0,,,False,True,153739,,,False,False,False,505050,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/893300255936184322/0tixPP7l_normal.jpg,https://pbs.twimg.com/profile_images/893300255936184322/0tixPP7l_normal.jpg,https://pbs.twimg.com/profile_banners/15137097/1501815532,0084B4,FFFFFF,CCCCCC,333333,True,False,False,False,False,False,False,none
created_at,15137097,15137097,JSOnline - NewsWatch,js_newswatch,"Milwaukee, WI",,"Automatic updates from the Milwaukee Journal Sentinel's breaking news desk. 

**NOTE** This account is fed by robots.",https://t.co/HeXEwfyy6n,,False,32086,157,888,Mon Jun 16 18:39:31 +0000 2008,0,,,False,True,153739,,Wed Dec 16 08:33:04 +0000 2020,False,False,False,505050,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/893300255936184322/0tixPP7l_normal.jpg,https://pbs.twimg.com/profile_images/893300255936184322/0tixPP7l_normal.jpg,https://pbs.twimg.com/profile_banners/15137097/1501815532,0084B4,FFFFFF,CCCCCC,333333,True,False,False,False,False,False,False,none
id,15137097,15137097,JSOnline - NewsWatch,js_newswatch,"Milwaukee, WI",,"Automatic updates from the Milwaukee Journal Sentinel's breaking news desk. 

**NOTE** This account is fed by robots.",https://t.co/HeXEwfyy6n,,False,32086,157,888,Mon Jun 16 18:39:31 +0000 2008,0,,,False,True,153739,,1339126382509649922,False,False,False,505050,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/893300255936184322/0tixPP7l_normal.jpg,https://pbs.twimg.com/profile_images/893300255936184322/0tixPP7l_normal.jpg,https://pbs.twimg.com/profile_banners/15137097/1501815532,0084B4,FFFFFF,CCCCCC,333333,True,False,False,False,False,False,False,none
id_str,15137097,15137097,JSOnline - NewsWatch,js_newswatch,"Milwaukee, WI",,"Automatic updates from the Milwaukee Journal Sentinel's breaking news desk. 

**NOTE** This account is fed by robots.",https://t.co/HeXEwfyy6n,,False,32086,157,888,Mon Jun 16 18:39:31 +0000 2008,0,,,False,True,153739,,1339126382509649922,False,False,False,505050,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/893300255936184322/0tixPP7l_normal.jpg,https://pbs.twimg.com/profile_images/893300255936184322/0tixPP7l_normal.jpg,https://pbs.twimg.com/profile_banners/15137097/1501815532,0084B4,FFFFFF,CCCCCC,333333,True,False,False,False,False,False,False,none
text,15137097,15137097,JSOnline - NewsWatch,js_newswatch,"Milwaukee, WI",,"Automatic updates from the Milwaukee Journal Sentinel's breaking news desk. 

**NOTE** This account is fed by robots.",https://t.co/HeXEwfyy6n,,False,32086,157,888,Mon Jun 16 18:39:31 +0000 2008,0,,,False,True,153739,,Wisconsin's major-league franchises joined with Microsoft to give Black- and Latino-owned startups more chances to… https://t.co/gZP9hffJSD,False,False,False,505050,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/893300255936184322/0tixPP7l_normal.jpg,https://pbs.twimg.com/profile_images/893300255936184322/0tixPP7l_normal.jpg,https://pbs.twimg.com/profile_banners/15137097/1501815532,0084B4,FFFFFF,CCCCCC,333333,True,False,False,False,False,False,False,none
truncated,15137097,15137097,JSOnline - NewsWatch,js_newswatch,"Milwaukee, WI",,"Automatic updates from the Milwaukee Journal Sentinel's breaking news desk. 

**NOTE** This account is fed by robots.",https://t.co/HeXEwfyy6n,,False,32086,157,888,Mon Jun 16 18:39:31 +0000 2008,0,,,False,True,153739,,True,False,False,False,505050,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/893300255936184322/0tixPP7l_normal.jpg,https://pbs.twimg.com/profile_images/893300255936184322/0tixPP7l_normal.jpg,https://pbs.twimg.com/profile_banners/15137097/1501815532,0084B4,FFFFFF,CCCCCC,333333,True,False,False,False,False,False,False,none
entities,15137097,15137097,JSOnline - NewsWatch,js_newswatch,"Milwaukee, WI",,"Automatic updates from the Milwaukee Journal Sentinel's breaking news desk. 

**NOTE** This account is fed by robots.",https://t.co/HeXEwfyy6n,,False,32086,157,888,Mon Jun 16 18:39:31 +0000 2008,0,,,False,True,153739,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/gZP9hffJSD', 'expanded_url': 'https://twitter.com/i/web/status/1339126382509649922', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",False,False,False,505050,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/893300255936184322/0tixPP7l_normal.jpg,https://pbs.twimg.com/profile_images/893300255936184322/0tixPP7l_normal.jpg,https://pbs.twimg.com/profile_banners/15137097/1501815532,0084B4,FFFFFF,CCCCCC,333333,True,False,False,False,False,False,False,none
source,15137097,15137097,JSOnline - NewsWatch,js_newswatch,"Milwaukee, WI",,"Automatic updates from the Milwaukee Journal Sentinel's breaking news desk. 

**NOTE** This account is fed by robots.",https://t.co/HeXEwfyy6n,,False,32086,157,888,Mon Jun 16 18:39:31 +0000 2008,0,,,False,True,153739,,"<a href=""http://www.socialnewsdesk.com"" rel=""nofollow"">SocialNewsDesk</a>",False,False,False,505050,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/893300255936184322/0tixPP7l_normal.jpg,https://pbs.twimg.com/profile_images/893300255936184322/0tixPP7l_normal.jpg,https://pbs.twimg.com/profile_banners/15137097/1501815532,0084B4,FFFFFF,CCCCCC,333333,True,False,False,False,False,False,False,none
in_reply_to_status_id,15137097,15137097,JSOnline - NewsWatch,js_newswatch,"Milwaukee, WI",,"Automatic updates from the Milwaukee Journal Sentinel's breaking news desk. 

**NOTE** This account is fed by robots.",https://t.co/HeXEwfyy6n,,False,32086,157,888,Mon Jun 16 18:39:31 +0000 2008,0,,,False,True,153739,,,False,False,False,505050,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/893300255936184322/0tixPP7l_normal.jpg,https://pbs.twimg.com/profile_images/893300255936184322/0tixPP7l_normal.jpg,https://pbs.twimg.com/profile_banners/15137097/1501815532,0084B4,FFFFFF,CCCCCC,333333,True,False,False,False,False,False,False,none
