,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,746850144574836742,746850144574836742,michelle ✩,lcv3eren,chrollo’s ass crack ♡,,but like if you didnt know i love eren yeager I pls look at my carrd teehee I cw: made in abyss I NOT SPOILER FREE,https://t.co/pZkFofw9cb,"{'urls': [{'url': 'https://t.co/pZkFofw9cb', 'expanded_url': 'https://lcv3eren.carrd.co', 'display_url': 'lcv3eren.carrd.co', 'indices': [0, 23]}]}",False,239,291,0,Sat Jun 25 23:38:45 +0000 2016,2058,,,False,False,591,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336392063881936896/6dvNuVrm_normal.jpg,https://pbs.twimg.com/profile_images/1336392063881936896/6dvNuVrm_normal.jpg,https://pbs.twimg.com/profile_banners/746850144574836742/1607623096,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
description,746850144574836742,746850144574836742,michelle ✩,lcv3eren,chrollo’s ass crack ♡,,but like if you didnt know i love eren yeager I pls look at my carrd teehee I cw: made in abyss I NOT SPOILER FREE,https://t.co/pZkFofw9cb,{'urls': []},False,239,291,0,Sat Jun 25 23:38:45 +0000 2016,2058,,,False,False,591,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336392063881936896/6dvNuVrm_normal.jpg,https://pbs.twimg.com/profile_images/1336392063881936896/6dvNuVrm_normal.jpg,https://pbs.twimg.com/profile_banners/746850144574836742/1607623096,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
created_at,746850144574836742,746850144574836742,michelle ✩,lcv3eren,chrollo’s ass crack ♡,,but like if you didnt know i love eren yeager I pls look at my carrd teehee I cw: made in abyss I NOT SPOILER FREE,https://t.co/pZkFofw9cb,,False,239,291,0,Sat Jun 25 23:38:45 +0000 2016,2058,,,False,False,591,,Wed Dec 16 04:30:06 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336392063881936896/6dvNuVrm_normal.jpg,https://pbs.twimg.com/profile_images/1336392063881936896/6dvNuVrm_normal.jpg,https://pbs.twimg.com/profile_banners/746850144574836742/1607623096,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id,746850144574836742,746850144574836742,michelle ✩,lcv3eren,chrollo’s ass crack ♡,,but like if you didnt know i love eren yeager I pls look at my carrd teehee I cw: made in abyss I NOT SPOILER FREE,https://t.co/pZkFofw9cb,,False,239,291,0,Sat Jun 25 23:38:45 +0000 2016,2058,,,False,False,591,,1339065239115943936,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336392063881936896/6dvNuVrm_normal.jpg,https://pbs.twimg.com/profile_images/1336392063881936896/6dvNuVrm_normal.jpg,https://pbs.twimg.com/profile_banners/746850144574836742/1607623096,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id_str,746850144574836742,746850144574836742,michelle ✩,lcv3eren,chrollo’s ass crack ♡,,but like if you didnt know i love eren yeager I pls look at my carrd teehee I cw: made in abyss I NOT SPOILER FREE,https://t.co/pZkFofw9cb,,False,239,291,0,Sat Jun 25 23:38:45 +0000 2016,2058,,,False,False,591,,1339065239115943936,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336392063881936896/6dvNuVrm_normal.jpg,https://pbs.twimg.com/profile_images/1336392063881936896/6dvNuVrm_normal.jpg,https://pbs.twimg.com/profile_banners/746850144574836742/1607623096,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
text,746850144574836742,746850144574836742,michelle ✩,lcv3eren,chrollo’s ass crack ♡,,but like if you didnt know i love eren yeager I pls look at my carrd teehee I cw: made in abyss I NOT SPOILER FREE,https://t.co/pZkFofw9cb,,False,239,291,0,Sat Jun 25 23:38:45 +0000 2016,2058,,,False,False,591,,@SAIK1SAN not accepting this ging slander td 🙄,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336392063881936896/6dvNuVrm_normal.jpg,https://pbs.twimg.com/profile_images/1336392063881936896/6dvNuVrm_normal.jpg,https://pbs.twimg.com/profile_banners/746850144574836742/1607623096,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
truncated,746850144574836742,746850144574836742,michelle ✩,lcv3eren,chrollo’s ass crack ♡,,but like if you didnt know i love eren yeager I pls look at my carrd teehee I cw: made in abyss I NOT SPOILER FREE,https://t.co/pZkFofw9cb,,False,239,291,0,Sat Jun 25 23:38:45 +0000 2016,2058,,,False,False,591,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336392063881936896/6dvNuVrm_normal.jpg,https://pbs.twimg.com/profile_images/1336392063881936896/6dvNuVrm_normal.jpg,https://pbs.twimg.com/profile_banners/746850144574836742/1607623096,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
entities,746850144574836742,746850144574836742,michelle ✩,lcv3eren,chrollo’s ass crack ♡,,but like if you didnt know i love eren yeager I pls look at my carrd teehee I cw: made in abyss I NOT SPOILER FREE,https://t.co/pZkFofw9cb,,False,239,291,0,Sat Jun 25 23:38:45 +0000 2016,2058,,,False,False,591,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SAIK1SAN', 'name': 'L3N4👁\u200d🗨', 'id': 1335824244350083072, 'id_str': '1335824244350083072', 'indices': [0, 9]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336392063881936896/6dvNuVrm_normal.jpg,https://pbs.twimg.com/profile_images/1336392063881936896/6dvNuVrm_normal.jpg,https://pbs.twimg.com/profile_banners/746850144574836742/1607623096,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
source,746850144574836742,746850144574836742,michelle ✩,lcv3eren,chrollo’s ass crack ♡,,but like if you didnt know i love eren yeager I pls look at my carrd teehee I cw: made in abyss I NOT SPOILER FREE,https://t.co/pZkFofw9cb,,False,239,291,0,Sat Jun 25 23:38:45 +0000 2016,2058,,,False,False,591,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336392063881936896/6dvNuVrm_normal.jpg,https://pbs.twimg.com/profile_images/1336392063881936896/6dvNuVrm_normal.jpg,https://pbs.twimg.com/profile_banners/746850144574836742/1607623096,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id,746850144574836742,746850144574836742,michelle ✩,lcv3eren,chrollo’s ass crack ♡,,but like if you didnt know i love eren yeager I pls look at my carrd teehee I cw: made in abyss I NOT SPOILER FREE,https://t.co/pZkFofw9cb,,False,239,291,0,Sat Jun 25 23:38:45 +0000 2016,2058,,,False,False,591,,1339058284389683200,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336392063881936896/6dvNuVrm_normal.jpg,https://pbs.twimg.com/profile_images/1336392063881936896/6dvNuVrm_normal.jpg,https://pbs.twimg.com/profile_banners/746850144574836742/1607623096,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
