,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,955823375250726912,955823375250726912,Financial News In A Nutshell,pelhambluefund,Malaysia,,🇲🇾 Professional Investor-Trader | Borak #saham | Blogger | 24/7 Market Insights 🌏 | Breaking News⚡ | #bursamalaysia Trading 💵 | Join our Telegram 📺|,https://t.co/Jz5JRruVu2,"{'urls': [{'url': 'https://t.co/Jz5JRruVu2', 'expanded_url': 'https://linktr.ee/pelhambluefund', 'display_url': 'linktr.ee/pelhambluefund', 'indices': [0, 23]}]}",False,15749,85,102,Tue Jan 23 15:23:45 +0000 2018,3631,,,True,False,24933,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1250793456617746432/m9UhTANo_normal.jpg,https://pbs.twimg.com/profile_images/1250793456617746432/m9UhTANo_normal.jpg,https://pbs.twimg.com/profile_banners/955823375250726912/1572445481,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
description,955823375250726912,955823375250726912,Financial News In A Nutshell,pelhambluefund,Malaysia,,🇲🇾 Professional Investor-Trader | Borak #saham | Blogger | 24/7 Market Insights 🌏 | Breaking News⚡ | #bursamalaysia Trading 💵 | Join our Telegram 📺|,https://t.co/Jz5JRruVu2,{'urls': []},False,15749,85,102,Tue Jan 23 15:23:45 +0000 2018,3631,,,True,False,24933,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1250793456617746432/m9UhTANo_normal.jpg,https://pbs.twimg.com/profile_images/1250793456617746432/m9UhTANo_normal.jpg,https://pbs.twimg.com/profile_banners/955823375250726912/1572445481,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
created_at,955823375250726912,955823375250726912,Financial News In A Nutshell,pelhambluefund,Malaysia,,🇲🇾 Professional Investor-Trader | Borak #saham | Blogger | 24/7 Market Insights 🌏 | Breaking News⚡ | #bursamalaysia Trading 💵 | Join our Telegram 📺|,https://t.co/Jz5JRruVu2,,False,15749,85,102,Tue Jan 23 15:23:45 +0000 2018,3631,,,True,False,24933,,Wed Dec 16 02:50:41 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1250793456617746432/m9UhTANo_normal.jpg,https://pbs.twimg.com/profile_images/1250793456617746432/m9UhTANo_normal.jpg,https://pbs.twimg.com/profile_banners/955823375250726912/1572445481,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
id,955823375250726912,955823375250726912,Financial News In A Nutshell,pelhambluefund,Malaysia,,🇲🇾 Professional Investor-Trader | Borak #saham | Blogger | 24/7 Market Insights 🌏 | Breaking News⚡ | #bursamalaysia Trading 💵 | Join our Telegram 📺|,https://t.co/Jz5JRruVu2,,False,15749,85,102,Tue Jan 23 15:23:45 +0000 2018,3631,,,True,False,24933,,1339040219924811776,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1250793456617746432/m9UhTANo_normal.jpg,https://pbs.twimg.com/profile_images/1250793456617746432/m9UhTANo_normal.jpg,https://pbs.twimg.com/profile_banners/955823375250726912/1572445481,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
id_str,955823375250726912,955823375250726912,Financial News In A Nutshell,pelhambluefund,Malaysia,,🇲🇾 Professional Investor-Trader | Borak #saham | Blogger | 24/7 Market Insights 🌏 | Breaking News⚡ | #bursamalaysia Trading 💵 | Join our Telegram 📺|,https://t.co/Jz5JRruVu2,,False,15749,85,102,Tue Jan 23 15:23:45 +0000 2018,3631,,,True,False,24933,,1339040219924811776,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1250793456617746432/m9UhTANo_normal.jpg,https://pbs.twimg.com/profile_images/1250793456617746432/m9UhTANo_normal.jpg,https://pbs.twimg.com/profile_banners/955823375250726912/1572445481,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
text,955823375250726912,955823375250726912,Financial News In A Nutshell,pelhambluefund,Malaysia,,🇲🇾 Professional Investor-Trader | Borak #saham | Blogger | 24/7 Market Insights 🌏 | Breaking News⚡ | #bursamalaysia Trading 💵 | Join our Telegram 📺|,https://t.co/Jz5JRruVu2,,False,15749,85,102,Tue Jan 23 15:23:45 +0000 2018,3631,,,True,False,24933,,"Animal stocks performance today

TIGER      +28%

LIONIND  +13%

DOLPHIN &lt;Unchanged&gt;

CHEETAH +22%

SOTONG  +1%",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1250793456617746432/m9UhTANo_normal.jpg,https://pbs.twimg.com/profile_images/1250793456617746432/m9UhTANo_normal.jpg,https://pbs.twimg.com/profile_banners/955823375250726912/1572445481,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
truncated,955823375250726912,955823375250726912,Financial News In A Nutshell,pelhambluefund,Malaysia,,🇲🇾 Professional Investor-Trader | Borak #saham | Blogger | 24/7 Market Insights 🌏 | Breaking News⚡ | #bursamalaysia Trading 💵 | Join our Telegram 📺|,https://t.co/Jz5JRruVu2,,False,15749,85,102,Tue Jan 23 15:23:45 +0000 2018,3631,,,True,False,24933,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1250793456617746432/m9UhTANo_normal.jpg,https://pbs.twimg.com/profile_images/1250793456617746432/m9UhTANo_normal.jpg,https://pbs.twimg.com/profile_banners/955823375250726912/1572445481,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
entities,955823375250726912,955823375250726912,Financial News In A Nutshell,pelhambluefund,Malaysia,,🇲🇾 Professional Investor-Trader | Borak #saham | Blogger | 24/7 Market Insights 🌏 | Breaking News⚡ | #bursamalaysia Trading 💵 | Join our Telegram 📺|,https://t.co/Jz5JRruVu2,,False,15749,85,102,Tue Jan 23 15:23:45 +0000 2018,3631,,,True,False,24933,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1250793456617746432/m9UhTANo_normal.jpg,https://pbs.twimg.com/profile_images/1250793456617746432/m9UhTANo_normal.jpg,https://pbs.twimg.com/profile_banners/955823375250726912/1572445481,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
source,955823375250726912,955823375250726912,Financial News In A Nutshell,pelhambluefund,Malaysia,,🇲🇾 Professional Investor-Trader | Borak #saham | Blogger | 24/7 Market Insights 🌏 | Breaking News⚡ | #bursamalaysia Trading 💵 | Join our Telegram 📺|,https://t.co/Jz5JRruVu2,,False,15749,85,102,Tue Jan 23 15:23:45 +0000 2018,3631,,,True,False,24933,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1250793456617746432/m9UhTANo_normal.jpg,https://pbs.twimg.com/profile_images/1250793456617746432/m9UhTANo_normal.jpg,https://pbs.twimg.com/profile_banners/955823375250726912/1572445481,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_status_id,955823375250726912,955823375250726912,Financial News In A Nutshell,pelhambluefund,Malaysia,,🇲🇾 Professional Investor-Trader | Borak #saham | Blogger | 24/7 Market Insights 🌏 | Breaking News⚡ | #bursamalaysia Trading 💵 | Join our Telegram 📺|,https://t.co/Jz5JRruVu2,,False,15749,85,102,Tue Jan 23 15:23:45 +0000 2018,3631,,,True,False,24933,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1250793456617746432/m9UhTANo_normal.jpg,https://pbs.twimg.com/profile_images/1250793456617746432/m9UhTANo_normal.jpg,https://pbs.twimg.com/profile_banners/955823375250726912/1572445481,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
