,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1001859909456101378,1001859909456101378,kai | g a y,sapphicdeancas,they/moon•lesbian•17,,"i am once again the biggest c * w_s*n anti. || “Because the one thing I want, it’s something I know I can’t have.”",,{'urls': []},False,647,511,11,Wed May 30 16:16:30 +0000 2018,46454,,,False,False,5392,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1326287312276295683/okCoXRKt_normal.jpg,https://pbs.twimg.com/profile_images/1326287312276295683/okCoXRKt_normal.jpg,https://pbs.twimg.com/profile_banners/1001859909456101378/1607540368,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
created_at,1001859909456101378,1001859909456101378,kai | g a y,sapphicdeancas,they/moon•lesbian•17,,"i am once again the biggest c * w_s*n anti. || “Because the one thing I want, it’s something I know I can’t have.”",,,False,647,511,11,Wed May 30 16:16:30 +0000 2018,46454,,,False,False,5392,,Wed Dec 16 09:23:15 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1326287312276295683/okCoXRKt_normal.jpg,https://pbs.twimg.com/profile_images/1326287312276295683/okCoXRKt_normal.jpg,https://pbs.twimg.com/profile_banners/1001859909456101378/1607540368,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id,1001859909456101378,1001859909456101378,kai | g a y,sapphicdeancas,they/moon•lesbian•17,,"i am once again the biggest c * w_s*n anti. || “Because the one thing I want, it’s something I know I can’t have.”",,,False,647,511,11,Wed May 30 16:16:30 +0000 2018,46454,,,False,False,5392,,1339139014016851968,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1326287312276295683/okCoXRKt_normal.jpg,https://pbs.twimg.com/profile_images/1326287312276295683/okCoXRKt_normal.jpg,https://pbs.twimg.com/profile_banners/1001859909456101378/1607540368,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id_str,1001859909456101378,1001859909456101378,kai | g a y,sapphicdeancas,they/moon•lesbian•17,,"i am once again the biggest c * w_s*n anti. || “Because the one thing I want, it’s something I know I can’t have.”",,,False,647,511,11,Wed May 30 16:16:30 +0000 2018,46454,,,False,False,5392,,1339139014016851968,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1326287312276295683/okCoXRKt_normal.jpg,https://pbs.twimg.com/profile_images/1326287312276295683/okCoXRKt_normal.jpg,https://pbs.twimg.com/profile_banners/1001859909456101378/1607540368,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
text,1001859909456101378,1001859909456101378,kai | g a y,sapphicdeancas,they/moon•lesbian•17,,"i am once again the biggest c * w_s*n anti. || “Because the one thing I want, it’s something I know I can’t have.”",,,False,647,511,11,Wed May 30 16:16:30 +0000 2018,46454,,,False,False,5392,,"RT @mishasdiary: Please read this to get some clarity on why Misha Collins is trending! 

He wrote that article in defense of Monica Lewins…",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1326287312276295683/okCoXRKt_normal.jpg,https://pbs.twimg.com/profile_images/1326287312276295683/okCoXRKt_normal.jpg,https://pbs.twimg.com/profile_banners/1001859909456101378/1607540368,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
truncated,1001859909456101378,1001859909456101378,kai | g a y,sapphicdeancas,they/moon•lesbian•17,,"i am once again the biggest c * w_s*n anti. || “Because the one thing I want, it’s something I know I can’t have.”",,,False,647,511,11,Wed May 30 16:16:30 +0000 2018,46454,,,False,False,5392,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1326287312276295683/okCoXRKt_normal.jpg,https://pbs.twimg.com/profile_images/1326287312276295683/okCoXRKt_normal.jpg,https://pbs.twimg.com/profile_banners/1001859909456101378/1607540368,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
entities,1001859909456101378,1001859909456101378,kai | g a y,sapphicdeancas,they/moon•lesbian•17,,"i am once again the biggest c * w_s*n anti. || “Because the one thing I want, it’s something I know I can’t have.”",,,False,647,511,11,Wed May 30 16:16:30 +0000 2018,46454,,,False,False,5392,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mishasdiary', 'name': 'mel 🏳️\u200d🌈 bobo berens #1 fan', 'id': 199270054, 'id_str': '199270054', 'indices': [3, 15]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1326287312276295683/okCoXRKt_normal.jpg,https://pbs.twimg.com/profile_images/1326287312276295683/okCoXRKt_normal.jpg,https://pbs.twimg.com/profile_banners/1001859909456101378/1607540368,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
source,1001859909456101378,1001859909456101378,kai | g a y,sapphicdeancas,they/moon•lesbian•17,,"i am once again the biggest c * w_s*n anti. || “Because the one thing I want, it’s something I know I can’t have.”",,,False,647,511,11,Wed May 30 16:16:30 +0000 2018,46454,,,False,False,5392,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1326287312276295683/okCoXRKt_normal.jpg,https://pbs.twimg.com/profile_images/1326287312276295683/okCoXRKt_normal.jpg,https://pbs.twimg.com/profile_banners/1001859909456101378/1607540368,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id,1001859909456101378,1001859909456101378,kai | g a y,sapphicdeancas,they/moon•lesbian•17,,"i am once again the biggest c * w_s*n anti. || “Because the one thing I want, it’s something I know I can’t have.”",,,False,647,511,11,Wed May 30 16:16:30 +0000 2018,46454,,,False,False,5392,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1326287312276295683/okCoXRKt_normal.jpg,https://pbs.twimg.com/profile_images/1326287312276295683/okCoXRKt_normal.jpg,https://pbs.twimg.com/profile_banners/1001859909456101378/1607540368,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id_str,1001859909456101378,1001859909456101378,kai | g a y,sapphicdeancas,they/moon•lesbian•17,,"i am once again the biggest c * w_s*n anti. || “Because the one thing I want, it’s something I know I can’t have.”",,,False,647,511,11,Wed May 30 16:16:30 +0000 2018,46454,,,False,False,5392,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1326287312276295683/okCoXRKt_normal.jpg,https://pbs.twimg.com/profile_images/1326287312276295683/okCoXRKt_normal.jpg,https://pbs.twimg.com/profile_banners/1001859909456101378/1607540368,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
