,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1723556490,1723556490,Rama,thomasramaa,Unknown,,"every sinner has a future, every saint has a past....",,{'urls': []},False,500,140,2,Mon Sep 02 22:05:12 +0000 2013,3627,,,True,False,21943,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1310919553719963649/r_ooPZqw_normal.jpg,https://pbs.twimg.com/profile_images/1310919553719963649/r_ooPZqw_normal.jpg,https://pbs.twimg.com/profile_banners/1723556490/1601131661,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1723556490,1723556490,Rama,thomasramaa,Unknown,,"every sinner has a future, every saint has a past....",,,False,500,140,2,Mon Sep 02 22:05:12 +0000 2013,3627,,,True,False,21943,,Wed Dec 16 01:21:03 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1310919553719963649/r_ooPZqw_normal.jpg,https://pbs.twimg.com/profile_images/1310919553719963649/r_ooPZqw_normal.jpg,https://pbs.twimg.com/profile_banners/1723556490/1601131661,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1723556490,1723556490,Rama,thomasramaa,Unknown,,"every sinner has a future, every saint has a past....",,,False,500,140,2,Mon Sep 02 22:05:12 +0000 2013,3627,,,True,False,21943,,1339017662190510081,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1310919553719963649/r_ooPZqw_normal.jpg,https://pbs.twimg.com/profile_images/1310919553719963649/r_ooPZqw_normal.jpg,https://pbs.twimg.com/profile_banners/1723556490/1601131661,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1723556490,1723556490,Rama,thomasramaa,Unknown,,"every sinner has a future, every saint has a past....",,,False,500,140,2,Mon Sep 02 22:05:12 +0000 2013,3627,,,True,False,21943,,1339017662190510081,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1310919553719963649/r_ooPZqw_normal.jpg,https://pbs.twimg.com/profile_images/1310919553719963649/r_ooPZqw_normal.jpg,https://pbs.twimg.com/profile_banners/1723556490/1601131661,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1723556490,1723556490,Rama,thomasramaa,Unknown,,"every sinner has a future, every saint has a past....",,,False,500,140,2,Mon Sep 02 22:05:12 +0000 2013,3627,,,True,False,21943,,Here comes the XoonDawg BLOWWW UPPPPPP https://t.co/vcVu8qH3zE,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1310919553719963649/r_ooPZqw_normal.jpg,https://pbs.twimg.com/profile_images/1310919553719963649/r_ooPZqw_normal.jpg,https://pbs.twimg.com/profile_banners/1723556490/1601131661,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1723556490,1723556490,Rama,thomasramaa,Unknown,,"every sinner has a future, every saint has a past....",,,False,500,140,2,Mon Sep 02 22:05:12 +0000 2013,3627,,,True,False,21943,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1310919553719963649/r_ooPZqw_normal.jpg,https://pbs.twimg.com/profile_images/1310919553719963649/r_ooPZqw_normal.jpg,https://pbs.twimg.com/profile_banners/1723556490/1601131661,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1723556490,1723556490,Rama,thomasramaa,Unknown,,"every sinner has a future, every saint has a past....",,,False,500,140,2,Mon Sep 02 22:05:12 +0000 2013,3627,,,True,False,21943,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/vcVu8qH3zE', 'expanded_url': 'https://twitter.com/xoonies/status/1339007102778548224', 'display_url': 'twitter.com/xoonies/status…', 'indices': [39, 62]}]}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1310919553719963649/r_ooPZqw_normal.jpg,https://pbs.twimg.com/profile_images/1310919553719963649/r_ooPZqw_normal.jpg,https://pbs.twimg.com/profile_banners/1723556490/1601131661,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1723556490,1723556490,Rama,thomasramaa,Unknown,,"every sinner has a future, every saint has a past....",,,False,500,140,2,Mon Sep 02 22:05:12 +0000 2013,3627,,,True,False,21943,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1310919553719963649/r_ooPZqw_normal.jpg,https://pbs.twimg.com/profile_images/1310919553719963649/r_ooPZqw_normal.jpg,https://pbs.twimg.com/profile_banners/1723556490/1601131661,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1723556490,1723556490,Rama,thomasramaa,Unknown,,"every sinner has a future, every saint has a past....",,,False,500,140,2,Mon Sep 02 22:05:12 +0000 2013,3627,,,True,False,21943,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1310919553719963649/r_ooPZqw_normal.jpg,https://pbs.twimg.com/profile_images/1310919553719963649/r_ooPZqw_normal.jpg,https://pbs.twimg.com/profile_banners/1723556490/1601131661,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1723556490,1723556490,Rama,thomasramaa,Unknown,,"every sinner has a future, every saint has a past....",,,False,500,140,2,Mon Sep 02 22:05:12 +0000 2013,3627,,,True,False,21943,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1310919553719963649/r_ooPZqw_normal.jpg,https://pbs.twimg.com/profile_images/1310919553719963649/r_ooPZqw_normal.jpg,https://pbs.twimg.com/profile_banners/1723556490/1601131661,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
