,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,2452475064,2452475064,Amanda,xMandiMusicLove,"Arizona, USA",,and there's nothing like a mad woman.....,,{'urls': []},False,643,161,22,Sat Apr 19 05:38:48 +0000 2014,14824,,,False,False,27117,,,False,False,False,DD2E44,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1339085836394983424/s8ZELgAZ_normal.jpg,https://pbs.twimg.com/profile_images/1339085836394983424/s8ZELgAZ_normal.jpg,https://pbs.twimg.com/profile_banners/2452475064/1608097918,E81C4F,000000,252429,2FC2EF,True,True,False,False,False,False,False,none
created_at,2452475064,2452475064,Amanda,xMandiMusicLove,"Arizona, USA",,and there's nothing like a mad woman.....,,,False,643,161,22,Sat Apr 19 05:38:48 +0000 2014,14824,,,False,False,27117,,Wed Dec 16 05:31:08 +0000 2020,False,False,False,DD2E44,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1339085836394983424/s8ZELgAZ_normal.jpg,https://pbs.twimg.com/profile_images/1339085836394983424/s8ZELgAZ_normal.jpg,https://pbs.twimg.com/profile_banners/2452475064/1608097918,E81C4F,000000,252429,2FC2EF,True,True,False,False,False,False,False,none
id,2452475064,2452475064,Amanda,xMandiMusicLove,"Arizona, USA",,and there's nothing like a mad woman.....,,,False,643,161,22,Sat Apr 19 05:38:48 +0000 2014,14824,,,False,False,27117,,1339080597667397632,False,False,False,DD2E44,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1339085836394983424/s8ZELgAZ_normal.jpg,https://pbs.twimg.com/profile_images/1339085836394983424/s8ZELgAZ_normal.jpg,https://pbs.twimg.com/profile_banners/2452475064/1608097918,E81C4F,000000,252429,2FC2EF,True,True,False,False,False,False,False,none
id_str,2452475064,2452475064,Amanda,xMandiMusicLove,"Arizona, USA",,and there's nothing like a mad woman.....,,,False,643,161,22,Sat Apr 19 05:38:48 +0000 2014,14824,,,False,False,27117,,1339080597667397632,False,False,False,DD2E44,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1339085836394983424/s8ZELgAZ_normal.jpg,https://pbs.twimg.com/profile_images/1339085836394983424/s8ZELgAZ_normal.jpg,https://pbs.twimg.com/profile_banners/2452475064/1608097918,E81C4F,000000,252429,2FC2EF,True,True,False,False,False,False,False,none
text,2452475064,2452475064,Amanda,xMandiMusicLove,"Arizona, USA",,and there's nothing like a mad woman.....,,,False,643,161,22,Sat Apr 19 05:38:48 +0000 2014,14824,,,False,False,27117,,@jakemiller 🙋🏻‍♀️ been part of the Millertary since 2013 🥺👉🏻👈🏻,False,False,False,DD2E44,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1339085836394983424/s8ZELgAZ_normal.jpg,https://pbs.twimg.com/profile_images/1339085836394983424/s8ZELgAZ_normal.jpg,https://pbs.twimg.com/profile_banners/2452475064/1608097918,E81C4F,000000,252429,2FC2EF,True,True,False,False,False,False,False,none
truncated,2452475064,2452475064,Amanda,xMandiMusicLove,"Arizona, USA",,and there's nothing like a mad woman.....,,,False,643,161,22,Sat Apr 19 05:38:48 +0000 2014,14824,,,False,False,27117,,False,False,False,False,DD2E44,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1339085836394983424/s8ZELgAZ_normal.jpg,https://pbs.twimg.com/profile_images/1339085836394983424/s8ZELgAZ_normal.jpg,https://pbs.twimg.com/profile_banners/2452475064/1608097918,E81C4F,000000,252429,2FC2EF,True,True,False,False,False,False,False,none
entities,2452475064,2452475064,Amanda,xMandiMusicLove,"Arizona, USA",,and there's nothing like a mad woman.....,,,False,643,161,22,Sat Apr 19 05:38:48 +0000 2014,14824,,,False,False,27117,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jakemiller', 'name': 'Jake Miller', 'id': 232376381, 'id_str': '232376381', 'indices': [0, 11]}], 'urls': []}",False,False,False,DD2E44,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1339085836394983424/s8ZELgAZ_normal.jpg,https://pbs.twimg.com/profile_images/1339085836394983424/s8ZELgAZ_normal.jpg,https://pbs.twimg.com/profile_banners/2452475064/1608097918,E81C4F,000000,252429,2FC2EF,True,True,False,False,False,False,False,none
source,2452475064,2452475064,Amanda,xMandiMusicLove,"Arizona, USA",,and there's nothing like a mad woman.....,,,False,643,161,22,Sat Apr 19 05:38:48 +0000 2014,14824,,,False,False,27117,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,DD2E44,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1339085836394983424/s8ZELgAZ_normal.jpg,https://pbs.twimg.com/profile_images/1339085836394983424/s8ZELgAZ_normal.jpg,https://pbs.twimg.com/profile_banners/2452475064/1608097918,E81C4F,000000,252429,2FC2EF,True,True,False,False,False,False,False,none
in_reply_to_status_id,2452475064,2452475064,Amanda,xMandiMusicLove,"Arizona, USA",,and there's nothing like a mad woman.....,,,False,643,161,22,Sat Apr 19 05:38:48 +0000 2014,14824,,,False,False,27117,,1339077865048948736,False,False,False,DD2E44,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1339085836394983424/s8ZELgAZ_normal.jpg,https://pbs.twimg.com/profile_images/1339085836394983424/s8ZELgAZ_normal.jpg,https://pbs.twimg.com/profile_banners/2452475064/1608097918,E81C4F,000000,252429,2FC2EF,True,True,False,False,False,False,False,none
in_reply_to_status_id_str,2452475064,2452475064,Amanda,xMandiMusicLove,"Arizona, USA",,and there's nothing like a mad woman.....,,,False,643,161,22,Sat Apr 19 05:38:48 +0000 2014,14824,,,False,False,27117,,1339077865048948736,False,False,False,DD2E44,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1339085836394983424/s8ZELgAZ_normal.jpg,https://pbs.twimg.com/profile_images/1339085836394983424/s8ZELgAZ_normal.jpg,https://pbs.twimg.com/profile_banners/2452475064/1608097918,E81C4F,000000,252429,2FC2EF,True,True,False,False,False,False,False,none
