,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,99202925,99202925,branganronpa,youvebeenSLAIN,"Ohio, USA",,husband. father of two. jrpg & anime connoisseur.,,{'urls': []},False,744,616,16,Fri Dec 25 02:12:22 +0000 2009,15629,,,True,False,58575,,,False,False,False,131516,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/1327258152912478208/6q3pI9st_normal.jpg,https://pbs.twimg.com/profile_images/1327258152912478208/6q3pI9st_normal.jpg,https://pbs.twimg.com/profile_banners/99202925/1607196901,009999,EEEEEE,EFEFEF,333333,True,True,False,False,False,False,False,none
created_at,99202925,99202925,branganronpa,youvebeenSLAIN,"Ohio, USA",,husband. father of two. jrpg & anime connoisseur.,,,False,744,616,16,Fri Dec 25 02:12:22 +0000 2009,15629,,,True,False,58575,,Wed Dec 16 03:43:23 +0000 2020,False,False,False,131516,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/1327258152912478208/6q3pI9st_normal.jpg,https://pbs.twimg.com/profile_images/1327258152912478208/6q3pI9st_normal.jpg,https://pbs.twimg.com/profile_banners/99202925/1607196901,009999,EEEEEE,EFEFEF,333333,True,True,False,False,False,False,False,none
id,99202925,99202925,branganronpa,youvebeenSLAIN,"Ohio, USA",,husband. father of two. jrpg & anime connoisseur.,,,False,744,616,16,Fri Dec 25 02:12:22 +0000 2009,15629,,,True,False,58575,,1339053484650459136,False,False,False,131516,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/1327258152912478208/6q3pI9st_normal.jpg,https://pbs.twimg.com/profile_images/1327258152912478208/6q3pI9st_normal.jpg,https://pbs.twimg.com/profile_banners/99202925/1607196901,009999,EEEEEE,EFEFEF,333333,True,True,False,False,False,False,False,none
id_str,99202925,99202925,branganronpa,youvebeenSLAIN,"Ohio, USA",,husband. father of two. jrpg & anime connoisseur.,,,False,744,616,16,Fri Dec 25 02:12:22 +0000 2009,15629,,,True,False,58575,,1339053484650459136,False,False,False,131516,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/1327258152912478208/6q3pI9st_normal.jpg,https://pbs.twimg.com/profile_images/1327258152912478208/6q3pI9st_normal.jpg,https://pbs.twimg.com/profile_banners/99202925/1607196901,009999,EEEEEE,EFEFEF,333333,True,True,False,False,False,False,False,none
text,99202925,99202925,branganronpa,youvebeenSLAIN,"Ohio, USA",,husband. father of two. jrpg & anime connoisseur.,,,False,744,616,16,Fri Dec 25 02:12:22 +0000 2009,15629,,,True,False,58575,,RT @Mlickles: this is so funny man https://t.co/VTrvbBRqkA,False,False,False,131516,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/1327258152912478208/6q3pI9st_normal.jpg,https://pbs.twimg.com/profile_images/1327258152912478208/6q3pI9st_normal.jpg,https://pbs.twimg.com/profile_banners/99202925/1607196901,009999,EEEEEE,EFEFEF,333333,True,True,False,False,False,False,False,none
truncated,99202925,99202925,branganronpa,youvebeenSLAIN,"Ohio, USA",,husband. father of two. jrpg & anime connoisseur.,,,False,744,616,16,Fri Dec 25 02:12:22 +0000 2009,15629,,,True,False,58575,,False,False,False,False,131516,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/1327258152912478208/6q3pI9st_normal.jpg,https://pbs.twimg.com/profile_images/1327258152912478208/6q3pI9st_normal.jpg,https://pbs.twimg.com/profile_banners/99202925/1607196901,009999,EEEEEE,EFEFEF,333333,True,True,False,False,False,False,False,none
entities,99202925,99202925,branganronpa,youvebeenSLAIN,"Ohio, USA",,husband. father of two. jrpg & anime connoisseur.,,,False,744,616,16,Fri Dec 25 02:12:22 +0000 2009,15629,,,True,False,58575,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Mlickles', 'name': 'Mlick', 'id': 2633054164, 'id_str': '2633054164', 'indices': [3, 12]}], 'urls': [], 'media': [{'id': 1338625729504874504, 'id_str': '1338625729504874504', 'indices': [35, 58], 'media_url': 'http://pbs.twimg.com/media/EpPBAjZWEAgmUq1.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpPBAjZWEAgmUq1.jpg', 'url': 'https://t.co/VTrvbBRqkA', 'display_url': 'pic.twitter.com/VTrvbBRqkA', 'expanded_url': 'https://twitter.com/Mlickles/status/1338625732235419650/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1080, 'h': 1433, 'resize': 'fit'}, 'small': {'w': 512, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 904, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1338625732235419650, 'source_status_id_str': '1338625732235419650', 'source_user_id': 2633054164, 'source_user_id_str': '2633054164'}]}",False,False,False,131516,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/1327258152912478208/6q3pI9st_normal.jpg,https://pbs.twimg.com/profile_images/1327258152912478208/6q3pI9st_normal.jpg,https://pbs.twimg.com/profile_banners/99202925/1607196901,009999,EEEEEE,EFEFEF,333333,True,True,False,False,False,False,False,none
extended_entities,99202925,99202925,branganronpa,youvebeenSLAIN,"Ohio, USA",,husband. father of two. jrpg & anime connoisseur.,,,False,744,616,16,Fri Dec 25 02:12:22 +0000 2009,15629,,,True,False,58575,,"{'media': [{'id': 1338625729504874504, 'id_str': '1338625729504874504', 'indices': [35, 58], 'media_url': 'http://pbs.twimg.com/media/EpPBAjZWEAgmUq1.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpPBAjZWEAgmUq1.jpg', 'url': 'https://t.co/VTrvbBRqkA', 'display_url': 'pic.twitter.com/VTrvbBRqkA', 'expanded_url': 'https://twitter.com/Mlickles/status/1338625732235419650/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1080, 'h': 1433, 'resize': 'fit'}, 'small': {'w': 512, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 904, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1338625732235419650, 'source_status_id_str': '1338625732235419650', 'source_user_id': 2633054164, 'source_user_id_str': '2633054164'}]}",False,False,False,131516,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/1327258152912478208/6q3pI9st_normal.jpg,https://pbs.twimg.com/profile_images/1327258152912478208/6q3pI9st_normal.jpg,https://pbs.twimg.com/profile_banners/99202925/1607196901,009999,EEEEEE,EFEFEF,333333,True,True,False,False,False,False,False,none
source,99202925,99202925,branganronpa,youvebeenSLAIN,"Ohio, USA",,husband. father of two. jrpg & anime connoisseur.,,,False,744,616,16,Fri Dec 25 02:12:22 +0000 2009,15629,,,True,False,58575,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,131516,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/1327258152912478208/6q3pI9st_normal.jpg,https://pbs.twimg.com/profile_images/1327258152912478208/6q3pI9st_normal.jpg,https://pbs.twimg.com/profile_banners/99202925/1607196901,009999,EEEEEE,EFEFEF,333333,True,True,False,False,False,False,False,none
in_reply_to_status_id,99202925,99202925,branganronpa,youvebeenSLAIN,"Ohio, USA",,husband. father of two. jrpg & anime connoisseur.,,,False,744,616,16,Fri Dec 25 02:12:22 +0000 2009,15629,,,True,False,58575,,,False,False,False,131516,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/1327258152912478208/6q3pI9st_normal.jpg,https://pbs.twimg.com/profile_images/1327258152912478208/6q3pI9st_normal.jpg,https://pbs.twimg.com/profile_banners/99202925/1607196901,009999,EEEEEE,EFEFEF,333333,True,True,False,False,False,False,False,none
