,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,4828070625,4828070625,Malika Agyeman,Afialovesyoubac,In the Heart,,Love a great book.,,{'urls': []},False,60,35,4,Wed Jan 20 00:37:11 +0000 2016,17285,,,False,False,87356,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1283188805797842946/ePYl2CP3_normal.jpg,https://pbs.twimg.com/profile_images/1283188805797842946/ePYl2CP3_normal.jpg,https://pbs.twimg.com/profile_banners/4828070625/1483377406,FF691F,000000,000000,000000,False,False,False,False,False,False,False,none
created_at,4828070625,4828070625,Malika Agyeman,Afialovesyoubac,In the Heart,,Love a great book.,,,False,60,35,4,Wed Jan 20 00:37:11 +0000 2016,17285,,,False,False,87356,,Wed Dec 16 08:17:16 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1283188805797842946/ePYl2CP3_normal.jpg,https://pbs.twimg.com/profile_images/1283188805797842946/ePYl2CP3_normal.jpg,https://pbs.twimg.com/profile_banners/4828070625/1483377406,FF691F,000000,000000,000000,False,False,False,False,False,False,False,none
id,4828070625,4828070625,Malika Agyeman,Afialovesyoubac,In the Heart,,Love a great book.,,,False,60,35,4,Wed Jan 20 00:37:11 +0000 2016,17285,,,False,False,87356,,1339122406305263617,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1283188805797842946/ePYl2CP3_normal.jpg,https://pbs.twimg.com/profile_images/1283188805797842946/ePYl2CP3_normal.jpg,https://pbs.twimg.com/profile_banners/4828070625/1483377406,FF691F,000000,000000,000000,False,False,False,False,False,False,False,none
id_str,4828070625,4828070625,Malika Agyeman,Afialovesyoubac,In the Heart,,Love a great book.,,,False,60,35,4,Wed Jan 20 00:37:11 +0000 2016,17285,,,False,False,87356,,1339122406305263617,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1283188805797842946/ePYl2CP3_normal.jpg,https://pbs.twimg.com/profile_images/1283188805797842946/ePYl2CP3_normal.jpg,https://pbs.twimg.com/profile_banners/4828070625/1483377406,FF691F,000000,000000,000000,False,False,False,False,False,False,False,none
text,4828070625,4828070625,Malika Agyeman,Afialovesyoubac,In the Heart,,Love a great book.,,,False,60,35,4,Wed Jan 20 00:37:11 +0000 2016,17285,,,False,False,87356,,https://t.co/YpitgAttOu,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1283188805797842946/ePYl2CP3_normal.jpg,https://pbs.twimg.com/profile_images/1283188805797842946/ePYl2CP3_normal.jpg,https://pbs.twimg.com/profile_banners/4828070625/1483377406,FF691F,000000,000000,000000,False,False,False,False,False,False,False,none
truncated,4828070625,4828070625,Malika Agyeman,Afialovesyoubac,In the Heart,,Love a great book.,,,False,60,35,4,Wed Jan 20 00:37:11 +0000 2016,17285,,,False,False,87356,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1283188805797842946/ePYl2CP3_normal.jpg,https://pbs.twimg.com/profile_images/1283188805797842946/ePYl2CP3_normal.jpg,https://pbs.twimg.com/profile_banners/4828070625/1483377406,FF691F,000000,000000,000000,False,False,False,False,False,False,False,none
entities,4828070625,4828070625,Malika Agyeman,Afialovesyoubac,In the Heart,,Love a great book.,,,False,60,35,4,Wed Jan 20 00:37:11 +0000 2016,17285,,,False,False,87356,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1339122400936554502, 'id_str': '1339122400936554502', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/media/EpWEuoqXcAY0ihr.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpWEuoqXcAY0ihr.jpg', 'url': 'https://t.co/YpitgAttOu', 'display_url': 'pic.twitter.com/YpitgAttOu', 'expanded_url': 'https://twitter.com/Afialovesyoubac/status/1339122406305263617/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 430, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 758, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1171, 'h': 1853, 'resize': 'fit'}}}]}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1283188805797842946/ePYl2CP3_normal.jpg,https://pbs.twimg.com/profile_images/1283188805797842946/ePYl2CP3_normal.jpg,https://pbs.twimg.com/profile_banners/4828070625/1483377406,FF691F,000000,000000,000000,False,False,False,False,False,False,False,none
extended_entities,4828070625,4828070625,Malika Agyeman,Afialovesyoubac,In the Heart,,Love a great book.,,,False,60,35,4,Wed Jan 20 00:37:11 +0000 2016,17285,,,False,False,87356,,"{'media': [{'id': 1339122400936554502, 'id_str': '1339122400936554502', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/media/EpWEuoqXcAY0ihr.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpWEuoqXcAY0ihr.jpg', 'url': 'https://t.co/YpitgAttOu', 'display_url': 'pic.twitter.com/YpitgAttOu', 'expanded_url': 'https://twitter.com/Afialovesyoubac/status/1339122406305263617/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 430, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 758, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1171, 'h': 1853, 'resize': 'fit'}}}]}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1283188805797842946/ePYl2CP3_normal.jpg,https://pbs.twimg.com/profile_images/1283188805797842946/ePYl2CP3_normal.jpg,https://pbs.twimg.com/profile_banners/4828070625/1483377406,FF691F,000000,000000,000000,False,False,False,False,False,False,False,none
source,4828070625,4828070625,Malika Agyeman,Afialovesyoubac,In the Heart,,Love a great book.,,,False,60,35,4,Wed Jan 20 00:37:11 +0000 2016,17285,,,False,False,87356,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1283188805797842946/ePYl2CP3_normal.jpg,https://pbs.twimg.com/profile_images/1283188805797842946/ePYl2CP3_normal.jpg,https://pbs.twimg.com/profile_banners/4828070625/1483377406,FF691F,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_status_id,4828070625,4828070625,Malika Agyeman,Afialovesyoubac,In the Heart,,Love a great book.,,,False,60,35,4,Wed Jan 20 00:37:11 +0000 2016,17285,,,False,False,87356,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1283188805797842946/ePYl2CP3_normal.jpg,https://pbs.twimg.com/profile_images/1283188805797842946/ePYl2CP3_normal.jpg,https://pbs.twimg.com/profile_banners/4828070625/1483377406,FF691F,000000,000000,000000,False,False,False,False,False,False,False,none
