,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,853915885,853915885,Big Wally - I had to get up anyway...,BostonWest80111,"Denver, CO",,Raised on the North Shore of Boston. Pats/Sox/Celts/Bruins/Notre Dame fan. Leans conservative. Now playing out the string in Denver.,,{'urls': []},False,542,600,5,Sun Sep 30 01:39:12 +0000 2012,24997,,,False,False,46773,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1032367487751311361/Ms9tYZF1_normal.jpg,https://pbs.twimg.com/profile_images/1032367487751311361/Ms9tYZF1_normal.jpg,https://pbs.twimg.com/profile_banners/853915885/1500906405,0084B4,000000,000000,000000,False,True,False,False,False,False,False,none
created_at,853915885,853915885,Big Wally - I had to get up anyway...,BostonWest80111,"Denver, CO",,Raised on the North Shore of Boston. Pats/Sox/Celts/Bruins/Notre Dame fan. Leans conservative. Now playing out the string in Denver.,,,False,542,600,5,Sun Sep 30 01:39:12 +0000 2012,24997,,,False,False,46773,,Wed Dec 16 03:02:35 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1032367487751311361/Ms9tYZF1_normal.jpg,https://pbs.twimg.com/profile_images/1032367487751311361/Ms9tYZF1_normal.jpg,https://pbs.twimg.com/profile_banners/853915885/1500906405,0084B4,000000,000000,000000,False,True,False,False,False,False,False,none
id,853915885,853915885,Big Wally - I had to get up anyway...,BostonWest80111,"Denver, CO",,Raised on the North Shore of Boston. Pats/Sox/Celts/Bruins/Notre Dame fan. Leans conservative. Now playing out the string in Denver.,,,False,542,600,5,Sun Sep 30 01:39:12 +0000 2012,24997,,,False,False,46773,,1339043214284636160,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1032367487751311361/Ms9tYZF1_normal.jpg,https://pbs.twimg.com/profile_images/1032367487751311361/Ms9tYZF1_normal.jpg,https://pbs.twimg.com/profile_banners/853915885/1500906405,0084B4,000000,000000,000000,False,True,False,False,False,False,False,none
id_str,853915885,853915885,Big Wally - I had to get up anyway...,BostonWest80111,"Denver, CO",,Raised on the North Shore of Boston. Pats/Sox/Celts/Bruins/Notre Dame fan. Leans conservative. Now playing out the string in Denver.,,,False,542,600,5,Sun Sep 30 01:39:12 +0000 2012,24997,,,False,False,46773,,1339043214284636160,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1032367487751311361/Ms9tYZF1_normal.jpg,https://pbs.twimg.com/profile_images/1032367487751311361/Ms9tYZF1_normal.jpg,https://pbs.twimg.com/profile_banners/853915885/1500906405,0084B4,000000,000000,000000,False,True,False,False,False,False,False,none
text,853915885,853915885,Big Wally - I had to get up anyway...,BostonWest80111,"Denver, CO",,Raised on the North Shore of Boston. Pats/Sox/Celts/Bruins/Notre Dame fan. Leans conservative. Now playing out the string in Denver.,,,False,542,600,5,Sun Sep 30 01:39:12 +0000 2012,24997,,,False,False,46773,,"@TMurph207 Odenkirk always seemed to have a Darkside, now they’re actually going to use it in a movie.",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1032367487751311361/Ms9tYZF1_normal.jpg,https://pbs.twimg.com/profile_images/1032367487751311361/Ms9tYZF1_normal.jpg,https://pbs.twimg.com/profile_banners/853915885/1500906405,0084B4,000000,000000,000000,False,True,False,False,False,False,False,none
truncated,853915885,853915885,Big Wally - I had to get up anyway...,BostonWest80111,"Denver, CO",,Raised on the North Shore of Boston. Pats/Sox/Celts/Bruins/Notre Dame fan. Leans conservative. Now playing out the string in Denver.,,,False,542,600,5,Sun Sep 30 01:39:12 +0000 2012,24997,,,False,False,46773,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1032367487751311361/Ms9tYZF1_normal.jpg,https://pbs.twimg.com/profile_images/1032367487751311361/Ms9tYZF1_normal.jpg,https://pbs.twimg.com/profile_banners/853915885/1500906405,0084B4,000000,000000,000000,False,True,False,False,False,False,False,none
entities,853915885,853915885,Big Wally - I had to get up anyway...,BostonWest80111,"Denver, CO",,Raised on the North Shore of Boston. Pats/Sox/Celts/Bruins/Notre Dame fan. Leans conservative. Now playing out the string in Denver.,,,False,542,600,5,Sun Sep 30 01:39:12 +0000 2012,24997,,,False,False,46773,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TMurph207', 'name': 'Murph', 'id': 186914548, 'id_str': '186914548', 'indices': [0, 10]}], 'urls': []}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1032367487751311361/Ms9tYZF1_normal.jpg,https://pbs.twimg.com/profile_images/1032367487751311361/Ms9tYZF1_normal.jpg,https://pbs.twimg.com/profile_banners/853915885/1500906405,0084B4,000000,000000,000000,False,True,False,False,False,False,False,none
source,853915885,853915885,Big Wally - I had to get up anyway...,BostonWest80111,"Denver, CO",,Raised on the North Shore of Boston. Pats/Sox/Celts/Bruins/Notre Dame fan. Leans conservative. Now playing out the string in Denver.,,,False,542,600,5,Sun Sep 30 01:39:12 +0000 2012,24997,,,False,False,46773,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1032367487751311361/Ms9tYZF1_normal.jpg,https://pbs.twimg.com/profile_images/1032367487751311361/Ms9tYZF1_normal.jpg,https://pbs.twimg.com/profile_banners/853915885/1500906405,0084B4,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id,853915885,853915885,Big Wally - I had to get up anyway...,BostonWest80111,"Denver, CO",,Raised on the North Shore of Boston. Pats/Sox/Celts/Bruins/Notre Dame fan. Leans conservative. Now playing out the string in Denver.,,,False,542,600,5,Sun Sep 30 01:39:12 +0000 2012,24997,,,False,False,46773,,1339042440133701632,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1032367487751311361/Ms9tYZF1_normal.jpg,https://pbs.twimg.com/profile_images/1032367487751311361/Ms9tYZF1_normal.jpg,https://pbs.twimg.com/profile_banners/853915885/1500906405,0084B4,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id_str,853915885,853915885,Big Wally - I had to get up anyway...,BostonWest80111,"Denver, CO",,Raised on the North Shore of Boston. Pats/Sox/Celts/Bruins/Notre Dame fan. Leans conservative. Now playing out the string in Denver.,,,False,542,600,5,Sun Sep 30 01:39:12 +0000 2012,24997,,,False,False,46773,,1339042440133701632,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1032367487751311361/Ms9tYZF1_normal.jpg,https://pbs.twimg.com/profile_images/1032367487751311361/Ms9tYZF1_normal.jpg,https://pbs.twimg.com/profile_banners/853915885/1500906405,0084B4,000000,000000,000000,False,True,False,False,False,False,False,none
