,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
id,833760550106587137,833760550106587137,Señora Chase,ChaseSpanish,"Gainesville, GA",ec6dac47648ca27f,"Spanish Teacher, Peer Leadership Teacher, and Football Academic Coach at Collins Hill High School 💚",,,False,368,482,2,Mon Feb 20 19:29:40 +0000 2017,1086,,,True,False,2052,,1339017661641093124,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335745215559241735/jJjfow2S_normal.jpg,https://pbs.twimg.com/profile_images/1335745215559241735/jJjfow2S_normal.jpg,https://pbs.twimg.com/profile_banners/833760550106587137/1602639646,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
url,833760550106587137,833760550106587137,Señora Chase,ChaseSpanish,"Gainesville, GA",https://api.twitter.com/1.1/geo/id/ec6dac47648ca27f.json,"Spanish Teacher, Peer Leadership Teacher, and Football Academic Coach at Collins Hill High School 💚",,,False,368,482,2,Mon Feb 20 19:29:40 +0000 2017,1086,,,True,False,2052,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335745215559241735/jJjfow2S_normal.jpg,https://pbs.twimg.com/profile_images/1335745215559241735/jJjfow2S_normal.jpg,https://pbs.twimg.com/profile_banners/833760550106587137/1602639646,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place_type,833760550106587137,833760550106587137,Señora Chase,ChaseSpanish,"Gainesville, GA",unknown,"Spanish Teacher, Peer Leadership Teacher, and Football Academic Coach at Collins Hill High School 💚",,,False,368,482,2,Mon Feb 20 19:29:40 +0000 2017,1086,,,True,False,2052,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335745215559241735/jJjfow2S_normal.jpg,https://pbs.twimg.com/profile_images/1335745215559241735/jJjfow2S_normal.jpg,https://pbs.twimg.com/profile_banners/833760550106587137/1602639646,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
name,833760550106587137,833760550106587137,Señora Chase,ChaseSpanish,"Gainesville, GA","Gainesville, GA","Spanish Teacher, Peer Leadership Teacher, and Football Academic Coach at Collins Hill High School 💚",,,False,368,482,2,Mon Feb 20 19:29:40 +0000 2017,1086,,,True,False,2052,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335745215559241735/jJjfow2S_normal.jpg,https://pbs.twimg.com/profile_images/1335745215559241735/jJjfow2S_normal.jpg,https://pbs.twimg.com/profile_banners/833760550106587137/1602639646,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
full_name,833760550106587137,833760550106587137,Señora Chase,ChaseSpanish,"Gainesville, GA","Gainesville, GA","Spanish Teacher, Peer Leadership Teacher, and Football Academic Coach at Collins Hill High School 💚",,,False,368,482,2,Mon Feb 20 19:29:40 +0000 2017,1086,,,True,False,2052,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335745215559241735/jJjfow2S_normal.jpg,https://pbs.twimg.com/profile_images/1335745215559241735/jJjfow2S_normal.jpg,https://pbs.twimg.com/profile_banners/833760550106587137/1602639646,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
country_code,833760550106587137,833760550106587137,Señora Chase,ChaseSpanish,"Gainesville, GA",,"Spanish Teacher, Peer Leadership Teacher, and Football Academic Coach at Collins Hill High School 💚",,,False,368,482,2,Mon Feb 20 19:29:40 +0000 2017,1086,,,True,False,2052,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335745215559241735/jJjfow2S_normal.jpg,https://pbs.twimg.com/profile_images/1335745215559241735/jJjfow2S_normal.jpg,https://pbs.twimg.com/profile_banners/833760550106587137/1602639646,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
country,833760550106587137,833760550106587137,Señora Chase,ChaseSpanish,"Gainesville, GA",,"Spanish Teacher, Peer Leadership Teacher, and Football Academic Coach at Collins Hill High School 💚",,,False,368,482,2,Mon Feb 20 19:29:40 +0000 2017,1086,,,True,False,2052,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335745215559241735/jJjfow2S_normal.jpg,https://pbs.twimg.com/profile_images/1335745215559241735/jJjfow2S_normal.jpg,https://pbs.twimg.com/profile_banners/833760550106587137/1602639646,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contained_within,833760550106587137,833760550106587137,Señora Chase,ChaseSpanish,"Gainesville, GA",[],"Spanish Teacher, Peer Leadership Teacher, and Football Academic Coach at Collins Hill High School 💚",,,False,368,482,2,Mon Feb 20 19:29:40 +0000 2017,1086,,,True,False,2052,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335745215559241735/jJjfow2S_normal.jpg,https://pbs.twimg.com/profile_images/1335745215559241735/jJjfow2S_normal.jpg,https://pbs.twimg.com/profile_banners/833760550106587137/1602639646,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
bounding_box,833760550106587137,833760550106587137,Señora Chase,ChaseSpanish,"Gainesville, GA",,"Spanish Teacher, Peer Leadership Teacher, and Football Academic Coach at Collins Hill High School 💚",,,False,368,482,2,Mon Feb 20 19:29:40 +0000 2017,1086,,,True,False,2052,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335745215559241735/jJjfow2S_normal.jpg,https://pbs.twimg.com/profile_images/1335745215559241735/jJjfow2S_normal.jpg,https://pbs.twimg.com/profile_banners/833760550106587137/1602639646,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
attributes,833760550106587137,833760550106587137,Señora Chase,ChaseSpanish,"Gainesville, GA",{},"Spanish Teacher, Peer Leadership Teacher, and Football Academic Coach at Collins Hill High School 💚",,,False,368,482,2,Mon Feb 20 19:29:40 +0000 2017,1086,,,True,False,2052,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335745215559241735/jJjfow2S_normal.jpg,https://pbs.twimg.com/profile_images/1335745215559241735/jJjfow2S_normal.jpg,https://pbs.twimg.com/profile_banners/833760550106587137/1602639646,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
