,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,3065939512,3065939512,Robert K Morgan,PelagiusRobert,Exclusion Zone - Montserrat,,"Published Recon For Investors & Apple (AAPL) Recon, Frater Pelagius of The ) Monks. “Enabled Veteran”",https://t.co/hVB4vqLkwO,"{'urls': [{'url': 'https://t.co/hVB4vqLkwO', 'expanded_url': 'http://www.pelagius.com', 'display_url': 'pelagius.com', 'indices': [0, 23]}]}",False,519,750,11,Mon Mar 02 03:28:06 +0000 2015,6015,,,False,False,28296,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1113190059732344832/x3QcN-rN_normal.jpg,https://pbs.twimg.com/profile_images/1113190059732344832/x3QcN-rN_normal.jpg,https://pbs.twimg.com/profile_banners/3065939512/1595446221,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
description,3065939512,3065939512,Robert K Morgan,PelagiusRobert,Exclusion Zone - Montserrat,,"Published Recon For Investors & Apple (AAPL) Recon, Frater Pelagius of The ) Monks. “Enabled Veteran”",https://t.co/hVB4vqLkwO,{'urls': []},False,519,750,11,Mon Mar 02 03:28:06 +0000 2015,6015,,,False,False,28296,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1113190059732344832/x3QcN-rN_normal.jpg,https://pbs.twimg.com/profile_images/1113190059732344832/x3QcN-rN_normal.jpg,https://pbs.twimg.com/profile_banners/3065939512/1595446221,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
created_at,3065939512,3065939512,Robert K Morgan,PelagiusRobert,Exclusion Zone - Montserrat,,"Published Recon For Investors & Apple (AAPL) Recon, Frater Pelagius of The ) Monks. “Enabled Veteran”",https://t.co/hVB4vqLkwO,,False,519,750,11,Mon Mar 02 03:28:06 +0000 2015,6015,,,False,False,28296,,Wed Dec 16 02:29:41 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1113190059732344832/x3QcN-rN_normal.jpg,https://pbs.twimg.com/profile_images/1113190059732344832/x3QcN-rN_normal.jpg,https://pbs.twimg.com/profile_banners/3065939512/1595446221,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id,3065939512,3065939512,Robert K Morgan,PelagiusRobert,Exclusion Zone - Montserrat,,"Published Recon For Investors & Apple (AAPL) Recon, Frater Pelagius of The ) Monks. “Enabled Veteran”",https://t.co/hVB4vqLkwO,,False,519,750,11,Mon Mar 02 03:28:06 +0000 2015,6015,,,False,False,28296,,1339034937433972736,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1113190059732344832/x3QcN-rN_normal.jpg,https://pbs.twimg.com/profile_images/1113190059732344832/x3QcN-rN_normal.jpg,https://pbs.twimg.com/profile_banners/3065939512/1595446221,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id_str,3065939512,3065939512,Robert K Morgan,PelagiusRobert,Exclusion Zone - Montserrat,,"Published Recon For Investors & Apple (AAPL) Recon, Frater Pelagius of The ) Monks. “Enabled Veteran”",https://t.co/hVB4vqLkwO,,False,519,750,11,Mon Mar 02 03:28:06 +0000 2015,6015,,,False,False,28296,,1339034937433972736,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1113190059732344832/x3QcN-rN_normal.jpg,https://pbs.twimg.com/profile_images/1113190059732344832/x3QcN-rN_normal.jpg,https://pbs.twimg.com/profile_banners/3065939512/1595446221,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
text,3065939512,3065939512,Robert K Morgan,PelagiusRobert,Exclusion Zone - Montserrat,,"Published Recon For Investors & Apple (AAPL) Recon, Frater Pelagius of The ) Monks. “Enabled Veteran”",https://t.co/hVB4vqLkwO,,False,519,750,11,Mon Mar 02 03:28:06 +0000 2015,6015,,,False,False,28296,,"@navyhato That do is definitely hiding an Adam’s Apple...
Time to break out the Twitter Pronouns Accepted Guideline… https://t.co/BtDtJFIR3A",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1113190059732344832/x3QcN-rN_normal.jpg,https://pbs.twimg.com/profile_images/1113190059732344832/x3QcN-rN_normal.jpg,https://pbs.twimg.com/profile_banners/3065939512/1595446221,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
truncated,3065939512,3065939512,Robert K Morgan,PelagiusRobert,Exclusion Zone - Montserrat,,"Published Recon For Investors & Apple (AAPL) Recon, Frater Pelagius of The ) Monks. “Enabled Veteran”",https://t.co/hVB4vqLkwO,,False,519,750,11,Mon Mar 02 03:28:06 +0000 2015,6015,,,False,False,28296,,True,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1113190059732344832/x3QcN-rN_normal.jpg,https://pbs.twimg.com/profile_images/1113190059732344832/x3QcN-rN_normal.jpg,https://pbs.twimg.com/profile_banners/3065939512/1595446221,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
entities,3065939512,3065939512,Robert K Morgan,PelagiusRobert,Exclusion Zone - Montserrat,,"Published Recon For Investors & Apple (AAPL) Recon, Frater Pelagius of The ) Monks. “Enabled Veteran”",https://t.co/hVB4vqLkwO,,False,519,750,11,Mon Mar 02 03:28:06 +0000 2015,6015,,,False,False,28296,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'navyhato', 'name': 'Felix Rex', 'id': 711535251835629568, 'id_str': '711535251835629568', 'indices': [0, 9]}], 'urls': [{'url': 'https://t.co/BtDtJFIR3A', 'expanded_url': 'https://twitter.com/i/web/status/1339034937433972736', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1113190059732344832/x3QcN-rN_normal.jpg,https://pbs.twimg.com/profile_images/1113190059732344832/x3QcN-rN_normal.jpg,https://pbs.twimg.com/profile_banners/3065939512/1595446221,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
source,3065939512,3065939512,Robert K Morgan,PelagiusRobert,Exclusion Zone - Montserrat,,"Published Recon For Investors & Apple (AAPL) Recon, Frater Pelagius of The ) Monks. “Enabled Veteran”",https://t.co/hVB4vqLkwO,,False,519,750,11,Mon Mar 02 03:28:06 +0000 2015,6015,,,False,False,28296,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1113190059732344832/x3QcN-rN_normal.jpg,https://pbs.twimg.com/profile_images/1113190059732344832/x3QcN-rN_normal.jpg,https://pbs.twimg.com/profile_banners/3065939512/1595446221,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id,3065939512,3065939512,Robert K Morgan,PelagiusRobert,Exclusion Zone - Montserrat,,"Published Recon For Investors & Apple (AAPL) Recon, Frater Pelagius of The ) Monks. “Enabled Veteran”",https://t.co/hVB4vqLkwO,,False,519,750,11,Mon Mar 02 03:28:06 +0000 2015,6015,,,False,False,28296,,1339033837070766080,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1113190059732344832/x3QcN-rN_normal.jpg,https://pbs.twimg.com/profile_images/1113190059732344832/x3QcN-rN_normal.jpg,https://pbs.twimg.com/profile_banners/3065939512/1595446221,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
