,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,403219094,403219094,Stone Cold Scorpio,Podverty,Westside Covina ,,🦂They say nothing is impossible but i do nothing everyday. 🦂 🇺🇸🇲🇽,,{'urls': []},False,200,612,5,Wed Nov 02 05:49:41 +0000 2011,55105,,,True,False,42094,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338317041246224384/plJlcEgu_normal.jpg,https://pbs.twimg.com/profile_images/1338317041246224384/plJlcEgu_normal.jpg,https://pbs.twimg.com/profile_banners/403219094/1466575531,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
created_at,403219094,403219094,Stone Cold Scorpio,Podverty,Westside Covina ,,🦂They say nothing is impossible but i do nothing everyday. 🦂 🇺🇸🇲🇽,,,False,200,612,5,Wed Nov 02 05:49:41 +0000 2011,55105,,,True,False,42094,,Wed Dec 16 07:03:47 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338317041246224384/plJlcEgu_normal.jpg,https://pbs.twimg.com/profile_images/1338317041246224384/plJlcEgu_normal.jpg,https://pbs.twimg.com/profile_banners/403219094/1466575531,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
id,403219094,403219094,Stone Cold Scorpio,Podverty,Westside Covina ,,🦂They say nothing is impossible but i do nothing everyday. 🦂 🇺🇸🇲🇽,,,False,200,612,5,Wed Nov 02 05:49:41 +0000 2011,55105,,,True,False,42094,,1339103916642816000,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338317041246224384/plJlcEgu_normal.jpg,https://pbs.twimg.com/profile_images/1338317041246224384/plJlcEgu_normal.jpg,https://pbs.twimg.com/profile_banners/403219094/1466575531,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
id_str,403219094,403219094,Stone Cold Scorpio,Podverty,Westside Covina ,,🦂They say nothing is impossible but i do nothing everyday. 🦂 🇺🇸🇲🇽,,,False,200,612,5,Wed Nov 02 05:49:41 +0000 2011,55105,,,True,False,42094,,1339103916642816000,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338317041246224384/plJlcEgu_normal.jpg,https://pbs.twimg.com/profile_images/1338317041246224384/plJlcEgu_normal.jpg,https://pbs.twimg.com/profile_banners/403219094/1466575531,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
text,403219094,403219094,Stone Cold Scorpio,Podverty,Westside Covina ,,🦂They say nothing is impossible but i do nothing everyday. 🦂 🇺🇸🇲🇽,,,False,200,612,5,Wed Nov 02 05:49:41 +0000 2011,55105,,,True,False,42094,,https://t.co/u8KxPvrRvT https://t.co/LpeUyQ9P5N,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338317041246224384/plJlcEgu_normal.jpg,https://pbs.twimg.com/profile_images/1338317041246224384/plJlcEgu_normal.jpg,https://pbs.twimg.com/profile_banners/403219094/1466575531,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
truncated,403219094,403219094,Stone Cold Scorpio,Podverty,Westside Covina ,,🦂They say nothing is impossible but i do nothing everyday. 🦂 🇺🇸🇲🇽,,,False,200,612,5,Wed Nov 02 05:49:41 +0000 2011,55105,,,True,False,42094,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338317041246224384/plJlcEgu_normal.jpg,https://pbs.twimg.com/profile_images/1338317041246224384/plJlcEgu_normal.jpg,https://pbs.twimg.com/profile_banners/403219094/1466575531,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
entities,403219094,403219094,Stone Cold Scorpio,Podverty,Westside Covina ,,🦂They say nothing is impossible but i do nothing everyday. 🦂 🇺🇸🇲🇽,,,False,200,612,5,Wed Nov 02 05:49:41 +0000 2011,55105,,,True,False,42094,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/u8KxPvrRvT', 'expanded_url': 'https://twitter.com/SciInsider/status/1337339565498097664', 'display_url': 'twitter.com/SciInsider/sta…', 'indices': [0, 23]}], 'media': [{'id': 1339103911102181376, 'id_str': '1339103911102181376', 'indices': [24, 47], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpVz6YqU8AAnRcs.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpVz6YqU8AAnRcs.jpg', 'url': 'https://t.co/LpeUyQ9P5N', 'display_url': 'pic.twitter.com/LpeUyQ9P5N', 'expanded_url': 'https://twitter.com/Podverty/status/1339103916642816000/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 480, 'h': 480, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 480, 'h': 480, 'resize': 'fit'}, 'large': {'w': 480, 'h': 480, 'resize': 'fit'}}}]}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338317041246224384/plJlcEgu_normal.jpg,https://pbs.twimg.com/profile_images/1338317041246224384/plJlcEgu_normal.jpg,https://pbs.twimg.com/profile_banners/403219094/1466575531,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
extended_entities,403219094,403219094,Stone Cold Scorpio,Podverty,Westside Covina ,,🦂They say nothing is impossible but i do nothing everyday. 🦂 🇺🇸🇲🇽,,,False,200,612,5,Wed Nov 02 05:49:41 +0000 2011,55105,,,True,False,42094,,"{'media': [{'id': 1339103911102181376, 'id_str': '1339103911102181376', 'indices': [24, 47], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpVz6YqU8AAnRcs.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpVz6YqU8AAnRcs.jpg', 'url': 'https://t.co/LpeUyQ9P5N', 'display_url': 'pic.twitter.com/LpeUyQ9P5N', 'expanded_url': 'https://twitter.com/Podverty/status/1339103916642816000/photo/1', 'type': 'animated_gif', 'sizes': {'small': {'w': 480, 'h': 480, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 480, 'h': 480, 'resize': 'fit'}, 'large': {'w': 480, 'h': 480, 'resize': 'fit'}}, 'video_info': {'aspect_ratio': [1, 1], 'variants': [{'bitrate': 0, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/tweet_video/EpVz6YqU8AAnRcs.mp4'}]}}]}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338317041246224384/plJlcEgu_normal.jpg,https://pbs.twimg.com/profile_images/1338317041246224384/plJlcEgu_normal.jpg,https://pbs.twimg.com/profile_banners/403219094/1466575531,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
source,403219094,403219094,Stone Cold Scorpio,Podverty,Westside Covina ,,🦂They say nothing is impossible but i do nothing everyday. 🦂 🇺🇸🇲🇽,,,False,200,612,5,Wed Nov 02 05:49:41 +0000 2011,55105,,,True,False,42094,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338317041246224384/plJlcEgu_normal.jpg,https://pbs.twimg.com/profile_images/1338317041246224384/plJlcEgu_normal.jpg,https://pbs.twimg.com/profile_banners/403219094/1466575531,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
in_reply_to_status_id,403219094,403219094,Stone Cold Scorpio,Podverty,Westside Covina ,,🦂They say nothing is impossible but i do nothing everyday. 🦂 🇺🇸🇲🇽,,,False,200,612,5,Wed Nov 02 05:49:41 +0000 2011,55105,,,True,False,42094,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338317041246224384/plJlcEgu_normal.jpg,https://pbs.twimg.com/profile_images/1338317041246224384/plJlcEgu_normal.jpg,https://pbs.twimg.com/profile_banners/403219094/1466575531,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
