,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,905174895927185409,905174895927185409,QuantumQuench,Quantum_Quench,,,Spin-off of company that researches and develops solutions to difficult problems - preferably those others have failed to find. Like QuantumQuench(TM),https://t.co/HuAlQQ1JAU,"{'urls': [{'url': 'https://t.co/HuAlQQ1JAU', 'expanded_url': 'http://QuantumQuench.com', 'display_url': 'QuantumQuench.com', 'indices': [0, 23]}]}",False,156,189,1,Tue Sep 05 21:04:47 +0000 2017,9532,,,False,False,48196,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/906366753550340096/hXSf2Ojy_normal.jpg,https://pbs.twimg.com/profile_images/906366753550340096/hXSf2Ojy_normal.jpg,https://pbs.twimg.com/profile_banners/905174895927185409/1513740962,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
description,905174895927185409,905174895927185409,QuantumQuench,Quantum_Quench,,,Spin-off of company that researches and develops solutions to difficult problems - preferably those others have failed to find. Like QuantumQuench(TM),https://t.co/HuAlQQ1JAU,{'urls': []},False,156,189,1,Tue Sep 05 21:04:47 +0000 2017,9532,,,False,False,48196,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/906366753550340096/hXSf2Ojy_normal.jpg,https://pbs.twimg.com/profile_images/906366753550340096/hXSf2Ojy_normal.jpg,https://pbs.twimg.com/profile_banners/905174895927185409/1513740962,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
created_at,905174895927185409,905174895927185409,QuantumQuench,Quantum_Quench,,,Spin-off of company that researches and develops solutions to difficult problems - preferably those others have failed to find. Like QuantumQuench(TM),https://t.co/HuAlQQ1JAU,,False,156,189,1,Tue Sep 05 21:04:47 +0000 2017,9532,,,False,False,48196,,Wed Dec 16 05:41:11 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/906366753550340096/hXSf2Ojy_normal.jpg,https://pbs.twimg.com/profile_images/906366753550340096/hXSf2Ojy_normal.jpg,https://pbs.twimg.com/profile_banners/905174895927185409/1513740962,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id,905174895927185409,905174895927185409,QuantumQuench,Quantum_Quench,,,Spin-off of company that researches and develops solutions to difficult problems - preferably those others have failed to find. Like QuantumQuench(TM),https://t.co/HuAlQQ1JAU,,False,156,189,1,Tue Sep 05 21:04:47 +0000 2017,9532,,,False,False,48196,,1339083129429118981,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/906366753550340096/hXSf2Ojy_normal.jpg,https://pbs.twimg.com/profile_images/906366753550340096/hXSf2Ojy_normal.jpg,https://pbs.twimg.com/profile_banners/905174895927185409/1513740962,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id_str,905174895927185409,905174895927185409,QuantumQuench,Quantum_Quench,,,Spin-off of company that researches and develops solutions to difficult problems - preferably those others have failed to find. Like QuantumQuench(TM),https://t.co/HuAlQQ1JAU,,False,156,189,1,Tue Sep 05 21:04:47 +0000 2017,9532,,,False,False,48196,,1339083129429118981,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/906366753550340096/hXSf2Ojy_normal.jpg,https://pbs.twimg.com/profile_images/906366753550340096/hXSf2Ojy_normal.jpg,https://pbs.twimg.com/profile_banners/905174895927185409/1513740962,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
text,905174895927185409,905174895927185409,QuantumQuench,Quantum_Quench,,,Spin-off of company that researches and develops solutions to difficult problems - preferably those others have failed to find. Like QuantumQuench(TM),https://t.co/HuAlQQ1JAU,,False,156,189,1,Tue Sep 05 21:04:47 +0000 2017,9532,,,False,False,48196,,@modeshift What did she really do??? What did she do on climate? How about green energy? How about electric cars? H… https://t.co/2OqP0bEoFI,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/906366753550340096/hXSf2Ojy_normal.jpg,https://pbs.twimg.com/profile_images/906366753550340096/hXSf2Ojy_normal.jpg,https://pbs.twimg.com/profile_banners/905174895927185409/1513740962,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
truncated,905174895927185409,905174895927185409,QuantumQuench,Quantum_Quench,,,Spin-off of company that researches and develops solutions to difficult problems - preferably those others have failed to find. Like QuantumQuench(TM),https://t.co/HuAlQQ1JAU,,False,156,189,1,Tue Sep 05 21:04:47 +0000 2017,9532,,,False,False,48196,,True,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/906366753550340096/hXSf2Ojy_normal.jpg,https://pbs.twimg.com/profile_images/906366753550340096/hXSf2Ojy_normal.jpg,https://pbs.twimg.com/profile_banners/905174895927185409/1513740962,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
entities,905174895927185409,905174895927185409,QuantumQuench,Quantum_Quench,,,Spin-off of company that researches and develops solutions to difficult problems - preferably those others have failed to find. Like QuantumQuench(TM),https://t.co/HuAlQQ1JAU,,False,156,189,1,Tue Sep 05 21:04:47 +0000 2017,9532,,,False,False,48196,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'modeshift', 'name': 'Keith Schneider', 'id': 33199877, 'id_str': '33199877', 'indices': [0, 10]}], 'urls': [{'url': 'https://t.co/2OqP0bEoFI', 'expanded_url': 'https://twitter.com/i/web/status/1339083129429118981', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/906366753550340096/hXSf2Ojy_normal.jpg,https://pbs.twimg.com/profile_images/906366753550340096/hXSf2Ojy_normal.jpg,https://pbs.twimg.com/profile_banners/905174895927185409/1513740962,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
source,905174895927185409,905174895927185409,QuantumQuench,Quantum_Quench,,,Spin-off of company that researches and develops solutions to difficult problems - preferably those others have failed to find. Like QuantumQuench(TM),https://t.co/HuAlQQ1JAU,,False,156,189,1,Tue Sep 05 21:04:47 +0000 2017,9532,,,False,False,48196,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/906366753550340096/hXSf2Ojy_normal.jpg,https://pbs.twimg.com/profile_images/906366753550340096/hXSf2Ojy_normal.jpg,https://pbs.twimg.com/profile_banners/905174895927185409/1513740962,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id,905174895927185409,905174895927185409,QuantumQuench,Quantum_Quench,,,Spin-off of company that researches and develops solutions to difficult problems - preferably those others have failed to find. Like QuantumQuench(TM),https://t.co/HuAlQQ1JAU,,False,156,189,1,Tue Sep 05 21:04:47 +0000 2017,9532,,,False,False,48196,,1339067929216872448,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/906366753550340096/hXSf2Ojy_normal.jpg,https://pbs.twimg.com/profile_images/906366753550340096/hXSf2Ojy_normal.jpg,https://pbs.twimg.com/profile_banners/905174895927185409/1513740962,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
