,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,18147028,18147028,VicTraffic,VicTraffic,"Victoria, Australia",,"Traffic alerts and information for Victoria. Online 5am to 7pm weekdays. If you see any hazards, report them on 131170. In an emergency, call Triple Zero.",https://t.co/KBsXg0mDpz,"{'urls': [{'url': 'https://t.co/KBsXg0mDpz', 'expanded_url': 'http://traffic.vicroads.vic.gov.au', 'display_url': 'traffic.vicroads.vic.gov.au', 'indices': [0, 23]}]}",False,112873,106,633,Mon Dec 15 21:19:45 +0000 2008,231,,,True,True,131900,,,False,False,False,48555E,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1090064003982811136/jrnsNv5F_normal.jpg,https://pbs.twimg.com/profile_images/1090064003982811136/jrnsNv5F_normal.jpg,https://pbs.twimg.com/profile_banners/18147028/1541142074,006C3F,60B947,F6F6F6,333333,True,False,False,False,False,False,False,none
description,18147028,18147028,VicTraffic,VicTraffic,"Victoria, Australia",,"Traffic alerts and information for Victoria. Online 5am to 7pm weekdays. If you see any hazards, report them on 131170. In an emergency, call Triple Zero.",https://t.co/KBsXg0mDpz,{'urls': []},False,112873,106,633,Mon Dec 15 21:19:45 +0000 2008,231,,,True,True,131900,,,False,False,False,48555E,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1090064003982811136/jrnsNv5F_normal.jpg,https://pbs.twimg.com/profile_images/1090064003982811136/jrnsNv5F_normal.jpg,https://pbs.twimg.com/profile_banners/18147028/1541142074,006C3F,60B947,F6F6F6,333333,True,False,False,False,False,False,False,none
created_at,18147028,18147028,VicTraffic,VicTraffic,"Victoria, Australia",,"Traffic alerts and information for Victoria. Online 5am to 7pm weekdays. If you see any hazards, report them on 131170. In an emergency, call Triple Zero.",https://t.co/KBsXg0mDpz,,False,112873,106,633,Mon Dec 15 21:19:45 +0000 2008,231,,,True,True,131900,,Wed Dec 16 07:50:01 +0000 2020,False,False,False,48555E,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1090064003982811136/jrnsNv5F_normal.jpg,https://pbs.twimg.com/profile_images/1090064003982811136/jrnsNv5F_normal.jpg,https://pbs.twimg.com/profile_banners/18147028/1541142074,006C3F,60B947,F6F6F6,333333,True,False,False,False,False,False,False,none
id,18147028,18147028,VicTraffic,VicTraffic,"Victoria, Australia",,"Traffic alerts and information for Victoria. Online 5am to 7pm weekdays. If you see any hazards, report them on 131170. In an emergency, call Triple Zero.",https://t.co/KBsXg0mDpz,,False,112873,106,633,Mon Dec 15 21:19:45 +0000 2008,231,,,True,True,131900,,1339115551432511489,False,False,False,48555E,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1090064003982811136/jrnsNv5F_normal.jpg,https://pbs.twimg.com/profile_images/1090064003982811136/jrnsNv5F_normal.jpg,https://pbs.twimg.com/profile_banners/18147028/1541142074,006C3F,60B947,F6F6F6,333333,True,False,False,False,False,False,False,none
id_str,18147028,18147028,VicTraffic,VicTraffic,"Victoria, Australia",,"Traffic alerts and information for Victoria. Online 5am to 7pm weekdays. If you see any hazards, report them on 131170. In an emergency, call Triple Zero.",https://t.co/KBsXg0mDpz,,False,112873,106,633,Mon Dec 15 21:19:45 +0000 2008,231,,,True,True,131900,,1339115551432511489,False,False,False,48555E,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1090064003982811136/jrnsNv5F_normal.jpg,https://pbs.twimg.com/profile_images/1090064003982811136/jrnsNv5F_normal.jpg,https://pbs.twimg.com/profile_banners/18147028/1541142074,006C3F,60B947,F6F6F6,333333,True,False,False,False,False,False,False,none
text,18147028,18147028,VicTraffic,VicTraffic,"Victoria, Australia",,"Traffic alerts and information for Victoria. Online 5am to 7pm weekdays. If you see any hazards, report them on 131170. In an emergency, call Triple Zero.",https://t.co/KBsXg0mDpz,,False,112873,106,633,Mon Dec 15 21:19:45 +0000 2008,231,,,True,True,131900,,Part of the Monash Freeway closes in both directions tonight between the South Gippsland Freeway and the Princes Hi… https://t.co/Ys1vGgQKHX,False,False,False,48555E,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1090064003982811136/jrnsNv5F_normal.jpg,https://pbs.twimg.com/profile_images/1090064003982811136/jrnsNv5F_normal.jpg,https://pbs.twimg.com/profile_banners/18147028/1541142074,006C3F,60B947,F6F6F6,333333,True,False,False,False,False,False,False,none
truncated,18147028,18147028,VicTraffic,VicTraffic,"Victoria, Australia",,"Traffic alerts and information for Victoria. Online 5am to 7pm weekdays. If you see any hazards, report them on 131170. In an emergency, call Triple Zero.",https://t.co/KBsXg0mDpz,,False,112873,106,633,Mon Dec 15 21:19:45 +0000 2008,231,,,True,True,131900,,True,False,False,False,48555E,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1090064003982811136/jrnsNv5F_normal.jpg,https://pbs.twimg.com/profile_images/1090064003982811136/jrnsNv5F_normal.jpg,https://pbs.twimg.com/profile_banners/18147028/1541142074,006C3F,60B947,F6F6F6,333333,True,False,False,False,False,False,False,none
entities,18147028,18147028,VicTraffic,VicTraffic,"Victoria, Australia",,"Traffic alerts and information for Victoria. Online 5am to 7pm weekdays. If you see any hazards, report them on 131170. In an emergency, call Triple Zero.",https://t.co/KBsXg0mDpz,,False,112873,106,633,Mon Dec 15 21:19:45 +0000 2008,231,,,True,True,131900,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Ys1vGgQKHX', 'expanded_url': 'https://twitter.com/i/web/status/1339115551432511489', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",False,False,False,48555E,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1090064003982811136/jrnsNv5F_normal.jpg,https://pbs.twimg.com/profile_images/1090064003982811136/jrnsNv5F_normal.jpg,https://pbs.twimg.com/profile_banners/18147028/1541142074,006C3F,60B947,F6F6F6,333333,True,False,False,False,False,False,False,none
source,18147028,18147028,VicTraffic,VicTraffic,"Victoria, Australia",,"Traffic alerts and information for Victoria. Online 5am to 7pm weekdays. If you see any hazards, report them on 131170. In an emergency, call Triple Zero.",https://t.co/KBsXg0mDpz,,False,112873,106,633,Mon Dec 15 21:19:45 +0000 2008,231,,,True,True,131900,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",False,False,False,48555E,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1090064003982811136/jrnsNv5F_normal.jpg,https://pbs.twimg.com/profile_images/1090064003982811136/jrnsNv5F_normal.jpg,https://pbs.twimg.com/profile_banners/18147028/1541142074,006C3F,60B947,F6F6F6,333333,True,False,False,False,False,False,False,none
in_reply_to_status_id,18147028,18147028,VicTraffic,VicTraffic,"Victoria, Australia",,"Traffic alerts and information for Victoria. Online 5am to 7pm weekdays. If you see any hazards, report them on 131170. In an emergency, call Triple Zero.",https://t.co/KBsXg0mDpz,,False,112873,106,633,Mon Dec 15 21:19:45 +0000 2008,231,,,True,True,131900,,,False,False,False,48555E,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1090064003982811136/jrnsNv5F_normal.jpg,https://pbs.twimg.com/profile_images/1090064003982811136/jrnsNv5F_normal.jpg,https://pbs.twimg.com/profile_banners/18147028/1541142074,006C3F,60B947,F6F6F6,333333,True,False,False,False,False,False,False,none
