,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1272742290889617408,1272742290889617408,Nikkiㅣcommisions open,amentallentil,,,staytists???? twitter is spooky. she/her  04,,{'urls': []},False,122,75,7,Tue Jun 16 04:06:30 +0000 2020,4231,,,False,False,1326,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337411015856844801/2nnQktYn_normal.jpg,https://pbs.twimg.com/profile_images/1337411015856844801/2nnQktYn_normal.jpg,https://pbs.twimg.com/profile_banners/1272742290889617408/1604436010,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1272742290889617408,1272742290889617408,Nikkiㅣcommisions open,amentallentil,,,staytists???? twitter is spooky. she/her  04,,,False,122,75,7,Tue Jun 16 04:06:30 +0000 2020,4231,,,False,False,1326,,Wed Dec 16 01:21:02 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337411015856844801/2nnQktYn_normal.jpg,https://pbs.twimg.com/profile_images/1337411015856844801/2nnQktYn_normal.jpg,https://pbs.twimg.com/profile_banners/1272742290889617408/1604436010,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1272742290889617408,1272742290889617408,Nikkiㅣcommisions open,amentallentil,,,staytists???? twitter is spooky. she/her  04,,,False,122,75,7,Tue Jun 16 04:06:30 +0000 2020,4231,,,False,False,1326,,1339017661808828416,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337411015856844801/2nnQktYn_normal.jpg,https://pbs.twimg.com/profile_images/1337411015856844801/2nnQktYn_normal.jpg,https://pbs.twimg.com/profile_banners/1272742290889617408/1604436010,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1272742290889617408,1272742290889617408,Nikkiㅣcommisions open,amentallentil,,,staytists???? twitter is spooky. she/her  04,,,False,122,75,7,Tue Jun 16 04:06:30 +0000 2020,4231,,,False,False,1326,,1339017661808828416,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337411015856844801/2nnQktYn_normal.jpg,https://pbs.twimg.com/profile_images/1337411015856844801/2nnQktYn_normal.jpg,https://pbs.twimg.com/profile_banners/1272742290889617408/1604436010,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1272742290889617408,1272742290889617408,Nikkiㅣcommisions open,amentallentil,,,staytists???? twitter is spooky. she/her  04,,,False,122,75,7,Tue Jun 16 04:06:30 +0000 2020,4231,,,False,False,1326,,@faerbloom My parents are super chill ig. I was the only one who was upset by that lollll. We aren’t super good at… https://t.co/MMiOM9yUzK,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337411015856844801/2nnQktYn_normal.jpg,https://pbs.twimg.com/profile_images/1337411015856844801/2nnQktYn_normal.jpg,https://pbs.twimg.com/profile_banners/1272742290889617408/1604436010,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1272742290889617408,1272742290889617408,Nikkiㅣcommisions open,amentallentil,,,staytists???? twitter is spooky. she/her  04,,,False,122,75,7,Tue Jun 16 04:06:30 +0000 2020,4231,,,False,False,1326,,True,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337411015856844801/2nnQktYn_normal.jpg,https://pbs.twimg.com/profile_images/1337411015856844801/2nnQktYn_normal.jpg,https://pbs.twimg.com/profile_banners/1272742290889617408/1604436010,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1272742290889617408,1272742290889617408,Nikkiㅣcommisions open,amentallentil,,,staytists???? twitter is spooky. she/her  04,,,False,122,75,7,Tue Jun 16 04:06:30 +0000 2020,4231,,,False,False,1326,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'faerbloom', 'name': 'mia 💫 was @toxics_social', 'id': 1098063545508319232, 'id_str': '1098063545508319232', 'indices': [0, 10]}], 'urls': [{'url': 'https://t.co/MMiOM9yUzK', 'expanded_url': 'https://twitter.com/i/web/status/1339017661808828416', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337411015856844801/2nnQktYn_normal.jpg,https://pbs.twimg.com/profile_images/1337411015856844801/2nnQktYn_normal.jpg,https://pbs.twimg.com/profile_banners/1272742290889617408/1604436010,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1272742290889617408,1272742290889617408,Nikkiㅣcommisions open,amentallentil,,,staytists???? twitter is spooky. she/her  04,,,False,122,75,7,Tue Jun 16 04:06:30 +0000 2020,4231,,,False,False,1326,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337411015856844801/2nnQktYn_normal.jpg,https://pbs.twimg.com/profile_images/1337411015856844801/2nnQktYn_normal.jpg,https://pbs.twimg.com/profile_banners/1272742290889617408/1604436010,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1272742290889617408,1272742290889617408,Nikkiㅣcommisions open,amentallentil,,,staytists???? twitter is spooky. she/her  04,,,False,122,75,7,Tue Jun 16 04:06:30 +0000 2020,4231,,,False,False,1326,,1339017223889973251,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337411015856844801/2nnQktYn_normal.jpg,https://pbs.twimg.com/profile_images/1337411015856844801/2nnQktYn_normal.jpg,https://pbs.twimg.com/profile_banners/1272742290889617408/1604436010,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1272742290889617408,1272742290889617408,Nikkiㅣcommisions open,amentallentil,,,staytists???? twitter is spooky. she/her  04,,,False,122,75,7,Tue Jun 16 04:06:30 +0000 2020,4231,,,False,False,1326,,1339017223889973251,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337411015856844801/2nnQktYn_normal.jpg,https://pbs.twimg.com/profile_images/1337411015856844801/2nnQktYn_normal.jpg,https://pbs.twimg.com/profile_banners/1272742290889617408/1604436010,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
