,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,194348532,194348532,little pimp,caldashsoul,Jimmy Buffett’s Margaritaville,,non binary (she/him) #goheels #FreeTheNipple,,{'urls': []},False,526,217,1,Thu Sep 23 22:36:12 +0000 2010,58195,,,True,False,17210,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_banners/194348532/1602693897,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
created_at,194348532,194348532,little pimp,caldashsoul,Jimmy Buffett’s Margaritaville,,non binary (she/him) #goheels #FreeTheNipple,,,False,526,217,1,Thu Sep 23 22:36:12 +0000 2010,58195,,,True,False,17210,,Wed Dec 16 01:21:02 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_banners/194348532/1602693897,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
id,194348532,194348532,little pimp,caldashsoul,Jimmy Buffett’s Margaritaville,,non binary (she/him) #goheels #FreeTheNipple,,,False,526,217,1,Thu Sep 23 22:36:12 +0000 2010,58195,,,True,False,17210,,1339017661355872258,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_banners/194348532/1602693897,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
id_str,194348532,194348532,little pimp,caldashsoul,Jimmy Buffett’s Margaritaville,,non binary (she/him) #goheels #FreeTheNipple,,,False,526,217,1,Thu Sep 23 22:36:12 +0000 2010,58195,,,True,False,17210,,1339017661355872258,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_banners/194348532/1602693897,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
text,194348532,194348532,little pimp,caldashsoul,Jimmy Buffett’s Margaritaville,,non binary (she/him) #goheels #FreeTheNipple,,,False,526,217,1,Thu Sep 23 22:36:12 +0000 2010,58195,,,True,False,17210,,@Dame_Lillard @TooShort Blow the whistle,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_banners/194348532/1602693897,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
truncated,194348532,194348532,little pimp,caldashsoul,Jimmy Buffett’s Margaritaville,,non binary (she/him) #goheels #FreeTheNipple,,,False,526,217,1,Thu Sep 23 22:36:12 +0000 2010,58195,,,True,False,17210,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_banners/194348532/1602693897,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
entities,194348532,194348532,little pimp,caldashsoul,Jimmy Buffett’s Margaritaville,,non binary (she/him) #goheels #FreeTheNipple,,,False,526,217,1,Thu Sep 23 22:36:12 +0000 2010,58195,,,True,False,17210,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Dame_Lillard', 'name': 'Damian Lillard', 'id': 267425142, 'id_str': '267425142', 'indices': [0, 13]}, {'screen_name': 'TooShort', 'name': 'Too $hort', 'id': 16658390, 'id_str': '16658390', 'indices': [14, 23]}], 'urls': []}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_banners/194348532/1602693897,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
source,194348532,194348532,little pimp,caldashsoul,Jimmy Buffett’s Margaritaville,,non binary (she/him) #goheels #FreeTheNipple,,,False,526,217,1,Thu Sep 23 22:36:12 +0000 2010,58195,,,True,False,17210,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_banners/194348532/1602693897,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
in_reply_to_status_id,194348532,194348532,little pimp,caldashsoul,Jimmy Buffett’s Margaritaville,,non binary (she/him) #goheels #FreeTheNipple,,,False,526,217,1,Thu Sep 23 22:36:12 +0000 2010,58195,,,True,False,17210,,1339017273340780546,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_banners/194348532/1602693897,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
in_reply_to_status_id_str,194348532,194348532,little pimp,caldashsoul,Jimmy Buffett’s Margaritaville,,non binary (she/him) #goheels #FreeTheNipple,,,False,526,217,1,Thu Sep 23 22:36:12 +0000 2010,58195,,,True,False,17210,,1339017273340780546,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_banners/194348532/1602693897,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
in_reply_to_user_id,194348532,194348532,little pimp,caldashsoul,Jimmy Buffett’s Margaritaville,,non binary (she/him) #goheels #FreeTheNipple,,,False,526,217,1,Thu Sep 23 22:36:12 +0000 2010,58195,,,True,False,17210,,267425142,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_banners/194348532/1602693897,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
in_reply_to_user_id_str,194348532,194348532,little pimp,caldashsoul,Jimmy Buffett’s Margaritaville,,non binary (she/him) #goheels #FreeTheNipple,,,False,526,217,1,Thu Sep 23 22:36:12 +0000 2010,58195,,,True,False,17210,,267425142,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_banners/194348532/1602693897,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
in_reply_to_screen_name,194348532,194348532,little pimp,caldashsoul,Jimmy Buffett’s Margaritaville,,non binary (she/him) #goheels #FreeTheNipple,,,False,526,217,1,Thu Sep 23 22:36:12 +0000 2010,58195,,,True,False,17210,,Dame_Lillard,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_banners/194348532/1602693897,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
geo,194348532,194348532,little pimp,caldashsoul,Jimmy Buffett’s Margaritaville,,non binary (she/him) #goheels #FreeTheNipple,,,False,526,217,1,Thu Sep 23 22:36:12 +0000 2010,58195,,,True,False,17210,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_banners/194348532/1602693897,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
coordinates,194348532,194348532,little pimp,caldashsoul,Jimmy Buffett’s Margaritaville,,non binary (she/him) #goheels #FreeTheNipple,,,False,526,217,1,Thu Sep 23 22:36:12 +0000 2010,58195,,,True,False,17210,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_banners/194348532/1602693897,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
place,194348532,194348532,little pimp,caldashsoul,Jimmy Buffett’s Margaritaville,,non binary (she/him) #goheels #FreeTheNipple,,,False,526,217,1,Thu Sep 23 22:36:12 +0000 2010,58195,,,True,False,17210,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_banners/194348532/1602693897,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
contributors,194348532,194348532,little pimp,caldashsoul,Jimmy Buffett’s Margaritaville,,non binary (she/him) #goheels #FreeTheNipple,,,False,526,217,1,Thu Sep 23 22:36:12 +0000 2010,58195,,,True,False,17210,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_banners/194348532/1602693897,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
is_quote_status,194348532,194348532,little pimp,caldashsoul,Jimmy Buffett’s Margaritaville,,non binary (she/him) #goheels #FreeTheNipple,,,False,526,217,1,Thu Sep 23 22:36:12 +0000 2010,58195,,,True,False,17210,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_banners/194348532/1602693897,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
retweet_count,194348532,194348532,little pimp,caldashsoul,Jimmy Buffett’s Margaritaville,,non binary (she/him) #goheels #FreeTheNipple,,,False,526,217,1,Thu Sep 23 22:36:12 +0000 2010,58195,,,True,False,17210,,0,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_banners/194348532/1602693897,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
favorite_count,194348532,194348532,little pimp,caldashsoul,Jimmy Buffett’s Margaritaville,,non binary (she/him) #goheels #FreeTheNipple,,,False,526,217,1,Thu Sep 23 22:36:12 +0000 2010,58195,,,True,False,17210,,0,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_banners/194348532/1602693897,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
favorited,194348532,194348532,little pimp,caldashsoul,Jimmy Buffett’s Margaritaville,,non binary (she/him) #goheels #FreeTheNipple,,,False,526,217,1,Thu Sep 23 22:36:12 +0000 2010,58195,,,True,False,17210,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_banners/194348532/1602693897,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
retweeted,194348532,194348532,little pimp,caldashsoul,Jimmy Buffett’s Margaritaville,,non binary (she/him) #goheels #FreeTheNipple,,,False,526,217,1,Thu Sep 23 22:36:12 +0000 2010,58195,,,True,False,17210,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_banners/194348532/1602693897,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
lang,194348532,194348532,little pimp,caldashsoul,Jimmy Buffett’s Margaritaville,,non binary (she/him) #goheels #FreeTheNipple,,,False,526,217,1,Thu Sep 23 22:36:12 +0000 2010,58195,,,True,False,17210,,en,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_images/1273791968926142466/A3NBK7Ue_normal.jpg,https://pbs.twimg.com/profile_banners/194348532/1602693897,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
