,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,725473787727122433,725473787727122433,🐸,frogsmi2e,"toronto, ontario",,🇨🇦they/them🇵🇭 - 20 - art: @frogsmiie - header is @juanchowo's cat :) - tor&shd fan 💗 maya,https://t.co/RkiS9XQwVs,"{'urls': [{'url': 'https://t.co/RkiS9XQwVs', 'expanded_url': 'https://minghaos.carrd.co/', 'display_url': 'minghaos.carrd.co', 'indices': [0, 23]}]}",False,201,461,4,Wed Apr 27 23:56:44 +0000 2016,81783,,,False,False,47276,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338223205572636680/meUkTd0j_normal.jpg,https://pbs.twimg.com/profile_images/1338223205572636680/meUkTd0j_normal.jpg,https://pbs.twimg.com/profile_banners/725473787727122433/1604237657,FAB81E,000000,000000,000000,False,True,False,False,False,False,False,none
description,725473787727122433,725473787727122433,🐸,frogsmi2e,"toronto, ontario",,🇨🇦they/them🇵🇭 - 20 - art: @frogsmiie - header is @juanchowo's cat :) - tor&shd fan 💗 maya,https://t.co/RkiS9XQwVs,{'urls': []},False,201,461,4,Wed Apr 27 23:56:44 +0000 2016,81783,,,False,False,47276,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338223205572636680/meUkTd0j_normal.jpg,https://pbs.twimg.com/profile_images/1338223205572636680/meUkTd0j_normal.jpg,https://pbs.twimg.com/profile_banners/725473787727122433/1604237657,FAB81E,000000,000000,000000,False,True,False,False,False,False,False,none
created_at,725473787727122433,725473787727122433,🐸,frogsmi2e,"toronto, ontario",,🇨🇦they/them🇵🇭 - 20 - art: @frogsmiie - header is @juanchowo's cat :) - tor&shd fan 💗 maya,https://t.co/RkiS9XQwVs,,False,201,461,4,Wed Apr 27 23:56:44 +0000 2016,81783,,,False,False,47276,,Wed Dec 16 09:23:17 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338223205572636680/meUkTd0j_normal.jpg,https://pbs.twimg.com/profile_images/1338223205572636680/meUkTd0j_normal.jpg,https://pbs.twimg.com/profile_banners/725473787727122433/1604237657,FAB81E,000000,000000,000000,False,True,False,False,False,False,False,none
id,725473787727122433,725473787727122433,🐸,frogsmi2e,"toronto, ontario",,🇨🇦they/them🇵🇭 - 20 - art: @frogsmiie - header is @juanchowo's cat :) - tor&shd fan 💗 maya,https://t.co/RkiS9XQwVs,,False,201,461,4,Wed Apr 27 23:56:44 +0000 2016,81783,,,False,False,47276,,1339139023143653381,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338223205572636680/meUkTd0j_normal.jpg,https://pbs.twimg.com/profile_images/1338223205572636680/meUkTd0j_normal.jpg,https://pbs.twimg.com/profile_banners/725473787727122433/1604237657,FAB81E,000000,000000,000000,False,True,False,False,False,False,False,none
id_str,725473787727122433,725473787727122433,🐸,frogsmi2e,"toronto, ontario",,🇨🇦they/them🇵🇭 - 20 - art: @frogsmiie - header is @juanchowo's cat :) - tor&shd fan 💗 maya,https://t.co/RkiS9XQwVs,,False,201,461,4,Wed Apr 27 23:56:44 +0000 2016,81783,,,False,False,47276,,1339139023143653381,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338223205572636680/meUkTd0j_normal.jpg,https://pbs.twimg.com/profile_images/1338223205572636680/meUkTd0j_normal.jpg,https://pbs.twimg.com/profile_banners/725473787727122433/1604237657,FAB81E,000000,000000,000000,False,True,False,False,False,False,False,none
text,725473787727122433,725473787727122433,🐸,frogsmi2e,"toronto, ontario",,🇨🇦they/them🇵🇭 - 20 - art: @frogsmiie - header is @juanchowo's cat :) - tor&shd fan 💗 maya,https://t.co/RkiS9XQwVs,,False,201,461,4,Wed Apr 27 23:56:44 +0000 2016,81783,,,False,False,47276,,why's minecraft so scary alone,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338223205572636680/meUkTd0j_normal.jpg,https://pbs.twimg.com/profile_images/1338223205572636680/meUkTd0j_normal.jpg,https://pbs.twimg.com/profile_banners/725473787727122433/1604237657,FAB81E,000000,000000,000000,False,True,False,False,False,False,False,none
truncated,725473787727122433,725473787727122433,🐸,frogsmi2e,"toronto, ontario",,🇨🇦they/them🇵🇭 - 20 - art: @frogsmiie - header is @juanchowo's cat :) - tor&shd fan 💗 maya,https://t.co/RkiS9XQwVs,,False,201,461,4,Wed Apr 27 23:56:44 +0000 2016,81783,,,False,False,47276,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338223205572636680/meUkTd0j_normal.jpg,https://pbs.twimg.com/profile_images/1338223205572636680/meUkTd0j_normal.jpg,https://pbs.twimg.com/profile_banners/725473787727122433/1604237657,FAB81E,000000,000000,000000,False,True,False,False,False,False,False,none
entities,725473787727122433,725473787727122433,🐸,frogsmi2e,"toronto, ontario",,🇨🇦they/them🇵🇭 - 20 - art: @frogsmiie - header is @juanchowo's cat :) - tor&shd fan 💗 maya,https://t.co/RkiS9XQwVs,,False,201,461,4,Wed Apr 27 23:56:44 +0000 2016,81783,,,False,False,47276,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338223205572636680/meUkTd0j_normal.jpg,https://pbs.twimg.com/profile_images/1338223205572636680/meUkTd0j_normal.jpg,https://pbs.twimg.com/profile_banners/725473787727122433/1604237657,FAB81E,000000,000000,000000,False,True,False,False,False,False,False,none
source,725473787727122433,725473787727122433,🐸,frogsmi2e,"toronto, ontario",,🇨🇦they/them🇵🇭 - 20 - art: @frogsmiie - header is @juanchowo's cat :) - tor&shd fan 💗 maya,https://t.co/RkiS9XQwVs,,False,201,461,4,Wed Apr 27 23:56:44 +0000 2016,81783,,,False,False,47276,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338223205572636680/meUkTd0j_normal.jpg,https://pbs.twimg.com/profile_images/1338223205572636680/meUkTd0j_normal.jpg,https://pbs.twimg.com/profile_banners/725473787727122433/1604237657,FAB81E,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id,725473787727122433,725473787727122433,🐸,frogsmi2e,"toronto, ontario",,🇨🇦they/them🇵🇭 - 20 - art: @frogsmiie - header is @juanchowo's cat :) - tor&shd fan 💗 maya,https://t.co/RkiS9XQwVs,,False,201,461,4,Wed Apr 27 23:56:44 +0000 2016,81783,,,False,False,47276,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338223205572636680/meUkTd0j_normal.jpg,https://pbs.twimg.com/profile_images/1338223205572636680/meUkTd0j_normal.jpg,https://pbs.twimg.com/profile_banners/725473787727122433/1604237657,FAB81E,000000,000000,000000,False,True,False,False,False,False,False,none
