,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,2808759407,2808759407,Justin,jstnmrks,,,my middle school email address was jammer565@gmail.com,https://t.co/Y7NfWB55D1,"{'urls': [{'url': 'https://t.co/Y7NfWB55D1', 'expanded_url': 'http://instagram.com/justinmrks', 'display_url': 'instagram.com/justinmrks', 'indices': [0, 23]}]}",False,34,942,0,Sun Oct 05 18:40:01 +0000 2014,56974,,,False,False,412,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1323793038993289217/7zclXfZ7_normal.jpg,https://pbs.twimg.com/profile_images/1323793038993289217/7zclXfZ7_normal.jpg,https://pbs.twimg.com/profile_banners/2808759407/1605241173,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
description,2808759407,2808759407,Justin,jstnmrks,,,my middle school email address was jammer565@gmail.com,https://t.co/Y7NfWB55D1,{'urls': []},False,34,942,0,Sun Oct 05 18:40:01 +0000 2014,56974,,,False,False,412,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1323793038993289217/7zclXfZ7_normal.jpg,https://pbs.twimg.com/profile_images/1323793038993289217/7zclXfZ7_normal.jpg,https://pbs.twimg.com/profile_banners/2808759407/1605241173,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
created_at,2808759407,2808759407,Justin,jstnmrks,,,my middle school email address was jammer565@gmail.com,https://t.co/Y7NfWB55D1,,False,34,942,0,Sun Oct 05 18:40:01 +0000 2014,56974,,,False,False,412,,Wed Dec 16 01:21:05 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1323793038993289217/7zclXfZ7_normal.jpg,https://pbs.twimg.com/profile_images/1323793038993289217/7zclXfZ7_normal.jpg,https://pbs.twimg.com/profile_banners/2808759407/1605241173,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id,2808759407,2808759407,Justin,jstnmrks,,,my middle school email address was jammer565@gmail.com,https://t.co/Y7NfWB55D1,,False,34,942,0,Sun Oct 05 18:40:01 +0000 2014,56974,,,False,False,412,,1339017672986681344,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1323793038993289217/7zclXfZ7_normal.jpg,https://pbs.twimg.com/profile_images/1323793038993289217/7zclXfZ7_normal.jpg,https://pbs.twimg.com/profile_banners/2808759407/1605241173,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id_str,2808759407,2808759407,Justin,jstnmrks,,,my middle school email address was jammer565@gmail.com,https://t.co/Y7NfWB55D1,,False,34,942,0,Sun Oct 05 18:40:01 +0000 2014,56974,,,False,False,412,,1339017672986681344,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1323793038993289217/7zclXfZ7_normal.jpg,https://pbs.twimg.com/profile_images/1323793038993289217/7zclXfZ7_normal.jpg,https://pbs.twimg.com/profile_banners/2808759407/1605241173,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
text,2808759407,2808759407,Justin,jstnmrks,,,my middle school email address was jammer565@gmail.com,https://t.co/Y7NfWB55D1,,False,34,942,0,Sun Oct 05 18:40:01 +0000 2014,56974,,,False,False,412,,@AppleMusic @taylorswift13 @zanelowe The “drop everything now” speak now re-records are coming,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1323793038993289217/7zclXfZ7_normal.jpg,https://pbs.twimg.com/profile_images/1323793038993289217/7zclXfZ7_normal.jpg,https://pbs.twimg.com/profile_banners/2808759407/1605241173,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
truncated,2808759407,2808759407,Justin,jstnmrks,,,my middle school email address was jammer565@gmail.com,https://t.co/Y7NfWB55D1,,False,34,942,0,Sun Oct 05 18:40:01 +0000 2014,56974,,,False,False,412,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1323793038993289217/7zclXfZ7_normal.jpg,https://pbs.twimg.com/profile_images/1323793038993289217/7zclXfZ7_normal.jpg,https://pbs.twimg.com/profile_banners/2808759407/1605241173,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
entities,2808759407,2808759407,Justin,jstnmrks,,,my middle school email address was jammer565@gmail.com,https://t.co/Y7NfWB55D1,,False,34,942,0,Sun Oct 05 18:40:01 +0000 2014,56974,,,False,False,412,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AppleMusic', 'name': 'Apple Music', 'id': 74580436, 'id_str': '74580436', 'indices': [0, 11]}, {'screen_name': 'taylorswift13', 'name': 'Taylor Swift', 'id': 17919972, 'id_str': '17919972', 'indices': [12, 26]}, {'screen_name': 'zanelowe', 'name': 'Zane Lowe', 'id': 21288052, 'id_str': '21288052', 'indices': [27, 36]}], 'urls': []}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1323793038993289217/7zclXfZ7_normal.jpg,https://pbs.twimg.com/profile_images/1323793038993289217/7zclXfZ7_normal.jpg,https://pbs.twimg.com/profile_banners/2808759407/1605241173,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
source,2808759407,2808759407,Justin,jstnmrks,,,my middle school email address was jammer565@gmail.com,https://t.co/Y7NfWB55D1,,False,34,942,0,Sun Oct 05 18:40:01 +0000 2014,56974,,,False,False,412,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1323793038993289217/7zclXfZ7_normal.jpg,https://pbs.twimg.com/profile_images/1323793038993289217/7zclXfZ7_normal.jpg,https://pbs.twimg.com/profile_banners/2808759407/1605241173,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id,2808759407,2808759407,Justin,jstnmrks,,,my middle school email address was jammer565@gmail.com,https://t.co/Y7NfWB55D1,,False,34,942,0,Sun Oct 05 18:40:01 +0000 2014,56974,,,False,False,412,,1339011587575832576,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1323793038993289217/7zclXfZ7_normal.jpg,https://pbs.twimg.com/profile_images/1323793038993289217/7zclXfZ7_normal.jpg,https://pbs.twimg.com/profile_banners/2808759407/1605241173,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
