,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1567158583,1567158583,kenna,kennavargason_,"st. george, ut",,dsu / scorpio / sc: kennavargason /,,{'urls': []},False,2531,726,0,Thu Jul 04 02:27:52 +0000 2013,56889,,,True,False,9534,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1336226841414123520/XtEWMU61_normal.jpg,https://pbs.twimg.com/profile_images/1336226841414123520/XtEWMU61_normal.jpg,https://pbs.twimg.com/profile_banners/1567158583/1603104692,F5ABB5,000000,000000,000000,False,True,False,False,False,False,False,none
created_at,1567158583,1567158583,kenna,kennavargason_,"st. george, ut",,dsu / scorpio / sc: kennavargason /,,,False,2531,726,0,Thu Jul 04 02:27:52 +0000 2013,56889,,,True,False,9534,,Wed Dec 16 06:46:09 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1336226841414123520/XtEWMU61_normal.jpg,https://pbs.twimg.com/profile_images/1336226841414123520/XtEWMU61_normal.jpg,https://pbs.twimg.com/profile_banners/1567158583/1603104692,F5ABB5,000000,000000,000000,False,True,False,False,False,False,False,none
id,1567158583,1567158583,kenna,kennavargason_,"st. george, ut",,dsu / scorpio / sc: kennavargason /,,,False,2531,726,0,Thu Jul 04 02:27:52 +0000 2013,56889,,,True,False,9534,,1339099478276648960,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1336226841414123520/XtEWMU61_normal.jpg,https://pbs.twimg.com/profile_images/1336226841414123520/XtEWMU61_normal.jpg,https://pbs.twimg.com/profile_banners/1567158583/1603104692,F5ABB5,000000,000000,000000,False,True,False,False,False,False,False,none
id_str,1567158583,1567158583,kenna,kennavargason_,"st. george, ut",,dsu / scorpio / sc: kennavargason /,,,False,2531,726,0,Thu Jul 04 02:27:52 +0000 2013,56889,,,True,False,9534,,1339099478276648960,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1336226841414123520/XtEWMU61_normal.jpg,https://pbs.twimg.com/profile_images/1336226841414123520/XtEWMU61_normal.jpg,https://pbs.twimg.com/profile_banners/1567158583/1603104692,F5ABB5,000000,000000,000000,False,True,False,False,False,False,False,none
text,1567158583,1567158583,kenna,kennavargason_,"st. george, ut",,dsu / scorpio / sc: kennavargason /,,,False,2531,726,0,Thu Jul 04 02:27:52 +0000 2013,56889,,,True,False,9534,,why are grown ass people still playing games tf,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1336226841414123520/XtEWMU61_normal.jpg,https://pbs.twimg.com/profile_images/1336226841414123520/XtEWMU61_normal.jpg,https://pbs.twimg.com/profile_banners/1567158583/1603104692,F5ABB5,000000,000000,000000,False,True,False,False,False,False,False,none
truncated,1567158583,1567158583,kenna,kennavargason_,"st. george, ut",,dsu / scorpio / sc: kennavargason /,,,False,2531,726,0,Thu Jul 04 02:27:52 +0000 2013,56889,,,True,False,9534,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1336226841414123520/XtEWMU61_normal.jpg,https://pbs.twimg.com/profile_images/1336226841414123520/XtEWMU61_normal.jpg,https://pbs.twimg.com/profile_banners/1567158583/1603104692,F5ABB5,000000,000000,000000,False,True,False,False,False,False,False,none
entities,1567158583,1567158583,kenna,kennavargason_,"st. george, ut",,dsu / scorpio / sc: kennavargason /,,,False,2531,726,0,Thu Jul 04 02:27:52 +0000 2013,56889,,,True,False,9534,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1336226841414123520/XtEWMU61_normal.jpg,https://pbs.twimg.com/profile_images/1336226841414123520/XtEWMU61_normal.jpg,https://pbs.twimg.com/profile_banners/1567158583/1603104692,F5ABB5,000000,000000,000000,False,True,False,False,False,False,False,none
source,1567158583,1567158583,kenna,kennavargason_,"st. george, ut",,dsu / scorpio / sc: kennavargason /,,,False,2531,726,0,Thu Jul 04 02:27:52 +0000 2013,56889,,,True,False,9534,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1336226841414123520/XtEWMU61_normal.jpg,https://pbs.twimg.com/profile_images/1336226841414123520/XtEWMU61_normal.jpg,https://pbs.twimg.com/profile_banners/1567158583/1603104692,F5ABB5,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id,1567158583,1567158583,kenna,kennavargason_,"st. george, ut",,dsu / scorpio / sc: kennavargason /,,,False,2531,726,0,Thu Jul 04 02:27:52 +0000 2013,56889,,,True,False,9534,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1336226841414123520/XtEWMU61_normal.jpg,https://pbs.twimg.com/profile_images/1336226841414123520/XtEWMU61_normal.jpg,https://pbs.twimg.com/profile_banners/1567158583/1603104692,F5ABB5,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id_str,1567158583,1567158583,kenna,kennavargason_,"st. george, ut",,dsu / scorpio / sc: kennavargason /,,,False,2531,726,0,Thu Jul 04 02:27:52 +0000 2013,56889,,,True,False,9534,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1336226841414123520/XtEWMU61_normal.jpg,https://pbs.twimg.com/profile_images/1336226841414123520/XtEWMU61_normal.jpg,https://pbs.twimg.com/profile_banners/1567158583/1603104692,F5ABB5,000000,000000,000000,False,True,False,False,False,False,False,none
