,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,4584907755,4584907755,Darian | ネクサス,nexusplays_,"Atlanta, GA",,23 | I play video games and rage a lot | Contact: business.nexusplays@gmail.com | BLM ✊🏾,https://t.co/2xfwjduUUl,"{'urls': [{'url': 'https://t.co/2xfwjduUUl', 'expanded_url': 'http://twitch.tv/nexusplays', 'display_url': 'twitch.tv/nexusplays', 'indices': [0, 23]}]}",False,338,636,6,Thu Dec 24 03:07:39 +0000 2015,32170,,,True,False,16742,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_banners/4584907755/1574387831,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
description,4584907755,4584907755,Darian | ネクサス,nexusplays_,"Atlanta, GA",,23 | I play video games and rage a lot | Contact: business.nexusplays@gmail.com | BLM ✊🏾,https://t.co/2xfwjduUUl,{'urls': []},False,338,636,6,Thu Dec 24 03:07:39 +0000 2015,32170,,,True,False,16742,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_banners/4584907755/1574387831,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
created_at,4584907755,4584907755,Darian | ネクサス,nexusplays_,"Atlanta, GA",,23 | I play video games and rage a lot | Contact: business.nexusplays@gmail.com | BLM ✊🏾,https://t.co/2xfwjduUUl,,False,338,636,6,Thu Dec 24 03:07:39 +0000 2015,32170,,,True,False,16742,,Wed Dec 16 05:20:45 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_banners/4584907755/1574387831,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
id,4584907755,4584907755,Darian | ネクサス,nexusplays_,"Atlanta, GA",,23 | I play video games and rage a lot | Contact: business.nexusplays@gmail.com | BLM ✊🏾,https://t.co/2xfwjduUUl,,False,338,636,6,Thu Dec 24 03:07:39 +0000 2015,32170,,,True,False,16742,,1339077988122578946,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_banners/4584907755/1574387831,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
id_str,4584907755,4584907755,Darian | ネクサス,nexusplays_,"Atlanta, GA",,23 | I play video games and rage a lot | Contact: business.nexusplays@gmail.com | BLM ✊🏾,https://t.co/2xfwjduUUl,,False,338,636,6,Thu Dec 24 03:07:39 +0000 2015,32170,,,True,False,16742,,1339077988122578946,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_banners/4584907755/1574387831,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
text,4584907755,4584907755,Darian | ネクサス,nexusplays_,"Atlanta, GA",,23 | I play video games and rage a lot | Contact: business.nexusplays@gmail.com | BLM ✊🏾,https://t.co/2xfwjduUUl,,False,338,636,6,Thu Dec 24 03:07:39 +0000 2015,32170,,,True,False,16742,,@PeytonVisuals Who tf calls it supper? Dinner is superior. Supper just sounds fuckin weird lmao 💀,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_banners/4584907755/1574387831,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
truncated,4584907755,4584907755,Darian | ネクサス,nexusplays_,"Atlanta, GA",,23 | I play video games and rage a lot | Contact: business.nexusplays@gmail.com | BLM ✊🏾,https://t.co/2xfwjduUUl,,False,338,636,6,Thu Dec 24 03:07:39 +0000 2015,32170,,,True,False,16742,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_banners/4584907755/1574387831,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
entities,4584907755,4584907755,Darian | ネクサス,nexusplays_,"Atlanta, GA",,23 | I play video games and rage a lot | Contact: business.nexusplays@gmail.com | BLM ✊🏾,https://t.co/2xfwjduUUl,,False,338,636,6,Thu Dec 24 03:07:39 +0000 2015,32170,,,True,False,16742,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PeytonVisuals', 'name': 'Peyton 🖤🦋✨', 'id': 958881025496461313, 'id_str': '958881025496461313', 'indices': [0, 14]}], 'urls': []}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_banners/4584907755/1574387831,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
source,4584907755,4584907755,Darian | ネクサス,nexusplays_,"Atlanta, GA",,23 | I play video games and rage a lot | Contact: business.nexusplays@gmail.com | BLM ✊🏾,https://t.co/2xfwjduUUl,,False,338,636,6,Thu Dec 24 03:07:39 +0000 2015,32170,,,True,False,16742,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_banners/4584907755/1574387831,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id,4584907755,4584907755,Darian | ネクサス,nexusplays_,"Atlanta, GA",,23 | I play video games and rage a lot | Contact: business.nexusplays@gmail.com | BLM ✊🏾,https://t.co/2xfwjduUUl,,False,338,636,6,Thu Dec 24 03:07:39 +0000 2015,32170,,,True,False,16742,,1339077099986898945,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_banners/4584907755/1574387831,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id_str,4584907755,4584907755,Darian | ネクサス,nexusplays_,"Atlanta, GA",,23 | I play video games and rage a lot | Contact: business.nexusplays@gmail.com | BLM ✊🏾,https://t.co/2xfwjduUUl,,False,338,636,6,Thu Dec 24 03:07:39 +0000 2015,32170,,,True,False,16742,,1339077099986898945,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_banners/4584907755/1574387831,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
