,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,80510649,80510649,📢 Abolish the Death Penalty 💛🐝 Brittany,toolearnhistory,California,,"#BidenHarris2020 trump lost, next 🛑 prison, ✊🏿✊🏾✊🏽 Matter, My Senator and your next VP, History👩🏽‍🏫 and Political Scientist,🤷🏽‍♀️👸🏽🧣🌂",,{'urls': []},False,457,567,3,Wed Oct 07 06:27:36 +0000 2009,79463,,,False,False,17458,,,False,False,False,642D8B,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1326312718882672641/yYJtHorG_normal.jpg,https://pbs.twimg.com/profile_images/1326312718882672641/yYJtHorG_normal.jpg,https://pbs.twimg.com/profile_banners/80510649/1604817395,E61526,65B0DA,7AC3EE,3D1957,True,True,False,False,False,False,False,none
created_at,80510649,80510649,📢 Abolish the Death Penalty 💛🐝 Brittany,toolearnhistory,California,,"#BidenHarris2020 trump lost, next 🛑 prison, ✊🏿✊🏾✊🏽 Matter, My Senator and your next VP, History👩🏽‍🏫 and Political Scientist,🤷🏽‍♀️👸🏽🧣🌂",,,False,457,567,3,Wed Oct 07 06:27:36 +0000 2009,79463,,,False,False,17458,,Wed Dec 16 04:15:24 +0000 2020,False,False,False,642D8B,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1326312718882672641/yYJtHorG_normal.jpg,https://pbs.twimg.com/profile_images/1326312718882672641/yYJtHorG_normal.jpg,https://pbs.twimg.com/profile_banners/80510649/1604817395,E61526,65B0DA,7AC3EE,3D1957,True,True,False,False,False,False,False,none
id,80510649,80510649,📢 Abolish the Death Penalty 💛🐝 Brittany,toolearnhistory,California,,"#BidenHarris2020 trump lost, next 🛑 prison, ✊🏿✊🏾✊🏽 Matter, My Senator and your next VP, History👩🏽‍🏫 and Political Scientist,🤷🏽‍♀️👸🏽🧣🌂",,,False,457,567,3,Wed Oct 07 06:27:36 +0000 2009,79463,,,False,False,17458,,1339061540574511104,False,False,False,642D8B,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1326312718882672641/yYJtHorG_normal.jpg,https://pbs.twimg.com/profile_images/1326312718882672641/yYJtHorG_normal.jpg,https://pbs.twimg.com/profile_banners/80510649/1604817395,E61526,65B0DA,7AC3EE,3D1957,True,True,False,False,False,False,False,none
id_str,80510649,80510649,📢 Abolish the Death Penalty 💛🐝 Brittany,toolearnhistory,California,,"#BidenHarris2020 trump lost, next 🛑 prison, ✊🏿✊🏾✊🏽 Matter, My Senator and your next VP, History👩🏽‍🏫 and Political Scientist,🤷🏽‍♀️👸🏽🧣🌂",,,False,457,567,3,Wed Oct 07 06:27:36 +0000 2009,79463,,,False,False,17458,,1339061540574511104,False,False,False,642D8B,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1326312718882672641/yYJtHorG_normal.jpg,https://pbs.twimg.com/profile_images/1326312718882672641/yYJtHorG_normal.jpg,https://pbs.twimg.com/profile_banners/80510649/1604817395,E61526,65B0DA,7AC3EE,3D1957,True,True,False,False,False,False,False,none
text,80510649,80510649,📢 Abolish the Death Penalty 💛🐝 Brittany,toolearnhistory,California,,"#BidenHarris2020 trump lost, next 🛑 prison, ✊🏿✊🏾✊🏽 Matter, My Senator and your next VP, History👩🏽‍🏫 and Political Scientist,🤷🏽‍♀️👸🏽🧣🌂",,,False,457,567,3,Wed Oct 07 06:27:36 +0000 2009,79463,,,False,False,17458,,RT @abc13houston: Dr. Kizzmekia Corbett will go down in history for leading the effort to end the COVID-19 pandemic.​ https://t.co/h2ZOonXh…,False,False,False,642D8B,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1326312718882672641/yYJtHorG_normal.jpg,https://pbs.twimg.com/profile_images/1326312718882672641/yYJtHorG_normal.jpg,https://pbs.twimg.com/profile_banners/80510649/1604817395,E61526,65B0DA,7AC3EE,3D1957,True,True,False,False,False,False,False,none
truncated,80510649,80510649,📢 Abolish the Death Penalty 💛🐝 Brittany,toolearnhistory,California,,"#BidenHarris2020 trump lost, next 🛑 prison, ✊🏿✊🏾✊🏽 Matter, My Senator and your next VP, History👩🏽‍🏫 and Political Scientist,🤷🏽‍♀️👸🏽🧣🌂",,,False,457,567,3,Wed Oct 07 06:27:36 +0000 2009,79463,,,False,False,17458,,False,False,False,False,642D8B,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1326312718882672641/yYJtHorG_normal.jpg,https://pbs.twimg.com/profile_images/1326312718882672641/yYJtHorG_normal.jpg,https://pbs.twimg.com/profile_banners/80510649/1604817395,E61526,65B0DA,7AC3EE,3D1957,True,True,False,False,False,False,False,none
entities,80510649,80510649,📢 Abolish the Death Penalty 💛🐝 Brittany,toolearnhistory,California,,"#BidenHarris2020 trump lost, next 🛑 prison, ✊🏿✊🏾✊🏽 Matter, My Senator and your next VP, History👩🏽‍🏫 and Political Scientist,🤷🏽‍♀️👸🏽🧣🌂",,,False,457,567,3,Wed Oct 07 06:27:36 +0000 2009,79463,,,False,False,17458,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'abc13houston', 'name': 'ABC13 Houston', 'id': 16247383, 'id_str': '16247383', 'indices': [3, 16]}], 'urls': []}",False,False,False,642D8B,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1326312718882672641/yYJtHorG_normal.jpg,https://pbs.twimg.com/profile_images/1326312718882672641/yYJtHorG_normal.jpg,https://pbs.twimg.com/profile_banners/80510649/1604817395,E61526,65B0DA,7AC3EE,3D1957,True,True,False,False,False,False,False,none
source,80510649,80510649,📢 Abolish the Death Penalty 💛🐝 Brittany,toolearnhistory,California,,"#BidenHarris2020 trump lost, next 🛑 prison, ✊🏿✊🏾✊🏽 Matter, My Senator and your next VP, History👩🏽‍🏫 and Political Scientist,🤷🏽‍♀️👸🏽🧣🌂",,,False,457,567,3,Wed Oct 07 06:27:36 +0000 2009,79463,,,False,False,17458,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,642D8B,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1326312718882672641/yYJtHorG_normal.jpg,https://pbs.twimg.com/profile_images/1326312718882672641/yYJtHorG_normal.jpg,https://pbs.twimg.com/profile_banners/80510649/1604817395,E61526,65B0DA,7AC3EE,3D1957,True,True,False,False,False,False,False,none
in_reply_to_status_id,80510649,80510649,📢 Abolish the Death Penalty 💛🐝 Brittany,toolearnhistory,California,,"#BidenHarris2020 trump lost, next 🛑 prison, ✊🏿✊🏾✊🏽 Matter, My Senator and your next VP, History👩🏽‍🏫 and Political Scientist,🤷🏽‍♀️👸🏽🧣🌂",,,False,457,567,3,Wed Oct 07 06:27:36 +0000 2009,79463,,,False,False,17458,,,False,False,False,642D8B,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1326312718882672641/yYJtHorG_normal.jpg,https://pbs.twimg.com/profile_images/1326312718882672641/yYJtHorG_normal.jpg,https://pbs.twimg.com/profile_banners/80510649/1604817395,E61526,65B0DA,7AC3EE,3D1957,True,True,False,False,False,False,False,none
in_reply_to_status_id_str,80510649,80510649,📢 Abolish the Death Penalty 💛🐝 Brittany,toolearnhistory,California,,"#BidenHarris2020 trump lost, next 🛑 prison, ✊🏿✊🏾✊🏽 Matter, My Senator and your next VP, History👩🏽‍🏫 and Political Scientist,🤷🏽‍♀️👸🏽🧣🌂",,,False,457,567,3,Wed Oct 07 06:27:36 +0000 2009,79463,,,False,False,17458,,,False,False,False,642D8B,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1326312718882672641/yYJtHorG_normal.jpg,https://pbs.twimg.com/profile_images/1326312718882672641/yYJtHorG_normal.jpg,https://pbs.twimg.com/profile_banners/80510649/1604817395,E61526,65B0DA,7AC3EE,3D1957,True,True,False,False,False,False,False,none
