,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,25414783,25414783,Arthur Dent,trashdnscattrd,"North Carolina, USA",,"I seem to be having tremendous difficulty with my lifestyle.

#stlblues!!",,{'urls': []},False,605,1303,3,Fri Mar 20 00:03:45 +0000 2009,12785,,,False,False,10357,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1318533354548060161/G2zQ5eKA_normal.jpg,https://pbs.twimg.com/profile_images/1318533354548060161/G2zQ5eKA_normal.jpg,https://pbs.twimg.com/profile_banners/25414783/1603197824,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none
created_at,25414783,25414783,Arthur Dent,trashdnscattrd,"North Carolina, USA",,"I seem to be having tremendous difficulty with my lifestyle.

#stlblues!!",,,False,605,1303,3,Fri Mar 20 00:03:45 +0000 2009,12785,,,False,False,10357,,Wed Dec 16 03:57:44 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1318533354548060161/G2zQ5eKA_normal.jpg,https://pbs.twimg.com/profile_images/1318533354548060161/G2zQ5eKA_normal.jpg,https://pbs.twimg.com/profile_banners/25414783/1603197824,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none
id,25414783,25414783,Arthur Dent,trashdnscattrd,"North Carolina, USA",,"I seem to be having tremendous difficulty with my lifestyle.

#stlblues!!",,,False,605,1303,3,Fri Mar 20 00:03:45 +0000 2009,12785,,,False,False,10357,,1339057093932965890,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1318533354548060161/G2zQ5eKA_normal.jpg,https://pbs.twimg.com/profile_images/1318533354548060161/G2zQ5eKA_normal.jpg,https://pbs.twimg.com/profile_banners/25414783/1603197824,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none
id_str,25414783,25414783,Arthur Dent,trashdnscattrd,"North Carolina, USA",,"I seem to be having tremendous difficulty with my lifestyle.

#stlblues!!",,,False,605,1303,3,Fri Mar 20 00:03:45 +0000 2009,12785,,,False,False,10357,,1339057093932965890,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1318533354548060161/G2zQ5eKA_normal.jpg,https://pbs.twimg.com/profile_images/1318533354548060161/G2zQ5eKA_normal.jpg,https://pbs.twimg.com/profile_banners/25414783/1603197824,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none
text,25414783,25414783,Arthur Dent,trashdnscattrd,"North Carolina, USA",,"I seem to be having tremendous difficulty with my lifestyle.

#stlblues!!",,,False,605,1303,3,Fri Mar 20 00:03:45 +0000 2009,12785,,,False,False,10357,,RT @chadfelixg: Did @TwitterSupport discontinue its 'disputed information' policy? https://t.co/dpxTHWx0MG,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1318533354548060161/G2zQ5eKA_normal.jpg,https://pbs.twimg.com/profile_images/1318533354548060161/G2zQ5eKA_normal.jpg,https://pbs.twimg.com/profile_banners/25414783/1603197824,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none
truncated,25414783,25414783,Arthur Dent,trashdnscattrd,"North Carolina, USA",,"I seem to be having tremendous difficulty with my lifestyle.

#stlblues!!",,,False,605,1303,3,Fri Mar 20 00:03:45 +0000 2009,12785,,,False,False,10357,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1318533354548060161/G2zQ5eKA_normal.jpg,https://pbs.twimg.com/profile_images/1318533354548060161/G2zQ5eKA_normal.jpg,https://pbs.twimg.com/profile_banners/25414783/1603197824,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none
entities,25414783,25414783,Arthur Dent,trashdnscattrd,"North Carolina, USA",,"I seem to be having tremendous difficulty with my lifestyle.

#stlblues!!",,,False,605,1303,3,Fri Mar 20 00:03:45 +0000 2009,12785,,,False,False,10357,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'chadfelixg', 'name': 'Chad Felix Greene', 'id': 17626317, 'id_str': '17626317', 'indices': [3, 14]}, {'screen_name': 'TwitterSupport', 'name': 'Twitter Support', 'id': 17874544, 'id_str': '17874544', 'indices': [20, 35]}], 'urls': [{'url': 'https://t.co/dpxTHWx0MG', 'expanded_url': 'https://twitter.com/Queerty/status/1339050879614271490', 'display_url': 'twitter.com/Queerty/status…', 'indices': [83, 106]}]}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1318533354548060161/G2zQ5eKA_normal.jpg,https://pbs.twimg.com/profile_images/1318533354548060161/G2zQ5eKA_normal.jpg,https://pbs.twimg.com/profile_banners/25414783/1603197824,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none
source,25414783,25414783,Arthur Dent,trashdnscattrd,"North Carolina, USA",,"I seem to be having tremendous difficulty with my lifestyle.

#stlblues!!",,,False,605,1303,3,Fri Mar 20 00:03:45 +0000 2009,12785,,,False,False,10357,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1318533354548060161/G2zQ5eKA_normal.jpg,https://pbs.twimg.com/profile_images/1318533354548060161/G2zQ5eKA_normal.jpg,https://pbs.twimg.com/profile_banners/25414783/1603197824,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_status_id,25414783,25414783,Arthur Dent,trashdnscattrd,"North Carolina, USA",,"I seem to be having tremendous difficulty with my lifestyle.

#stlblues!!",,,False,605,1303,3,Fri Mar 20 00:03:45 +0000 2009,12785,,,False,False,10357,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1318533354548060161/G2zQ5eKA_normal.jpg,https://pbs.twimg.com/profile_images/1318533354548060161/G2zQ5eKA_normal.jpg,https://pbs.twimg.com/profile_banners/25414783/1603197824,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_status_id_str,25414783,25414783,Arthur Dent,trashdnscattrd,"North Carolina, USA",,"I seem to be having tremendous difficulty with my lifestyle.

#stlblues!!",,,False,605,1303,3,Fri Mar 20 00:03:45 +0000 2009,12785,,,False,False,10357,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1318533354548060161/G2zQ5eKA_normal.jpg,https://pbs.twimg.com/profile_images/1318533354548060161/G2zQ5eKA_normal.jpg,https://pbs.twimg.com/profile_banners/25414783/1603197824,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none
