,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,201112343,201112343,Scotty 2Phones,uptownwalker,"Highland Springs, VA",,| NSU🔰 VCU🐏| Search UptownWalker on Apple Music 🍎 | Spotify ✳️ | Tidal 🌊| The #DS2 EP is out now!,https://t.co/HSHynI7dlt,"{'urls': [{'url': 'https://t.co/HSHynI7dlt', 'expanded_url': 'https://linktr.ee/uptownwalker', 'display_url': 'linktr.ee/uptownwalker', 'indices': [0, 23]}]}",False,1069,688,11,Mon Oct 11 03:07:50 +0000 2010,10501,,,True,False,33590,,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_banners/201112343/1586259328,ED2F2F,000000,252429,666666,False,True,False,False,False,False,False,none
description,201112343,201112343,Scotty 2Phones,uptownwalker,"Highland Springs, VA",,| NSU🔰 VCU🐏| Search UptownWalker on Apple Music 🍎 | Spotify ✳️ | Tidal 🌊| The #DS2 EP is out now!,https://t.co/HSHynI7dlt,{'urls': []},False,1069,688,11,Mon Oct 11 03:07:50 +0000 2010,10501,,,True,False,33590,,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_banners/201112343/1586259328,ED2F2F,000000,252429,666666,False,True,False,False,False,False,False,none
created_at,201112343,201112343,Scotty 2Phones,uptownwalker,"Highland Springs, VA",,| NSU🔰 VCU🐏| Search UptownWalker on Apple Music 🍎 | Spotify ✳️ | Tidal 🌊| The #DS2 EP is out now!,https://t.co/HSHynI7dlt,,False,1069,688,11,Mon Oct 11 03:07:50 +0000 2010,10501,,,True,False,33590,,Wed Dec 16 04:32:29 +0000 2020,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_banners/201112343/1586259328,ED2F2F,000000,252429,666666,False,True,False,False,False,False,False,none
id,201112343,201112343,Scotty 2Phones,uptownwalker,"Highland Springs, VA",,| NSU🔰 VCU🐏| Search UptownWalker on Apple Music 🍎 | Spotify ✳️ | Tidal 🌊| The #DS2 EP is out now!,https://t.co/HSHynI7dlt,,False,1069,688,11,Mon Oct 11 03:07:50 +0000 2010,10501,,,True,False,33590,,1339065841070067712,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_banners/201112343/1586259328,ED2F2F,000000,252429,666666,False,True,False,False,False,False,False,none
id_str,201112343,201112343,Scotty 2Phones,uptownwalker,"Highland Springs, VA",,| NSU🔰 VCU🐏| Search UptownWalker on Apple Music 🍎 | Spotify ✳️ | Tidal 🌊| The #DS2 EP is out now!,https://t.co/HSHynI7dlt,,False,1069,688,11,Mon Oct 11 03:07:50 +0000 2010,10501,,,True,False,33590,,1339065841070067712,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_banners/201112343/1586259328,ED2F2F,000000,252429,666666,False,True,False,False,False,False,False,none
text,201112343,201112343,Scotty 2Phones,uptownwalker,"Highland Springs, VA",,| NSU🔰 VCU🐏| Search UptownWalker on Apple Music 🍎 | Spotify ✳️ | Tidal 🌊| The #DS2 EP is out now!,https://t.co/HSHynI7dlt,,False,1069,688,11,Mon Oct 11 03:07:50 +0000 2010,10501,,,True,False,33590,,Find a lawyer that will legally get Tony Atwater off the payroll... His $295k tenured salary is ridiculous...… https://t.co/nOD2xlHqsh,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_banners/201112343/1586259328,ED2F2F,000000,252429,666666,False,True,False,False,False,False,False,none
truncated,201112343,201112343,Scotty 2Phones,uptownwalker,"Highland Springs, VA",,| NSU🔰 VCU🐏| Search UptownWalker on Apple Music 🍎 | Spotify ✳️ | Tidal 🌊| The #DS2 EP is out now!,https://t.co/HSHynI7dlt,,False,1069,688,11,Mon Oct 11 03:07:50 +0000 2010,10501,,,True,False,33590,,True,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_banners/201112343/1586259328,ED2F2F,000000,252429,666666,False,True,False,False,False,False,False,none
entities,201112343,201112343,Scotty 2Phones,uptownwalker,"Highland Springs, VA",,| NSU🔰 VCU🐏| Search UptownWalker on Apple Music 🍎 | Spotify ✳️ | Tidal 🌊| The #DS2 EP is out now!,https://t.co/HSHynI7dlt,,False,1069,688,11,Mon Oct 11 03:07:50 +0000 2010,10501,,,True,False,33590,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/nOD2xlHqsh', 'expanded_url': 'https://twitter.com/i/web/status/1339065841070067712', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [111, 134]}]}",False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_banners/201112343/1586259328,ED2F2F,000000,252429,666666,False,True,False,False,False,False,False,none
source,201112343,201112343,Scotty 2Phones,uptownwalker,"Highland Springs, VA",,| NSU🔰 VCU🐏| Search UptownWalker on Apple Music 🍎 | Spotify ✳️ | Tidal 🌊| The #DS2 EP is out now!,https://t.co/HSHynI7dlt,,False,1069,688,11,Mon Oct 11 03:07:50 +0000 2010,10501,,,True,False,33590,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_banners/201112343/1586259328,ED2F2F,000000,252429,666666,False,True,False,False,False,False,False,none
in_reply_to_status_id,201112343,201112343,Scotty 2Phones,uptownwalker,"Highland Springs, VA",,| NSU🔰 VCU🐏| Search UptownWalker on Apple Music 🍎 | Spotify ✳️ | Tidal 🌊| The #DS2 EP is out now!,https://t.co/HSHynI7dlt,,False,1069,688,11,Mon Oct 11 03:07:50 +0000 2010,10501,,,True,False,33590,,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_banners/201112343/1586259328,ED2F2F,000000,252429,666666,False,True,False,False,False,False,False,none
