,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,123161937,123161937,Niggerman 5: ✨Its Christmas Time✨,DanniCali4nia,"Fayetteville, NC",,"dani

24
☀️virgo/libra cusp ⬆️ scorpio 🌕 capricorn
$danicalifornia96 👍👍👍",,{'urls': []},False,64,245,0,Mon Mar 15 05:55:38 +0000 2010,24740,,,True,False,5639,,,False,False,False,853162,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1332188238757437442/i9IcQh-__normal.jpg,https://pbs.twimg.com/profile_images/1332188238757437442/i9IcQh-__normal.jpg,https://pbs.twimg.com/profile_banners/123161937/1607985663,A7889D,F5F2ED,F2E0D3,C8DED8,True,True,False,False,False,False,False,none
created_at,123161937,123161937,Niggerman 5: ✨Its Christmas Time✨,DanniCali4nia,"Fayetteville, NC",,"dani

24
☀️virgo/libra cusp ⬆️ scorpio 🌕 capricorn
$danicalifornia96 👍👍👍",,,False,64,245,0,Mon Mar 15 05:55:38 +0000 2010,24740,,,True,False,5639,,Tue Dec 15 04:09:10 +0000 2020,False,False,False,853162,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1332188238757437442/i9IcQh-__normal.jpg,https://pbs.twimg.com/profile_images/1332188238757437442/i9IcQh-__normal.jpg,https://pbs.twimg.com/profile_banners/123161937/1607985663,A7889D,F5F2ED,F2E0D3,C8DED8,True,True,False,False,False,False,False,none
id,123161937,123161937,Niggerman 5: ✨Its Christmas Time✨,DanniCali4nia,"Fayetteville, NC",,"dani

24
☀️virgo/libra cusp ⬆️ scorpio 🌕 capricorn
$danicalifornia96 👍👍👍",,,False,64,245,0,Mon Mar 15 05:55:38 +0000 2010,24740,,,True,False,5639,,1338697582420389889,False,False,False,853162,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1332188238757437442/i9IcQh-__normal.jpg,https://pbs.twimg.com/profile_images/1332188238757437442/i9IcQh-__normal.jpg,https://pbs.twimg.com/profile_banners/123161937/1607985663,A7889D,F5F2ED,F2E0D3,C8DED8,True,True,False,False,False,False,False,none
id_str,123161937,123161937,Niggerman 5: ✨Its Christmas Time✨,DanniCali4nia,"Fayetteville, NC",,"dani

24
☀️virgo/libra cusp ⬆️ scorpio 🌕 capricorn
$danicalifornia96 👍👍👍",,,False,64,245,0,Mon Mar 15 05:55:38 +0000 2010,24740,,,True,False,5639,,1338697582420389889,False,False,False,853162,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1332188238757437442/i9IcQh-__normal.jpg,https://pbs.twimg.com/profile_images/1332188238757437442/i9IcQh-__normal.jpg,https://pbs.twimg.com/profile_banners/123161937/1607985663,A7889D,F5F2ED,F2E0D3,C8DED8,True,True,False,False,False,False,False,none
text,123161937,123161937,Niggerman 5: ✨Its Christmas Time✨,DanniCali4nia,"Fayetteville, NC",,"dani

24
☀️virgo/libra cusp ⬆️ scorpio 🌕 capricorn
$danicalifornia96 👍👍👍",,,False,64,245,0,Mon Mar 15 05:55:38 +0000 2010,24740,,,True,False,5639,,i put on some paramore b sides and shouted along and got mcdonalds so... we're better. https://t.co/oiGCTXWhDV,False,False,False,853162,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1332188238757437442/i9IcQh-__normal.jpg,https://pbs.twimg.com/profile_images/1332188238757437442/i9IcQh-__normal.jpg,https://pbs.twimg.com/profile_banners/123161937/1607985663,A7889D,F5F2ED,F2E0D3,C8DED8,True,True,False,False,False,False,False,none
truncated,123161937,123161937,Niggerman 5: ✨Its Christmas Time✨,DanniCali4nia,"Fayetteville, NC",,"dani

24
☀️virgo/libra cusp ⬆️ scorpio 🌕 capricorn
$danicalifornia96 👍👍👍",,,False,64,245,0,Mon Mar 15 05:55:38 +0000 2010,24740,,,True,False,5639,,False,False,False,False,853162,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1332188238757437442/i9IcQh-__normal.jpg,https://pbs.twimg.com/profile_images/1332188238757437442/i9IcQh-__normal.jpg,https://pbs.twimg.com/profile_banners/123161937/1607985663,A7889D,F5F2ED,F2E0D3,C8DED8,True,True,False,False,False,False,False,none
entities,123161937,123161937,Niggerman 5: ✨Its Christmas Time✨,DanniCali4nia,"Fayetteville, NC",,"dani

24
☀️virgo/libra cusp ⬆️ scorpio 🌕 capricorn
$danicalifornia96 👍👍👍",,,False,64,245,0,Mon Mar 15 05:55:38 +0000 2010,24740,,,True,False,5639,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338697580960763904, 'id_str': '1338697580960763904', 'indices': [87, 110], 'media_url': 'http://pbs.twimg.com/media/EpQCW27XUAAzdJF.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpQCW27XUAAzdJF.jpg', 'url': 'https://t.co/oiGCTXWhDV', 'display_url': 'pic.twitter.com/oiGCTXWhDV', 'expanded_url': 'https://twitter.com/DanniCali4nia/status/1338697582420389889/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 649, 'resize': 'fit'}, 'large': {'w': 719, 'h': 686, 'resize': 'fit'}, 'medium': {'w': 719, 'h': 686, 'resize': 'fit'}}}]}",False,False,False,853162,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1332188238757437442/i9IcQh-__normal.jpg,https://pbs.twimg.com/profile_images/1332188238757437442/i9IcQh-__normal.jpg,https://pbs.twimg.com/profile_banners/123161937/1607985663,A7889D,F5F2ED,F2E0D3,C8DED8,True,True,False,False,False,False,False,none
extended_entities,123161937,123161937,Niggerman 5: ✨Its Christmas Time✨,DanniCali4nia,"Fayetteville, NC",,"dani

24
☀️virgo/libra cusp ⬆️ scorpio 🌕 capricorn
$danicalifornia96 👍👍👍",,,False,64,245,0,Mon Mar 15 05:55:38 +0000 2010,24740,,,True,False,5639,,"{'media': [{'id': 1338697580960763904, 'id_str': '1338697580960763904', 'indices': [87, 110], 'media_url': 'http://pbs.twimg.com/media/EpQCW27XUAAzdJF.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpQCW27XUAAzdJF.jpg', 'url': 'https://t.co/oiGCTXWhDV', 'display_url': 'pic.twitter.com/oiGCTXWhDV', 'expanded_url': 'https://twitter.com/DanniCali4nia/status/1338697582420389889/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 649, 'resize': 'fit'}, 'large': {'w': 719, 'h': 686, 'resize': 'fit'}, 'medium': {'w': 719, 'h': 686, 'resize': 'fit'}}}]}",False,False,False,853162,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1332188238757437442/i9IcQh-__normal.jpg,https://pbs.twimg.com/profile_images/1332188238757437442/i9IcQh-__normal.jpg,https://pbs.twimg.com/profile_banners/123161937/1607985663,A7889D,F5F2ED,F2E0D3,C8DED8,True,True,False,False,False,False,False,none
source,123161937,123161937,Niggerman 5: ✨Its Christmas Time✨,DanniCali4nia,"Fayetteville, NC",,"dani

24
☀️virgo/libra cusp ⬆️ scorpio 🌕 capricorn
$danicalifornia96 👍👍👍",,,False,64,245,0,Mon Mar 15 05:55:38 +0000 2010,24740,,,True,False,5639,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,853162,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1332188238757437442/i9IcQh-__normal.jpg,https://pbs.twimg.com/profile_images/1332188238757437442/i9IcQh-__normal.jpg,https://pbs.twimg.com/profile_banners/123161937/1607985663,A7889D,F5F2ED,F2E0D3,C8DED8,True,True,False,False,False,False,False,none
in_reply_to_status_id,123161937,123161937,Niggerman 5: ✨Its Christmas Time✨,DanniCali4nia,"Fayetteville, NC",,"dani

24
☀️virgo/libra cusp ⬆️ scorpio 🌕 capricorn
$danicalifornia96 👍👍👍",,,False,64,245,0,Mon Mar 15 05:55:38 +0000 2010,24740,,,True,False,5639,,1338672842058166272,False,False,False,853162,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1332188238757437442/i9IcQh-__normal.jpg,https://pbs.twimg.com/profile_images/1332188238757437442/i9IcQh-__normal.jpg,https://pbs.twimg.com/profile_banners/123161937/1607985663,A7889D,F5F2ED,F2E0D3,C8DED8,True,True,False,False,False,False,False,none
