,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,423025902,423025902,Space Devil Big Ninja -THANK GOD IT'S DECEMBER-,Hiro_Ramone_9,"Itaquá, Z/L SP",,"I have 4 cats, a brain full of Nerd trivia, and a creative imagination. Maybe one day i'll be a creator as well...",,{'urls': []},False,253,1395,0,Mon Nov 28 00:17:51 +0000 2011,82211,,,False,False,18445,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1305166078201548801/FT3H27iZ_normal.jpg,https://pbs.twimg.com/profile_images/1305166078201548801/FT3H27iZ_normal.jpg,https://pbs.twimg.com/profile_banners/423025902/1567031230,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
created_at,423025902,423025902,Space Devil Big Ninja -THANK GOD IT'S DECEMBER-,Hiro_Ramone_9,"Itaquá, Z/L SP",,"I have 4 cats, a brain full of Nerd trivia, and a creative imagination. Maybe one day i'll be a creator as well...",,,False,253,1395,0,Mon Nov 28 00:17:51 +0000 2011,82211,,,False,False,18445,,Mon Dec 14 15:54:29 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1305166078201548801/FT3H27iZ_normal.jpg,https://pbs.twimg.com/profile_images/1305166078201548801/FT3H27iZ_normal.jpg,https://pbs.twimg.com/profile_banners/423025902/1567031230,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id,423025902,423025902,Space Devil Big Ninja -THANK GOD IT'S DECEMBER-,Hiro_Ramone_9,"Itaquá, Z/L SP",,"I have 4 cats, a brain full of Nerd trivia, and a creative imagination. Maybe one day i'll be a creator as well...",,,False,253,1395,0,Mon Nov 28 00:17:51 +0000 2011,82211,,,False,False,18445,,1338512693565722630,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1305166078201548801/FT3H27iZ_normal.jpg,https://pbs.twimg.com/profile_images/1305166078201548801/FT3H27iZ_normal.jpg,https://pbs.twimg.com/profile_banners/423025902/1567031230,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id_str,423025902,423025902,Space Devil Big Ninja -THANK GOD IT'S DECEMBER-,Hiro_Ramone_9,"Itaquá, Z/L SP",,"I have 4 cats, a brain full of Nerd trivia, and a creative imagination. Maybe one day i'll be a creator as well...",,,False,253,1395,0,Mon Nov 28 00:17:51 +0000 2011,82211,,,False,False,18445,,1338512693565722630,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1305166078201548801/FT3H27iZ_normal.jpg,https://pbs.twimg.com/profile_images/1305166078201548801/FT3H27iZ_normal.jpg,https://pbs.twimg.com/profile_banners/423025902/1567031230,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
text,423025902,423025902,Space Devil Big Ninja -THANK GOD IT'S DECEMBER-,Hiro_Ramone_9,"Itaquá, Z/L SP",,"I have 4 cats, a brain full of Nerd trivia, and a creative imagination. Maybe one day i'll be a creator as well...",,,False,253,1395,0,Mon Nov 28 00:17:51 +0000 2011,82211,,,False,False,18445,,@CathGirlRach Sorry if i'm wring but wasn't the point of Get Out that people who overrstimate black people are also racists?,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1305166078201548801/FT3H27iZ_normal.jpg,https://pbs.twimg.com/profile_images/1305166078201548801/FT3H27iZ_normal.jpg,https://pbs.twimg.com/profile_banners/423025902/1567031230,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
truncated,423025902,423025902,Space Devil Big Ninja -THANK GOD IT'S DECEMBER-,Hiro_Ramone_9,"Itaquá, Z/L SP",,"I have 4 cats, a brain full of Nerd trivia, and a creative imagination. Maybe one day i'll be a creator as well...",,,False,253,1395,0,Mon Nov 28 00:17:51 +0000 2011,82211,,,False,False,18445,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1305166078201548801/FT3H27iZ_normal.jpg,https://pbs.twimg.com/profile_images/1305166078201548801/FT3H27iZ_normal.jpg,https://pbs.twimg.com/profile_banners/423025902/1567031230,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
entities,423025902,423025902,Space Devil Big Ninja -THANK GOD IT'S DECEMBER-,Hiro_Ramone_9,"Itaquá, Z/L SP",,"I have 4 cats, a brain full of Nerd trivia, and a creative imagination. Maybe one day i'll be a creator as well...",,,False,253,1395,0,Mon Nov 28 00:17:51 +0000 2011,82211,,,False,False,18445,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CathGirlRach', 'name': 'Punished Rach', 'id': 1314693311576387585, 'id_str': '1314693311576387585', 'indices': [0, 13]}], 'urls': []}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1305166078201548801/FT3H27iZ_normal.jpg,https://pbs.twimg.com/profile_images/1305166078201548801/FT3H27iZ_normal.jpg,https://pbs.twimg.com/profile_banners/423025902/1567031230,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
source,423025902,423025902,Space Devil Big Ninja -THANK GOD IT'S DECEMBER-,Hiro_Ramone_9,"Itaquá, Z/L SP",,"I have 4 cats, a brain full of Nerd trivia, and a creative imagination. Maybe one day i'll be a creator as well...",,,False,253,1395,0,Mon Nov 28 00:17:51 +0000 2011,82211,,,False,False,18445,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1305166078201548801/FT3H27iZ_normal.jpg,https://pbs.twimg.com/profile_images/1305166078201548801/FT3H27iZ_normal.jpg,https://pbs.twimg.com/profile_banners/423025902/1567031230,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id,423025902,423025902,Space Devil Big Ninja -THANK GOD IT'S DECEMBER-,Hiro_Ramone_9,"Itaquá, Z/L SP",,"I have 4 cats, a brain full of Nerd trivia, and a creative imagination. Maybe one day i'll be a creator as well...",,,False,253,1395,0,Mon Nov 28 00:17:51 +0000 2011,82211,,,False,False,18445,,1338315531632467969,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1305166078201548801/FT3H27iZ_normal.jpg,https://pbs.twimg.com/profile_images/1305166078201548801/FT3H27iZ_normal.jpg,https://pbs.twimg.com/profile_banners/423025902/1567031230,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id_str,423025902,423025902,Space Devil Big Ninja -THANK GOD IT'S DECEMBER-,Hiro_Ramone_9,"Itaquá, Z/L SP",,"I have 4 cats, a brain full of Nerd trivia, and a creative imagination. Maybe one day i'll be a creator as well...",,,False,253,1395,0,Mon Nov 28 00:17:51 +0000 2011,82211,,,False,False,18445,,1338315531632467969,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1305166078201548801/FT3H27iZ_normal.jpg,https://pbs.twimg.com/profile_images/1305166078201548801/FT3H27iZ_normal.jpg,https://pbs.twimg.com/profile_banners/423025902/1567031230,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_user_id,423025902,423025902,Space Devil Big Ninja -THANK GOD IT'S DECEMBER-,Hiro_Ramone_9,"Itaquá, Z/L SP",,"I have 4 cats, a brain full of Nerd trivia, and a creative imagination. Maybe one day i'll be a creator as well...",,,False,253,1395,0,Mon Nov 28 00:17:51 +0000 2011,82211,,,False,False,18445,,1314693311576387585,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1305166078201548801/FT3H27iZ_normal.jpg,https://pbs.twimg.com/profile_images/1305166078201548801/FT3H27iZ_normal.jpg,https://pbs.twimg.com/profile_banners/423025902/1567031230,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_user_id_str,423025902,423025902,Space Devil Big Ninja -THANK GOD IT'S DECEMBER-,Hiro_Ramone_9,"Itaquá, Z/L SP",,"I have 4 cats, a brain full of Nerd trivia, and a creative imagination. Maybe one day i'll be a creator as well...",,,False,253,1395,0,Mon Nov 28 00:17:51 +0000 2011,82211,,,False,False,18445,,1314693311576387585,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1305166078201548801/FT3H27iZ_normal.jpg,https://pbs.twimg.com/profile_images/1305166078201548801/FT3H27iZ_normal.jpg,https://pbs.twimg.com/profile_banners/423025902/1567031230,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_screen_name,423025902,423025902,Space Devil Big Ninja -THANK GOD IT'S DECEMBER-,Hiro_Ramone_9,"Itaquá, Z/L SP",,"I have 4 cats, a brain full of Nerd trivia, and a creative imagination. Maybe one day i'll be a creator as well...",,,False,253,1395,0,Mon Nov 28 00:17:51 +0000 2011,82211,,,False,False,18445,,CathGirlRach,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1305166078201548801/FT3H27iZ_normal.jpg,https://pbs.twimg.com/profile_images/1305166078201548801/FT3H27iZ_normal.jpg,https://pbs.twimg.com/profile_banners/423025902/1567031230,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
