,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,813245064679976961,813245064679976961,jadetiarabrow15💜🎗♡ 🕊✌️#lovefromsean #stayhome,Jadetiarabrow15,,,hope is the only thing stronger than fear and at the end of the day all you need is hope and strength 2 Corinthians 5:7 walk by faith not by sight lovefromsean,,{'urls': []},False,2605,4783,29,Mon Dec 26 04:48:27 +0000 2016,117244,,,True,False,26491,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325177294298607619/0qn1on8Z_normal.jpg,https://pbs.twimg.com/profile_images/1325177294298607619/0qn1on8Z_normal.jpg,https://pbs.twimg.com/profile_banners/813245064679976961/1606140537,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,813245064679976961,813245064679976961,jadetiarabrow15💜🎗♡ 🕊✌️#lovefromsean #stayhome,Jadetiarabrow15,,,hope is the only thing stronger than fear and at the end of the day all you need is hope and strength 2 Corinthians 5:7 walk by faith not by sight lovefromsean,,,False,2605,4783,29,Mon Dec 26 04:48:27 +0000 2016,117244,,,True,False,26491,,Mon Dec 14 16:02:09 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325177294298607619/0qn1on8Z_normal.jpg,https://pbs.twimg.com/profile_images/1325177294298607619/0qn1on8Z_normal.jpg,https://pbs.twimg.com/profile_banners/813245064679976961/1606140537,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,813245064679976961,813245064679976961,jadetiarabrow15💜🎗♡ 🕊✌️#lovefromsean #stayhome,Jadetiarabrow15,,,hope is the only thing stronger than fear and at the end of the day all you need is hope and strength 2 Corinthians 5:7 walk by faith not by sight lovefromsean,,,False,2605,4783,29,Mon Dec 26 04:48:27 +0000 2016,117244,,,True,False,26491,,1338514625596334081,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325177294298607619/0qn1on8Z_normal.jpg,https://pbs.twimg.com/profile_images/1325177294298607619/0qn1on8Z_normal.jpg,https://pbs.twimg.com/profile_banners/813245064679976961/1606140537,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,813245064679976961,813245064679976961,jadetiarabrow15💜🎗♡ 🕊✌️#lovefromsean #stayhome,Jadetiarabrow15,,,hope is the only thing stronger than fear and at the end of the day all you need is hope and strength 2 Corinthians 5:7 walk by faith not by sight lovefromsean,,,False,2605,4783,29,Mon Dec 26 04:48:27 +0000 2016,117244,,,True,False,26491,,1338514625596334081,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325177294298607619/0qn1on8Z_normal.jpg,https://pbs.twimg.com/profile_images/1325177294298607619/0qn1on8Z_normal.jpg,https://pbs.twimg.com/profile_banners/813245064679976961/1606140537,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,813245064679976961,813245064679976961,jadetiarabrow15💜🎗♡ 🕊✌️#lovefromsean #stayhome,Jadetiarabrow15,,,hope is the only thing stronger than fear and at the end of the day all you need is hope and strength 2 Corinthians 5:7 walk by faith not by sight lovefromsean,,,False,2605,4783,29,Mon Dec 26 04:48:27 +0000 2016,117244,,,True,False,26491,,Putting plans into action comes easily today as potent forces ... More for Scorpio https://t.co/5DY7GRIQJ0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325177294298607619/0qn1on8Z_normal.jpg,https://pbs.twimg.com/profile_images/1325177294298607619/0qn1on8Z_normal.jpg,https://pbs.twimg.com/profile_banners/813245064679976961/1606140537,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,813245064679976961,813245064679976961,jadetiarabrow15💜🎗♡ 🕊✌️#lovefromsean #stayhome,Jadetiarabrow15,,,hope is the only thing stronger than fear and at the end of the day all you need is hope and strength 2 Corinthians 5:7 walk by faith not by sight lovefromsean,,,False,2605,4783,29,Mon Dec 26 04:48:27 +0000 2016,117244,,,True,False,26491,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325177294298607619/0qn1on8Z_normal.jpg,https://pbs.twimg.com/profile_images/1325177294298607619/0qn1on8Z_normal.jpg,https://pbs.twimg.com/profile_banners/813245064679976961/1606140537,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,813245064679976961,813245064679976961,jadetiarabrow15💜🎗♡ 🕊✌️#lovefromsean #stayhome,Jadetiarabrow15,,,hope is the only thing stronger than fear and at the end of the day all you need is hope and strength 2 Corinthians 5:7 walk by faith not by sight lovefromsean,,,False,2605,4783,29,Mon Dec 26 04:48:27 +0000 2016,117244,,,True,False,26491,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/5DY7GRIQJ0', 'expanded_url': 'http://bit.ly/xlOqWT', 'display_url': 'bit.ly/xlOqWT', 'indices': [83, 106]}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325177294298607619/0qn1on8Z_normal.jpg,https://pbs.twimg.com/profile_images/1325177294298607619/0qn1on8Z_normal.jpg,https://pbs.twimg.com/profile_banners/813245064679976961/1606140537,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,813245064679976961,813245064679976961,jadetiarabrow15💜🎗♡ 🕊✌️#lovefromsean #stayhome,Jadetiarabrow15,,,hope is the only thing stronger than fear and at the end of the day all you need is hope and strength 2 Corinthians 5:7 walk by faith not by sight lovefromsean,,,False,2605,4783,29,Mon Dec 26 04:48:27 +0000 2016,117244,,,True,False,26491,,"<a href=""http://www.twittascope.com"" rel=""nofollow"">Twittascope</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325177294298607619/0qn1on8Z_normal.jpg,https://pbs.twimg.com/profile_images/1325177294298607619/0qn1on8Z_normal.jpg,https://pbs.twimg.com/profile_banners/813245064679976961/1606140537,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,813245064679976961,813245064679976961,jadetiarabrow15💜🎗♡ 🕊✌️#lovefromsean #stayhome,Jadetiarabrow15,,,hope is the only thing stronger than fear and at the end of the day all you need is hope and strength 2 Corinthians 5:7 walk by faith not by sight lovefromsean,,,False,2605,4783,29,Mon Dec 26 04:48:27 +0000 2016,117244,,,True,False,26491,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325177294298607619/0qn1on8Z_normal.jpg,https://pbs.twimg.com/profile_images/1325177294298607619/0qn1on8Z_normal.jpg,https://pbs.twimg.com/profile_banners/813245064679976961/1606140537,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,813245064679976961,813245064679976961,jadetiarabrow15💜🎗♡ 🕊✌️#lovefromsean #stayhome,Jadetiarabrow15,,,hope is the only thing stronger than fear and at the end of the day all you need is hope and strength 2 Corinthians 5:7 walk by faith not by sight lovefromsean,,,False,2605,4783,29,Mon Dec 26 04:48:27 +0000 2016,117244,,,True,False,26491,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325177294298607619/0qn1on8Z_normal.jpg,https://pbs.twimg.com/profile_images/1325177294298607619/0qn1on8Z_normal.jpg,https://pbs.twimg.com/profile_banners/813245064679976961/1606140537,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
