,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1152921950,1152921950,Kate D,Just_KateD,South Carolina,,"Panthers/Tar Heels/Hornets/Charlotte FC fan, wife, Cam Newton fan, Taylor Swift fan, #BlackLivesMatter",,{'urls': []},False,161,156,1,Wed Feb 06 04:40:51 +0000 2013,95068,,,False,False,7272,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_banners/1152921950/1605414040,7FDBB6,000000,000000,000000,False,False,False,False,False,False,False,none
created_at,1152921950,1152921950,Kate D,Just_KateD,South Carolina,,"Panthers/Tar Heels/Hornets/Charlotte FC fan, wife, Cam Newton fan, Taylor Swift fan, #BlackLivesMatter",,,False,161,156,1,Wed Feb 06 04:40:51 +0000 2013,95068,,,False,False,7272,,Mon Dec 14 22:05:03 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_banners/1152921950/1605414040,7FDBB6,000000,000000,000000,False,False,False,False,False,False,False,none
id,1152921950,1152921950,Kate D,Just_KateD,South Carolina,,"Panthers/Tar Heels/Hornets/Charlotte FC fan, wife, Cam Newton fan, Taylor Swift fan, #BlackLivesMatter",,,False,161,156,1,Wed Feb 06 04:40:51 +0000 2013,95068,,,False,False,7272,,1338605950765326337,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_banners/1152921950/1605414040,7FDBB6,000000,000000,000000,False,False,False,False,False,False,False,none
id_str,1152921950,1152921950,Kate D,Just_KateD,South Carolina,,"Panthers/Tar Heels/Hornets/Charlotte FC fan, wife, Cam Newton fan, Taylor Swift fan, #BlackLivesMatter",,,False,161,156,1,Wed Feb 06 04:40:51 +0000 2013,95068,,,False,False,7272,,1338605950765326337,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_banners/1152921950/1605414040,7FDBB6,000000,000000,000000,False,False,False,False,False,False,False,none
text,1152921950,1152921950,Kate D,Just_KateD,South Carolina,,"Panthers/Tar Heels/Hornets/Charlotte FC fan, wife, Cam Newton fan, Taylor Swift fan, #BlackLivesMatter",,,False,161,156,1,Wed Feb 06 04:40:51 +0000 2013,95068,,,False,False,7272,,@Pantherstatsguy Can we sign players who haven’t played with Rhule before? 🙄,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_banners/1152921950/1605414040,7FDBB6,000000,000000,000000,False,False,False,False,False,False,False,none
truncated,1152921950,1152921950,Kate D,Just_KateD,South Carolina,,"Panthers/Tar Heels/Hornets/Charlotte FC fan, wife, Cam Newton fan, Taylor Swift fan, #BlackLivesMatter",,,False,161,156,1,Wed Feb 06 04:40:51 +0000 2013,95068,,,False,False,7272,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_banners/1152921950/1605414040,7FDBB6,000000,000000,000000,False,False,False,False,False,False,False,none
entities,1152921950,1152921950,Kate D,Just_KateD,South Carolina,,"Panthers/Tar Heels/Hornets/Charlotte FC fan, wife, Cam Newton fan, Taylor Swift fan, #BlackLivesMatter",,,False,161,156,1,Wed Feb 06 04:40:51 +0000 2013,95068,,,False,False,7272,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Pantherstatsguy', 'name': 'Will Bryan', 'id': 20490626, 'id_str': '20490626', 'indices': [0, 16]}], 'urls': []}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_banners/1152921950/1605414040,7FDBB6,000000,000000,000000,False,False,False,False,False,False,False,none
source,1152921950,1152921950,Kate D,Just_KateD,South Carolina,,"Panthers/Tar Heels/Hornets/Charlotte FC fan, wife, Cam Newton fan, Taylor Swift fan, #BlackLivesMatter",,,False,161,156,1,Wed Feb 06 04:40:51 +0000 2013,95068,,,False,False,7272,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_banners/1152921950/1605414040,7FDBB6,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_status_id,1152921950,1152921950,Kate D,Just_KateD,South Carolina,,"Panthers/Tar Heels/Hornets/Charlotte FC fan, wife, Cam Newton fan, Taylor Swift fan, #BlackLivesMatter",,,False,161,156,1,Wed Feb 06 04:40:51 +0000 2013,95068,,,False,False,7272,,1338601804356055042,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_banners/1152921950/1605414040,7FDBB6,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_status_id_str,1152921950,1152921950,Kate D,Just_KateD,South Carolina,,"Panthers/Tar Heels/Hornets/Charlotte FC fan, wife, Cam Newton fan, Taylor Swift fan, #BlackLivesMatter",,,False,161,156,1,Wed Feb 06 04:40:51 +0000 2013,95068,,,False,False,7272,,1338601804356055042,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_banners/1152921950/1605414040,7FDBB6,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_user_id,1152921950,1152921950,Kate D,Just_KateD,South Carolina,,"Panthers/Tar Heels/Hornets/Charlotte FC fan, wife, Cam Newton fan, Taylor Swift fan, #BlackLivesMatter",,,False,161,156,1,Wed Feb 06 04:40:51 +0000 2013,95068,,,False,False,7272,,20490626,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_banners/1152921950/1605414040,7FDBB6,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_user_id_str,1152921950,1152921950,Kate D,Just_KateD,South Carolina,,"Panthers/Tar Heels/Hornets/Charlotte FC fan, wife, Cam Newton fan, Taylor Swift fan, #BlackLivesMatter",,,False,161,156,1,Wed Feb 06 04:40:51 +0000 2013,95068,,,False,False,7272,,20490626,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_banners/1152921950/1605414040,7FDBB6,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_screen_name,1152921950,1152921950,Kate D,Just_KateD,South Carolina,,"Panthers/Tar Heels/Hornets/Charlotte FC fan, wife, Cam Newton fan, Taylor Swift fan, #BlackLivesMatter",,,False,161,156,1,Wed Feb 06 04:40:51 +0000 2013,95068,,,False,False,7272,,Pantherstatsguy,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_banners/1152921950/1605414040,7FDBB6,000000,000000,000000,False,False,False,False,False,False,False,none
geo,1152921950,1152921950,Kate D,Just_KateD,South Carolina,,"Panthers/Tar Heels/Hornets/Charlotte FC fan, wife, Cam Newton fan, Taylor Swift fan, #BlackLivesMatter",,,False,161,156,1,Wed Feb 06 04:40:51 +0000 2013,95068,,,False,False,7272,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_banners/1152921950/1605414040,7FDBB6,000000,000000,000000,False,False,False,False,False,False,False,none
coordinates,1152921950,1152921950,Kate D,Just_KateD,South Carolina,,"Panthers/Tar Heels/Hornets/Charlotte FC fan, wife, Cam Newton fan, Taylor Swift fan, #BlackLivesMatter",,,False,161,156,1,Wed Feb 06 04:40:51 +0000 2013,95068,,,False,False,7272,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_banners/1152921950/1605414040,7FDBB6,000000,000000,000000,False,False,False,False,False,False,False,none
place,1152921950,1152921950,Kate D,Just_KateD,South Carolina,,"Panthers/Tar Heels/Hornets/Charlotte FC fan, wife, Cam Newton fan, Taylor Swift fan, #BlackLivesMatter",,,False,161,156,1,Wed Feb 06 04:40:51 +0000 2013,95068,,,False,False,7272,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_banners/1152921950/1605414040,7FDBB6,000000,000000,000000,False,False,False,False,False,False,False,none
contributors,1152921950,1152921950,Kate D,Just_KateD,South Carolina,,"Panthers/Tar Heels/Hornets/Charlotte FC fan, wife, Cam Newton fan, Taylor Swift fan, #BlackLivesMatter",,,False,161,156,1,Wed Feb 06 04:40:51 +0000 2013,95068,,,False,False,7272,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_banners/1152921950/1605414040,7FDBB6,000000,000000,000000,False,False,False,False,False,False,False,none
is_quote_status,1152921950,1152921950,Kate D,Just_KateD,South Carolina,,"Panthers/Tar Heels/Hornets/Charlotte FC fan, wife, Cam Newton fan, Taylor Swift fan, #BlackLivesMatter",,,False,161,156,1,Wed Feb 06 04:40:51 +0000 2013,95068,,,False,False,7272,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_banners/1152921950/1605414040,7FDBB6,000000,000000,000000,False,False,False,False,False,False,False,none
retweet_count,1152921950,1152921950,Kate D,Just_KateD,South Carolina,,"Panthers/Tar Heels/Hornets/Charlotte FC fan, wife, Cam Newton fan, Taylor Swift fan, #BlackLivesMatter",,,False,161,156,1,Wed Feb 06 04:40:51 +0000 2013,95068,,,False,False,7272,,0,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_banners/1152921950/1605414040,7FDBB6,000000,000000,000000,False,False,False,False,False,False,False,none
favorite_count,1152921950,1152921950,Kate D,Just_KateD,South Carolina,,"Panthers/Tar Heels/Hornets/Charlotte FC fan, wife, Cam Newton fan, Taylor Swift fan, #BlackLivesMatter",,,False,161,156,1,Wed Feb 06 04:40:51 +0000 2013,95068,,,False,False,7272,,8,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_banners/1152921950/1605414040,7FDBB6,000000,000000,000000,False,False,False,False,False,False,False,none
favorited,1152921950,1152921950,Kate D,Just_KateD,South Carolina,,"Panthers/Tar Heels/Hornets/Charlotte FC fan, wife, Cam Newton fan, Taylor Swift fan, #BlackLivesMatter",,,False,161,156,1,Wed Feb 06 04:40:51 +0000 2013,95068,,,False,False,7272,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_banners/1152921950/1605414040,7FDBB6,000000,000000,000000,False,False,False,False,False,False,False,none
retweeted,1152921950,1152921950,Kate D,Just_KateD,South Carolina,,"Panthers/Tar Heels/Hornets/Charlotte FC fan, wife, Cam Newton fan, Taylor Swift fan, #BlackLivesMatter",,,False,161,156,1,Wed Feb 06 04:40:51 +0000 2013,95068,,,False,False,7272,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_banners/1152921950/1605414040,7FDBB6,000000,000000,000000,False,False,False,False,False,False,False,none
lang,1152921950,1152921950,Kate D,Just_KateD,South Carolina,,"Panthers/Tar Heels/Hornets/Charlotte FC fan, wife, Cam Newton fan, Taylor Swift fan, #BlackLivesMatter",,,False,161,156,1,Wed Feb 06 04:40:51 +0000 2013,95068,,,False,False,7272,,en,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_images/418949430344052736/BdJhuDy__normal.jpeg,https://pbs.twimg.com/profile_banners/1152921950/1605414040,7FDBB6,000000,000000,000000,False,False,False,False,False,False,False,none
