,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1262496209761157123,1262496209761157123,Annie ☕,Milk_Honeyx,Chill vibes,,Daydreaming...,,{'urls': []},False,28,141,0,Mon May 18 21:32:13 +0000 2020,53,,,False,False,222,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1327433222666457088/K551jGMc_normal.jpg,https://pbs.twimg.com/profile_images/1327433222666457088/K551jGMc_normal.jpg,https://pbs.twimg.com/profile_banners/1262496209761157123/1605319717,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1262496209761157123,1262496209761157123,Annie ☕,Milk_Honeyx,Chill vibes,,Daydreaming...,,,False,28,141,0,Mon May 18 21:32:13 +0000 2020,53,,,False,False,222,,Sun Dec 13 01:03:39 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1327433222666457088/K551jGMc_normal.jpg,https://pbs.twimg.com/profile_images/1327433222666457088/K551jGMc_normal.jpg,https://pbs.twimg.com/profile_banners/1262496209761157123/1605319717,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1262496209761157123,1262496209761157123,Annie ☕,Milk_Honeyx,Chill vibes,,Daydreaming...,,,False,28,141,0,Mon May 18 21:32:13 +0000 2020,53,,,False,False,222,,1337926123422937088,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1327433222666457088/K551jGMc_normal.jpg,https://pbs.twimg.com/profile_images/1327433222666457088/K551jGMc_normal.jpg,https://pbs.twimg.com/profile_banners/1262496209761157123/1605319717,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1262496209761157123,1262496209761157123,Annie ☕,Milk_Honeyx,Chill vibes,,Daydreaming...,,,False,28,141,0,Mon May 18 21:32:13 +0000 2020,53,,,False,False,222,,1337926123422937088,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1327433222666457088/K551jGMc_normal.jpg,https://pbs.twimg.com/profile_images/1327433222666457088/K551jGMc_normal.jpg,https://pbs.twimg.com/profile_banners/1262496209761157123/1605319717,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1262496209761157123,1262496209761157123,Annie ☕,Milk_Honeyx,Chill vibes,,Daydreaming...,,,False,28,141,0,Mon May 18 21:32:13 +0000 2020,53,,,False,False,222,,I was reading a online story and my parents came in on the saucy part to talk to me abt what desk I wanted built fo… https://t.co/5LPDgsm4Mf,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1327433222666457088/K551jGMc_normal.jpg,https://pbs.twimg.com/profile_images/1327433222666457088/K551jGMc_normal.jpg,https://pbs.twimg.com/profile_banners/1262496209761157123/1605319717,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1262496209761157123,1262496209761157123,Annie ☕,Milk_Honeyx,Chill vibes,,Daydreaming...,,,False,28,141,0,Mon May 18 21:32:13 +0000 2020,53,,,False,False,222,,True,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1327433222666457088/K551jGMc_normal.jpg,https://pbs.twimg.com/profile_images/1327433222666457088/K551jGMc_normal.jpg,https://pbs.twimg.com/profile_banners/1262496209761157123/1605319717,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1262496209761157123,1262496209761157123,Annie ☕,Milk_Honeyx,Chill vibes,,Daydreaming...,,,False,28,141,0,Mon May 18 21:32:13 +0000 2020,53,,,False,False,222,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/5LPDgsm4Mf', 'expanded_url': 'https://twitter.com/i/web/status/1337926123422937088', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1327433222666457088/K551jGMc_normal.jpg,https://pbs.twimg.com/profile_images/1327433222666457088/K551jGMc_normal.jpg,https://pbs.twimg.com/profile_banners/1262496209761157123/1605319717,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1262496209761157123,1262496209761157123,Annie ☕,Milk_Honeyx,Chill vibes,,Daydreaming...,,,False,28,141,0,Mon May 18 21:32:13 +0000 2020,53,,,False,False,222,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1327433222666457088/K551jGMc_normal.jpg,https://pbs.twimg.com/profile_images/1327433222666457088/K551jGMc_normal.jpg,https://pbs.twimg.com/profile_banners/1262496209761157123/1605319717,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1262496209761157123,1262496209761157123,Annie ☕,Milk_Honeyx,Chill vibes,,Daydreaming...,,,False,28,141,0,Mon May 18 21:32:13 +0000 2020,53,,,False,False,222,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1327433222666457088/K551jGMc_normal.jpg,https://pbs.twimg.com/profile_images/1327433222666457088/K551jGMc_normal.jpg,https://pbs.twimg.com/profile_banners/1262496209761157123/1605319717,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1262496209761157123,1262496209761157123,Annie ☕,Milk_Honeyx,Chill vibes,,Daydreaming...,,,False,28,141,0,Mon May 18 21:32:13 +0000 2020,53,,,False,False,222,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1327433222666457088/K551jGMc_normal.jpg,https://pbs.twimg.com/profile_images/1327433222666457088/K551jGMc_normal.jpg,https://pbs.twimg.com/profile_banners/1262496209761157123/1605319717,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
