,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,306817259,306817259,M ✨,Moudelicious,"Ghent, Belgium",,Foreskin Connoisseur.,,{'urls': []},False,1990,415,9,Sat May 28 14:07:34 +0000 2011,13119,,,True,False,63901,,,False,False,False,080808,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338148535007580160/XBd2XOw5_normal.jpg,https://pbs.twimg.com/profile_images/1338148535007580160/XBd2XOw5_normal.jpg,https://pbs.twimg.com/profile_banners/306817259/1565309536,000D9E,FFFFFF,000000,6B10A3,True,True,False,False,False,False,False,none
created_at,306817259,306817259,M ✨,Moudelicious,"Ghent, Belgium",,Foreskin Connoisseur.,,,False,1990,415,9,Sat May 28 14:07:34 +0000 2011,13119,,,True,False,63901,,Tue Dec 15 03:20:10 +0000 2020,False,False,False,080808,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338148535007580160/XBd2XOw5_normal.jpg,https://pbs.twimg.com/profile_images/1338148535007580160/XBd2XOw5_normal.jpg,https://pbs.twimg.com/profile_banners/306817259/1565309536,000D9E,FFFFFF,000000,6B10A3,True,True,False,False,False,False,False,none
id,306817259,306817259,M ✨,Moudelicious,"Ghent, Belgium",,Foreskin Connoisseur.,,,False,1990,415,9,Sat May 28 14:07:34 +0000 2011,13119,,,True,False,63901,,1338685253037252608,False,False,False,080808,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338148535007580160/XBd2XOw5_normal.jpg,https://pbs.twimg.com/profile_images/1338148535007580160/XBd2XOw5_normal.jpg,https://pbs.twimg.com/profile_banners/306817259/1565309536,000D9E,FFFFFF,000000,6B10A3,True,True,False,False,False,False,False,none
id_str,306817259,306817259,M ✨,Moudelicious,"Ghent, Belgium",,Foreskin Connoisseur.,,,False,1990,415,9,Sat May 28 14:07:34 +0000 2011,13119,,,True,False,63901,,1338685253037252608,False,False,False,080808,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338148535007580160/XBd2XOw5_normal.jpg,https://pbs.twimg.com/profile_images/1338148535007580160/XBd2XOw5_normal.jpg,https://pbs.twimg.com/profile_banners/306817259/1565309536,000D9E,FFFFFF,000000,6B10A3,True,True,False,False,False,False,False,none
text,306817259,306817259,M ✨,Moudelicious,"Ghent, Belgium",,Foreskin Connoisseur.,,,False,1990,415,9,Sat May 28 14:07:34 +0000 2011,13119,,,True,False,63901,,RT @arabsprobIems: @Moudelicious WHY IS IT US XJXJDN,False,False,False,080808,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338148535007580160/XBd2XOw5_normal.jpg,https://pbs.twimg.com/profile_images/1338148535007580160/XBd2XOw5_normal.jpg,https://pbs.twimg.com/profile_banners/306817259/1565309536,000D9E,FFFFFF,000000,6B10A3,True,True,False,False,False,False,False,none
truncated,306817259,306817259,M ✨,Moudelicious,"Ghent, Belgium",,Foreskin Connoisseur.,,,False,1990,415,9,Sat May 28 14:07:34 +0000 2011,13119,,,True,False,63901,,False,False,False,False,080808,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338148535007580160/XBd2XOw5_normal.jpg,https://pbs.twimg.com/profile_images/1338148535007580160/XBd2XOw5_normal.jpg,https://pbs.twimg.com/profile_banners/306817259/1565309536,000D9E,FFFFFF,000000,6B10A3,True,True,False,False,False,False,False,none
entities,306817259,306817259,M ✨,Moudelicious,"Ghent, Belgium",,Foreskin Connoisseur.,,,False,1990,415,9,Sat May 28 14:07:34 +0000 2011,13119,,,True,False,63901,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'arabsprobIems', 'name': 'ي', 'id': 1315772220958965760, 'id_str': '1315772220958965760', 'indices': [3, 17]}, {'screen_name': 'Moudelicious', 'name': 'M ✨', 'id': 306817259, 'id_str': '306817259', 'indices': [19, 32]}], 'urls': []}",False,False,False,080808,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338148535007580160/XBd2XOw5_normal.jpg,https://pbs.twimg.com/profile_images/1338148535007580160/XBd2XOw5_normal.jpg,https://pbs.twimg.com/profile_banners/306817259/1565309536,000D9E,FFFFFF,000000,6B10A3,True,True,False,False,False,False,False,none
source,306817259,306817259,M ✨,Moudelicious,"Ghent, Belgium",,Foreskin Connoisseur.,,,False,1990,415,9,Sat May 28 14:07:34 +0000 2011,13119,,,True,False,63901,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,080808,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338148535007580160/XBd2XOw5_normal.jpg,https://pbs.twimg.com/profile_images/1338148535007580160/XBd2XOw5_normal.jpg,https://pbs.twimg.com/profile_banners/306817259/1565309536,000D9E,FFFFFF,000000,6B10A3,True,True,False,False,False,False,False,none
in_reply_to_status_id,306817259,306817259,M ✨,Moudelicious,"Ghent, Belgium",,Foreskin Connoisseur.,,,False,1990,415,9,Sat May 28 14:07:34 +0000 2011,13119,,,True,False,63901,,,False,False,False,080808,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338148535007580160/XBd2XOw5_normal.jpg,https://pbs.twimg.com/profile_images/1338148535007580160/XBd2XOw5_normal.jpg,https://pbs.twimg.com/profile_banners/306817259/1565309536,000D9E,FFFFFF,000000,6B10A3,True,True,False,False,False,False,False,none
in_reply_to_status_id_str,306817259,306817259,M ✨,Moudelicious,"Ghent, Belgium",,Foreskin Connoisseur.,,,False,1990,415,9,Sat May 28 14:07:34 +0000 2011,13119,,,True,False,63901,,,False,False,False,080808,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338148535007580160/XBd2XOw5_normal.jpg,https://pbs.twimg.com/profile_images/1338148535007580160/XBd2XOw5_normal.jpg,https://pbs.twimg.com/profile_banners/306817259/1565309536,000D9E,FFFFFF,000000,6B10A3,True,True,False,False,False,False,False,none
