,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,3239686851,3239686851,paige♡,PaigeElinor,eating the rich,,caring about people is not political #blacklivesmatter ☭ they/them,https://t.co/M4wuZ7Jf1E,"{'urls': [{'url': 'https://t.co/M4wuZ7Jf1E', 'expanded_url': 'http://blacklivesmatters.carrd.co', 'display_url': 'blacklivesmatters.carrd.co', 'indices': [0, 23]}]}",False,239,231,1,Thu May 07 00:38:51 +0000 2015,110003,,,True,False,28972,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333894945850200066/2Wv8qPp-_normal.jpg,https://pbs.twimg.com/profile_images/1333894945850200066/2Wv8qPp-_normal.jpg,https://pbs.twimg.com/profile_banners/3239686851/1607571259,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,3239686851,3239686851,paige♡,PaigeElinor,eating the rich,,caring about people is not political #blacklivesmatter ☭ they/them,https://t.co/M4wuZ7Jf1E,{'urls': []},False,239,231,1,Thu May 07 00:38:51 +0000 2015,110003,,,True,False,28972,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333894945850200066/2Wv8qPp-_normal.jpg,https://pbs.twimg.com/profile_images/1333894945850200066/2Wv8qPp-_normal.jpg,https://pbs.twimg.com/profile_banners/3239686851/1607571259,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,3239686851,3239686851,paige♡,PaigeElinor,eating the rich,,caring about people is not political #blacklivesmatter ☭ they/them,https://t.co/M4wuZ7Jf1E,,False,239,231,1,Thu May 07 00:38:51 +0000 2015,110003,,,True,False,28972,,Tue Dec 15 06:51:11 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333894945850200066/2Wv8qPp-_normal.jpg,https://pbs.twimg.com/profile_images/1333894945850200066/2Wv8qPp-_normal.jpg,https://pbs.twimg.com/profile_banners/3239686851/1607571259,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,3239686851,3239686851,paige♡,PaigeElinor,eating the rich,,caring about people is not political #blacklivesmatter ☭ they/them,https://t.co/M4wuZ7Jf1E,,False,239,231,1,Thu May 07 00:38:51 +0000 2015,110003,,,True,False,28972,,1338738357053116416,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333894945850200066/2Wv8qPp-_normal.jpg,https://pbs.twimg.com/profile_images/1333894945850200066/2Wv8qPp-_normal.jpg,https://pbs.twimg.com/profile_banners/3239686851/1607571259,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,3239686851,3239686851,paige♡,PaigeElinor,eating the rich,,caring about people is not political #blacklivesmatter ☭ they/them,https://t.co/M4wuZ7Jf1E,,False,239,231,1,Thu May 07 00:38:51 +0000 2015,110003,,,True,False,28972,,1338738357053116416,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333894945850200066/2Wv8qPp-_normal.jpg,https://pbs.twimg.com/profile_images/1333894945850200066/2Wv8qPp-_normal.jpg,https://pbs.twimg.com/profile_banners/3239686851/1607571259,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,3239686851,3239686851,paige♡,PaigeElinor,eating the rich,,caring about people is not political #blacklivesmatter ☭ they/them,https://t.co/M4wuZ7Jf1E,,False,239,231,1,Thu May 07 00:38:51 +0000 2015,110003,,,True,False,28972,,@mari_YUM_ i would definitely accept it if i was wrong too. like that’s be silly not to. and i know there’s not man… https://t.co/PmFyGjwH0H,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333894945850200066/2Wv8qPp-_normal.jpg,https://pbs.twimg.com/profile_images/1333894945850200066/2Wv8qPp-_normal.jpg,https://pbs.twimg.com/profile_banners/3239686851/1607571259,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,3239686851,3239686851,paige♡,PaigeElinor,eating the rich,,caring about people is not political #blacklivesmatter ☭ they/them,https://t.co/M4wuZ7Jf1E,,False,239,231,1,Thu May 07 00:38:51 +0000 2015,110003,,,True,False,28972,,True,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333894945850200066/2Wv8qPp-_normal.jpg,https://pbs.twimg.com/profile_images/1333894945850200066/2Wv8qPp-_normal.jpg,https://pbs.twimg.com/profile_banners/3239686851/1607571259,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,3239686851,3239686851,paige♡,PaigeElinor,eating the rich,,caring about people is not political #blacklivesmatter ☭ they/them,https://t.co/M4wuZ7Jf1E,,False,239,231,1,Thu May 07 00:38:51 +0000 2015,110003,,,True,False,28972,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mari_YUM_', 'name': 'mari 🍯', 'id': 429404095, 'id_str': '429404095', 'indices': [0, 10]}], 'urls': [{'url': 'https://t.co/PmFyGjwH0H', 'expanded_url': 'https://twitter.com/i/web/status/1338738357053116416', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333894945850200066/2Wv8qPp-_normal.jpg,https://pbs.twimg.com/profile_images/1333894945850200066/2Wv8qPp-_normal.jpg,https://pbs.twimg.com/profile_banners/3239686851/1607571259,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,3239686851,3239686851,paige♡,PaigeElinor,eating the rich,,caring about people is not political #blacklivesmatter ☭ they/them,https://t.co/M4wuZ7Jf1E,,False,239,231,1,Thu May 07 00:38:51 +0000 2015,110003,,,True,False,28972,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333894945850200066/2Wv8qPp-_normal.jpg,https://pbs.twimg.com/profile_images/1333894945850200066/2Wv8qPp-_normal.jpg,https://pbs.twimg.com/profile_banners/3239686851/1607571259,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,3239686851,3239686851,paige♡,PaigeElinor,eating the rich,,caring about people is not political #blacklivesmatter ☭ they/them,https://t.co/M4wuZ7Jf1E,,False,239,231,1,Thu May 07 00:38:51 +0000 2015,110003,,,True,False,28972,,1338736921305034753,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333894945850200066/2Wv8qPp-_normal.jpg,https://pbs.twimg.com/profile_images/1333894945850200066/2Wv8qPp-_normal.jpg,https://pbs.twimg.com/profile_banners/3239686851/1607571259,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
