,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1173221068728877057,1173221068728877057,TwiddyBolt | BLM,TwiddyBolt,,,"🇬🇧 🇿🇼 | pikmin is good, play it.... PLAY IT NOW! NOW!!! | #blacklivesmatter and will forever |",https://t.co/omfpNCwSX3,"{'urls': [{'url': 'https://t.co/omfpNCwSX3', 'expanded_url': 'https://steamcommunity.com/id/twiddybolt', 'display_url': 'steamcommunity.com/id/twiddybolt', 'indices': [0, 23]}]}",False,127,1185,6,Sun Sep 15 13:04:45 +0000 2019,22689,,,False,False,5339,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_banners/1173221068728877057/1607628397,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1173221068728877057,1173221068728877057,TwiddyBolt | BLM,TwiddyBolt,,,"🇬🇧 🇿🇼 | pikmin is good, play it.... PLAY IT NOW! NOW!!! | #blacklivesmatter and will forever |",https://t.co/omfpNCwSX3,{'urls': []},False,127,1185,6,Sun Sep 15 13:04:45 +0000 2019,22689,,,False,False,5339,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_banners/1173221068728877057/1607628397,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1173221068728877057,1173221068728877057,TwiddyBolt | BLM,TwiddyBolt,,,"🇬🇧 🇿🇼 | pikmin is good, play it.... PLAY IT NOW! NOW!!! | #blacklivesmatter and will forever |",https://t.co/omfpNCwSX3,,False,127,1185,6,Sun Sep 15 13:04:45 +0000 2019,22689,,,False,False,5339,,Mon Dec 14 23:59:35 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_banners/1173221068728877057/1607628397,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1173221068728877057,1173221068728877057,TwiddyBolt | BLM,TwiddyBolt,,,"🇬🇧 🇿🇼 | pikmin is good, play it.... PLAY IT NOW! NOW!!! | #blacklivesmatter and will forever |",https://t.co/omfpNCwSX3,,False,127,1185,6,Sun Sep 15 13:04:45 +0000 2019,22689,,,False,False,5339,,1338634773040930817,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_banners/1173221068728877057/1607628397,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1173221068728877057,1173221068728877057,TwiddyBolt | BLM,TwiddyBolt,,,"🇬🇧 🇿🇼 | pikmin is good, play it.... PLAY IT NOW! NOW!!! | #blacklivesmatter and will forever |",https://t.co/omfpNCwSX3,,False,127,1185,6,Sun Sep 15 13:04:45 +0000 2019,22689,,,False,False,5339,,1338634773040930817,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_banners/1173221068728877057/1607628397,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1173221068728877057,1173221068728877057,TwiddyBolt | BLM,TwiddyBolt,,,"🇬🇧 🇿🇼 | pikmin is good, play it.... PLAY IT NOW! NOW!!! | #blacklivesmatter and will forever |",https://t.co/omfpNCwSX3,,False,127,1185,6,Sun Sep 15 13:04:45 +0000 2019,22689,,,False,False,5339,,"@AnUnorginaljoke @NintendoAmerica Dude, it's still an AC character",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_banners/1173221068728877057/1607628397,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1173221068728877057,1173221068728877057,TwiddyBolt | BLM,TwiddyBolt,,,"🇬🇧 🇿🇼 | pikmin is good, play it.... PLAY IT NOW! NOW!!! | #blacklivesmatter and will forever |",https://t.co/omfpNCwSX3,,False,127,1185,6,Sun Sep 15 13:04:45 +0000 2019,22689,,,False,False,5339,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_banners/1173221068728877057/1607628397,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1173221068728877057,1173221068728877057,TwiddyBolt | BLM,TwiddyBolt,,,"🇬🇧 🇿🇼 | pikmin is good, play it.... PLAY IT NOW! NOW!!! | #blacklivesmatter and will forever |",https://t.co/omfpNCwSX3,,False,127,1185,6,Sun Sep 15 13:04:45 +0000 2019,22689,,,False,False,5339,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AnUnorginaljoke', 'name': 'An Unoriginal Joke', 'id': 1260792935983067142, 'id_str': '1260792935983067142', 'indices': [0, 16]}, {'screen_name': 'NintendoAmerica', 'name': 'Nintendo of America', 'id': 5162861, 'id_str': '5162861', 'indices': [17, 33]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_banners/1173221068728877057/1607628397,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1173221068728877057,1173221068728877057,TwiddyBolt | BLM,TwiddyBolt,,,"🇬🇧 🇿🇼 | pikmin is good, play it.... PLAY IT NOW! NOW!!! | #blacklivesmatter and will forever |",https://t.co/omfpNCwSX3,,False,127,1185,6,Sun Sep 15 13:04:45 +0000 2019,22689,,,False,False,5339,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_banners/1173221068728877057/1607628397,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1173221068728877057,1173221068728877057,TwiddyBolt | BLM,TwiddyBolt,,,"🇬🇧 🇿🇼 | pikmin is good, play it.... PLAY IT NOW! NOW!!! | #blacklivesmatter and will forever |",https://t.co/omfpNCwSX3,,False,127,1185,6,Sun Sep 15 13:04:45 +0000 2019,22689,,,False,False,5339,,1338633146603069446,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_banners/1173221068728877057/1607628397,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1173221068728877057,1173221068728877057,TwiddyBolt | BLM,TwiddyBolt,,,"🇬🇧 🇿🇼 | pikmin is good, play it.... PLAY IT NOW! NOW!!! | #blacklivesmatter and will forever |",https://t.co/omfpNCwSX3,,False,127,1185,6,Sun Sep 15 13:04:45 +0000 2019,22689,,,False,False,5339,,1338633146603069446,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_banners/1173221068728877057/1607628397,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
