,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,33225778,33225778,Cat Tinsel Tits ✨,WinningByARose,instagram.com/winningbyarose,,Didn’t choose the messy life it chose me 💖 I am aries af,https://t.co/uv9pyC9PGL,"{'urls': [{'url': 'https://t.co/uv9pyC9PGL', 'expanded_url': 'https://twitter.com/search/from:winningbyarose(exclude:replies)', 'display_url': 'twitter.com/search/from:wi…', 'indices': [0, 23]}]}",False,17933,1527,42,Sun Apr 19 15:31:04 +0000 2009,35781,,,True,False,14325,,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1329902797807116289/re-iH1vJ_normal.jpg,https://pbs.twimg.com/profile_images/1329902797807116289/re-iH1vJ_normal.jpg,https://pbs.twimg.com/profile_banners/33225778/1607106128,009999,EEEEEE,EFEFEF,333333,True,False,False,False,False,False,False,none
description,33225778,33225778,Cat Tinsel Tits ✨,WinningByARose,instagram.com/winningbyarose,,Didn’t choose the messy life it chose me 💖 I am aries af,https://t.co/uv9pyC9PGL,{'urls': []},False,17933,1527,42,Sun Apr 19 15:31:04 +0000 2009,35781,,,True,False,14325,,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1329902797807116289/re-iH1vJ_normal.jpg,https://pbs.twimg.com/profile_images/1329902797807116289/re-iH1vJ_normal.jpg,https://pbs.twimg.com/profile_banners/33225778/1607106128,009999,EEEEEE,EFEFEF,333333,True,False,False,False,False,False,False,none
created_at,33225778,33225778,Cat Tinsel Tits ✨,WinningByARose,instagram.com/winningbyarose,,Didn’t choose the messy life it chose me 💖 I am aries af,https://t.co/uv9pyC9PGL,,False,17933,1527,42,Sun Apr 19 15:31:04 +0000 2009,35781,,,True,False,14325,,Tue Dec 15 08:22:47 +0000 2020,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1329902797807116289/re-iH1vJ_normal.jpg,https://pbs.twimg.com/profile_images/1329902797807116289/re-iH1vJ_normal.jpg,https://pbs.twimg.com/profile_banners/33225778/1607106128,009999,EEEEEE,EFEFEF,333333,True,False,False,False,False,False,False,none
id,33225778,33225778,Cat Tinsel Tits ✨,WinningByARose,instagram.com/winningbyarose,,Didn’t choose the messy life it chose me 💖 I am aries af,https://t.co/uv9pyC9PGL,,False,17933,1527,42,Sun Apr 19 15:31:04 +0000 2009,35781,,,True,False,14325,,1338761406750089216,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1329902797807116289/re-iH1vJ_normal.jpg,https://pbs.twimg.com/profile_images/1329902797807116289/re-iH1vJ_normal.jpg,https://pbs.twimg.com/profile_banners/33225778/1607106128,009999,EEEEEE,EFEFEF,333333,True,False,False,False,False,False,False,none
id_str,33225778,33225778,Cat Tinsel Tits ✨,WinningByARose,instagram.com/winningbyarose,,Didn’t choose the messy life it chose me 💖 I am aries af,https://t.co/uv9pyC9PGL,,False,17933,1527,42,Sun Apr 19 15:31:04 +0000 2009,35781,,,True,False,14325,,1338761406750089216,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1329902797807116289/re-iH1vJ_normal.jpg,https://pbs.twimg.com/profile_images/1329902797807116289/re-iH1vJ_normal.jpg,https://pbs.twimg.com/profile_banners/33225778/1607106128,009999,EEEEEE,EFEFEF,333333,True,False,False,False,False,False,False,none
text,33225778,33225778,Cat Tinsel Tits ✨,WinningByARose,instagram.com/winningbyarose,,Didn’t choose the messy life it chose me 💖 I am aries af,https://t.co/uv9pyC9PGL,,False,17933,1527,42,Sun Apr 19 15:31:04 +0000 2009,35781,,,True,False,14325,,@coolauntV Hiyaaaaaa V 💖 https://t.co/j6iLp2gvA9,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1329902797807116289/re-iH1vJ_normal.jpg,https://pbs.twimg.com/profile_images/1329902797807116289/re-iH1vJ_normal.jpg,https://pbs.twimg.com/profile_banners/33225778/1607106128,009999,EEEEEE,EFEFEF,333333,True,False,False,False,False,False,False,none
truncated,33225778,33225778,Cat Tinsel Tits ✨,WinningByARose,instagram.com/winningbyarose,,Didn’t choose the messy life it chose me 💖 I am aries af,https://t.co/uv9pyC9PGL,,False,17933,1527,42,Sun Apr 19 15:31:04 +0000 2009,35781,,,True,False,14325,,False,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1329902797807116289/re-iH1vJ_normal.jpg,https://pbs.twimg.com/profile_images/1329902797807116289/re-iH1vJ_normal.jpg,https://pbs.twimg.com/profile_banners/33225778/1607106128,009999,EEEEEE,EFEFEF,333333,True,False,False,False,False,False,False,none
entities,33225778,33225778,Cat Tinsel Tits ✨,WinningByARose,instagram.com/winningbyarose,,Didn’t choose the messy life it chose me 💖 I am aries af,https://t.co/uv9pyC9PGL,,False,17933,1527,42,Sun Apr 19 15:31:04 +0000 2009,35781,,,True,False,14325,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'coolauntV', 'name': '✨V✨', 'id': 70603045, 'id_str': '70603045', 'indices': [0, 10]}], 'urls': [{'url': 'https://t.co/j6iLp2gvA9', 'expanded_url': 'https://twitter.com/winningbyarose/status/1305578355526455298', 'display_url': 'twitter.com/winningbyarose…', 'indices': [25, 48]}]}",False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1329902797807116289/re-iH1vJ_normal.jpg,https://pbs.twimg.com/profile_images/1329902797807116289/re-iH1vJ_normal.jpg,https://pbs.twimg.com/profile_banners/33225778/1607106128,009999,EEEEEE,EFEFEF,333333,True,False,False,False,False,False,False,none
source,33225778,33225778,Cat Tinsel Tits ✨,WinningByARose,instagram.com/winningbyarose,,Didn’t choose the messy life it chose me 💖 I am aries af,https://t.co/uv9pyC9PGL,,False,17933,1527,42,Sun Apr 19 15:31:04 +0000 2009,35781,,,True,False,14325,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1329902797807116289/re-iH1vJ_normal.jpg,https://pbs.twimg.com/profile_images/1329902797807116289/re-iH1vJ_normal.jpg,https://pbs.twimg.com/profile_banners/33225778/1607106128,009999,EEEEEE,EFEFEF,333333,True,False,False,False,False,False,False,none
in_reply_to_status_id,33225778,33225778,Cat Tinsel Tits ✨,WinningByARose,instagram.com/winningbyarose,,Didn’t choose the messy life it chose me 💖 I am aries af,https://t.co/uv9pyC9PGL,,False,17933,1527,42,Sun Apr 19 15:31:04 +0000 2009,35781,,,True,False,14325,,1338642485086588929,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1329902797807116289/re-iH1vJ_normal.jpg,https://pbs.twimg.com/profile_images/1329902797807116289/re-iH1vJ_normal.jpg,https://pbs.twimg.com/profile_banners/33225778/1607106128,009999,EEEEEE,EFEFEF,333333,True,False,False,False,False,False,False,none
