,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,982422881157177344,982422881157177344,bec💥,bbumblepupp,20/denton,,(they/them)|Lover of milfs and non-men|#blacklivesmatter|#endSARS|#abolishICE|,https://t.co/P45lgj87Rs,"{'urls': [{'url': 'https://t.co/P45lgj87Rs', 'expanded_url': 'https://curiouscat.me/bbumblepupp', 'display_url': 'curiouscat.me/bbumblepupp', 'indices': [0, 23]}]}",False,736,679,5,Sat Apr 07 01:00:42 +0000 2018,108168,,,True,False,41929,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327399740644929537/xOxoD_iw_normal.jpg,https://pbs.twimg.com/profile_images/1327399740644929537/xOxoD_iw_normal.jpg,https://pbs.twimg.com/profile_banners/982422881157177344/1601177364,F1A7A7,000000,000000,000000,False,True,False,False,False,False,False,none
description,982422881157177344,982422881157177344,bec💥,bbumblepupp,20/denton,,(they/them)|Lover of milfs and non-men|#blacklivesmatter|#endSARS|#abolishICE|,https://t.co/P45lgj87Rs,{'urls': []},False,736,679,5,Sat Apr 07 01:00:42 +0000 2018,108168,,,True,False,41929,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327399740644929537/xOxoD_iw_normal.jpg,https://pbs.twimg.com/profile_images/1327399740644929537/xOxoD_iw_normal.jpg,https://pbs.twimg.com/profile_banners/982422881157177344/1601177364,F1A7A7,000000,000000,000000,False,True,False,False,False,False,False,none
created_at,982422881157177344,982422881157177344,bec💥,bbumblepupp,20/denton,,(they/them)|Lover of milfs and non-men|#blacklivesmatter|#endSARS|#abolishICE|,https://t.co/P45lgj87Rs,,False,736,679,5,Sat Apr 07 01:00:42 +0000 2018,108168,,,True,False,41929,,Tue Dec 15 08:59:58 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327399740644929537/xOxoD_iw_normal.jpg,https://pbs.twimg.com/profile_images/1327399740644929537/xOxoD_iw_normal.jpg,https://pbs.twimg.com/profile_banners/982422881157177344/1601177364,F1A7A7,000000,000000,000000,False,True,False,False,False,False,False,none
id,982422881157177344,982422881157177344,bec💥,bbumblepupp,20/denton,,(they/them)|Lover of milfs and non-men|#blacklivesmatter|#endSARS|#abolishICE|,https://t.co/P45lgj87Rs,,False,736,679,5,Sat Apr 07 01:00:42 +0000 2018,108168,,,True,False,41929,,1338770767278968832,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327399740644929537/xOxoD_iw_normal.jpg,https://pbs.twimg.com/profile_images/1327399740644929537/xOxoD_iw_normal.jpg,https://pbs.twimg.com/profile_banners/982422881157177344/1601177364,F1A7A7,000000,000000,000000,False,True,False,False,False,False,False,none
id_str,982422881157177344,982422881157177344,bec💥,bbumblepupp,20/denton,,(they/them)|Lover of milfs and non-men|#blacklivesmatter|#endSARS|#abolishICE|,https://t.co/P45lgj87Rs,,False,736,679,5,Sat Apr 07 01:00:42 +0000 2018,108168,,,True,False,41929,,1338770767278968832,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327399740644929537/xOxoD_iw_normal.jpg,https://pbs.twimg.com/profile_images/1327399740644929537/xOxoD_iw_normal.jpg,https://pbs.twimg.com/profile_banners/982422881157177344/1601177364,F1A7A7,000000,000000,000000,False,True,False,False,False,False,False,none
text,982422881157177344,982422881157177344,bec💥,bbumblepupp,20/denton,,(they/them)|Lover of milfs and non-men|#blacklivesmatter|#endSARS|#abolishICE|,https://t.co/P45lgj87Rs,,False,736,679,5,Sat Apr 07 01:00:42 +0000 2018,108168,,,True,False,41929,,RT @theesudani: Help Black Woman With Housing. PLEASE RT🚨 https://t.co/gYZ6ObMELW,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327399740644929537/xOxoD_iw_normal.jpg,https://pbs.twimg.com/profile_images/1327399740644929537/xOxoD_iw_normal.jpg,https://pbs.twimg.com/profile_banners/982422881157177344/1601177364,F1A7A7,000000,000000,000000,False,True,False,False,False,False,False,none
truncated,982422881157177344,982422881157177344,bec💥,bbumblepupp,20/denton,,(they/them)|Lover of milfs and non-men|#blacklivesmatter|#endSARS|#abolishICE|,https://t.co/P45lgj87Rs,,False,736,679,5,Sat Apr 07 01:00:42 +0000 2018,108168,,,True,False,41929,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327399740644929537/xOxoD_iw_normal.jpg,https://pbs.twimg.com/profile_images/1327399740644929537/xOxoD_iw_normal.jpg,https://pbs.twimg.com/profile_banners/982422881157177344/1601177364,F1A7A7,000000,000000,000000,False,True,False,False,False,False,False,none
entities,982422881157177344,982422881157177344,bec💥,bbumblepupp,20/denton,,(they/them)|Lover of milfs and non-men|#blacklivesmatter|#endSARS|#abolishICE|,https://t.co/P45lgj87Rs,,False,736,679,5,Sat Apr 07 01:00:42 +0000 2018,108168,,,True,False,41929,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'theesudani', 'name': 'Ebony ENBY ♡', 'id': 1188309339511148544, 'id_str': '1188309339511148544', 'indices': [3, 14]}], 'urls': [{'url': 'https://t.co/gYZ6ObMELW', 'expanded_url': 'https://www.gofundme.com/f/housing-payments-for-2-months?utm_source=twitter&utm_medium=social&utm_campaign=p_cp+share-sheet', 'display_url': 'gofundme.com/f/housing-paym…', 'indices': [58, 81]}]}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327399740644929537/xOxoD_iw_normal.jpg,https://pbs.twimg.com/profile_images/1327399740644929537/xOxoD_iw_normal.jpg,https://pbs.twimg.com/profile_banners/982422881157177344/1601177364,F1A7A7,000000,000000,000000,False,True,False,False,False,False,False,none
source,982422881157177344,982422881157177344,bec💥,bbumblepupp,20/denton,,(they/them)|Lover of milfs and non-men|#blacklivesmatter|#endSARS|#abolishICE|,https://t.co/P45lgj87Rs,,False,736,679,5,Sat Apr 07 01:00:42 +0000 2018,108168,,,True,False,41929,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327399740644929537/xOxoD_iw_normal.jpg,https://pbs.twimg.com/profile_images/1327399740644929537/xOxoD_iw_normal.jpg,https://pbs.twimg.com/profile_banners/982422881157177344/1601177364,F1A7A7,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id,982422881157177344,982422881157177344,bec💥,bbumblepupp,20/denton,,(they/them)|Lover of milfs and non-men|#blacklivesmatter|#endSARS|#abolishICE|,https://t.co/P45lgj87Rs,,False,736,679,5,Sat Apr 07 01:00:42 +0000 2018,108168,,,True,False,41929,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327399740644929537/xOxoD_iw_normal.jpg,https://pbs.twimg.com/profile_images/1327399740644929537/xOxoD_iw_normal.jpg,https://pbs.twimg.com/profile_banners/982422881157177344/1601177364,F1A7A7,000000,000000,000000,False,True,False,False,False,False,False,none
