,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,814560111419150337,814560111419150337,P,byeprecious_,nj ,,"my life is my poetry, my love making is my legacy🧚🏽‍♀️ she/her ig: byeprecious 💕🏳️‍🌈",https://t.co/615M9RZrX5,"{'urls': [{'url': 'https://t.co/615M9RZrX5', 'expanded_url': 'https://pkwriting.weebly.com', 'display_url': 'pkwriting.weebly.com', 'indices': [0, 23]}]}",False,1486,1085,4,Thu Dec 29 19:53:59 +0000 2016,42435,,,True,False,150105,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1312225079271587840/-9WJhwua_normal.jpg,https://pbs.twimg.com/profile_images/1312225079271587840/-9WJhwua_normal.jpg,https://pbs.twimg.com/profile_banners/814560111419150337/1601693765,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
description,814560111419150337,814560111419150337,P,byeprecious_,nj ,,"my life is my poetry, my love making is my legacy🧚🏽‍♀️ she/her ig: byeprecious 💕🏳️‍🌈",https://t.co/615M9RZrX5,{'urls': []},False,1486,1085,4,Thu Dec 29 19:53:59 +0000 2016,42435,,,True,False,150105,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1312225079271587840/-9WJhwua_normal.jpg,https://pbs.twimg.com/profile_images/1312225079271587840/-9WJhwua_normal.jpg,https://pbs.twimg.com/profile_banners/814560111419150337/1601693765,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
created_at,814560111419150337,814560111419150337,P,byeprecious_,nj ,,"my life is my poetry, my love making is my legacy🧚🏽‍♀️ she/her ig: byeprecious 💕🏳️‍🌈",https://t.co/615M9RZrX5,,False,1486,1085,4,Thu Dec 29 19:53:59 +0000 2016,42435,,,True,False,150105,,Tue Dec 15 05:24:03 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1312225079271587840/-9WJhwua_normal.jpg,https://pbs.twimg.com/profile_images/1312225079271587840/-9WJhwua_normal.jpg,https://pbs.twimg.com/profile_banners/814560111419150337/1601693765,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id,814560111419150337,814560111419150337,P,byeprecious_,nj ,,"my life is my poetry, my love making is my legacy🧚🏽‍♀️ she/her ig: byeprecious 💕🏳️‍🌈",https://t.co/615M9RZrX5,,False,1486,1085,4,Thu Dec 29 19:53:59 +0000 2016,42435,,,True,False,150105,,1338716429475000322,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1312225079271587840/-9WJhwua_normal.jpg,https://pbs.twimg.com/profile_images/1312225079271587840/-9WJhwua_normal.jpg,https://pbs.twimg.com/profile_banners/814560111419150337/1601693765,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id_str,814560111419150337,814560111419150337,P,byeprecious_,nj ,,"my life is my poetry, my love making is my legacy🧚🏽‍♀️ she/her ig: byeprecious 💕🏳️‍🌈",https://t.co/615M9RZrX5,,False,1486,1085,4,Thu Dec 29 19:53:59 +0000 2016,42435,,,True,False,150105,,1338716429475000322,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1312225079271587840/-9WJhwua_normal.jpg,https://pbs.twimg.com/profile_images/1312225079271587840/-9WJhwua_normal.jpg,https://pbs.twimg.com/profile_banners/814560111419150337/1601693765,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
text,814560111419150337,814560111419150337,P,byeprecious_,nj ,,"my life is my poetry, my love making is my legacy🧚🏽‍♀️ she/her ig: byeprecious 💕🏳️‍🌈",https://t.co/615M9RZrX5,,False,1486,1085,4,Thu Dec 29 19:53:59 +0000 2016,42435,,,True,False,150105,,RT @KittyBeeJr: neighbors left this on the door..  im gonna bake them some cookies 😭 https://t.co/SQ0BiF6yTW,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1312225079271587840/-9WJhwua_normal.jpg,https://pbs.twimg.com/profile_images/1312225079271587840/-9WJhwua_normal.jpg,https://pbs.twimg.com/profile_banners/814560111419150337/1601693765,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
truncated,814560111419150337,814560111419150337,P,byeprecious_,nj ,,"my life is my poetry, my love making is my legacy🧚🏽‍♀️ she/her ig: byeprecious 💕🏳️‍🌈",https://t.co/615M9RZrX5,,False,1486,1085,4,Thu Dec 29 19:53:59 +0000 2016,42435,,,True,False,150105,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1312225079271587840/-9WJhwua_normal.jpg,https://pbs.twimg.com/profile_images/1312225079271587840/-9WJhwua_normal.jpg,https://pbs.twimg.com/profile_banners/814560111419150337/1601693765,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
entities,814560111419150337,814560111419150337,P,byeprecious_,nj ,,"my life is my poetry, my love making is my legacy🧚🏽‍♀️ she/her ig: byeprecious 💕🏳️‍🌈",https://t.co/615M9RZrX5,,False,1486,1085,4,Thu Dec 29 19:53:59 +0000 2016,42435,,,True,False,150105,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KittyBeeJr', 'name': 'Make America Purrr Again', 'id': 92586070, 'id_str': '92586070', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1338581269924499458, 'id_str': '1338581269924499458', 'indices': [85, 108], 'media_url': 'http://pbs.twimg.com/media/EpOYkqjXUAIus8z.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpOYkqjXUAIus8z.jpg', 'url': 'https://t.co/SQ0BiF6yTW', 'display_url': 'pic.twitter.com/SQ0BiF6yTW', 'expanded_url': 'https://twitter.com/KittyBeeJr/status/1338581273724514309/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1728, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 574, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1013, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1338581273724514309, 'source_status_id_str': '1338581273724514309', 'source_user_id': 92586070, 'source_user_id_str': '92586070'}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1312225079271587840/-9WJhwua_normal.jpg,https://pbs.twimg.com/profile_images/1312225079271587840/-9WJhwua_normal.jpg,https://pbs.twimg.com/profile_banners/814560111419150337/1601693765,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
extended_entities,814560111419150337,814560111419150337,P,byeprecious_,nj ,,"my life is my poetry, my love making is my legacy🧚🏽‍♀️ she/her ig: byeprecious 💕🏳️‍🌈",https://t.co/615M9RZrX5,,False,1486,1085,4,Thu Dec 29 19:53:59 +0000 2016,42435,,,True,False,150105,,"{'media': [{'id': 1338581269924499458, 'id_str': '1338581269924499458', 'indices': [85, 108], 'media_url': 'http://pbs.twimg.com/media/EpOYkqjXUAIus8z.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpOYkqjXUAIus8z.jpg', 'url': 'https://t.co/SQ0BiF6yTW', 'display_url': 'pic.twitter.com/SQ0BiF6yTW', 'expanded_url': 'https://twitter.com/KittyBeeJr/status/1338581273724514309/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1728, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 574, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1013, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1338581273724514309, 'source_status_id_str': '1338581273724514309', 'source_user_id': 92586070, 'source_user_id_str': '92586070'}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1312225079271587840/-9WJhwua_normal.jpg,https://pbs.twimg.com/profile_images/1312225079271587840/-9WJhwua_normal.jpg,https://pbs.twimg.com/profile_banners/814560111419150337/1601693765,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
source,814560111419150337,814560111419150337,P,byeprecious_,nj ,,"my life is my poetry, my love making is my legacy🧚🏽‍♀️ she/her ig: byeprecious 💕🏳️‍🌈",https://t.co/615M9RZrX5,,False,1486,1085,4,Thu Dec 29 19:53:59 +0000 2016,42435,,,True,False,150105,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1312225079271587840/-9WJhwua_normal.jpg,https://pbs.twimg.com/profile_images/1312225079271587840/-9WJhwua_normal.jpg,https://pbs.twimg.com/profile_banners/814560111419150337/1601693765,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id,814560111419150337,814560111419150337,P,byeprecious_,nj ,,"my life is my poetry, my love making is my legacy🧚🏽‍♀️ she/her ig: byeprecious 💕🏳️‍🌈",https://t.co/615M9RZrX5,,False,1486,1085,4,Thu Dec 29 19:53:59 +0000 2016,42435,,,True,False,150105,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1312225079271587840/-9WJhwua_normal.jpg,https://pbs.twimg.com/profile_images/1312225079271587840/-9WJhwua_normal.jpg,https://pbs.twimg.com/profile_banners/814560111419150337/1601693765,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id_str,814560111419150337,814560111419150337,P,byeprecious_,nj ,,"my life is my poetry, my love making is my legacy🧚🏽‍♀️ she/her ig: byeprecious 💕🏳️‍🌈",https://t.co/615M9RZrX5,,False,1486,1085,4,Thu Dec 29 19:53:59 +0000 2016,42435,,,True,False,150105,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1312225079271587840/-9WJhwua_normal.jpg,https://pbs.twimg.com/profile_images/1312225079271587840/-9WJhwua_normal.jpg,https://pbs.twimg.com/profile_banners/814560111419150337/1601693765,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_user_id,814560111419150337,814560111419150337,P,byeprecious_,nj ,,"my life is my poetry, my love making is my legacy🧚🏽‍♀️ she/her ig: byeprecious 💕🏳️‍🌈",https://t.co/615M9RZrX5,,False,1486,1085,4,Thu Dec 29 19:53:59 +0000 2016,42435,,,True,False,150105,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1312225079271587840/-9WJhwua_normal.jpg,https://pbs.twimg.com/profile_images/1312225079271587840/-9WJhwua_normal.jpg,https://pbs.twimg.com/profile_banners/814560111419150337/1601693765,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_user_id_str,814560111419150337,814560111419150337,P,byeprecious_,nj ,,"my life is my poetry, my love making is my legacy🧚🏽‍♀️ she/her ig: byeprecious 💕🏳️‍🌈",https://t.co/615M9RZrX5,,False,1486,1085,4,Thu Dec 29 19:53:59 +0000 2016,42435,,,True,False,150105,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1312225079271587840/-9WJhwua_normal.jpg,https://pbs.twimg.com/profile_images/1312225079271587840/-9WJhwua_normal.jpg,https://pbs.twimg.com/profile_banners/814560111419150337/1601693765,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
