,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,2534455028,2534455028,abbeygay ★,chasingkashy,infp-t • gemini • 22,,"1, 2, 3, 4, 5, 6, 7... you're safe • she/her • lesbian • ★",https://t.co/VjC03MtsLl,"{'urls': [{'url': 'https://t.co/VjC03MtsLl', 'expanded_url': 'http://curiouscat.me/chasingkashy', 'display_url': 'curiouscat.me/chasingkashy', 'indices': [0, 23]}]}",False,1294,589,21,Fri May 30 07:29:55 +0000 2014,21295,,,True,False,51255,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338157456682176514/RrzgTDGv_normal.jpg,https://pbs.twimg.com/profile_images/1338157456682176514/RrzgTDGv_normal.jpg,https://pbs.twimg.com/profile_banners/2534455028/1607876572,800000,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
description,2534455028,2534455028,abbeygay ★,chasingkashy,infp-t • gemini • 22,,"1, 2, 3, 4, 5, 6, 7... you're safe • she/her • lesbian • ★",https://t.co/VjC03MtsLl,{'urls': []},False,1294,589,21,Fri May 30 07:29:55 +0000 2014,21295,,,True,False,51255,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338157456682176514/RrzgTDGv_normal.jpg,https://pbs.twimg.com/profile_images/1338157456682176514/RrzgTDGv_normal.jpg,https://pbs.twimg.com/profile_banners/2534455028/1607876572,800000,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
created_at,2534455028,2534455028,abbeygay ★,chasingkashy,infp-t • gemini • 22,,"1, 2, 3, 4, 5, 6, 7... you're safe • she/her • lesbian • ★",https://t.co/VjC03MtsLl,,False,1294,589,21,Fri May 30 07:29:55 +0000 2014,21295,,,True,False,51255,,Tue Dec 15 10:58:32 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338157456682176514/RrzgTDGv_normal.jpg,https://pbs.twimg.com/profile_images/1338157456682176514/RrzgTDGv_normal.jpg,https://pbs.twimg.com/profile_banners/2534455028/1607876572,800000,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
id,2534455028,2534455028,abbeygay ★,chasingkashy,infp-t • gemini • 22,,"1, 2, 3, 4, 5, 6, 7... you're safe • she/her • lesbian • ★",https://t.co/VjC03MtsLl,,False,1294,589,21,Fri May 30 07:29:55 +0000 2014,21295,,,True,False,51255,,1338800605159018496,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338157456682176514/RrzgTDGv_normal.jpg,https://pbs.twimg.com/profile_images/1338157456682176514/RrzgTDGv_normal.jpg,https://pbs.twimg.com/profile_banners/2534455028/1607876572,800000,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
id_str,2534455028,2534455028,abbeygay ★,chasingkashy,infp-t • gemini • 22,,"1, 2, 3, 4, 5, 6, 7... you're safe • she/her • lesbian • ★",https://t.co/VjC03MtsLl,,False,1294,589,21,Fri May 30 07:29:55 +0000 2014,21295,,,True,False,51255,,1338800605159018496,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338157456682176514/RrzgTDGv_normal.jpg,https://pbs.twimg.com/profile_images/1338157456682176514/RrzgTDGv_normal.jpg,https://pbs.twimg.com/profile_banners/2534455028/1607876572,800000,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
text,2534455028,2534455028,abbeygay ★,chasingkashy,infp-t • gemini • 22,,"1, 2, 3, 4, 5, 6, 7... you're safe • she/her • lesbian • ★",https://t.co/VjC03MtsLl,,False,1294,589,21,Fri May 30 07:29:55 +0000 2014,21295,,,True,False,51255,,RT @gomezdirt: jesy didn’t leave little mix bc she wants to go solo or bc she wants attention this girl received so much hate that she had…,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338157456682176514/RrzgTDGv_normal.jpg,https://pbs.twimg.com/profile_images/1338157456682176514/RrzgTDGv_normal.jpg,https://pbs.twimg.com/profile_banners/2534455028/1607876572,800000,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
truncated,2534455028,2534455028,abbeygay ★,chasingkashy,infp-t • gemini • 22,,"1, 2, 3, 4, 5, 6, 7... you're safe • she/her • lesbian • ★",https://t.co/VjC03MtsLl,,False,1294,589,21,Fri May 30 07:29:55 +0000 2014,21295,,,True,False,51255,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338157456682176514/RrzgTDGv_normal.jpg,https://pbs.twimg.com/profile_images/1338157456682176514/RrzgTDGv_normal.jpg,https://pbs.twimg.com/profile_banners/2534455028/1607876572,800000,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
entities,2534455028,2534455028,abbeygay ★,chasingkashy,infp-t • gemini • 22,,"1, 2, 3, 4, 5, 6, 7... you're safe • she/her • lesbian • ★",https://t.co/VjC03MtsLl,,False,1294,589,21,Fri May 30 07:29:55 +0000 2014,21295,,,True,False,51255,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'gomezdirt', 'name': 'v', 'id': 210193935, 'id_str': '210193935', 'indices': [3, 13]}], 'urls': []}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338157456682176514/RrzgTDGv_normal.jpg,https://pbs.twimg.com/profile_images/1338157456682176514/RrzgTDGv_normal.jpg,https://pbs.twimg.com/profile_banners/2534455028/1607876572,800000,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
source,2534455028,2534455028,abbeygay ★,chasingkashy,infp-t • gemini • 22,,"1, 2, 3, 4, 5, 6, 7... you're safe • she/her • lesbian • ★",https://t.co/VjC03MtsLl,,False,1294,589,21,Fri May 30 07:29:55 +0000 2014,21295,,,True,False,51255,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338157456682176514/RrzgTDGv_normal.jpg,https://pbs.twimg.com/profile_images/1338157456682176514/RrzgTDGv_normal.jpg,https://pbs.twimg.com/profile_banners/2534455028/1607876572,800000,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
in_reply_to_status_id,2534455028,2534455028,abbeygay ★,chasingkashy,infp-t • gemini • 22,,"1, 2, 3, 4, 5, 6, 7... you're safe • she/her • lesbian • ★",https://t.co/VjC03MtsLl,,False,1294,589,21,Fri May 30 07:29:55 +0000 2014,21295,,,True,False,51255,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1338157456682176514/RrzgTDGv_normal.jpg,https://pbs.twimg.com/profile_images/1338157456682176514/RrzgTDGv_normal.jpg,https://pbs.twimg.com/profile_banners/2534455028/1607876572,800000,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
