,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1287518729056727041,1287518729056727041,Connor,connorxven,,,18 / Scottish reprobate with no life and mediocre tweets,,{'urls': []},False,348,335,0,Sun Jul 26 22:42:50 +0000 2020,13212,,,True,False,5333,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338495001307869186/v0MJPXy0_normal.jpg,https://pbs.twimg.com/profile_images/1338495001307869186/v0MJPXy0_normal.jpg,https://pbs.twimg.com/profile_banners/1287518729056727041/1607562680,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1287518729056727041,1287518729056727041,Connor,connorxven,,,18 / Scottish reprobate with no life and mediocre tweets,,,False,348,335,0,Sun Jul 26 22:42:50 +0000 2020,13212,,,True,False,5333,,Tue Dec 15 06:08:30 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338495001307869186/v0MJPXy0_normal.jpg,https://pbs.twimg.com/profile_images/1338495001307869186/v0MJPXy0_normal.jpg,https://pbs.twimg.com/profile_banners/1287518729056727041/1607562680,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1287518729056727041,1287518729056727041,Connor,connorxven,,,18 / Scottish reprobate with no life and mediocre tweets,,,False,348,335,0,Sun Jul 26 22:42:50 +0000 2020,13212,,,True,False,5333,,1338727613834153985,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338495001307869186/v0MJPXy0_normal.jpg,https://pbs.twimg.com/profile_images/1338495001307869186/v0MJPXy0_normal.jpg,https://pbs.twimg.com/profile_banners/1287518729056727041/1607562680,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1287518729056727041,1287518729056727041,Connor,connorxven,,,18 / Scottish reprobate with no life and mediocre tweets,,,False,348,335,0,Sun Jul 26 22:42:50 +0000 2020,13212,,,True,False,5333,,1338727613834153985,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338495001307869186/v0MJPXy0_normal.jpg,https://pbs.twimg.com/profile_images/1338495001307869186/v0MJPXy0_normal.jpg,https://pbs.twimg.com/profile_banners/1287518729056727041/1607562680,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1287518729056727041,1287518729056727041,Connor,connorxven,,,18 / Scottish reprobate with no life and mediocre tweets,,,False,348,335,0,Sun Jul 26 22:42:50 +0000 2020,13212,,,True,False,5333,,@lollipops https://t.co/9fNi85F2kw,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338495001307869186/v0MJPXy0_normal.jpg,https://pbs.twimg.com/profile_images/1338495001307869186/v0MJPXy0_normal.jpg,https://pbs.twimg.com/profile_banners/1287518729056727041/1607562680,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1287518729056727041,1287518729056727041,Connor,connorxven,,,18 / Scottish reprobate with no life and mediocre tweets,,,False,348,335,0,Sun Jul 26 22:42:50 +0000 2020,13212,,,True,False,5333,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338495001307869186/v0MJPXy0_normal.jpg,https://pbs.twimg.com/profile_images/1338495001307869186/v0MJPXy0_normal.jpg,https://pbs.twimg.com/profile_banners/1287518729056727041/1607562680,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1287518729056727041,1287518729056727041,Connor,connorxven,,,18 / Scottish reprobate with no life and mediocre tweets,,,False,348,335,0,Sun Jul 26 22:42:50 +0000 2020,13212,,,True,False,5333,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lollipops', 'name': 'tiki ☄️', 'id': 1161103603349803008, 'id_str': '1161103603349803008', 'indices': [0, 10]}], 'urls': [{'url': 'https://t.co/9fNi85F2kw', 'expanded_url': 'https://twitter.com/Mako/status/1338635245466378246?s=19', 'display_url': 'twitter.com/Mako/status/13…', 'indices': [11, 34]}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338495001307869186/v0MJPXy0_normal.jpg,https://pbs.twimg.com/profile_images/1338495001307869186/v0MJPXy0_normal.jpg,https://pbs.twimg.com/profile_banners/1287518729056727041/1607562680,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1287518729056727041,1287518729056727041,Connor,connorxven,,,18 / Scottish reprobate with no life and mediocre tweets,,,False,348,335,0,Sun Jul 26 22:42:50 +0000 2020,13212,,,True,False,5333,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338495001307869186/v0MJPXy0_normal.jpg,https://pbs.twimg.com/profile_images/1338495001307869186/v0MJPXy0_normal.jpg,https://pbs.twimg.com/profile_banners/1287518729056727041/1607562680,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1287518729056727041,1287518729056727041,Connor,connorxven,,,18 / Scottish reprobate with no life and mediocre tweets,,,False,348,335,0,Sun Jul 26 22:42:50 +0000 2020,13212,,,True,False,5333,,1338727018112880642,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338495001307869186/v0MJPXy0_normal.jpg,https://pbs.twimg.com/profile_images/1338495001307869186/v0MJPXy0_normal.jpg,https://pbs.twimg.com/profile_banners/1287518729056727041/1607562680,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1287518729056727041,1287518729056727041,Connor,connorxven,,,18 / Scottish reprobate with no life and mediocre tweets,,,False,348,335,0,Sun Jul 26 22:42:50 +0000 2020,13212,,,True,False,5333,,1338727018112880642,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338495001307869186/v0MJPXy0_normal.jpg,https://pbs.twimg.com/profile_images/1338495001307869186/v0MJPXy0_normal.jpg,https://pbs.twimg.com/profile_banners/1287518729056727041/1607562680,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
