,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1301695801098252288,1301695801098252288,luki | stream wtss,dyzygy,day6 land,,my sec acc,https://t.co/QzsJXj1Ikc,"{'urls': [{'url': 'https://t.co/QzsJXj1Ikc', 'expanded_url': 'https://youtu.be/_NmzMzjoJyk', 'display_url': 'youtu.be/_NmzMzjoJyk', 'indices': [0, 23]}]}",False,0,4,0,Fri Sep 04 01:37:50 +0000 2020,0,,,False,False,376,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_banners/1301695801098252288/1600159867,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
description,1301695801098252288,1301695801098252288,luki | stream wtss,dyzygy,day6 land,,my sec acc,https://t.co/QzsJXj1Ikc,{'urls': []},False,0,4,0,Fri Sep 04 01:37:50 +0000 2020,0,,,False,False,376,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_banners/1301695801098252288/1600159867,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
created_at,1301695801098252288,1301695801098252288,luki | stream wtss,dyzygy,day6 land,,my sec acc,https://t.co/QzsJXj1Ikc,,False,0,4,0,Fri Sep 04 01:37:50 +0000 2020,0,,,False,False,376,,Thu Nov 05 00:58:20 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_banners/1301695801098252288/1600159867,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id,1301695801098252288,1301695801098252288,luki | stream wtss,dyzygy,day6 land,,my sec acc,https://t.co/QzsJXj1Ikc,,False,0,4,0,Fri Sep 04 01:37:50 +0000 2020,0,,,False,False,376,,1324154045234176002,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_banners/1301695801098252288/1600159867,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id_str,1301695801098252288,1301695801098252288,luki | stream wtss,dyzygy,day6 land,,my sec acc,https://t.co/QzsJXj1Ikc,,False,0,4,0,Fri Sep 04 01:37:50 +0000 2020,0,,,False,False,376,,1324154045234176002,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_banners/1301695801098252288/1600159867,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
text,1301695801098252288,1301695801098252288,luki | stream wtss,dyzygy,day6 land,,my sec acc,https://t.co/QzsJXj1Ikc,,False,0,4,0,Fri Sep 04 01:37:50 +0000 2020,0,,,False,False,376,,[#2020MAMA] Voted for #day6 on #MAMAVOTE ｜ 2020 MAMA ｜ 2020.12.06 (SUN) @MnetMAMA,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_banners/1301695801098252288/1600159867,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
truncated,1301695801098252288,1301695801098252288,luki | stream wtss,dyzygy,day6 land,,my sec acc,https://t.co/QzsJXj1Ikc,,False,0,4,0,Fri Sep 04 01:37:50 +0000 2020,0,,,False,False,376,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_banners/1301695801098252288/1600159867,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
entities,1301695801098252288,1301695801098252288,luki | stream wtss,dyzygy,day6 land,,my sec acc,https://t.co/QzsJXj1Ikc,,False,0,4,0,Fri Sep 04 01:37:50 +0000 2020,0,,,False,False,376,,"{'hashtags': [{'text': '2020MAMA', 'indices': [1, 10]}, {'text': 'day6', 'indices': [22, 27]}, {'text': 'MAMAVOTE', 'indices': [31, 40]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MnetMAMA', 'name': 'MAMA(엠넷아시안뮤직어워즈)', 'id': 128487133, 'id_str': '128487133', 'indices': [72, 81]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_banners/1301695801098252288/1600159867,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
source,1301695801098252288,1301695801098252288,luki | stream wtss,dyzygy,day6 land,,my sec acc,https://t.co/QzsJXj1Ikc,,False,0,4,0,Fri Sep 04 01:37:50 +0000 2020,0,,,False,False,376,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_banners/1301695801098252288/1600159867,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id,1301695801098252288,1301695801098252288,luki | stream wtss,dyzygy,day6 land,,my sec acc,https://t.co/QzsJXj1Ikc,,False,0,4,0,Fri Sep 04 01:37:50 +0000 2020,0,,,False,False,376,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_banners/1301695801098252288/1600159867,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id_str,1301695801098252288,1301695801098252288,luki | stream wtss,dyzygy,day6 land,,my sec acc,https://t.co/QzsJXj1Ikc,,False,0,4,0,Fri Sep 04 01:37:50 +0000 2020,0,,,False,False,376,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_banners/1301695801098252288/1600159867,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_user_id,1301695801098252288,1301695801098252288,luki | stream wtss,dyzygy,day6 land,,my sec acc,https://t.co/QzsJXj1Ikc,,False,0,4,0,Fri Sep 04 01:37:50 +0000 2020,0,,,False,False,376,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_banners/1301695801098252288/1600159867,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_user_id_str,1301695801098252288,1301695801098252288,luki | stream wtss,dyzygy,day6 land,,my sec acc,https://t.co/QzsJXj1Ikc,,False,0,4,0,Fri Sep 04 01:37:50 +0000 2020,0,,,False,False,376,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_banners/1301695801098252288/1600159867,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_screen_name,1301695801098252288,1301695801098252288,luki | stream wtss,dyzygy,day6 land,,my sec acc,https://t.co/QzsJXj1Ikc,,False,0,4,0,Fri Sep 04 01:37:50 +0000 2020,0,,,False,False,376,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_banners/1301695801098252288/1600159867,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
geo,1301695801098252288,1301695801098252288,luki | stream wtss,dyzygy,day6 land,,my sec acc,https://t.co/QzsJXj1Ikc,,False,0,4,0,Fri Sep 04 01:37:50 +0000 2020,0,,,False,False,376,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_banners/1301695801098252288/1600159867,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
coordinates,1301695801098252288,1301695801098252288,luki | stream wtss,dyzygy,day6 land,,my sec acc,https://t.co/QzsJXj1Ikc,,False,0,4,0,Fri Sep 04 01:37:50 +0000 2020,0,,,False,False,376,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_banners/1301695801098252288/1600159867,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
place,1301695801098252288,1301695801098252288,luki | stream wtss,dyzygy,day6 land,,my sec acc,https://t.co/QzsJXj1Ikc,,False,0,4,0,Fri Sep 04 01:37:50 +0000 2020,0,,,False,False,376,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_banners/1301695801098252288/1600159867,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
contributors,1301695801098252288,1301695801098252288,luki | stream wtss,dyzygy,day6 land,,my sec acc,https://t.co/QzsJXj1Ikc,,False,0,4,0,Fri Sep 04 01:37:50 +0000 2020,0,,,False,False,376,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_images/1301936740664369152/6AjzoHQR_normal.jpg,https://pbs.twimg.com/profile_banners/1301695801098252288/1600159867,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
