,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1307634673393131522,1307634673393131522,Goddess Athena,findom_lou,in your dreams,,18 ❤️ she/they ❤️ australian ❤️ findom ❤️ bratty e-girl domme ❤️ platform shoe fetish,https://t.co/9TCrL7d9LM,"{'urls': [{'url': 'https://t.co/9TCrL7d9LM', 'expanded_url': 'https://paypal.me/goddessathena19?locale.x=en_AU', 'display_url': 'paypal.me/goddessathena1…', 'indices': [0, 23]}]}",False,161,373,0,Sun Sep 20 10:56:41 +0000 2020,914,,,False,False,455,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1326064685439877120/AEsnPAhd_normal.jpg,https://pbs.twimg.com/profile_images/1326064685439877120/AEsnPAhd_normal.jpg,https://pbs.twimg.com/profile_banners/1307634673393131522/1600601550,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1307634673393131522,1307634673393131522,Goddess Athena,findom_lou,in your dreams,,18 ❤️ she/they ❤️ australian ❤️ findom ❤️ bratty e-girl domme ❤️ platform shoe fetish,https://t.co/9TCrL7d9LM,{'urls': []},False,161,373,0,Sun Sep 20 10:56:41 +0000 2020,914,,,False,False,455,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1326064685439877120/AEsnPAhd_normal.jpg,https://pbs.twimg.com/profile_images/1326064685439877120/AEsnPAhd_normal.jpg,https://pbs.twimg.com/profile_banners/1307634673393131522/1600601550,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1307634673393131522,1307634673393131522,Goddess Athena,findom_lou,in your dreams,,18 ❤️ she/they ❤️ australian ❤️ findom ❤️ bratty e-girl domme ❤️ platform shoe fetish,https://t.co/9TCrL7d9LM,,False,161,373,0,Sun Sep 20 10:56:41 +0000 2020,914,,,False,False,455,,Mon Nov 30 20:12:23 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1326064685439877120/AEsnPAhd_normal.jpg,https://pbs.twimg.com/profile_images/1326064685439877120/AEsnPAhd_normal.jpg,https://pbs.twimg.com/profile_banners/1307634673393131522/1600601550,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1307634673393131522,1307634673393131522,Goddess Athena,findom_lou,in your dreams,,18 ❤️ she/they ❤️ australian ❤️ findom ❤️ bratty e-girl domme ❤️ platform shoe fetish,https://t.co/9TCrL7d9LM,,False,161,373,0,Sun Sep 20 10:56:41 +0000 2020,914,,,False,False,455,,1333504165973159936,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1326064685439877120/AEsnPAhd_normal.jpg,https://pbs.twimg.com/profile_images/1326064685439877120/AEsnPAhd_normal.jpg,https://pbs.twimg.com/profile_banners/1307634673393131522/1600601550,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1307634673393131522,1307634673393131522,Goddess Athena,findom_lou,in your dreams,,18 ❤️ she/they ❤️ australian ❤️ findom ❤️ bratty e-girl domme ❤️ platform shoe fetish,https://t.co/9TCrL7d9LM,,False,161,373,0,Sun Sep 20 10:56:41 +0000 2020,914,,,False,False,455,,1333504165973159936,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1326064685439877120/AEsnPAhd_normal.jpg,https://pbs.twimg.com/profile_images/1326064685439877120/AEsnPAhd_normal.jpg,https://pbs.twimg.com/profile_banners/1307634673393131522/1600601550,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1307634673393131522,1307634673393131522,Goddess Athena,findom_lou,in your dreams,,18 ❤️ she/they ❤️ australian ❤️ findom ❤️ bratty e-girl domme ❤️ platform shoe fetish,https://t.co/9TCrL7d9LM,,False,161,373,0,Sun Sep 20 10:56:41 +0000 2020,914,,,False,False,455,,"i’m back, did you miss me? https://t.co/VhaGckzwo3",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1326064685439877120/AEsnPAhd_normal.jpg,https://pbs.twimg.com/profile_images/1326064685439877120/AEsnPAhd_normal.jpg,https://pbs.twimg.com/profile_banners/1307634673393131522/1600601550,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1307634673393131522,1307634673393131522,Goddess Athena,findom_lou,in your dreams,,18 ❤️ she/they ❤️ australian ❤️ findom ❤️ bratty e-girl domme ❤️ platform shoe fetish,https://t.co/9TCrL7d9LM,,False,161,373,0,Sun Sep 20 10:56:41 +0000 2020,914,,,False,False,455,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1326064685439877120/AEsnPAhd_normal.jpg,https://pbs.twimg.com/profile_images/1326064685439877120/AEsnPAhd_normal.jpg,https://pbs.twimg.com/profile_banners/1307634673393131522/1600601550,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1307634673393131522,1307634673393131522,Goddess Athena,findom_lou,in your dreams,,18 ❤️ she/they ❤️ australian ❤️ findom ❤️ bratty e-girl domme ❤️ platform shoe fetish,https://t.co/9TCrL7d9LM,,False,161,373,0,Sun Sep 20 10:56:41 +0000 2020,914,,,False,False,455,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1333504155877396480, 'id_str': '1333504155877396480', 'indices': [27, 50], 'media_url': 'http://pbs.twimg.com/media/EoGO9u2UUAA81hc.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EoGO9u2UUAA81hc.jpg', 'url': 'https://t.co/VhaGckzwo3', 'display_url': 'pic.twitter.com/VhaGckzwo3', 'expanded_url': 'https://twitter.com/findom_lou/status/1333504165973159936/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 720, 'h': 1280, 'resize': 'fit'}}}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1326064685439877120/AEsnPAhd_normal.jpg,https://pbs.twimg.com/profile_images/1326064685439877120/AEsnPAhd_normal.jpg,https://pbs.twimg.com/profile_banners/1307634673393131522/1600601550,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
extended_entities,1307634673393131522,1307634673393131522,Goddess Athena,findom_lou,in your dreams,,18 ❤️ she/they ❤️ australian ❤️ findom ❤️ bratty e-girl domme ❤️ platform shoe fetish,https://t.co/9TCrL7d9LM,,False,161,373,0,Sun Sep 20 10:56:41 +0000 2020,914,,,False,False,455,,"{'media': [{'id': 1333504155877396480, 'id_str': '1333504155877396480', 'indices': [27, 50], 'media_url': 'http://pbs.twimg.com/media/EoGO9u2UUAA81hc.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EoGO9u2UUAA81hc.jpg', 'url': 'https://t.co/VhaGckzwo3', 'display_url': 'pic.twitter.com/VhaGckzwo3', 'expanded_url': 'https://twitter.com/findom_lou/status/1333504165973159936/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 720, 'h': 1280, 'resize': 'fit'}}}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1326064685439877120/AEsnPAhd_normal.jpg,https://pbs.twimg.com/profile_images/1326064685439877120/AEsnPAhd_normal.jpg,https://pbs.twimg.com/profile_banners/1307634673393131522/1600601550,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1307634673393131522,1307634673393131522,Goddess Athena,findom_lou,in your dreams,,18 ❤️ she/they ❤️ australian ❤️ findom ❤️ bratty e-girl domme ❤️ platform shoe fetish,https://t.co/9TCrL7d9LM,,False,161,373,0,Sun Sep 20 10:56:41 +0000 2020,914,,,False,False,455,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1326064685439877120/AEsnPAhd_normal.jpg,https://pbs.twimg.com/profile_images/1326064685439877120/AEsnPAhd_normal.jpg,https://pbs.twimg.com/profile_banners/1307634673393131522/1600601550,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
