,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1192223884826828800,1192223884826828800,Self-Parched-Fool,fool_self,,,"Born Outsider looking in.
Unhappy, Unhealthy, Okay.
Eldest of 4, and the most foolish. 
Identity:Incomplete
Comorbidly:Grey:1",,{'urls': []},False,24,71,1,Wed Nov 06 23:35:33 +0000 2019,13950,,,False,False,15389,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1192224139697950721/ykhQUbH-_normal.jpg,https://pbs.twimg.com/profile_images/1192224139697950721/ykhQUbH-_normal.jpg,https://pbs.twimg.com/profile_banners/1192223884826828800/1591810595,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1192223884826828800,1192223884826828800,Self-Parched-Fool,fool_self,,,"Born Outsider looking in.
Unhappy, Unhealthy, Okay.
Eldest of 4, and the most foolish. 
Identity:Incomplete
Comorbidly:Grey:1",,,False,24,71,1,Wed Nov 06 23:35:33 +0000 2019,13950,,,False,False,15389,,Tue Dec 15 08:24:21 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1192224139697950721/ykhQUbH-_normal.jpg,https://pbs.twimg.com/profile_images/1192224139697950721/ykhQUbH-_normal.jpg,https://pbs.twimg.com/profile_banners/1192223884826828800/1591810595,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1192223884826828800,1192223884826828800,Self-Parched-Fool,fool_self,,,"Born Outsider looking in.
Unhappy, Unhealthy, Okay.
Eldest of 4, and the most foolish. 
Identity:Incomplete
Comorbidly:Grey:1",,,False,24,71,1,Wed Nov 06 23:35:33 +0000 2019,13950,,,False,False,15389,,1338761804105867265,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1192224139697950721/ykhQUbH-_normal.jpg,https://pbs.twimg.com/profile_images/1192224139697950721/ykhQUbH-_normal.jpg,https://pbs.twimg.com/profile_banners/1192223884826828800/1591810595,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1192223884826828800,1192223884826828800,Self-Parched-Fool,fool_self,,,"Born Outsider looking in.
Unhappy, Unhealthy, Okay.
Eldest of 4, and the most foolish. 
Identity:Incomplete
Comorbidly:Grey:1",,,False,24,71,1,Wed Nov 06 23:35:33 +0000 2019,13950,,,False,False,15389,,1338761804105867265,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1192224139697950721/ykhQUbH-_normal.jpg,https://pbs.twimg.com/profile_images/1192224139697950721/ykhQUbH-_normal.jpg,https://pbs.twimg.com/profile_banners/1192223884826828800/1591810595,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1192223884826828800,1192223884826828800,Self-Parched-Fool,fool_self,,,"Born Outsider looking in.
Unhappy, Unhealthy, Okay.
Eldest of 4, and the most foolish. 
Identity:Incomplete
Comorbidly:Grey:1",,,False,24,71,1,Wed Nov 06 23:35:33 +0000 2019,13950,,,False,False,15389,,RT @punkpeacetea: @sarahschauer this is my favorite story that i've ever seen on tumblr and your tweet just reminded me of it (ps that has…,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1192224139697950721/ykhQUbH-_normal.jpg,https://pbs.twimg.com/profile_images/1192224139697950721/ykhQUbH-_normal.jpg,https://pbs.twimg.com/profile_banners/1192223884826828800/1591810595,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1192223884826828800,1192223884826828800,Self-Parched-Fool,fool_self,,,"Born Outsider looking in.
Unhappy, Unhealthy, Okay.
Eldest of 4, and the most foolish. 
Identity:Incomplete
Comorbidly:Grey:1",,,False,24,71,1,Wed Nov 06 23:35:33 +0000 2019,13950,,,False,False,15389,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1192224139697950721/ykhQUbH-_normal.jpg,https://pbs.twimg.com/profile_images/1192224139697950721/ykhQUbH-_normal.jpg,https://pbs.twimg.com/profile_banners/1192223884826828800/1591810595,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1192223884826828800,1192223884826828800,Self-Parched-Fool,fool_self,,,"Born Outsider looking in.
Unhappy, Unhealthy, Okay.
Eldest of 4, and the most foolish. 
Identity:Incomplete
Comorbidly:Grey:1",,,False,24,71,1,Wed Nov 06 23:35:33 +0000 2019,13950,,,False,False,15389,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'punkpeacetea', 'name': 'emily 🐸', 'id': 1283930952922611713, 'id_str': '1283930952922611713', 'indices': [3, 16]}, {'screen_name': 'sarahschauer', 'name': 'sarah schauer 🦂', 'id': 250887629, 'id_str': '250887629', 'indices': [18, 31]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1192224139697950721/ykhQUbH-_normal.jpg,https://pbs.twimg.com/profile_images/1192224139697950721/ykhQUbH-_normal.jpg,https://pbs.twimg.com/profile_banners/1192223884826828800/1591810595,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1192223884826828800,1192223884826828800,Self-Parched-Fool,fool_self,,,"Born Outsider looking in.
Unhappy, Unhealthy, Okay.
Eldest of 4, and the most foolish. 
Identity:Incomplete
Comorbidly:Grey:1",,,False,24,71,1,Wed Nov 06 23:35:33 +0000 2019,13950,,,False,False,15389,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1192224139697950721/ykhQUbH-_normal.jpg,https://pbs.twimg.com/profile_images/1192224139697950721/ykhQUbH-_normal.jpg,https://pbs.twimg.com/profile_banners/1192223884826828800/1591810595,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1192223884826828800,1192223884826828800,Self-Parched-Fool,fool_self,,,"Born Outsider looking in.
Unhappy, Unhealthy, Okay.
Eldest of 4, and the most foolish. 
Identity:Incomplete
Comorbidly:Grey:1",,,False,24,71,1,Wed Nov 06 23:35:33 +0000 2019,13950,,,False,False,15389,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1192224139697950721/ykhQUbH-_normal.jpg,https://pbs.twimg.com/profile_images/1192224139697950721/ykhQUbH-_normal.jpg,https://pbs.twimg.com/profile_banners/1192223884826828800/1591810595,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1192223884826828800,1192223884826828800,Self-Parched-Fool,fool_self,,,"Born Outsider looking in.
Unhappy, Unhealthy, Okay.
Eldest of 4, and the most foolish. 
Identity:Incomplete
Comorbidly:Grey:1",,,False,24,71,1,Wed Nov 06 23:35:33 +0000 2019,13950,,,False,False,15389,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1192224139697950721/ykhQUbH-_normal.jpg,https://pbs.twimg.com/profile_images/1192224139697950721/ykhQUbH-_normal.jpg,https://pbs.twimg.com/profile_banners/1192223884826828800/1591810595,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
