,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1117266288,1117266288,𝒂𝒏𝒈𝒊𝒆 ᴴ STANS A GRAMMY NOMINEE,gvldensunflower,,,"𝐏𝐮𝐭 𝐚 𝐩𝐫𝐢𝐜𝐞 𝐨𝐧 𝐞𝐦𝐨𝐭𝐢𝐨𝐧, 𝐈’𝐦 𝐥𝐨𝐨𝐤𝐢𝐧𝐠 𝐟𝐨𝐫 𝐬𝐨𝐦𝐞𝐭𝐡𝐢𝐧𝐠 𝐭𝐨 𝐛𝐮𝐲. she/her FP&BLM",,{'urls': []},False,1451,940,32,Thu Jan 24 17:11:28 +0000 2013,76651,,,False,False,32813,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1299232521574477824/wN1gmuIf_normal.jpg,https://pbs.twimg.com/profile_images/1299232521574477824/wN1gmuIf_normal.jpg,https://pbs.twimg.com/profile_banners/1117266288/1598596257,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,regular
created_at,1117266288,1117266288,𝒂𝒏𝒈𝒊𝒆 ᴴ STANS A GRAMMY NOMINEE,gvldensunflower,,,"𝐏𝐮𝐭 𝐚 𝐩𝐫𝐢𝐜𝐞 𝐨𝐧 𝐞𝐦𝐨𝐭𝐢𝐨𝐧, 𝐈’𝐦 𝐥𝐨𝐨𝐤𝐢𝐧𝐠 𝐟𝐨𝐫 𝐬𝐨𝐦𝐞𝐭𝐡𝐢𝐧𝐠 𝐭𝐨 𝐛𝐮𝐲. she/her FP&BLM",,,False,1451,940,32,Thu Jan 24 17:11:28 +0000 2013,76651,,,False,False,32813,,Tue Dec 15 01:51:19 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1299232521574477824/wN1gmuIf_normal.jpg,https://pbs.twimg.com/profile_images/1299232521574477824/wN1gmuIf_normal.jpg,https://pbs.twimg.com/profile_banners/1117266288/1598596257,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,regular
id,1117266288,1117266288,𝒂𝒏𝒈𝒊𝒆 ᴴ STANS A GRAMMY NOMINEE,gvldensunflower,,,"𝐏𝐮𝐭 𝐚 𝐩𝐫𝐢𝐜𝐞 𝐨𝐧 𝐞𝐦𝐨𝐭𝐢𝐨𝐧, 𝐈’𝐦 𝐥𝐨𝐨𝐤𝐢𝐧𝐠 𝐟𝐨𝐫 𝐬𝐨𝐦𝐞𝐭𝐡𝐢𝐧𝐠 𝐭𝐨 𝐛𝐮𝐲. she/her FP&BLM",,,False,1451,940,32,Thu Jan 24 17:11:28 +0000 2013,76651,,,False,False,32813,,1338662891352956931,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1299232521574477824/wN1gmuIf_normal.jpg,https://pbs.twimg.com/profile_images/1299232521574477824/wN1gmuIf_normal.jpg,https://pbs.twimg.com/profile_banners/1117266288/1598596257,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,regular
id_str,1117266288,1117266288,𝒂𝒏𝒈𝒊𝒆 ᴴ STANS A GRAMMY NOMINEE,gvldensunflower,,,"𝐏𝐮𝐭 𝐚 𝐩𝐫𝐢𝐜𝐞 𝐨𝐧 𝐞𝐦𝐨𝐭𝐢𝐨𝐧, 𝐈’𝐦 𝐥𝐨𝐨𝐤𝐢𝐧𝐠 𝐟𝐨𝐫 𝐬𝐨𝐦𝐞𝐭𝐡𝐢𝐧𝐠 𝐭𝐨 𝐛𝐮𝐲. she/her FP&BLM",,,False,1451,940,32,Thu Jan 24 17:11:28 +0000 2013,76651,,,False,False,32813,,1338662891352956931,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1299232521574477824/wN1gmuIf_normal.jpg,https://pbs.twimg.com/profile_images/1299232521574477824/wN1gmuIf_normal.jpg,https://pbs.twimg.com/profile_banners/1117266288/1598596257,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,regular
text,1117266288,1117266288,𝒂𝒏𝒈𝒊𝒆 ᴴ STANS A GRAMMY NOMINEE,gvldensunflower,,,"𝐏𝐮𝐭 𝐚 𝐩𝐫𝐢𝐜𝐞 𝐨𝐧 𝐞𝐦𝐨𝐭𝐢𝐨𝐧, 𝐈’𝐦 𝐥𝐨𝐨𝐤𝐢𝐧𝐠 𝐟𝐨𝐫 𝐬𝐨𝐦𝐞𝐭𝐡𝐢𝐧𝐠 𝐭𝐨 𝐛𝐮𝐲. she/her FP&BLM",,,False,1451,940,32,Thu Jan 24 17:11:28 +0000 2013,76651,,,False,False,32813,,RT @harryguccidoll: “I wish I lived in the same era as young Harry Styles” a thread; https://t.co/Dqop2LL09G,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1299232521574477824/wN1gmuIf_normal.jpg,https://pbs.twimg.com/profile_images/1299232521574477824/wN1gmuIf_normal.jpg,https://pbs.twimg.com/profile_banners/1117266288/1598596257,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,regular
truncated,1117266288,1117266288,𝒂𝒏𝒈𝒊𝒆 ᴴ STANS A GRAMMY NOMINEE,gvldensunflower,,,"𝐏𝐮𝐭 𝐚 𝐩𝐫𝐢𝐜𝐞 𝐨𝐧 𝐞𝐦𝐨𝐭𝐢𝐨𝐧, 𝐈’𝐦 𝐥𝐨𝐨𝐤𝐢𝐧𝐠 𝐟𝐨𝐫 𝐬𝐨𝐦𝐞𝐭𝐡𝐢𝐧𝐠 𝐭𝐨 𝐛𝐮𝐲. she/her FP&BLM",,,False,1451,940,32,Thu Jan 24 17:11:28 +0000 2013,76651,,,False,False,32813,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1299232521574477824/wN1gmuIf_normal.jpg,https://pbs.twimg.com/profile_images/1299232521574477824/wN1gmuIf_normal.jpg,https://pbs.twimg.com/profile_banners/1117266288/1598596257,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,regular
entities,1117266288,1117266288,𝒂𝒏𝒈𝒊𝒆 ᴴ STANS A GRAMMY NOMINEE,gvldensunflower,,,"𝐏𝐮𝐭 𝐚 𝐩𝐫𝐢𝐜𝐞 𝐨𝐧 𝐞𝐦𝐨𝐭𝐢𝐨𝐧, 𝐈’𝐦 𝐥𝐨𝐨𝐤𝐢𝐧𝐠 𝐟𝐨𝐫 𝐬𝐨𝐦𝐞𝐭𝐡𝐢𝐧𝐠 𝐭𝐨 𝐛𝐮𝐲. she/her FP&BLM",,,False,1451,940,32,Thu Jan 24 17:11:28 +0000 2013,76651,,,False,False,32813,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'harryguccidoll', 'name': 'Nur ♡ kate', 'id': 4656648209, 'id_str': '4656648209', 'indices': [3, 18]}], 'urls': [], 'media': [{'id': 1338551811897257986, 'id_str': '1338551811897257986', 'indices': [85, 108], 'media_url': 'http://pbs.twimg.com/media/EpN9x-2XcAIHOyu.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpN9x-2XcAIHOyu.jpg', 'url': 'https://t.co/Dqop2LL09G', 'display_url': 'pic.twitter.com/Dqop2LL09G', 'expanded_url': 'https://twitter.com/harryguccidoll/status/1338551824555634694/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 750, 'h': 1108, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 750, 'h': 1108, 'resize': 'fit'}, 'small': {'w': 460, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1338551824555634694, 'source_status_id_str': '1338551824555634694', 'source_user_id': 4656648209, 'source_user_id_str': '4656648209'}]}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1299232521574477824/wN1gmuIf_normal.jpg,https://pbs.twimg.com/profile_images/1299232521574477824/wN1gmuIf_normal.jpg,https://pbs.twimg.com/profile_banners/1117266288/1598596257,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,regular
extended_entities,1117266288,1117266288,𝒂𝒏𝒈𝒊𝒆 ᴴ STANS A GRAMMY NOMINEE,gvldensunflower,,,"𝐏𝐮𝐭 𝐚 𝐩𝐫𝐢𝐜𝐞 𝐨𝐧 𝐞𝐦𝐨𝐭𝐢𝐨𝐧, 𝐈’𝐦 𝐥𝐨𝐨𝐤𝐢𝐧𝐠 𝐟𝐨𝐫 𝐬𝐨𝐦𝐞𝐭𝐡𝐢𝐧𝐠 𝐭𝐨 𝐛𝐮𝐲. she/her FP&BLM",,,False,1451,940,32,Thu Jan 24 17:11:28 +0000 2013,76651,,,False,False,32813,,"{'media': [{'id': 1338551811897257986, 'id_str': '1338551811897257986', 'indices': [85, 108], 'media_url': 'http://pbs.twimg.com/media/EpN9x-2XcAIHOyu.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpN9x-2XcAIHOyu.jpg', 'url': 'https://t.co/Dqop2LL09G', 'display_url': 'pic.twitter.com/Dqop2LL09G', 'expanded_url': 'https://twitter.com/harryguccidoll/status/1338551824555634694/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 750, 'h': 1108, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 750, 'h': 1108, 'resize': 'fit'}, 'small': {'w': 460, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1338551824555634694, 'source_status_id_str': '1338551824555634694', 'source_user_id': 4656648209, 'source_user_id_str': '4656648209'}, {'id': 1338551811930722314, 'id_str': '1338551811930722314', 'indices': [85, 108], 'media_url': 'http://pbs.twimg.com/media/EpN9x--WEAoKpA_.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpN9x--WEAoKpA_.jpg', 'url': 'https://t.co/Dqop2LL09G', 'display_url': 'pic.twitter.com/Dqop2LL09G', 'expanded_url': 'https://twitter.com/harryguccidoll/status/1338551824555634694/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 286, 'h': 412, 'resize': 'fit'}, 'medium': {'w': 286, 'h': 412, 'resize': 'fit'}, 'large': {'w': 286, 'h': 412, 'resize': 'fit'}}, 'source_status_id': 1338551824555634694, 'source_status_id_str': '1338551824555634694', 'source_user_id': 4656648209, 'source_user_id_str': '4656648209'}]}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1299232521574477824/wN1gmuIf_normal.jpg,https://pbs.twimg.com/profile_images/1299232521574477824/wN1gmuIf_normal.jpg,https://pbs.twimg.com/profile_banners/1117266288/1598596257,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,regular
source,1117266288,1117266288,𝒂𝒏𝒈𝒊𝒆 ᴴ STANS A GRAMMY NOMINEE,gvldensunflower,,,"𝐏𝐮𝐭 𝐚 𝐩𝐫𝐢𝐜𝐞 𝐨𝐧 𝐞𝐦𝐨𝐭𝐢𝐨𝐧, 𝐈’𝐦 𝐥𝐨𝐨𝐤𝐢𝐧𝐠 𝐟𝐨𝐫 𝐬𝐨𝐦𝐞𝐭𝐡𝐢𝐧𝐠 𝐭𝐨 𝐛𝐮𝐲. she/her FP&BLM",,,False,1451,940,32,Thu Jan 24 17:11:28 +0000 2013,76651,,,False,False,32813,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1299232521574477824/wN1gmuIf_normal.jpg,https://pbs.twimg.com/profile_images/1299232521574477824/wN1gmuIf_normal.jpg,https://pbs.twimg.com/profile_banners/1117266288/1598596257,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,regular
in_reply_to_status_id,1117266288,1117266288,𝒂𝒏𝒈𝒊𝒆 ᴴ STANS A GRAMMY NOMINEE,gvldensunflower,,,"𝐏𝐮𝐭 𝐚 𝐩𝐫𝐢𝐜𝐞 𝐨𝐧 𝐞𝐦𝐨𝐭𝐢𝐨𝐧, 𝐈’𝐦 𝐥𝐨𝐨𝐤𝐢𝐧𝐠 𝐟𝐨𝐫 𝐬𝐨𝐦𝐞𝐭𝐡𝐢𝐧𝐠 𝐭𝐨 𝐛𝐮𝐲. she/her FP&BLM",,,False,1451,940,32,Thu Jan 24 17:11:28 +0000 2013,76651,,,False,False,32813,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1299232521574477824/wN1gmuIf_normal.jpg,https://pbs.twimg.com/profile_images/1299232521574477824/wN1gmuIf_normal.jpg,https://pbs.twimg.com/profile_banners/1117266288/1598596257,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,regular
