,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,47910775,47910775,Put The 🐰 Back In The 🧺,itmekorranation,"Chicago, IL",,“Drag Queen” l Gamer l 30 l 🔞 l Chicago l Cis-Trash l Unapologetically Black I He/Him,,{'urls': []},False,442,867,1,Wed Jun 17 09:42:31 +0000 2009,13647,,,True,False,3719,,,False,False,False,8B542B,http://abs.twimg.com/images/themes/theme8/bg.gif,https://abs.twimg.com/images/themes/theme8/bg.gif,True,http://pbs.twimg.com/profile_images/1297315629754703874/xodEmCgm_normal.jpg,https://pbs.twimg.com/profile_images/1297315629754703874/xodEmCgm_normal.jpg,https://pbs.twimg.com/profile_banners/47910775/1605621068,9D582E,D9B17E,EADEAA,333333,True,True,False,False,False,False,False,none
created_at,47910775,47910775,Put The 🐰 Back In The 🧺,itmekorranation,"Chicago, IL",,“Drag Queen” l Gamer l 30 l 🔞 l Chicago l Cis-Trash l Unapologetically Black I He/Him,,,False,442,867,1,Wed Jun 17 09:42:31 +0000 2009,13647,,,True,False,3719,,Tue Dec 15 07:39:31 +0000 2020,False,False,False,8B542B,http://abs.twimg.com/images/themes/theme8/bg.gif,https://abs.twimg.com/images/themes/theme8/bg.gif,True,http://pbs.twimg.com/profile_images/1297315629754703874/xodEmCgm_normal.jpg,https://pbs.twimg.com/profile_images/1297315629754703874/xodEmCgm_normal.jpg,https://pbs.twimg.com/profile_banners/47910775/1605621068,9D582E,D9B17E,EADEAA,333333,True,True,False,False,False,False,False,none
id,47910775,47910775,Put The 🐰 Back In The 🧺,itmekorranation,"Chicago, IL",,“Drag Queen” l Gamer l 30 l 🔞 l Chicago l Cis-Trash l Unapologetically Black I He/Him,,,False,442,867,1,Wed Jun 17 09:42:31 +0000 2009,13647,,,True,False,3719,,1338750519481864199,False,False,False,8B542B,http://abs.twimg.com/images/themes/theme8/bg.gif,https://abs.twimg.com/images/themes/theme8/bg.gif,True,http://pbs.twimg.com/profile_images/1297315629754703874/xodEmCgm_normal.jpg,https://pbs.twimg.com/profile_images/1297315629754703874/xodEmCgm_normal.jpg,https://pbs.twimg.com/profile_banners/47910775/1605621068,9D582E,D9B17E,EADEAA,333333,True,True,False,False,False,False,False,none
id_str,47910775,47910775,Put The 🐰 Back In The 🧺,itmekorranation,"Chicago, IL",,“Drag Queen” l Gamer l 30 l 🔞 l Chicago l Cis-Trash l Unapologetically Black I He/Him,,,False,442,867,1,Wed Jun 17 09:42:31 +0000 2009,13647,,,True,False,3719,,1338750519481864199,False,False,False,8B542B,http://abs.twimg.com/images/themes/theme8/bg.gif,https://abs.twimg.com/images/themes/theme8/bg.gif,True,http://pbs.twimg.com/profile_images/1297315629754703874/xodEmCgm_normal.jpg,https://pbs.twimg.com/profile_images/1297315629754703874/xodEmCgm_normal.jpg,https://pbs.twimg.com/profile_banners/47910775/1605621068,9D582E,D9B17E,EADEAA,333333,True,True,False,False,False,False,False,none
text,47910775,47910775,Put The 🐰 Back In The 🧺,itmekorranation,"Chicago, IL",,“Drag Queen” l Gamer l 30 l 🔞 l Chicago l Cis-Trash l Unapologetically Black I He/Him,,,False,442,867,1,Wed Jun 17 09:42:31 +0000 2009,13647,,,True,False,3719,,RT @ossoff: EARLY VOTING IN GEORGIA BEGINS TODAY,False,False,False,8B542B,http://abs.twimg.com/images/themes/theme8/bg.gif,https://abs.twimg.com/images/themes/theme8/bg.gif,True,http://pbs.twimg.com/profile_images/1297315629754703874/xodEmCgm_normal.jpg,https://pbs.twimg.com/profile_images/1297315629754703874/xodEmCgm_normal.jpg,https://pbs.twimg.com/profile_banners/47910775/1605621068,9D582E,D9B17E,EADEAA,333333,True,True,False,False,False,False,False,none
truncated,47910775,47910775,Put The 🐰 Back In The 🧺,itmekorranation,"Chicago, IL",,“Drag Queen” l Gamer l 30 l 🔞 l Chicago l Cis-Trash l Unapologetically Black I He/Him,,,False,442,867,1,Wed Jun 17 09:42:31 +0000 2009,13647,,,True,False,3719,,False,False,False,False,8B542B,http://abs.twimg.com/images/themes/theme8/bg.gif,https://abs.twimg.com/images/themes/theme8/bg.gif,True,http://pbs.twimg.com/profile_images/1297315629754703874/xodEmCgm_normal.jpg,https://pbs.twimg.com/profile_images/1297315629754703874/xodEmCgm_normal.jpg,https://pbs.twimg.com/profile_banners/47910775/1605621068,9D582E,D9B17E,EADEAA,333333,True,True,False,False,False,False,False,none
entities,47910775,47910775,Put The 🐰 Back In The 🧺,itmekorranation,"Chicago, IL",,“Drag Queen” l Gamer l 30 l 🔞 l Chicago l Cis-Trash l Unapologetically Black I He/Him,,,False,442,867,1,Wed Jun 17 09:42:31 +0000 2009,13647,,,True,False,3719,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ossoff', 'name': 'Jon Ossoff', 'id': 521747968, 'id_str': '521747968', 'indices': [3, 10]}], 'urls': []}",False,False,False,8B542B,http://abs.twimg.com/images/themes/theme8/bg.gif,https://abs.twimg.com/images/themes/theme8/bg.gif,True,http://pbs.twimg.com/profile_images/1297315629754703874/xodEmCgm_normal.jpg,https://pbs.twimg.com/profile_images/1297315629754703874/xodEmCgm_normal.jpg,https://pbs.twimg.com/profile_banners/47910775/1605621068,9D582E,D9B17E,EADEAA,333333,True,True,False,False,False,False,False,none
source,47910775,47910775,Put The 🐰 Back In The 🧺,itmekorranation,"Chicago, IL",,“Drag Queen” l Gamer l 30 l 🔞 l Chicago l Cis-Trash l Unapologetically Black I He/Him,,,False,442,867,1,Wed Jun 17 09:42:31 +0000 2009,13647,,,True,False,3719,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,8B542B,http://abs.twimg.com/images/themes/theme8/bg.gif,https://abs.twimg.com/images/themes/theme8/bg.gif,True,http://pbs.twimg.com/profile_images/1297315629754703874/xodEmCgm_normal.jpg,https://pbs.twimg.com/profile_images/1297315629754703874/xodEmCgm_normal.jpg,https://pbs.twimg.com/profile_banners/47910775/1605621068,9D582E,D9B17E,EADEAA,333333,True,True,False,False,False,False,False,none
in_reply_to_status_id,47910775,47910775,Put The 🐰 Back In The 🧺,itmekorranation,"Chicago, IL",,“Drag Queen” l Gamer l 30 l 🔞 l Chicago l Cis-Trash l Unapologetically Black I He/Him,,,False,442,867,1,Wed Jun 17 09:42:31 +0000 2009,13647,,,True,False,3719,,,False,False,False,8B542B,http://abs.twimg.com/images/themes/theme8/bg.gif,https://abs.twimg.com/images/themes/theme8/bg.gif,True,http://pbs.twimg.com/profile_images/1297315629754703874/xodEmCgm_normal.jpg,https://pbs.twimg.com/profile_images/1297315629754703874/xodEmCgm_normal.jpg,https://pbs.twimg.com/profile_banners/47910775/1605621068,9D582E,D9B17E,EADEAA,333333,True,True,False,False,False,False,False,none
in_reply_to_status_id_str,47910775,47910775,Put The 🐰 Back In The 🧺,itmekorranation,"Chicago, IL",,“Drag Queen” l Gamer l 30 l 🔞 l Chicago l Cis-Trash l Unapologetically Black I He/Him,,,False,442,867,1,Wed Jun 17 09:42:31 +0000 2009,13647,,,True,False,3719,,,False,False,False,8B542B,http://abs.twimg.com/images/themes/theme8/bg.gif,https://abs.twimg.com/images/themes/theme8/bg.gif,True,http://pbs.twimg.com/profile_images/1297315629754703874/xodEmCgm_normal.jpg,https://pbs.twimg.com/profile_images/1297315629754703874/xodEmCgm_normal.jpg,https://pbs.twimg.com/profile_banners/47910775/1605621068,9D582E,D9B17E,EADEAA,333333,True,True,False,False,False,False,False,none
