,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1034634460069691392,1034634460069691392,qi ⁷ 💫 ! inactive for school :(,llonelywhalien,hyyh 슙국 | he/they,,#ZENJI: when !! will koo!! hold !!!! yoomfis!!! hand!!!!!! || ACAB!!!!! BLM!!!!,,{'urls': []},False,121,168,3,Wed Aug 29 02:50:52 +0000 2018,10962,,,True,False,5423,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_banners/1034634460069691392/1592918549,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
created_at,1034634460069691392,1034634460069691392,qi ⁷ 💫 ! inactive for school :(,llonelywhalien,hyyh 슙국 | he/they,,#ZENJI: when !! will koo!! hold !!!! yoomfis!!! hand!!!!!! || ACAB!!!!! BLM!!!!,,,False,121,168,3,Wed Aug 29 02:50:52 +0000 2018,10962,,,True,False,5423,,Thu Dec 10 10:35:16 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_banners/1034634460069691392/1592918549,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
id,1034634460069691392,1034634460069691392,qi ⁷ 💫 ! inactive for school :(,llonelywhalien,hyyh 슙국 | he/they,,#ZENJI: when !! will koo!! hold !!!! yoomfis!!! hand!!!!!! || ACAB!!!!! BLM!!!!,,,False,121,168,3,Wed Aug 29 02:50:52 +0000 2018,10962,,,True,False,5423,,1336982809798328321,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_banners/1034634460069691392/1592918549,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
id_str,1034634460069691392,1034634460069691392,qi ⁷ 💫 ! inactive for school :(,llonelywhalien,hyyh 슙국 | he/they,,#ZENJI: when !! will koo!! hold !!!! yoomfis!!! hand!!!!!! || ACAB!!!!! BLM!!!!,,,False,121,168,3,Wed Aug 29 02:50:52 +0000 2018,10962,,,True,False,5423,,1336982809798328321,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_banners/1034634460069691392/1592918549,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
text,1034634460069691392,1034634460069691392,qi ⁷ 💫 ! inactive for school :(,llonelywhalien,hyyh 슙국 | he/they,,#ZENJI: when !! will koo!! hold !!!! yoomfis!!! hand!!!!!! || ACAB!!!!! BLM!!!!,,,False,121,168,3,Wed Aug 29 02:50:52 +0000 2018,10962,,,True,False,5423,,"RT @94_PIAN: witch yoongi before and after the curse 🐱
#yoonkook #슙국 https://t.co/lyXkLS297a",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_banners/1034634460069691392/1592918549,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
truncated,1034634460069691392,1034634460069691392,qi ⁷ 💫 ! inactive for school :(,llonelywhalien,hyyh 슙국 | he/they,,#ZENJI: when !! will koo!! hold !!!! yoomfis!!! hand!!!!!! || ACAB!!!!! BLM!!!!,,,False,121,168,3,Wed Aug 29 02:50:52 +0000 2018,10962,,,True,False,5423,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_banners/1034634460069691392/1592918549,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
entities,1034634460069691392,1034634460069691392,qi ⁷ 💫 ! inactive for school :(,llonelywhalien,hyyh 슙국 | he/they,,#ZENJI: when !! will koo!! hold !!!! yoomfis!!! hand!!!!!! || ACAB!!!!! BLM!!!!,,,False,121,168,3,Wed Aug 29 02:50:52 +0000 2018,10962,,,True,False,5423,,"{'hashtags': [{'text': 'yoonkook', 'indices': [55, 64]}, {'text': '슙국', 'indices': [65, 68]}], 'symbols': [], 'user_mentions': [{'screen_name': '94_PIAN', 'name': 'PIAN ⭐️', 'id': 1294099336461258752, 'id_str': '1294099336461258752', 'indices': [3, 11]}], 'urls': [], 'media': [{'id': 1336748988171755520, 'id_str': '1336748988171755520', 'indices': [69, 92], 'media_url': 'http://pbs.twimg.com/media/Eo0WH1HXIAAfDMZ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo0WH1HXIAAfDMZ.jpg', 'url': 'https://t.co/lyXkLS297a', 'display_url': 'pic.twitter.com/lyXkLS297a', 'expanded_url': 'https://twitter.com/94_PIAN/status/1336748995012648964/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 960, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1350, 'resize': 'fit'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1336748995012648964, 'source_status_id_str': '1336748995012648964', 'source_user_id': 1294099336461258752, 'source_user_id_str': '1294099336461258752'}]}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_banners/1034634460069691392/1592918549,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
extended_entities,1034634460069691392,1034634460069691392,qi ⁷ 💫 ! inactive for school :(,llonelywhalien,hyyh 슙국 | he/they,,#ZENJI: when !! will koo!! hold !!!! yoomfis!!! hand!!!!!! || ACAB!!!!! BLM!!!!,,,False,121,168,3,Wed Aug 29 02:50:52 +0000 2018,10962,,,True,False,5423,,"{'media': [{'id': 1336748988171755520, 'id_str': '1336748988171755520', 'indices': [69, 92], 'media_url': 'http://pbs.twimg.com/media/Eo0WH1HXIAAfDMZ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo0WH1HXIAAfDMZ.jpg', 'url': 'https://t.co/lyXkLS297a', 'display_url': 'pic.twitter.com/lyXkLS297a', 'expanded_url': 'https://twitter.com/94_PIAN/status/1336748995012648964/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 960, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1350, 'resize': 'fit'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1336748995012648964, 'source_status_id_str': '1336748995012648964', 'source_user_id': 1294099336461258752, 'source_user_id_str': '1294099336461258752'}, {'id': 1336748992089165824, 'id_str': '1336748992089165824', 'indices': [69, 92], 'media_url': 'http://pbs.twimg.com/media/Eo0WIDtWEAAiK7h.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo0WIDtWEAAiK7h.jpg', 'url': 'https://t.co/lyXkLS297a', 'display_url': 'pic.twitter.com/lyXkLS297a', 'expanded_url': 'https://twitter.com/94_PIAN/status/1336748995012648964/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1350, 'resize': 'fit'}, 'medium': {'w': 960, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1336748995012648964, 'source_status_id_str': '1336748995012648964', 'source_user_id': 1294099336461258752, 'source_user_id_str': '1294099336461258752'}]}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_banners/1034634460069691392/1592918549,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
source,1034634460069691392,1034634460069691392,qi ⁷ 💫 ! inactive for school :(,llonelywhalien,hyyh 슙국 | he/they,,#ZENJI: when !! will koo!! hold !!!! yoomfis!!! hand!!!!!! || ACAB!!!!! BLM!!!!,,,False,121,168,3,Wed Aug 29 02:50:52 +0000 2018,10962,,,True,False,5423,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_banners/1034634460069691392/1592918549,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
