,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1252489828379361281,1252489828379361281,pum woterbug,pumperbug,boy - 15,,"he/him, so tired
professional pixie stick snorter
priv @contempt_is_me",,{'urls': []},False,44,39,0,Tue Apr 21 06:50:26 +0000 2020,17933,,,False,False,5969,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1330019175406968834/24J0_ZV__normal.jpg,https://pbs.twimg.com/profile_images/1330019175406968834/24J0_ZV__normal.jpg,https://pbs.twimg.com/profile_banners/1252489828379361281/1605936333,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1252489828379361281,1252489828379361281,pum woterbug,pumperbug,boy - 15,,"he/him, so tired
professional pixie stick snorter
priv @contempt_is_me",,,False,44,39,0,Tue Apr 21 06:50:26 +0000 2020,17933,,,False,False,5969,,Tue Dec 15 04:11:45 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1330019175406968834/24J0_ZV__normal.jpg,https://pbs.twimg.com/profile_images/1330019175406968834/24J0_ZV__normal.jpg,https://pbs.twimg.com/profile_banners/1252489828379361281/1605936333,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1252489828379361281,1252489828379361281,pum woterbug,pumperbug,boy - 15,,"he/him, so tired
professional pixie stick snorter
priv @contempt_is_me",,,False,44,39,0,Tue Apr 21 06:50:26 +0000 2020,17933,,,False,False,5969,,1338698235221831680,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1330019175406968834/24J0_ZV__normal.jpg,https://pbs.twimg.com/profile_images/1330019175406968834/24J0_ZV__normal.jpg,https://pbs.twimg.com/profile_banners/1252489828379361281/1605936333,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1252489828379361281,1252489828379361281,pum woterbug,pumperbug,boy - 15,,"he/him, so tired
professional pixie stick snorter
priv @contempt_is_me",,,False,44,39,0,Tue Apr 21 06:50:26 +0000 2020,17933,,,False,False,5969,,1338698235221831680,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1330019175406968834/24J0_ZV__normal.jpg,https://pbs.twimg.com/profile_images/1330019175406968834/24J0_ZV__normal.jpg,https://pbs.twimg.com/profile_banners/1252489828379361281/1605936333,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1252489828379361281,1252489828379361281,pum woterbug,pumperbug,boy - 15,,"he/him, so tired
professional pixie stick snorter
priv @contempt_is_me",,,False,44,39,0,Tue Apr 21 06:50:26 +0000 2020,17933,,,False,False,5969,,"i am legit so fucking happy 
i thought i was gonna have to spend forever doing the algebra 
and i wouldn't get the… https://t.co/SlYMZbyS4y",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1330019175406968834/24J0_ZV__normal.jpg,https://pbs.twimg.com/profile_images/1330019175406968834/24J0_ZV__normal.jpg,https://pbs.twimg.com/profile_banners/1252489828379361281/1605936333,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1252489828379361281,1252489828379361281,pum woterbug,pumperbug,boy - 15,,"he/him, so tired
professional pixie stick snorter
priv @contempt_is_me",,,False,44,39,0,Tue Apr 21 06:50:26 +0000 2020,17933,,,False,False,5969,,True,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1330019175406968834/24J0_ZV__normal.jpg,https://pbs.twimg.com/profile_images/1330019175406968834/24J0_ZV__normal.jpg,https://pbs.twimg.com/profile_banners/1252489828379361281/1605936333,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1252489828379361281,1252489828379361281,pum woterbug,pumperbug,boy - 15,,"he/him, so tired
professional pixie stick snorter
priv @contempt_is_me",,,False,44,39,0,Tue Apr 21 06:50:26 +0000 2020,17933,,,False,False,5969,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/SlYMZbyS4y', 'expanded_url': 'https://twitter.com/i/web/status/1338698235221831680', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1330019175406968834/24J0_ZV__normal.jpg,https://pbs.twimg.com/profile_images/1330019175406968834/24J0_ZV__normal.jpg,https://pbs.twimg.com/profile_banners/1252489828379361281/1605936333,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1252489828379361281,1252489828379361281,pum woterbug,pumperbug,boy - 15,,"he/him, so tired
professional pixie stick snorter
priv @contempt_is_me",,,False,44,39,0,Tue Apr 21 06:50:26 +0000 2020,17933,,,False,False,5969,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1330019175406968834/24J0_ZV__normal.jpg,https://pbs.twimg.com/profile_images/1330019175406968834/24J0_ZV__normal.jpg,https://pbs.twimg.com/profile_banners/1252489828379361281/1605936333,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1252489828379361281,1252489828379361281,pum woterbug,pumperbug,boy - 15,,"he/him, so tired
professional pixie stick snorter
priv @contempt_is_me",,,False,44,39,0,Tue Apr 21 06:50:26 +0000 2020,17933,,,False,False,5969,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1330019175406968834/24J0_ZV__normal.jpg,https://pbs.twimg.com/profile_images/1330019175406968834/24J0_ZV__normal.jpg,https://pbs.twimg.com/profile_banners/1252489828379361281/1605936333,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1252489828379361281,1252489828379361281,pum woterbug,pumperbug,boy - 15,,"he/him, so tired
professional pixie stick snorter
priv @contempt_is_me",,,False,44,39,0,Tue Apr 21 06:50:26 +0000 2020,17933,,,False,False,5969,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1330019175406968834/24J0_ZV__normal.jpg,https://pbs.twimg.com/profile_images/1330019175406968834/24J0_ZV__normal.jpg,https://pbs.twimg.com/profile_banners/1252489828379361281/1605936333,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
